Cell lines	600MPE	BT20	BT474	BT483	BT549	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB361	MDAMB415	SKBR3	SUM1315MO2	SUM149PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__HBEGF	5.9666	5.8554	4.9068	5.1174	9.3836	5.5354	5.6776	5.656	4.9952	5.2972	5.4996	8.232	7.5528	5.0328	5.4704	6.2009	5.3934	5.9594	7.3717	5.279	5.3204	6.9636	4.8683	5.0741	5.1797	6.7088	5.5459	5.4672	6.9455	5.2866	5.6012	5.0115	5.3434	4.9792
EA_G__EFEMP1	8.9932	4.1539	5.1865	7.8477	9.5279	10.6762	4.3132	6.7744	5.8441	8.2369	4.4974	8.7016	8.8237	7.8833	9.5514	9.4495	10.4554	9.7036	7.9544	6.7067	7.2431	10.2084	6.0749	8.1426	9.074	4.0759	10.5316	10.1493	7.0303	4.5549	9.4677	7.1217	7.8647	5.6764
EA_G__BGN	6.5052	6.2955	6.4175	7.254	6.3829	6.6761	11.3189	12.6155	5.9445	8.6713	8.5505	6.821	6.097	6.304	6.4282	6.1757	7.7194	7.9807	10.5772	6.5835	6.4677	10.4294	6.6293	6.075	6.4412	6.4305	9.5324	6.297	6.9784	6.7846	6.5123	7.2767	6.515	6.373
EA_G__RND1	7.3143	5.1518	5.5848	8.1345	5.2959	4.9253	6.6945	4.833	6.5432	5.3653	4.8394	5.688	5.355	5.6049	6.4109	5.1296	5.0251	5.5654	4.655	7.389	6.8855	4.321	6.9107	7.667	8.9453	5.08	5.2271	6.2484	6.2849	5.9817	7.1618	8.9243	7.8627	6.9375
EA_G__GRHL1	7.4864	8.5882	8.4331	8.1596	4.5777	6.9572	8.8017	5.6615	8.8513	8.2691	8.5193	5.7475	7.9388	8.2395	8.8189	5.7083	3.8144	8.6706	4.7181	7.8945	7.4297	3.8956	8.2061	6.5684	8.9502	4.0578	4.9376	8.8226	7.1577	7.2173	7.8761	7.8942	8.1774	7.5772
EA_G__COL4A1	5.2274	5.7736	5.0845	4.9534	8.4977	7.7123	5.163	7.1576	4.8711	4.8859	6.8901	7.6945	6.6224	5.5455	5.3043	8.5407	8.3695	5.3973	9.1832	5.3929	5.3075	10.8621	5.0616	4.8149	5.2895	5.8097	6.7643	5.1567	5.4451	5.4895	5.3269	5.26	5.2465	5.1624
EA_G__LTBP2	6.4939	6.5526	5.8484	5.7214	5.8612	7.2573	9.4343	6.9893	5.5716	5.7214	6.0676	6.8141	6.828	6.5184	6.3254	6.36	8.5798	6.1362	8.6763	6.3948	6.1604	8.5092	5.7252	5.5235	6.142	7.3028	6.7043	6.5798	6.8782	6.3072	6.3083	5.977	6.2503	6.0799
EA_G__UNC13B	5.793	6.0376	9.2627	6.7893	6.8557	6.1135	6.5985	4.7743	8.1912	6.3839	5.7764	5.9227	5.9355	5.9763	10.2206	6.573	5.9399	4.9792	6.2561	6.4183	7.4598	5.3058	6.8314	6.8136	6.1782	7.1852	5.2062	6.2335	6.8873	6.5187	6.9894	6.8792	6.4913	7.3279
EA_G__ST3GAL1	7.479	8.1484	8.7443	9.373	6.1993	8.1524	6.6271	7.5554	8.8202	6.9143	7.3505	7.6057	8.1354	7.9493	8.5367	6.94	4.6327	6.9953	8.126	7.3542	7.3677	5.9274	8.2777	8.1796	7.6457	6.6256	6.4164	9.0394	7.2609	9.533	7.1798	8.272	7.5982	7.6796
EA_G__KCNS3	7.8232	8.0016	6.6148	6.2972	5.3846	7.0195	6.4153	5.0912	8.208	5.9488	4.9442	5.1645	7.7079	8.2604	7.0898	5.6055	5.807	7.5989	6.53	5.285	6.4881	4.9836	7.387	7.7146	6.5381	5.0119	6.6703	7.602	7.3123	7.4014	5.9702	8.4243	7.2799	7.6228
EA_G__GRB7	8.5454	8.0083	11.1297	8.1717	6.2075	7.4261	7.5684	6.3606	11.6802	7.283	9.436	7.1132	6.9786	11.7721	8.4244	7.8473	5.9178	8.1182	6.2106	7.3692	7.4325	5.5442	9.8138	7.8417	10.5391	7.3985	7.0859	7.9055	12.3691	8.1468	7.4714	10.6486	7.7878	8.0155
SNP__SHCL1	0.37	-0.191	-0.146	0.229	-0.093	0.39	-0.191	-0.301	-0.461	0.284	0.058	-0.119	-4.672	-0.149	-0.586	0.234	0.241	-0.253	-0.189	0.005	-0.126	-0.133	-0.12	-0.315	-0.576	-0.138	-0.114	-0.305	-0.354	-0.139	0.301	0.082	0.011	0.023
EA_G__COL6A1	6.4655	6.43	6.468	6.6022	7.7676	9.0875	5.9974	10.3939	5.8722	6.1268	8.5582	7.8176	7.4242	6.2756	6.3333	6.5532	10.1632	6.3377	11.1987	6.6858	6.6419	11.506	6.5551	5.9473	6.3821	8.3978	8.1566	6.2869	7.2379	6.8732	6.525	6.6154	6.361	6.6971
EA_G__TMEM164	7.0979	7.5251	7.6781	8.5025	8.6222	6.4544	7.9946	7.5203	7.2907	10.3866	7.6298	6.9435	6.7799	7.3942	7.5043	6.098	6.9625	8.2039	6.4079	7.2698	7.5322	6.8379	7.6833	8.395	8.247	6.3434	7.049	7.9599	6.9667	8.2506	6.4222	8.5694	7.892	7.3908
EA_G__SPDEF	9.8828	7.4018	10.7931	10.5658	5.6685	5.9359	6.1425	5.7703	10.7443	9.8237	6.0475	6.0136	6.4407	7.5494	10.0929	6.9762	5.6718	6.3194	5.7139	10.0469	10.246	5.6466	10.5661	10.3098	10.0553	6.1331	6.4231	10.0886	9.922	10.6581	9.6624	10.226	11.1169	10.8329
EA_G__PRSS12	4.3777	4.1768	4.706	4.5602	6.369	6.9948	5.4788	5.4348	4.3786	4.8573	9.1774	6.4117	6.7058	4.9165	5.8521	9.6837	6.4128	6.596	7.4233	4.8768	4.8229	7.318	4.5567	4.3978	5.0102	6.0849	8.1192	5.1428	5.0967	5.2435	4.672	4.4986	5.5805	5.0513
EA_G__AHNAK2	6.4315	6.6197	5.7758	6.5778	8.7237	11.0055	6.8184	8.9185	6.0669	7.319	5.8046	8.2741	7.0113	8.4468	6.8208	9.6726	7.9732	7.629	8.2223	6.3356	6.7179	9.2604	5.8029	5.5643	5.8413	11.1983	8.7533	8.6161	7.8498	6.7657	6.6229	7.0651	6.7233	6.8062
