Cell lines	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1419	HCC1428	HCC1569	HCC1806	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751
EA_G__CREB3L4	8.1722	6.239	8.8266	5.1526	8.4914	5.7882	5.6323	8.1729	6.4823	6.4278	5.55	7.1548	5.7115	5.4265	6.6527	5.4111	6.6146	7.3017	5.3083	5.5882	7.768	7.4532	8.0278	7.7082	5.6583	5.9138	5.4051	7.0025	7.9691	7.4838	8.0176	7.745	8.8611
EA_G__OSBP2	5.4149	6.1665	7.0103	6.0775	6.588	6.6328	6.0387	6.7175	5.3871	5.9563	6.3132	6.9864	6.1351	5.8975	6.8151	5.4788	6.0308	6.6413	5.5347	5.593	6.7878	6.2614	6.3643	6.039	5.8646	8.203	5.9551	5.9665	6.6892	6.033	6.2767	6.1252	6.5893
EA_G__ACN9	7.7457	7.1364	2.2474	7.3112	2.7477	7.1126	7.5669	2.5176	7.5615	6.6273	6.5053	2.2849	8.2112	7.1776	6.3609	7.4386	2.5402	2.3462	7.0306	7.6458	6.8231	4.2824	5.423	7.6019	7.7805	7.3034	7.8799	7.6985	6.6824	8.9937	3.1105	6.3996	2.2698
EA_G__LHFP	5.3139	5.5954	5.4274	8.7766	5.1859	7.2268	5.5358	5.1002	7.5025	6.0825	7.0349	5.3806	6.8659	7.1626	5.8128	7.4787	5.8162	5.6178	7.6395	7.2848	5.1617	5.2191	6.2937	6.4466	7.4815	5.9507	7.0226	7.117	5.2327	5.7135	6.1764	5.4187	5.6329
EA_G__TJP3	8.0518	7.766	8.3849	5.9377	7.9192	6.4262	6.6429	9.8328	7.6407	6.3501	6.2599	8.4592	6.5682	5.9474	8.0263	5.6884	8.0699	7.9648	5.7056	6.1169	8.5057	8.1059	8.1475	7.9939	6.014	7.1509	6.1539	8.6348	7.4672	7.8886	8.6752	8.1957	8.4645
EA_G__C11orf82	6.6509	7.0184	5.8662	6.612	5.9729	7.3918	5.794	5.736	6.3239	6.8492	8.7831	5.4224	6.7061	7.6886	5.452	6.9309	6.4962	6.308	6.4071	6.9059	5.714	5.3618	5.9928	5.8672	5.7982	5.7614	7.2557	5.8854	5.4156	5.9697	6.6975	6.4483	5.2868
EA_G__CTNNAL1	4.2542	7.954	6.4387	8.7735	6.3931	8.1612	4.1256	7.1051	6.4816	7.2239	8.0383	5.4545	6.4832	7.6805	5.2114	7.9664	6.1901	5.6676	8.9997	8.7663	6.723	5.544	5.0793	5.2778	7.4006	6.8008	8.0664	7.008	3.6217	5.7089	6.5608	6.3006	5.4776
EA_G__AGPS	4.5517	9.653	7.2311	8.6021	7.7053	9.7677	7.5441	8.0721	7.7352	8.2133	10.1761	8.5532	9.0848	9.1475	8.4572	9.3307	3.0191	3.3336	9.0361	9.4937	5.9847	8.784	6.8236	5.0358	9.7549	8.9906	9.4369	8.3386	7.3149	7.8151	3.4863	7.9964	4.0977
EA_G__XBP1	10.9214	8.6686	11.4285	8.6723	11.3432	8.5408	9.0517	11.6752	10.8517	8.688	9.1233	11.2423	8.6586	8.207	9.7409	8.5637	10.908	11.5332	8.4505	8.6487	11.8604	11.6993	11.4718	10.6695	8.502	8.3625	9.0461	11.0474	11.1889	11.1636	10.9799	11.4501	11.6409
EA_G__MAP7D3	6.181	7.0881	3.7726	8.0335	4.1145	8.2134	6.6816	3.8649	5.2828	6.9662	6.369	3.9768	7.9146	7.4129	6.0423	7.4841	5.9373	6.1096	6.9765	8.4972	3.8711	3.6075	4.4657	5.4472	6.6247	7.5826	7.2635	4.9255	4.3312	5.013	4.094	6.2554	3.8949
EA_G__MTL5	5.3594	5.6064	6.7743	5.905	7.1465	5.563	5.6404	6.7319	5.5117	5.948	5.7101	6.0857	5.932	5.6225	5.721	5.0947	6.2014	6.745	6.0433	5.4272	6.3906	7.8743	6.5718	5.7291	5.7605	6.2117	5.3424	6.3289	5.7619	5.9627	6.769	7.3716	6.3228
EA_G__MUC1	9.3354	8.5583	9.6525	8.4104	10.0109	8.1385	7.6877	9.5962	9.4833	6.9752	6.7513	9.1369	6.9437	6.835	10.7156	7.125	8.9106	9.84	7.0024	6.32	9.2355	10.806	7.2765	7.6032	7.3348	9.1411	7.2021	8.4137	9.6284	9.3378	11.5556	11.9165	10.8592
EA_G__ATP2C2	7.1301	6.3762	8.2179	5.3497	7.7028	5.9351	5.1224	8.4417	7.4719	5.2602	7.0346	8.3016	6.6985	4.6332	6.8254	4.8393	8.5253	8.1187	4.7757	5.1175	7.5495	8.7963	7.9613	7.5787	5.4452	6.4738	5.2595	8.2752	8.3637	6.7796	7.0768	7.274	7.6677
EA_G__DNAJA4	4.7516	4.5141	8.0682	4.2649	6.8891	6.3925	5.3544	8.8331	6.9037	5.5941	7.0226	6.1691	4.6041	7.0471	6.3352	5.3644	7.0912	6.871	4.8811	4.7158	8.324	6.9391	7.0638	5.8064	4.5857	6.9409	4.803	5.0151	7.474	6.8647	7.9157	8.4296	8.8969
EA_G__ST6GALNAC2	5.0291	5.516	10.3685	4.5595	8.7228	6.5984	7.353	9.9648	6.5371	4.6823	5.9709	8.1178	5.1009	5.8811	7.4136	4.6967	6.3217	8.8799	5.7877	4.6438	11.3695	9.1258	9.9534	5.1063	4.954	6.391	4.6258	9.9215	6.6702	10.1722	9.3112	10.0639	10.5198
EA_G__FOXP4	7.7068	7.8757	8.8731	7.175	8.4056	7.4526	10.7351	8.346	7.6693	7.8345	7.7831	7.7087	7.9492	7.0315	8.0498	7.0167	8.1031	8.2302	7.6763	7.6686	8.8877	8.4425	8.3203	7.9428	7.3333	7.9073	7.5409	8.8581	8.3212	7.5171	7.3679	8.0961	8.1019
EA_G__C17orf28	9.729	7.4386	9.6197	5.5952	9.5722	6.3666	6.9129	10.3721	9.0304	5.4402	6.5831	8.2773	7.1557	5.8027	7.1023	5.3634	9.1167	9.277	5.3589	6.1912	11.1353	8.8997	11.0475	9.6716	5.6045	6.3796	5.9321	9.479	9.5063	9.3071	9.6105	9.9773	10.4072
EA_G__HINT2	8.1953	8.0627	8.3493	8.0287	8.444	8.6324	8.2309	7.9605	8.1995	7.829	7.835	11.004	8.228	7.9399	9.7754	7.7405	8.2384	8.5383	7.8426	8.1583	8.8464	8.33	8.9275	8.1775	7.4303	7.5048	7.462	7.8726	8.327	7.5324	8.6064	8.5092	8.5007
EA_G__LLGL2	8.6915	7.7394	9.2172	6.2317	8.8119	8.2638	8.0503	8.8674	9.3444	7.2747	7.7949	8.3801	7.9179	6.2965	8.1822	6.0368	9.5561	9.9449	6.5672	6.5173	10.4167	8.8447	9.2616	9.2767	6.1906	7.5902	6.2778	8.6172	8.4538	8.1435	8.5877	8.313	9.276
EA_G__IDH2	9.0203	8.5981	10.3873	8.0667	9.7965	8.2773	9.6941	9.9588	7.8733	9.0831	6.1131	9.1842	8.4942	8.9461	10.4002	6.776	9.5467	9.9548	8.3399	6.7409	10.4101	8.7147	7.8956	9.5364	8.6078	8.1004	7.7049	8.7028	9.0819	9.8275	10.3343	9.4696	10.5446
EA_G__GATA3	6.0285	7.7046	9.1018	4.9681	10.7896	5.7457	8.0649	9.427	10.3545	5.8406	7.0576	9.3687	5.6591	6.5915	8.1065	4.9955	10.3924	10.9892	4.5959	5.609	9.224	9.5855	9.916	7.2562	6.9	7.9032	5.883	10.1592	7.7068	9.5042	10.5263	10.2285	9.6733
EA_G__ETS1	4.805	5.9815	3.8221	9.1987	3.7611	9.7835	5.4674	3.5174	3.7092	9.0214	8.4312	4.2609	8.9186	6.6496	6.1098	7.8626	4.2242	4.1251	8.5584	8.8462	3.44	3.778	4.6855	4.7509	7.741	7.9709	8.314	4.3718	5.9158	4.288	4.0329	3.9583	4.1234
EA_G__MPP1	4.6149	5.5659	4.1933	7.3661	5.2864	5.9491	6.1238	4.0628	4.851	6.9422	6.5674	5.2199	6.7918	7.3067	4.5936	7.6194	4.6365	4.6134	8.3037	7.4557	4.1565	6.2867	6.0077	4.7191	7.4905	6.8069	8.2609	5.4014	4.4879	6.8111	6.0661	4.9223	4.6406
EA_G__ERBB3	9.5479	7.8567	9.4394	4.3498	9.8292	7.4364	7.8742	10.05	9.2441	9.4138	7.239	9.7082	7.3935	4.2979	8.8706	4.0683	9.4649	9.439	3.9776	4.5784	9.6653	10.1482	9.5168	9.1277	4.1238	6.8843	4.2234	9.5831	8.8726	9.2288	9.7254	9.7608	9.5803
EA_G__OBFC2A	7.6101	9.2122	5.7752	8.0921	4.5264	8.1177	5.6774	6.3325	5.6037	7.6901	9.0276	6.3893	8.8214	9.7788	7.8827	9.2412	6.4123	6.7442	8.2834	9.4543	5.5142	6.1973	6.3699	6.996	8.5565	8.4307	9.0169	7.7607	7.9834	6.1808	5.7689	6.4453	5.6546
EA_G__KLRG2	8.089	6.5067	8.4057	6.4	9.6446	7.8073	7.8405	7.7071	6.9473	6.3701	7.4151	8.4247	7.0207	6.3157	7.1726	6.2275	7.2573	7.355	6.4254	6.1478	7.9256	9.0586	8.2741	8.7105	6.5291	6.5715	6.701	8.0547	7.249	6.6918	7.2045	7.9626	8.9974
EA_G__PDCD4	7.2221	4.9274	9.1525	6.9065	9.7468	6.4642	9.1019	8.5973	10.2921	6.4907	5.6176	8.9419	5.47	6.8651	7.9542	5.877	8.1806	7.8868	6.0254	8.695	9.6332	10.4832	8.1844	6.4457	7.2904	6.741	5.8866	7.7702	8.4289	7.9408	8.9593	9.1703	10.8018
EA_G__IGF2BP2	4.148	7.4447	3.9096	8.766	3.9519	7.3402	4.3688	4.1485	4.3259	7.0273	8.2498	4.275	6.2409	6.9871	7.7544	7.1361	5.5721	4.3172	7.532	7.4978	4.1685	4.075	5.017	4.4165	7.5737	6.9236	7.8986	7.1443	6.5836	5.9502	4.389	5.6488	4.0823
EA_G__MYB	7.3833	5.8315	7.7499	5.0163	7.364	5.9692	6.8993	8.3839	7.6386	5.2504	4.5412	8.0208	5.3536	4.5154	5.93	5.8028	7.1808	8.0709	4.4789	5.6926	8.6746	7.4365	7.2492	6.6892	4.7019	5.5426	4.7383	6.1985	6.1338	6.9719	6.8456	7.1594	6.537
EA_G__TC2N	9.0717	6.9775	9.3938	3.3223	8.2578	6.9443	9.7443	8.8806	7.6394	5.7542	7.1173	8.4157	6.5571	2.5474	7.8365	3.1031	7.5099	7.5506	3.4834	4.5382	8.6498	8.2854	8.3271	8.4929	3.1594	6.1981	2.9353	9.1398	8.8122	7.8362	8.1402	8.2774	9.4791
EA_G__CRABP2	6.1829	7.8329	8.2111	4.4698	7.9616	8.6534	10.6063	10.0004	9.994	6.1523	5.359	10.1017	7.2807	7.095	10.0598	5.7308	10.0904	10.2988	5.4326	6.2093	6.9694	9.4935	9.9741	8.4814	6.0872	6.2944	6.0848	9.0317	7.6666	8.6722	10.4906	11.0984	7.8585
EA_G__SNAI2	3.7124	6.6607	3.6871	9.1313	3.88	6.4837	3.2197	3.8197	3.4385	9.9938	8.7811	3.6267	5.6992	9.113	6.23	9.6167	3.8127	4.5304	10.2171	6.0717	4.3797	4.0291	3.8604	3.2179	9.5792	6.7031	8.0848	4.5561	3.8284	5.6708	3.7912	4.4566	3.9037
EA_G__PIB5PA	7.2283	5.7738	8.2578	5.9039	9.6074	6.094	6.2946	6.4018	5.6085	5.7297	5.4173	8.1127	6.2215	5.7362	7.4908	5.3929	6.5917	7.1141	5.4621	5.8495	7.7113	8.0325	8.7984	8.1997	5.6103	6.7177	5.7789	8.9248	8.6425	8.3854	7.2749	8.3268	7.7171
EA_G__CYR61	7.5718	8.3996	6.2582	10.1687	6.6562	8.8232	5.6125	6.3522	6.707	7.4924	7.1965	7.3317	9.6694	10.232	7.091	10.623	6.3553	5.982	8.6434	11.0584	6.8937	6.6652	6.7454	8.1061	10.084	8.4031	9.4395	6.6971	7.8889	6.4717	6.9073	7.0874	6.1877
EA_G__CAV2	4.5018	8.4908	3.7097	9.6475	3.2968	9.8419	4.7699	3.41	6.384	6.665	9.7361	6.3564	9.7925	9.8782	9.1849	9.3055	6.8317	4.985	9.9149	8.7015	5.0696	5.7687	3.9831	6.1201	9.4274	10.0236	8.9668	6.5462	7.0424	6.8936	3.7499	5.2992	4.0191
EA_G__ACSL4	3.2437	6.8678	3.2175	8.1981	3.93	5.8474	4.9921	3.2795	4.7223	6.0223	5.4391	3.2448	6.4566	7.5506	6.3064	7.7862	4.3467	3.4318	6.5727	8.0383	3.8174	6.3426	4.0514	3.2697	7.359	6.9283	7.5937	6.0038	3.4226	5.8348	4.7256	3.5077	3.3705
EA_G__FBP1	5.2071	4.8652	9.4178	4.6472	9.2616	4.5261	4.8	7.7114	7.8887	4.5754	5.8823	4.8183	4.6158	4.5283	7.404	4.6383	9.9041	10.3261	4.6404	4.8766	9.9939	8.753	6.105	8.9461	4.7417	7.7847	4.8368	9.9019	7.8951	8.5676	8.2741	9.6585	9.9927
EA_G__LOC124220	7.4736	6.5045	8.0215	5.4055	8.8675	5.9469	5.7857	7.9883	7.6471	5.8141	6.6156	7.8574	5.7468	5.5707	7.5995	6.7221	8.0322	7.9345	5.7493	7.1355	9.1801	8.6759	7.6816	7.9156	6.0924	6.2257	6.4568	6.7771	7.0487	8.2349	8.0054	8.3906	7.3629
EA_G__ICA1	4.2391	5.5241	7.7109	4.2132	7.1927	4.9716	5.9258	7.0962	6.1191	4.2211	4.1324	6.8093	5.7834	3.9633	4.0011	3.8101	6.8677	7.0587	4.0082	5.9475	6.8185	5.8066	6.6253	6.7251	5.4292	5.8257	4.0589	6.974	7.7989	6.9839	7.286	7.3446	7.8273
EA_G__GNG12	8.0554	9.1125	6.9215	9.5214	5.0723	8.6155	6.8475	7.8236	7.2029	8.1673	7.6447	7.3246	8.9495	9.2848	9.2523	10.1455	5.2669	6.6554	8.7552	9.0735	6.6523	8.8439	7.2152	7.7602	9.7441	7.9395	9.8269	7.4973	8.4644	7.8464	7.0967	6.8414	6.0561
EA_G__IGFBP5	7.9594	10.6451	11.0184	4.3101	11.7233	7.6186	6.4925	4.8845	8.188	4.538	4.7586	9.2414	6.4845	4.3247	6.8854	5.2977	8.5975	8.7877	4.2559	4.3236	11.3033	11.5721	9.9012	9.5648	5.5703	5.0144	4.674	4.7641	9.5878	5.7393	10.3953	10.0362	8.0895
EA_G__SACS	5.5065	5.7151	4.387	8.2338	5.5884	6.3576	7.2455	5.6008	4.9033	5.9435	6.2962	3.5737	6.839	6.8542	4.146	8.3747	5.1792	4.7755	6.9225	7.6452	4.2029	3.5922	4.7532	5.8038	8.5415	5.6956	7.7867	4.8587	4.2936	4.3439	4.6223	5.3828	4.3278
EA_G__SGCB	3.9197	3.4677	4.8878	7.0929	3.3793	6.6802	6.2512	3.04	5.2005	6.2462	5.4632	3.212	6.5926	6.4121	3.5149	6.8	4.5618	4.753	7.3587	7.1684	4.7077	3.4655	3.4017	4.3251	7.1462	5.8862	6.8411	4.8611	3.9321	5.3476	4.7311	6.1989	3.9669
EA_G__GLS	7.4228	9.005	6.9834	8.2057	6.6295	9.1094	7.2106	8.0475	7.609	9.5461	8.4018	7.4503	8.7597	8.412	7.7883	8.4596	6.8403	6.6922	8.8394	8.5453	6.2814	7.2594	4.5529	7.0692	10.0833	8.7098	8.438	6.5093	7.0957	6.6458	6.6057	6.9638	6.5527
EA_G__CRIM1	8.3091	9.5842	6.5929	9.7719	4.9514	9.4674	7.4445	5.769	8.1182	7.7723	9.2139	9.1212	9.553	8.9683	9.1882	10.6462	6.9248	7.2872	10.3139	10.2066	6.0395	8.0396	5.5615	8.5579	8.5317	9.052	10.2588	7.9147	7.6815	8.6219	8.7841	8.2763	5.0659
EA_G__SGK	5.0406	7.2857	5.4106	9.0838	4.1858	8.9248	4.3511	6.361	5.0384	6.6596	7.7021	5.1726	7.019	9.4103	6.1623	9.2354	5.1628	5.3706	8.3272	8.4342	7.6622	3.713	5.0158	4.8986	9.7393	8.7562	8.0896	5.5156	6.1843	7.5815	4.7744	5.5835	5.6857
EA_G__SLC7A8	7.6746	4.869	8.8236	5.042	10.6962	5.0441	6.3737	9.5636	7.2944	4.7488	8.4816	8.1148	4.7435	5.7111	5.5632	5.0076	5.3353	5.3922	4.7921	4.9899	10.2853	9.6818	8.7371	6.5396	4.8894	6.1091	4.9765	7.0086	8.4994	8.5397	9.0232	10.533	6.8407
EA_G__SLC39A14	7.0695	8.413	6.7073	9.7325	7.094	7.6136	9.8801	7.4083	7.1434	8.5716	7.6742	6.898	7.8345	8.1108	6.6582	9.4612	7.1446	6.7092	7.542	8.3485	5.9451	7.0796	6.3629	7.3537	10.7989	7.488	8.4903	7.7988	5.7332	6.6494	7.0208	7.5143	6.2866
EA_G__C1orf64	7.093	5.835	8.5042	5.7056	6.4148	5.3251	5.8239	9.3609	5.9959	5.5774	5.6345	6.0412	5.5348	5.7137	5.9871	5.6903	6.0348	5.929	5.6187	5.7254	8.2425	8.7956	6.6608	7.869	5.917	6.0097	5.9263	8.388	6.8583	7.5468	7.081	7.8354	8.5419
EA_G__YIPF1	8.0855	7.1149	8.3387	7.2018	7.6327	6.9169	7.4989	8.6056	7.8128	7.3801	6.5796	7.7843	7.0031	6.9285	7.6619	7.4184	7.168	7.7474	7.1724	7.3375	8.7118	8.8558	7.7027	8.1777	7.4907	7.4336	7.036	8.3011	8.8785	7.9406	8.1006	8.0957	8.5275
EA_G__TM7SF2	8.6146	7.5175	10.6738	7.777	7.8977	7.2251	9.5359	9.1668	7.9039	6.7241	7.7442	8.5326	7.6531	7.0171	7.4679	6.3437	9.5635	10.0085	6.465	6.9611	9.7289	8.2619	9.9341	8.013	7.0973	7.8511	5.806	9.5896	6.8613	8.2324	10.641	9.5627	9.7151
EA_G__DSP	8.5174	8.3555	9.7781	4.438	8.3945	8.8684	9.8838	9.484	6.301	8.4854	9.2614	10.249	9.2227	6.8289	9.9116	6.0849	9.2346	9.4662	6.8075	6.9698	9.1769	8.8104	5.5198	8.8651	4.3964	9.6506	5.7489	8.7123	9.5311	9.3918	9.3757	9.3323	9.2241
EA_G__SIDT1	7.4447	5.3904	8.8752	4.6729	8.5319	4.3608	4.6682	8.7279	8.8931	4.4944	4.8537	7.114	4.5267	4.2934	6.0595	4.3148	8.2739	8.5397	4.4179	4.9182	8.5383	9.0785	8.1899	7.1021	4.6199	4.8109	4.4668	7.8236	7.9261	7.9518	8.588	7.5637	7.6898
EA_G__SLC9A3R1	10.4111	9.8632	10.9597	8.7121	11.6704	8.938	9.3166	11.4576	12.2228	9.8097	9.4062	10.1126	9.0002	8.2983	10.211	7.7047	11.5891	11.5335	7.5431	9.0363	12.6162	10.3807	11.9228	10.702	7.9923	8.16	8.1862	10.5458	9.9597	10.2024	10.9276	11.5295	11.3238
EA_G__CTGF	7.0133	5.9156	5.884	9.3777	5.681	7.7782	6.5942	5.7885	5.882	8.7018	6.664	7.1419	8.6485	7.6684	6.5018	10.62	6.0448	6.3716	7.6168	8.8141	5.7406	6.065	6.5061	6.6274	9.1454	7.3645	8.134	6.5749	6.6338	6.6145	6.0636	6.0606	5.9837
EA_G__MALT1	6.8006	6.8844	6.6217	8.5624	6.7858	8.3258	5.7342	6.3425	6.2349	6.6303	6.5109	5.518	6.689	9.3823	6.2279	7.8265	5.7846	5.3337	7.5889	6.8856	6.1808	4.8845	5.9347	6.6455	7.5106	7.3724	7.5651	7.0666	5.7784	5.2207	6.0642	6.4532	7.0325
EA_G__CYP2J2	6.4435	5.1334	6.7259	4.78	5.8339	6.1137	5.5908	7.7706	6.8903	5.9356	4.8007	7.4097	4.6187	4.4382	6.0827	4.8923	6.3696	7.0868	4.2793	5.9153	7.5381	8.3749	5.4937	7.2803	4.893	5.2515	5.3152	6.042	7.5127	5.895	5.9996	6.2447	7.9614
EA_G__DPYSL2	5.364	7.4747	6.5531	10.3808	7.342	8.2545	6.1583	5.9297	7.6053	8.5864	6.9477	6.0442	8.2008	8.1649	6.9424	9.7881	7.6608	7.1866	8.7065	8.0483	7.6197	5.6238	7.8734	5.0121	9.7796	9.6176	9.3425	8.7012	6.9372	7.67	7.3599	7.4901	5.1537
EA_G__SPDEF	10.1908	7.4018	10.7931	5.6685	11.013	5.9359	6.1425	10.7443	9.8237	6.0475	6.0136	10.0929	6.9762	5.6718	6.3194	5.7139	10.0469	10.246	5.6466	7.0764	10.5661	10.3098	10.5877	10.0553	6.1331	6.4231	5.9152	10.0886	9.922	10.6581	9.6624	10.226	11.1169
EA_G__NUPR1	6.8844	7.3888	8.3409	7.217	8.2699	6.308	6.205	7.5236	6.4053	6.3374	5.9057	7.4957	6.1895	7.3003	8.2083	6.6856	7.4375	6.152	5.9458	5.727	7.9059	8.8506	8.5515	6.9661	8.2408	6.7378	5.8168	5.8454	9.4081	7.3405	8.6668	7.5702	8.0146
EA_G__PPFIBP2	6.5176	5.6898	8.685	5.3909	6.8131	5.2124	6.2853	7.7925	5.6154	5.8536	4.9366	7.7047	5.6356	5.98	5.7397	4.7978	6.5585	6.3397	4.0523	5.0389	7.4755	8.9514	7.7945	6.9673	5.7632	5.0592	4.8184	8.3164	7.5942	7.3962	6.0261	6.8366	6.9521
EA_G__TMEM86A	6.4556	6.3228	7.9473	4.9403	6.4644	5.4973	5.6342	8.5714	6.3085	5.762	5.926	7.3806	5.8631	5.6241	5.8009	5.1528	6.1998	6.2003	5.8978	5.4022	8.2918	7.6789	8.1152	6.5041	5.7141	5.8456	5.6566	6.9858	9.1944	7.4011	6.777	7.7605	9.1894
EA_G__ATAD4	6.5076	5.3802	8.0263	4.5523	7.5399	8.0394	5.9508	10.7967	7.4212	4.1336	4.5672	8.0676	5.5651	4.2357	7.043	4.1056	7.2902	7.5689	3.7982	4.8914	9.0888	8.2291	7.5073	7.1289	4.5322	5.1374	4.3119	7.2446	7.4827	9.1193	7.2602	7.8865	8.9783
EA_G__POPDC3	5.4767	8.9926	3.4924	4.7785	3.2555	7.1357	3.5857	4.5477	4.0952	8.0904	6.8204	3.69	6.6232	7.4945	6.4594	5.9804	4.1027	3.6397	6.6553	7.7354	3.7091	5.9969	3.737	4.2054	7.9858	6.6727	5.0813	3.6103	7.014	7.0935	3.6805	4.3597	3.6212
EA_G__PRODH	8.5848	5.3758	9.6968	5.2856	9.8394	7.3753	6.3146	9.9249	7.0011	5.3203	5.7339	9.6035	5.5817	5.3378	5.6238	5.3479	6.1188	5.8214	5.7096	5.3603	10.5759	10.8014	10.6464	6.5433	5.7008	5.7056	5.2411	7.8362	10.5858	9.7075	7.7263	6.2829	10.3923
EA_G__CADPS2	7.7456	4.908	7.4979	4.0964	6.4627	4.4223	5.6493	7.0315	4.4205	4.0071	4.8258	6.7121	3.9804	3.6804	6.6876	4.1893	5.843	6.0549	4.342	5.1269	5.4529	8.4842	6.1528	6.7688	4.2951	6.5761	6.4273	7.7822	6.6469	5.8467	5.8717	6.468	6.224
EA_G__FMOD	4.7456	4.3891	8.6309	4.8797	4.254	4.4157	4.5959	4.5711	4.2652	4.1456	4.4406	5.0278	4.4373	4.4526	5.1068	4.315	4.9047	4.6832	4.333	4.653	10.2266	9.4424	7.4642	4.7254	4.4797	4.8205	4.5904	4.1968	6.8222	9.5573	5.179	7.001	9.7217
EA_G__STARD10	9.3189	7.1028	9.838	6.9657	8.9884	7.0812	7.6816	10.6337	9.9114	7.9561	7.2257	9.147	7.3262	6.4872	7.4777	6.0307	9.734	9.5739	7.4208	6.2262	9.903	9.0237	9.6166	9.3077	6.0593	7.4425	5.9183	8.838	8.704	9.3903	8.7334	9.6701	9.2205
EA_G__EFHD1	10.4897	6.7838	10.8877	6.4363	11.3552	8.4531	10.9246	10.9769	10.5969	8.0806	6.5687	10.7681	8.1233	6.512	6.812	6.1904	7.6784	9.8691	6.8011	7.1188	10.1568	10.3331	10.1827	10.9819	6.6063	7.3525	6.5382	10.5168	10.3753	10.2061	10.8369	10.3846	11.0058
EA_G__MUCL1	9.6708	5.4032	11.9418	4.8957	8.9223	4.5051	8.786	8.2638	6.8099	4.7529	4.7936	8.4609	4.7998	4.6962	4.8549	4.861	6.192	7.9264	4.9978	4.8186	11.1491	8.2536	10.2257	5.8615	6.5654	5.2871	4.4087	5.4239	12.5835	9.5991	5.3747	11.7143	10.7729
EA_G__PVRL4	8.8387	7.5802	8.6614	6.0215	8.4399	7.6435	8.619	7.4022	6.9983	5.9267	6.4973	8.8506	6.8664	5.7394	9.0419	6.0255	8.6467	7.9387	5.9404	6.0246	7.6553	7.9653	8.7386	8.6132	6.1518	6.6455	5.8878	9.0033	8.5554	8.2224	8.8527	8.4894	7.7461
EA_G__SELENBP1	11.1376	7.9104	9.1265	5.4145	10.1056	5.6859	8.0894	9.097	8.0519	8.1768	5.6338	10.3951	5.9801	5.5176	9.058	5.8776	8.4871	10.0174	5.6347	7.434	9.528	10.4363	10.1032	10.6142	5.3724	6.0275	6.422	9.7696	9.591	9.8577	8.6891	10.0604	10.8426
EA_G__DNAJB4	6.1035	6.4481	3.9001	7.9907	4.3378	5.2992	5.8049	5.9526	5.3929	5.5614	6.4492	5.1111	6.1544	6.802	5.857	8.51	4.2631	4.0582	6.9904	7.3876	4.94	5.3639	3.9784	5.149	8.1583	6.4834	8.0232	4.1585	6.7141	5.2226	5.0912	4.2958	4.3341
EA_G__RAB27B	8.5612	5.9879	9.7252	9.9569	8.8503	7.2326	6.9088	9.6875	7.5786	4.7529	6.7212	8.5582	6.7514	6.7386	8.7507	6.4168	8.1154	8.2999	6.2771	5.1949	9.7182	9.0257	9.2615	8.2384	5.5805	6.4372	6.374	8.4761	8.9339	8.1278	7.9657	8.0961	10.0686
EA_G__CPAMD8	6.0825	7.2596	7.2388	5.6587	6.0427	5.6522	7.7413	6.8633	6.049	6.0436	5.9711	8.4635	5.9444	5.3842	6.5933	5.5284	6.2974	6.322	6.7371	5.4769	7.4537	5.9555	7.027	6.3632	5.7861	6.2587	5.9367	6.3406	7.1091	6.9385	8.6235	8.1872	6.9222
EA_G__ACOT4	7.5193	7.0833	8.1776	5.4917	7.1285	6.0694	5.512	7.8169	7.2952	5.7055	6.1858	6.8359	5.1841	5.8504	6.5305	5.4131	6.8139	7.1462	6.7919	4.9953	6.0179	7.6577	7.627	7.675	5.6212	6.388	5.26	5.4872	7.4645	6.8487	8.7934	8.7735	6.8973
EA_G__PRNP	8.966	9.4338	7.1683	10.0008	4.5591	9.9432	9.4469	6.5717	6.5746	9.6536	10.4869	8.4081	9.0153	10.7803	8.4326	9.5619	7.9611	6.9297	9.4125	9.6684	7.846	5.9126	6.856	9.276	9.3299	8.787	9.619	7.018	9.7165	8.8016	7.8626	8.2148	6.9197
EA_G__ABCA3	6.1001	5.9275	6.9381	6.5877	8.6685	6.65	6.4291	7.5984	7.7157	6.836	5.8417	7.2382	6.8044	5.8351	6.2413	5.5762	8.3807	7.7083	5.9727	6.7002	7.2912	7.0449	8.915	7.0031	6.1109	6.1814	5.8895	7.1448	6.7524	7.366	7.6447	8.529	8.656
EA_G__PERLD1	10.4494	7.2334	11.5309	7.0395	8.0143	6.7798	7.5363	11.7835	7.7075	6.0197	6.9121	8.5531	7.9337	8.1056	7.9547	6.9567	7.2717	7.3187	6.8706	6.7476	10.1259	7.7315	8.2906	10.1853	7.6784	7.1932	6.6914	7.5985	12.8771	7.0808	7.6174	10.9271	8.078
EA_G__C9orf152	7.9416	3.1106	9.015	3.3253	7.5362	3.2593	3.6704	9.6854	6.8934	3.2606	2.5096	7.8747	4.4017	2.9521	5.0464	3.4125	4.5846	5.7573	3.1833	2.9212	9.606	7.4371	6.4351	7.1601	2.7658	3.7666	3.421	8.6164	7.4871	7.795	7.8891	6.4831	9.313
