Cell lines	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1419	HCC1428	HCC1569	HCC1806	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751
EA_G__KIAA0984	8.4452	5.9705	8.8413	4.2138	7.8078	6.3599	4.2813	8.9468	6.8133	5.1804	6.9557	8.0653	6.409	4.0248	5.8291	3.668	8.2604	8.3418	4.4505	5.864	7.8929	7.1228	7.3149	7.8815	4.4008	6.0266	3.9297	7.968	7.0509	6.4222	7.4861	8.208	8.3521
EA_G__C9orf127	6.0376	5.8018	6.4187	6.2762	6.8552	5.9154	6.6219	6.4232	6.2548	6.7088	6.2656	9.3532	6.3092	6.2466	7.7017	6.4998	6.651	6.4793	6.446	5.8992	7.6257	7.3927	7.5077	6.2648	6.3197	6.1399	6.0337	7.0987	6.7204	6.8046	6.6364	6.5821	7.4356
EA_G__SLC44A4	6.0217	5.1742	6.4575	5.1744	5.8406	5.1784	5.4359	5.2161	5.3873	5.2039	5.4683	9.9478	5.5018	5.1499	6.7549	5.1958	5.7664	5.7798	5.3333	5.4313	5.9026	11.0876	7.5139	7.3705	5.4841	5.7716	5.4328	11.6179	5.6014	6.6319	5.8825	6.0667	10.1028
EA_G__SEPP1	5.9218	3.3766	6.3037	3.5677	6.3167	3.2726	4.6837	7.4843	6.7786	5.6468	3.6065	7.1792	3.7197	3.9899	3.8702	4.1466	3.8268	4.8399	3.5405	3.4066	9.2661	9.3975	6.8488	4.9906	3.4597	3.7391	4.0567	6.7115	7.3823	5.9143	7.0828	4.9858	9.1555
EA_G__COBL	7.3722	5.5295	7.4904	4.9504	7.2341	7.084	5.6151	7.6344	6.6659	6.0049	5.1724	6.9815	5.7516	4.7727	5.2075	4.9245	6.4901	6.7704	4.8492	5.0952	8.0264	8.5046	6.01	6.9633	4.8804	6.3035	5.1492	7.1308	7.9556	6.8173	6.8655	7.2664	7.0127
EA_G__GADD45A	6.3877	7.29	6.2489	7.0816	5.5713	7.2169	6.2905	5.9471	5.5842	6.46	7.4015	5.5864	7.7197	6.6974	6.4102	8.2647	6.0858	6.2982	7.206	6.8756	5.9687	6.3753	6.3945	6.1844	8.4067	6.1507	8.2315	5.9881	7.382	5.9993	5.571	5.8913	6.1594
EA_G__C1orf115	6.9015	6.0423	7.6415	5.93	7.3311	6.0274	7.5634	6.9938	5.9561	7.2573	6.5801	7.5419	6.6758	6.316	5.8911	5.5091	6.5475	6.5878	5.729	5.8222	7.7466	8.6046	7.8599	7.1421	5.9752	6.5733	6.2333	6.3785	7.8187	7.7581	6.8106	6.258	9.1222
EA_G__ODC1	10.465	9.5627	8.3575	9.4687	9.336	10.0973	10.0351	8.0106	7.8639	10.349	10.8011	11.5169	10.2391	9.2002	8.7508	10.8136	10.032	8.9614	9.2352	10.9698	8.5127	8.4729	8.582	9.2004	9.8319	9.299	11.1664	9.3759	8.589	10.2758	8.5891	8.4029	6.8497
EA_G__KIAA1754	6.2297	6.5357	5.8518	6.9463	5.4686	6.2887	5.9089	6.134	4.8143	5.9613	7.0933	5.6172	6.357	5.9586	6.7698	8.4302	6.1948	5.7878	6.2668	7.5315	5.084	5.6017	5.8272	6.0504	8.4361	6.3043	7.7256	7.0121	6.5976	5.8607	5.6484	5.4141	5.5
EA_G__PRSS8	9.4021	8.6396	9.1182	5.839	8.563	7.0852	9.3449	9.9989	8.7449	9.0331	7.2019	9.5767	7.8573	5.7101	9.9771	5.7054	9.0099	8.9593	5.822	5.9163	9.2733	8.5573	8.7847	9.0995	6.067	7.8782	5.7102	9.9436	9.4381	6.9483	8.2088	9.2864	8.4567
EA_G__CLDN3	8.9717	6.0866	8.0567	5.2854	9.4834	7.6571	6.3263	8.4969	8.109	5.5586	6.0856	5.3265	5.3363	5.0908	8.3048	4.9669	9.8602	9.8658	5.456	5.1811	9.0222	9.0383	8.3115	8.5947	5.1358	5.1889	5.4921	9.2728	9.3196	7.4412	9.7707	9.9995	5.38
EA_G__PRR15	8.4609	8.4524	9.4281	5.9517	8.5116	6.3331	6.8835	8.8302	7.6556	5.6097	6.8916	8.3428	6.3757	5.5522	6.7254	5.7507	7.5276	8.6434	5.9078	5.5891	9.0365	8.5096	8.2513	8.5682	5.5335	7.784	5.8528	9.2642	9.3127	8.6535	7.2126	8.8522	9.174
EA_G__ADM	7.8699	8.2549	6.7316	9.2873	6.4248	8.2428	6.6451	6.2464	7.0564	6.6729	7.9741	7.2347	7.2128	7.2707	6.52	10.4389	7.4329	6.5314	8.6667	8.0916	6.7527	7.0205	6.9918	7.7146	8.0335	8.0033	7.3379	6.5653	7.3322	7.1694	7.7755	6.1965	6.2225
EA_G__PLS3	8.5034	10.6252	5.8148	10.2417	6.775	10.178	8.0677	8.9161	8.5303	8.6841	9.4534	9.0918	10.7811	10.4548	9.9395	9.3095	7.2571	2.9423	8.6509	9.6195	7.9502	9.2696	7.3506	8.6755	9.637	8.4954	9.0071	6.3094	7.9355	8.0676	7.7958	3.0837	7.5616
EA_G__PLA2G10	7.4097	5.9502	6.2138	5.9734	6.4801	5.8603	6.1584	6.4113	7.186	6.003	7.7286	7.2149	6.2563	5.4353	7.149	5.9167	7.1404	6.5337	5.2459	5.5339	7.2334	10.1074	6.4499	7.7312	6.1785	6.1912	5.9954	6.0704	5.9926	5.8723	6.6205	7.9511	6.6977
EA_G__UPP1	6.1015	7.1467	5.448	6.6737	5.1357	6.9823	5.3696	4.889	5.2305	5.3407	7.4135	5.3149	6.9028	6.8339	6.2895	6.4335	5.6169	5.127	6.8378	6.9034	4.8709	5.1442	5.3505	5.686	7.1274	6.5287	6.8426	5.5523	7.256	5.5613	5.6237	5.6119	5.0034
EA_G__MAP1B	4.1506	5.5635	4.4828	7.3859	4.0451	7.1683	6.6007	3.7581	4.3324	4.8655	5.0727	4.0538	6.0101	7.7143	6.2577	8.7705	4.4155	5.0935	7.836	7.159	4.158	5.8074	4.7968	4.2089	8.0577	4.7129	8.5112	8.6027	6.5307	4.2357	4.0326	4.3419	4.0378
EA_G__GPD1L	8.4613	5.3985	8.9161	6.4188	7.7827	6.2488	5.9624	8.38	7.4073	6.0314	6.2961	9.6036	7.1174	6.939	6.6889	6.1596	8.6801	8.5606	6.3214	6.7807	8.9259	7.8841	8.5556	8.1451	6.377	7.0466	7.118	8.1813	7.3485	8.142	7.77	7.872	8.385
EA_G__LEPRE1	6.106	7.0872	6.4096	8.8094	6.5042	6.8624	8.5287	6.903	7.1955	7.9912	6.5855	6.9778	7.1388	8.5846	7.1597	8.3424	6.6356	6.827	9.3727	8.1582	6.7103	6.9469	7.0673	6.3158	9.2172	7.4327	8.3081	7.7253	6.9598	7.4537	6.4544	6.851	6.5327
EA_G__AR	7.0617	5.1747	8.3549	7.5162	9.0105	5.0413	7.5879	8.4454	7.9054	5.3141	5.6306	7.6659	5.4751	5.0709	5.6657	6.2381	7.3953	8.2357	6.0964	5.2134	8.7813	9.1804	9.5757	6.2873	7.595	5.6012	6.2466	9.2337	6.7197	5.6023	7.7766	6.883	9.3152
