Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
EA_G__TRPS1	9.0576	8.6929	5.2817	7.9637	9.9113	7.941	9.6003	8.2676	6.2971	8.2542	9.3574	9.0344	9.6289	4.8732	6.8942	6.1011	9.6131	9.2005	6.9033	8.6796	7.3462	6.7309	8.3805	8.2701	6.9377	9.267	5.6309	8.4217	9.3101	8.6854	8.8784	8.6992	8.1937	5.6307	10.0786	10.1946	9.9131	9.5757	9.4528	9.7587	9.8853
EA_G__CYP2J2	7.5609	6.4435	5.1334	6.7259	6.0601	4.78	5.8339	6.1137	5.5908	4.6398	7.7706	6.8903	5.9356	4.8007	5.9878	5.8329	6.8396	7.4097	4.6187	4.4382	6.0827	4.8923	6.3696	7.0868	4.2793	4.9988	5.9153	7.5381	8.3749	5.4937	7.2803	4.893	5.2515	5.3152	6.042	5.895	5.9996	6.2447	7.9614	5.8812	6.8202
EA_G__NRAS	8.8555	8.6798	10.3366	8.779	8.7419	10.1321	9.294	8.8577	7.8488	8.7858	5.968	8.8714	5.4055	9.1916	9.9501	8.9914	9.1434	5.3664	9.5788	10.417	8.7148	9.4073	10.6152	11.0763	8.9749	7.9395	10.0815	8.4322	7.5223	8.2559	8.7267	9.918	9.3361	9.5803	5.4178	8.1186	8.3406	5.1291	5.3785	7.8512	4.6904
EA_G__IFI6	8.0205	8.8049	6.9188	7.9177	11.3769	8.1399	6.2723	9.5254	8.5864	8.7518	7.8325	8.8305	9.6611	7.6102	10.0389	9.4937	10.3343	7.7947	7.5965	7.6075	12.4696	7.8243	8.8915	9.206	9.0368	8.9342	7.4426	9.8659	11.0616	7.5724	7.6435	8.5163	10.2681	7.7294	6.7292	8.3479	9.3106	7.8069	7.9529	6.8287	6.4615
EA_G__PDCD4	8.7451	7.2221	4.9274	9.1525	9.6114	6.9065	9.7468	6.4642	9.1019	7.7495	8.5973	10.2921	6.4907	5.6176	6.6294	5.985	8.6672	8.9419	5.47	6.8651	7.9542	5.877	8.1806	7.8868	6.0254	8.0429	8.695	9.6332	10.4832	8.1844	6.4457	7.2904	6.741	5.8866	7.7702	7.9408	8.9593	9.1703	10.8018	8.0638	10.2493
EA_G__ISYNA1	8.5632	7.4039	9.325	7.168	8.9459	7.9119	7.6617	8.5353	10.784	7.6681	7.5998	9.1415	8.7706	8.3458	7.5468	7.4392	7.8465	7.1114	7.4558	7.5032	9.5082	5.3602	8.0299	8.9072	9.305	9.2692	6.1151	8.4386	7.7421	9.8901	8.0141	9.7709	7.7433	5.7352	9.1475	6.0251	9.0135	8.5699	8.7946	6.1953	9.0171
EA_G__PSCA	8.6778	6.808	7.7485	7.4204	6.1323	6.2269	6.1241	5.9762	6.1713	6.0065	8.8023	6.0835	6.1892	6.0919	5.9439	6.6586	7.7548	7.1563	6.4572	6.2267	6.4924	6.9031	6.978	6.2197	6.272	8.5062	6.3328	9.3354	7.9842	6.881	7.2737	6.4886	6.825	6.8352	8.2749	7.561	6.4259	6.1518	5.9503	8.3378	6.0552
EA_G__CDK5RAP3	8.0769	7.0657	7.0022	7.5364	7.9107	7.8547	7.8394	8.6243	7.1116	7.3997	10.176	7.8988	7.9888	6.9633	7.5531	7.1028	7.4433	7.9227	7.4204	7.2929	7.5687	6.8329	7.8635	8.8183	7.1384	7.2617	8.1751	8.666	8.6379	8.04	6.512	6.8064	7.0335	6.9849	7.0939	8.3218	8.1078	7.7401	8.6391	7.2076	8.6733
EA_G__TBX3	6.3342	6.092	6.2181	8.6399	6.2426	7.027	8.7359	7.1348	5.1111	7.2137	7.3479	5.1585	6.2092	6.3868	5.5323	6.2461	6.1845	6.0269	5.4694	5.8435	5.5028	7.3544	5.8119	6.1107	6.8349	8.2722	5.145	8.0095	9.7012	7.8023	6.2349	5.5515	5.9477	7.3091	6.9391	9.1197	6.3951	7.5382	7.1479	9.2362	6.2149
EA_G__LIPG	5.1381	5.163	7.1426	4.9295	4.8718	4.6897	4.6188	7.0169	10.9807	4.7925	4.1621	4.592	4.6623	6.8091	5.6252	9.1776	5.1501	5.0515	5.1382	7.1466	7.0825	6.1352	4.986	4.9245	5.151	5.8977	6.6887	4.5965	5.4637	6.2382	5.6447	4.9432	7.1057	5.1428	6.8457	5.4611	5.2502	4.7586	4.8716	5.4705	4.5788
EA_G__TM4SF1	10.5837	9.103	8.6444	7.0223	10.4072	10.5797	6.7515	10.7816	9.0133	9.5101	4.7912	8.7278	11.0193	8.0929	10.0698	9.8907	7.6939	10.7058	8.5726	9.7746	11.0964	10.8372	6.659	6.9126	8.5816	5.4335	10.4572	4.2343	10.6986	10.1197	8.2184	11.0903	9.3613	9.8035	4.5973	8.9507	6.8106	7.9421	9.8794	9.0782	5.3992
EA_G__GALNT10	9.3812	9.4138	7.1051	8.6302	7.9105	9.1786	9.3732	6.602	6.3646	8.1789	8.3228	7.334	7.2598	6.5998	7.951	7.4715	9.2138	8.4982	6.9708	7.2458	5.0836	9.4439	7.8167	7.7543	8.2044	8.7906	9.4934	8.736	10.3413	9.3986	9.9127	6.9021	7.1762	8.2465	8.7201	9.1419	8.6398	9.3244	8.5702	9.7996	7.8168
EA_G__TGFA	6.3629	5.5145	7.6284	6.1973	5.791	5.3757	5.4324	8.1416	6.3221	4.9146	6.4146	7.4134	5.2882	8.9068	8.1292	7.6788	5.1958	7.2032	7.1936	5.1957	7.2558	5.0225	5.8052	5.81	5.1393	6.0162	6.7124	6.3208	5.4841	5.7603	5.7866	5.3489	6.6355	5.6539	6.6669	6.6719	6.4806	6.862	6.463	5.8827	6.1656
EA_G__RANBP6	6.6269	7.2074	8.1489	6.783	8.1933	7.8091	8.3597	7.9058	8.2699	8.9775	7.2594	6.7298	7.6135	7.3862	8.1739	10.2783	8.5774	5.8212	8.8739	9.8342	8.111	8.6086	7.0049	7.0682	8.1927	7.1919	7.9168	6.69	7.5771	6.6933	6.9985	6.4378	7.8482	8.4859	8.4586	7.0878	7.7893	7.204	7.4285	7.9796	7.6502
EA_G__AKR1C2	5.5514	6.5139	7.0241	3.7745	4.2156	5.3748	3.603	5.3031	9.7278	8.9379	4.5177	4.0514	3.9807	7.9473	6.4415	6.994	4.0958	4.7043	7.7951	5.8854	7.1098	4.6004	5.4571	5.7248	4.2198	6.2272	3.9389	4.2995	7.853	4.0772	4.7216	5.2509	6.8252	5.6429	6.7441	4.9808	4.2148	3.6287	4.5024	4.9998	5.7839
EA_G__C1orf51	6.6892	4.8521	4.8533	4.9008	6.909	7.1082	4.9776	7.7554	7.7689	4.9594	7.0964	5.4581	6.7232	5.4821	6.4007	5.0352	7.3209	6.4645	4.9892	6.6596	6.2282	7.0323	7.0637	7.2549	5.384	6.9351	4.8587	4.496	6.1472	6.3592	5.1384	4.8005	5.5825	5.0308	6.8162	5.4397	7.092	5.4408	7.2047	8.3737	6.9766
EA_G__MTSS1	5.8587	5.6912	4.5068	6.8843	7.0331	6.4919	5.8012	5.3065	7.1918	6.2432	8.5811	7.0421	7.0883	7.5023	7.0308	5.9383	5.6926	4.9353	5.3388	5.1834	4.8634	5.7994	5.7517	6.2886	5.0317	6.4292	4.561	6.0564	8.121	5.6778	5.9113	5.2908	4.9113	5.8955	5.5815	7.5958	6.1442	7.246	7.146	6.9464	6.6464
EA_G__CRIP1	8.4336	5.31	5.3267	9.7731	11.423	5.334	5.4641	5.3474	8.9387	4.8935	11.7544	5.561	8.2598	7.0206	5.2656	5.5827	7.7479	5.8054	5.3255	5.4495	8.2606	5.0561	5.5382	5.4859	5.3967	8.9139	4.9174	9.2424	6.8474	7.5698	5.9588	5.2163	8.9972	5.2167	5.7411	5.2574	9.2766	9.2825	9.7626	7.8381	10.5449
EA_G__CYP4F11	6.5465	4.4267	8.1906	4.5012	5.0326	4.4176	3.9772	4.3603	4.1826	6.0847	3.9742	4.1638	4.2245	8.9217	7.7992	9.165	4.4511	4.4332	5.7223	4.0207	6.4864	4.3339	6.1457	7.5164	4.0023	5.4125	4.052	5.1644	7.3661	5.346	4.4157	4.6322	7.2486	4.9357	5.8616	6.7277	4.4454	5.2705	4.9629	5.3133	4.7675
EA_G__PRMT6	5.4947	6.6852	6.893	6.6478	6.5168	5.2716	7.5566	5.0996	4.8878	5.3945	6.8564	6.661	5.3206	6.0211	6.4814	6.1415	6.2295	6.0214	6.8696	6.8387	6.1845	6.6066	8.6243	8.6068	5.4532	5.8688	7.2715	5.4975	5.9887	6.2854	6.7294	6.1922	6.5385	6.412	6.2392	6.1271	6.3901	5.6391	5.9249	4.0331	6.7265
EA_G__REEP6	7.2756	7.3124	7.8296	8.0118	9.1556	6.6815	8.2179	7.8251	7.3053	7.6152	10.3249	9.2159	7.4347	7.4881	7.4719	7.15	9.761	8.9474	7.5053	6.5065	6.8337	6.7464	8.4331	8.6279	7.2691	8.1977	7.1275	9.1377	6.3806	10.0931	7.8307	7.1074	7.1343	6.4064	7.4075	7.6949	9.7124	9.2173	9.9128	8.8939	8.8387
EA_G__INHBA	4.4157	5.1581	8.1871	4.5395	5.5901	8.8598	4.8232	7.3236	6.0828	7.322	4.2724	4.7245	4.8786	6.9908	6.3432	8.1192	4.7776	4.7682	7.6801	5.3617	6.0516	8.9587	5.1789	4.9393	8.3441	5.2086	5.4346	4.3707	4.4921	5.5462	5.3421	4.2383	8.171	4.7614	4.6445	5.0919	5.2185	4.3351	4.6254	5.177	4.2807
EA_G__VEGFC	5.959	6.1045	5.2768	6.4836	6.1927	8.5363	6.3565	4.9781	6.5901	8.1276	7.4515	5.8244	5.2067	8.6976	8.2692	8.3195	6.3146	6.0912	6.7928	5.6619	6.1002	8.8704	6.4998	6.1745	7.8407	7.1515	8.2774	6.7377	5.8924	7.7121	6.4205	10.0856	8.5307	7.9418	6.2836	5.223	6.4057	5.6382	7.4676	6.0722	6.3411
EA_G__PCSK6	7.1586	4.6948	5.6532	5.5289	5.7538	4.8491	6.2989	7.61	7.1067	5.7957	5.1029	6.1242	8.5599	6.6614	6.6498	5.2313	4.925	5.7878	7.2933	5.2077	5.5007	4.5885	6.6723	7.1479	4.7337	5.7664	6.5565	5.7258	7.1817	6.0447	5.1569	4.9026	6.0826	6.3855	5.3919	5.2944	5.4918	6.0321	5.5935	5.5082	6.2738
EA_G__SDC2	7.2099	5.2774	5.2874	6.6995	6.1249	5.2366	6.1891	9.0296	6.5592	8.762	6.3787	10.0049	7.7125	5.2973	5.1487	4.9227	6.7622	8.355	7.8557	10.219	6.1073	9.8266	5.5128	5.6541	11.0232	7.0777	8.134	5.3263	6.5136	6.5579	5.3587	6.1784	6.1023	5.6438	7.483	5.2344	7.3972	7.2475	5.6634	6.3877	6.5775
EA_G__EEF1A2	8.724	10.195	10.7909	10.1908	10.7744	7.0377	10.2507	7.8491	6.0991	6.8516	8.2655	9.0378	6.769	8.7147	8.2178	9.52	9.0043	6.3966	6.868	8.5526	7.5921	8.032	10.8297	10.7881	9.2038	9.8723	8.1047	10.1051	7.9425	9.8692	7.5646	6.6486	9.7901	7.7531	8.5854	7.4054	10.1629	9.1895	11.0605	7.8332	11.6464
EA_G__KREMEN1	6.5585	6.9751	6.0424	8.046	7.4854	6.2366	6.3047	7.6357	6.6143	7.7238	9.2185	7.0632	7.6468	7.082	6.9969	6.8058	7.631	7.5835	6.7676	6.5842	5.4202	6.1612	7.2185	6.9237	7.088	8.303	6.2457	9.67	7.3885	7.2974	6.9629	6.9396	6.5568	6.1826	7.9062	7.3377	8.1413	8.4315	8.2097	8.027	7.8019
EA_G__THBS1	10.1181	8.8537	10.1535	6.8427	9.5472	11.7756	9.5093	12.1592	9.5535	9.3881	6.4172	6.256	5.7423	10.1946	9.8642	11.2382	7.5699	6.3827	11.5562	10.0309	8.1139	11.2999	8.4058	9.8527	9.8837	9.7727	10.2805	7.7776	10.0528	10.1956	8.4328	5.1794	11.4742	11.5545	7.7318	8.0413	8.8181	8.8273	5.1516	9.1584	5.3147
EA_G__FAS	5.2964	4.3814	4.7546	5.5666	4.5598	6.8075	4.351	3.9808	4.755	7.461	3.7128	4.5233	5.2159	7.0657	6.6827	6.6267	4.4217	3.9523	6.3324	7.5096	6.4286	6.8271	5.7738	5.2312	6.2432	5.2975	5.7043	5.0033	4.0033	4.6971	4.0116	7.1214	6.6558	6.8109	4.5431	6.22	7.0896	4.4007	6.1656	5.1448	6.8306
EA_G__EHF	8.9418	7.9677	7.8953	8.8702	8.3787	3.4608	7.0353	8.5755	9.3891	3.7674	8.0012	6.4301	4.3068	9.4851	8.5171	8.2355	8.9472	9.4367	7.3563	3.5329	8.1561	3.837	7.2835	4.963	3.0694	8.5866	3.5169	8.217	8.8245	9.2446	7.1737	4.1825	7.2807	3.8479	8.8579	8.1504	9.8011	8.7526	8.8216	8.5067	9.3806
EA_G__GSTT1	7.6347	4.6299	4.8137	8.0168	7.052	7.6019	8.4776	4.7123	4.377	4.5363	8.8024	4.5306	4.5116	4.9129	4.2115	7.0852	4.9573	7.3671	7.6961	7.5309	4.753	6.9702	6.5317	7.7158	6.9876	7.636	4.0882	8.3665	7.6046	8.6851	6.5673	5.1682	7.0605	6.4598	7.5391	4.7409	4.6702	7.7072	9.7679	5.2139	8.4166
EA_G__PLCB4	3.8114	7.2219	4.9135	7.2122	6.9576	6.4849	7.2256	5.1595	5.7291	7.0526	6.9605	4.3452	6.8313	3.6026	4.8546	4.3483	6.8757	5.5328	5.9106	7.6242	5.1795	5.827	5.8226	5.5676	7.3322	6.4344	3.056	6.9792	7.8846	6.7501	6.7967	5.6015	4.4626	3.7341	7.4422	7.2915	6.971	5.9617	6.9672	7.3414	6.4142
EA_G__HERPUD1	8.6285	10.4478	9.2085	10.5562	10.0457	9.4448	10.349	8.6294	9.3023	9.4727	9.8717	10.0827	8.4007	9.3534	9.6033	8.7193	9.3618	9.3689	9.1327	10.4734	9.8305	9.1198	9.0948	9.0238	9.246	9.8406	9.1072	10.4887	10.6213	8.9895	10.5573	10.2198	9.2076	10.4204	10.2215	10.1602	8.8683	9.8176	10.4281	10.6328	9.3348
EA_G__GUCY1A2	5.7098	4.963	4.9914	7.2933	5.6663	8.0067	5.5977	7.1214	5.5123	5.6862	5.5092	6.5882	4.573	5.0211	4.6681	5.724	6.5869	5.2856	4.7826	5.6527	4.8206	6.387	4.8811	5.8751	8.5172	7.7385	6.0496	7.5229	6.8476	8.7731	5.3486	5.5519	6.9357	5.4272	7.7352	8.5911	5.6237	5.605	5.1451	8.6745	4.8936
EA_G__RNF19A	7.5806	6.8449	7.213	8.3854	8.0815	7.4887	7.3422	7.2186	7.9854	6.5758	9.8883	7.8509	7.0373	6.7801	7.3909	7.7348	8.0034	8.5087	7.3712	7.2933	7.1165	7.2386	7.3685	7.2872	7.2107	7.9831	6.8442	7.493	6.5911	8.0239	6.734	7.7721	7.3392	6.609	7.3567	7.7411	6.5622	7.081	7.206	8.8223	6.3504
EA_G__GPX1	10.2914	6.6074	10.2418	10.0255	6.4332	9.521	9.8669	9.3434	6.2869	10.2073	9.7081	8.4087	6.2304	9.3709	10.6769	10.1513	10.0008	6.2999	10.699	9.8613	10.1105	9.8717	6.0935	6.4483	7.1531	6.2273	10.1702	10.003	8.6833	10.1856	6.5478	9.3792	10.175	10.1287	6.4856	6.3658	6.0835	6.0718	6.1269	6.5552	6.5288
EA_G__ENO2	6.1569	4.6093	6.2833	6.329	8.4766	7.602	5.2129	7.6663	6.8034	7.0428	6.2294	6.2752	4.7836	7.0512	6.3899	5.0838	5.6172	5.5641	7.2008	7.0543	7.0234	6.9214	6.5056	7.73	6.8553	7.0927	7.9842	7.5544	6.368	7.8388	5.2907	5.1423	7.2355	7.2512	7.5599	5.974	6.3828	6.4867	7.4347	6.5021	7.2273
EA_G__NCOA3	8.1052	9.2571	9.592	10.8214	9.0906	8.4774	8.7035	8.4412	7.5889	8.6077	9.7062	7.983	7.965	8.448	8.4315	9.4085	8.0727	7.9253	7.81	8.1464	7.7562	7.9493	10.8399	11.1574	8.1327	8.578	7.2583	8.1256	8.9069	7.9599	9.2201	7.7563	7.9861	7.9172	7.8126	8.8724	8.4034	7.8476	8.766	8.6426	8.1996
EA_G__DPYD	5.7967	5.64	5.7553	4.3788	4.2825	8.3159	4.2017	7.8062	4.2855	8.8549	3.9347	4.0726	5.0063	6.1143	9.4525	6.9179	5.538	4.5943	4.9597	9.4643	8.6987	8.286	4.1438	5.5058	7.1156	4.7003	8.739	4.3333	7.724	5.5622	5.8884	7.8689	7.0905	7.6585	4.0732	6.7683	4.2669	4.0758	4.0451	6.4362	4.3467
EA_G__SLC7A11	5.1809	5.1817	7.4396	4.1599	5.0311	6.5597	4.2618	5.8494	3.5826	8.4557	4.9675	5.0098	5.4931	7.8307	6.4145	6.5624	5.4258	3.8433	5.6015	6.7087	5.6799	7.1183	5.8004	5.4594	5.2728	4.449	8.0821	4.96	5.0106	4.2806	4.9229	7.2331	5.2141	7.3597	6.9123	4.0292	4.5781	4.0326	4.6664	5.8671	4.9372
EA_G__FAM92A1	5.5302	3.478	6.5384	5.8483	6.4144	8.4157	5.1613	8.0287	5.1954	6.5926	9.1744	4.5411	7.7132	7.0833	7.3376	4.797	4.9067	5.1531	7.1769	8.6012	5.3043	7.7639	6.4938	5.9786	8.9483	5.4059	7.7509	5.8867	5.4835	4.3822	3.5541	8.8524	6.8195	8.0827	6.5139	3.813	6.5597	7.8706	5.3464	3.8296	5.5177
EA_G__LCP1	5.146	6.839	10.9294	5.6893	5.4391	4.4055	5.8053	6.1497	4.4387	9.0783	6.6189	7.492	5.1398	10.7988	10.4284	5.2753	5.1781	4.6537	11.0631	7.0851	6.6132	4.7714	7.4452	7.2867	4.1299	9.1857	7.7379	7.1143	11.3924	5.5718	9.4017	5.9028	4.9689	9.937	4.7529	4.8614	5.0352	5.244	6.6673	5.4817	5.3981
EA_G__A4GALT	5.7224	5.8089	6.1913	5.7502	7.6522	6.7222	5.4072	8.7285	5.9331	7.7788	6.5144	9.8981	6.3584	6.7694	6.1284	5.7258	6.0471	6.3435	5.7712	5.9156	6.088	6.0808	6.8302	7.4518	6.4745	6.4087	6.5983	7.1119	6.1523	6.0566	5.8012	6.3533	6.6638	7.4512	5.9948	6.8593	6.5861	7.9469	5.4932	6.6558	6.1123
EA_G__TFAP2B	8.0274	4.8111	4.091	4.1293	3.9244	4.1931	4.2074	3.9424	4.4717	4.0272	4.0813	4.006	4.1887	4.5853	3.9807	4.2193	10.1895	10.6765	4.307	3.9181	4.5139	4.147	4.5441	4.4439	3.9839	9.4045	4.2918	10.0043	8.8956	9.6539	4.9563	4.7782	4.521	4.3189	4.2268	7.865	5.0072	4.0677	10.6626	8.6161	4.7639
EA_G__SPARC	4.5171	4.8293	4.2373	4.5504	4.2699	11.8832	4.6628	6.7226	5.1153	9.4855	4.3425	4.5079	9.4465	4.4679	6.789	4.6287	4.7111	4.3059	10.9051	11.0077	4.8481	12.1508	4.9966	4.6314	12.8203	6.4311	7.2862	4.4453	12.4428	5.2404	4.8983	8.4651	5.4089	10.5706	4.7633	4.8747	4.5219	4.6737	4.7502	5.2492	4.5409
EA_G__KLHL2	8.3587	6.0843	6.2619	5.8795	4.8245	5.5681	4.4533	4.8289	5.2569	6.2357	7.2477	5.2499	5.7442	5.9133	7.0091	6.8963	5.9809	5.3661	6.0851	5.5678	6.1052	6.2443	5.8969	5.594	6.1928	5.1338	7.3609	6.058	6.831	5.1092	5.3609	5.8007	6.5952	6.0257	6.0448	7.3673	5.3257	4.8985	5.6249	8.1869	5.2991
EA_G__NAV1	7.4175	8.9354	6.7217	5.4838	5.7925	7.8052	5.1032	5.0575	7.9118	7.629	4.8157	4.8473	5.8443	6.4689	7.4442	6.9431	5.6569	7.9222	7.0711	8.0474	8.2228	8.6572	5.6577	5.8182	8.6836	6.9589	6.4817	6.5266	6.955	6.2838	8.7193	8.8574	7.5636	8.4718	6.3187	6.2935	5.239	5.7713	5.7746	6.5006	5.8825
EA_G__IRF9	6.9987	5.7972	6.5448	6.4872	9.006	7.0059	5.6445	7.1758	7.357	7.505	6.2185	6.9788	7.1472	5.6094	7.7845	7.583	7.7266	7.061	6.5593	6.0724	9.0531	6.4571	7.1904	6.8928	6.572	6.9745	6.2395	7.5352	8.6384	6.0192	6.1231	6.3522	7.2759	5.5514	5.9676	5.5177	6.4678	5.6357	5.2085	6.201	5.0718
EA_G__FKBP10	9.0546	9.6293	8.302	5.334	7.7281	9.2253	7.1871	8.358	5.4329	8.8414	5.871	5.2026	8.8307	7.781	7.7694	5.4977	5.6494	5.8272	8.2079	9.792	8.7845	9.9719	8.8278	7.4578	5.739	8.1887	8.5766	5.3066	8.4515	7.6708	9.5271	8.3804	8.5628	9.2679	6.4518	8.0723	6.9652	5.8348	6.6115	6.1956	8.8754
EA_G__SMARCA1	7.4394	3.9785	3.9806	4.3453	4.6092	7.8209	3.9852	5.791	5.1393	7.4987	5.0317	5.7294	6.5143	7.6732	3.8942	3.7441	3.7553	7.7518	7.5734	9.7943	5.6246	6.9026	4.8096	3.8965	8.9942	4.0232	6.5914	4.1317	6.9492	4.2943	4.6962	8.5624	6.3198	4.9378	3.5649	6.9832	7.6421	7.9042	4.1518	7.2691	3.9839
EA_G__KLK6	7.0631	5.1518	10.5243	4.8512	5.8665	5.2192	4.6448	8.8704	8.905	5.1136	4.7495	4.8798	5.6861	5.5909	9.742	11.2708	5.1366	5.6391	7.5474	5.0016	6.7784	5.0055	5.3676	5.2398	4.568	5.7877	4.9383	4.943	5.4919	5.7632	5.2367	4.7431	5.2022	4.9939	5.2092	8.0331	5.256	6.6689	5.0143	5.3949	4.7424
EA_G__NDUFC2	8.7886	7.1598	6.9092	7.0491	7.2122	6.7073	7.0567	7.1155	7.3385	6.5542	7.7604	7.8768	6.8795	7.5385	6.8346	7.0451	7.0788	7.1313	6.8631	6.9094	5.9698	6.6917	6.7885	7.0025	7.0241	7.6793	6.8544	6.7382	7.1858	6.9756	7.2295	6.3078	6.7869	6.9348	6.7793	8.5793	6.7674	7.3175	7.2422	6.4205	6.8924
EA_G__MAN1A1	5.1933	5.6682	6.039	6.5615	6.3424	8.5509	7.6635	5.2928	8.3076	7.6139	8.535	9.7214	7.5221	4.7155	4.5267	6.8801	4.9287	8.6002	4.5257	5.6164	7.228	6.7995	6.4615	6.6205	7.209	6.8648	6.0979	8.8384	7.1735	5.7849	5.4352	8.2483	5.8443	5.9607	5.7911	5.0156	6.4983	7.1912	5.5742	5.295	5.4073
EA_G__MX1	6.7692	4.7426	5.3908	4.6858	9.9373	4.5484	4.9095	4.1892	9.6165	5.0623	4.3829	6.8304	9.198	7.6388	8.4811	4.8605	8.1899	6.5906	4.1496	6.4851	10.4663	4.1959	5.0645	5.0942	7.1075	6.892	5.0751	4.657	8.2662	5.3425	4.8804	4.7268	8.276	4.5754	5.3837	6.0441	7.4259	5.3872	4.8218	5.1751	4.6197
EA_G__RAB34	9.3179	5.4145	7.7069	5.3779	6.2092	8.2862	5.2527	7.8298	5.8086	7.0027	8.1715	5.2251	8.0878	8.2376	7.1519	5.3486	5.5521	7.3082	5.1948	8.7784	6.9035	8.527	6.3726	5.3114	8.5876	7.1655	8.7138	5.5485	6.5644	6.2956	5.7314	8.5871	8.1814	8.8448	5.3935	5.8463	7.3655	8.7954	7.0463	7.5304	5.2141
EA_G__RARRES3	9.1096	7.7687	6.4281	5.3993	6.6058	4.2899	5.8098	5.1693	9.1422	6.0391	7.3182	7.167	5.2026	6.1213	8.343	9.3154	8.1094	8.1406	4.145	5.9253	9.5802	4.9869	5.4719	4.715	7.9014	6.5677	4.9322	5.1257	10.0138	5.6183	7.653	4.6534	5.8286	4.4097	6.1348	8.6296	8.112	7.2365	5.1083	7.578	5.337
EA_G__RSF1	8.2695	6.8876	7.4696	6.7511	7.3761	7.3592	6.6293	7.4456	8.1546	6.7546	6.7614	7.4565	7.3609	7.493	7.0289	7.4314	7.0089	6.3856	6.8976	7.4501	6.6409	6.8412	7.153	7.3079	6.8448	8.171	7.0497	6.8583	6.5569	7.0809	6.4572	6.7893	7.3786	6.7311	6.3921	9.0142	7.0643	7.4008	6.8878	6.0395	6.9062
EA_G__PRSS8	9.6655	9.4021	8.6396	9.1182	9.8896	5.839	8.563	7.0852	9.3449	5.6234	9.9989	8.7449	9.0331	7.2019	7.5485	8.8439	10.563	9.5767	7.8573	5.7101	9.9771	5.7054	9.0099	8.9593	5.822	9.4326	5.9163	9.2733	8.5573	8.7847	9.0995	6.067	7.8782	5.7102	9.9436	6.9483	8.2088	9.2864	8.4567	9.0033	7.7295
EA_G__ACSL4	3.8905	3.2437	6.8678	3.2175	3.0199	8.1981	3.93	5.8474	4.9921	7.8339	3.2795	4.7223	6.0223	5.4391	5.9242	7.1514	3.1844	3.2448	6.4566	7.5506	6.3064	7.7862	4.3467	3.4318	6.5727	4.394	8.0383	3.8174	6.3426	4.0514	3.2697	7.359	6.9283	7.5937	6.0038	5.8348	4.7256	3.5077	3.3705	3.9672	5.1109
EA_G__OPTN	7.221	5.4882	6.3773	5.3369	6.9311	8.3122	6.5453	7.5186	9.5381	6.0328	4.7322	6.9897	6.7986	6.2956	7.0622	7.4692	7.4404	6.6243	7.2997	8.3212	8.8409	7.0253	5.3053	5.7791	8.1823	5.8963	6.7992	4.892	6.3711	5.1838	6.2416	7.8105	7.3452	6.5014	6.3757	5.7857	7.2587	5.688	4.9217	5.2481	6.1182
EA_G__NBL1	5.6874	6.1693	6.0302	6.5123	7.91	7.2287	8.8627	7.4446	6.4894	6.4088	7.8477	8.9876	7.7277	7.8409	7.989	6.262	6.2874	7.4926	6.8964	7.0244	9.3898	7.4014	6.5167	6.2728	7.7704	5.8527	7.2223	7.4465	9.3873	8.9764	6.4183	6.2493	7.4905	7.3304	6.0452	6.3728	7.4907	7.1949	6.2454	6.51	6.7302
EA_G__WFDC2	6.9681	5.2688	5.4415	5.5722	5.2118	5.3905	5.363	6.7043	9.1838	5.3831	5.3354	5.1327	10.0782	6.3223	7.2912	5.391	5.5071	7.6399	5.3695	5.069	8.9905	5.2452	5.5888	6.3186	5.2299	5.9083	5.5049	5.9426	7.2708	6.2465	5.7173	5.5595	11.11	5.4067	5.5308	5.662	5.7749	5.8931	5.6221	6.1	5.4393
EA_G__EGR1	7.2232	8.7098	8.5662	6.3103	8.1336	7.8221	6.1358	6.6678	6.5339	6.5598	6.3202	6.1111	6.802	7.8476	7.4299	7.0737	7.3802	6.53	7.0966	8.2822	7.5578	7.8292	7.87	7.7604	6.6488	7.4059	8.9551	6.8846	6.5683	6.7538	7.0109	8.5028	8.2034	6.8387	6.121	6.7924	6.1829	7.0234	5.9809	8.3936	6.9012
EA_G__C4orf19	8.0286	6.5288	6.1466	4.9878	6.3467	4.1448	4.8124	4.6326	4.7271	4.2693	6.6724	7.2498	4.6081	4.8004	6.5168	6.2142	6.5536	9.0779	4.6013	4.0473	6.2509	4.3065	4.9555	4.6187	4.1932	6.5942	5.269	7.0548	8.0548	6.4595	6.9425	4.5201	4.0911	4.4877	8.2994	6.5223	8.511	6.0154	4.8186	6.6592	5.6633
