Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
EA_G__BNC1	4.4225	4.6525	4.6375	4.5391	4.5794	4.9046	4.5271	4.5858	4.6519	5.013	4.2098	4.5758	5.4908	8.9293	5.375	4.532	4.5223	4.7651	7.5959	5.5354	6.9696	4.4421	5.2848	4.9453	6.2613	4.7857	4.8329	4.6672	4.1558	5.0196	4.7998	4.616	8.4732	8.6029	4.718	5.0088	4.6339	4.9844	4.6371	5.3258	5.0175
EA_G__RBMS3	3.6966	3.9791	3.4284	3.7614	3.2958	6.9879	3.583	6.8575	3.6609	6.9888	3.541	3.5718	3.7914	3.8414	5.8881	4.5971	3.8785	3.7264	5.8152	7.3861	5.6311	8.01	3.8227	3.7421	8.1422	4.3691	7.5577	3.5926	4.3143	4.0302	3.8835	7.0336	4.6486	7.2745	3.4165	3.8293	3.865	3.5954	3.6699	4.3854	3.4762
EA_G__IL27RA	6.0024	5.1022	6.3254	5.0221	5.7103	7.1938	6.6624	8.022	7.9466	6.8401	5.94	5.6764	7.2059	6.6802	7.4566	5.1144	5.553	6.2494	6.6266	6.157	7.1711	5.3261	5.8236	6.248	6.2951	5.0143	6.6472	5.6912	5.1369	6.1566	5.3116	5.9985	7.3052	5.8023	5.2485	5.5587	6.4946	5.6416	6.8361	5.4282	6.5847
EA_G__UCHL1	6.4525	5.7946	4.931	5.3146	6.3368	9.9801	5.0259	6.5753	10.4462	10.1736	6.9799	4.8118	8.9111	10.7585	8.1848	5.0429	7.099	5.8865	4.7882	10.5443	8.079	4.6751	5.0645	5.2248	7.8491	5.0463	4.9923	4.9464	6.5207	6.0308	5.5858	5.0615	5.8771	5.3554	5.4628	5.1078	6.2853	5.9129	4.8978	5.9537	4.7617
EA_G__EFS	5.6312	5.8379	7.5074	6.6899	7.0576	5.2477	6.1714	6.8069	7.6687	5.6171	7.7741	6.2187	6.8659	5.846	5.8344	5.5482	5.8984	8.1291	5.4385	7.0219	6.6711	5.7584	5.7557	5.8945	5.2271	6.3876	5.5316	8.757	5.6034	7.8905	6.128	5.5567	5.6693	5.8229	8.2628	6.116	7.2822	5.9159	7.2416	6.0757	6.0806
EA_G__HRASLS3	9.185	8.0331	6.5569	8.1253	7.5427	4.1865	7.5257	8.7531	5.8257	4.4764	10.9411	8.9191	6.2077	8.2086	6.8859	6.0896	8.851	9.1961	4.0059	5.4627	7.8999	5.8393	7.8119	7.915	8.1888	8.6077	8.9259	4.7191	10.1749	5.162	8.5295	5.9163	8.0912	8.1084	6.789	10.1249	10.2764	8.7814	5.1191	8.9738	5.6799
EA_G__LOC728378	6.1287	8.7704	8.7553	8.5358	6.2047	5.9336	6.1367	5.9899	8.331	7.4195	7.4328	8.6495	6.0693	7.4731	5.5957	7.4847	6.2001	6.5281	8.253	8.4828	6.4756	8.2818	8.5001	8.1333	5.9416	5.657	6.353	8.5718	7.9767	6.404	8.0674	7.4921	7.0628	6.3735	5.9872	7.4684	6.0233	5.811	6.9625	5.7302	8.4742
EA_G__EDG3	7.4502	6.934	8.1139	10.4128	9.7139	6.3952	9.5367	8.0358	6.8443	8.9643	9.1369	8.9153	7.8993	5.3846	7.8087	9.1444	9.3102	7.1815	7.2726	8.8852	8.5981	8.5947	8.383	8.9758	9.7428	8.7596	7.7877	9.4427	8.5052	8.8173	8.0215	7.9986	8.4006	7.2288	9.8528	8.3141	6.9779	7.5722	8.9381	8.5797	8.2089
EA_G__C11orf67	8.9671	6.4358	6.2551	6.6165	6.9265	7.8002	7.1582	7.0121	7.2905	7.3736	7.6036	7.4099	7.7595	6.0061	6.9289	7.4268	7.7561	6.9882	6.6724	7.5452	7.2255	6.7801	6.6588	7.1051	7.5744	8.6319	6.8711	6.5002	6.4034	7.0962	7.1861	7.1546	6.5903	7.0257	5.6563	9.0393	7.0586	7.7459	7.4125	6.3142	6.9565
EA_G__RAP1GAP	7.8799	8.4973	7.9103	8.1113	6.5433	5.7543	6.6874	6.2945	5.5823	6.8339	8.8874	6.4177	6.6467	6.6522	6.1962	6.8892	7.3406	6.8436	6.2461	6.0267	7.3026	5.7874	7.563	7.4447	6.0472	6.9761	5.9038	8.0141	9.6091	8.3862	7.8449	5.9335	6.747	5.6571	8.1292	8.3811	5.8442	6.5819	6.6144	8.2441	6.5221
