Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
EA_G__F2RL1	7.5229	7.0777	7.9743	5.6143	7.2969	4.8537	6.6298	8.6187	5.9766	5.6359	5.5217	6.1085	6.6712	7.492	7.5467	9.0517	7.0372	7.198	7.7225	5.8382	7.2931	7.3569	6.9353	6.8548	6.2075	8.8065	6.6745	9.1391	6.4667	8.1978	5.5016	7.1023	8.367	7.1334	6.0605	5.9872	5.7391	6.7029	6.6517	5.978	5.7104	6.7769
EA_G__FGFR1	5.0629	5.3554	5.4223	7.1583	7.1868	7.3778	7.1919	5.869	9.3985	7.4098	6.7101	6.4214	7.082	5.6584	5.8466	5.71	5.7984	6.7644	6.2995	8.9022	6.329	7.4693	6.6318	6.4525	11.2183	7.7328	8.0974	6.7207	8.2795	6.8672	6.3893	5.584	7.5019	5.7406	6.9605	5.9161	7.1753	6.2782	7.357	7.4174	6.262	7.2196
EA_G__PTAFR	7.4164	8.164	7.4837	5.0919	6.6731	4.6387	4.8835	5.3956	5.0813	4.9525	5.5203	5.302	5.1681	6.8777	7.0204	7.9422	4.5973	5.9805	6.0909	4.4939	5.8041	5.0886	5.5005	5.1833	5.4027	5.1523	5.226	5.2899	5.5191	7.2453	6.0355	7.5177	5.634	6.9361	4.6582	6.5952	8.8782	5.3394	6.4285	4.4888	5.9012	6.4545
EA_G__IGFBP2	8.5819	7.265	8.5701	9.2045	10.6598	5.7406	9.0647	7.9946	7.7249	6.7037	9.6491	9.7208	8.1824	6.5365	7.6499	7.3055	7.1166	7.7549	8.2099	5.7756	6.114	6.1845	8.9304	9.2132	9.5332	7.7601	7.9848	5.934	10.1046	8.3743	9.0101	6.3136	5.7437	6.0489	6.0078	8.2235	8.6306	8.9587	9.4836	8.4837	7.9908	9.1231
EA_G__ZNF584	7.2638	7.2229	7.5904	7.17	7.5318	7.5234	8.223	7.558	7.9181	7.1892	7.2934	7.8765	6.7868	10.1631	7.7928	7.8227	8.5364	7.1198	7.7432	7.4669	7.2983	7.8451	7.3141	7.6332	7.5738	6.8794	7.3734	8.1254	7.5538	7.5559	7.6517	7.4018	7.4411	7.2864	8.1679	7.2347	7.2589	6.9203	7.4051	7.362	7.0807	7.5289
EA_G__S100A14	12.1606	11.7148	9.5587	11.289	11.27	4.4478	12.2259	9.3338	7.1653	5.7788	11.67	10.2776	5.6437	9.6689	10.4498	10.811	10.6554	11.2622	9.7527	5.038	10.9988	5.5585	11.3198	10.6309	6.945	5.2235	10.7045	5.3671	11.2594	11.6653	10.9996	11.6593	5.6242	10.3786	5.2591	11.5032	11.9228	5.3263	11.1298	11.7503	12.1337	12.5428
EA_G__SH3BGRL	7.102	3.942	5.8526	7.1953	5.0198	7.4323	7.7708	7.8664	5.9809	7.0227	7.314	6.1049	7.0572	6.0477	6.2545	3.6697	6.9976	7.2912	6.4261	8.2649	7.7216	6.3939	7.5036	8.6749	7.7542	6.6349	7.6797	7.0193	8.0679	10.253	6.9757	5.0457	7.6014	7.6059	6.7317	6.7682	8.3469	7.2142	7.1465	8.439	7.6834	7.1421
EA_G__PDLIM1	4.6993	8.5649	8.4607	9.0247	8.5307	10.6521	5.918	9.361	8.0931	4.9986	6.3473	8.5125	8.3905	10.9374	9.6207	10.031	5.0131	10.0352	8.1048	7.1304	9.4986	8.2584	8.0746	8.409	5.1131	9.1069	8.796	8.772	9.0652	7.6642	5.5511	8.7551	7.5068	9.5682	9.727	6.6513	6.7309	8.2344	8.9704	8.6279	5.4699	7.9777
EA_G__TMEM16A	5.2908	7.2916	6.4055	9.4332	8.3635	4.9702	5.3162	9.8919	8.7183	5.2833	9.0278	8.6188	6.5456	7.9563	8.5709	7.4917	7.0008	7.5129	6.7371	4.7918	5.8483	5.1414	5.324	5.5073	6.9861	5.098	7.6208	4.7971	8.0768	11.1144	7.8885	8.0278	5.0673	5.1832	5.1206	5.3765	5.3902	7.2997	5.773	10.4323	7.5198	8.705
EA_G__LOXL1	8.8376	7.4349	7.7394	7.7773	7.7061	9.0295	7.7618	7.752	10.6471	8.9133	7.4156	7.31	8.0085	7.5414	7.4587	7.4168	7.5779	7.5758	7.4601	8.8739	7.7037	9.9236	7.5935	7.9409	8.9285	9.9529	7.5511	8.058	8.253	8.0283	8.322	7.6632	9.634	9.1346	8.9559	8.8333	8.7906	7.5289	7.9717	8.0361	10.1314	7.5038
EA_G__CDYL2	7.3631	7.0718	8.1386	8.2646	8.9194	5.849	8.0675	5.272	5.5548	5.3771	8.4468	8.5447	5.8033	5.7483	5.7744	7.8384	8.2642	8.1388	5.639	5.5573	5.97	6.2366	8.7179	8.367	8.0456	5.4427	8.2305	6.9612	8.487	8.1416	7.5519	7.1617	5.9508	5.5106	6.3854	8.3072	7.6963	7.086	7.575	7.7872	8.1768	6.4997
EA_G__TNS4	10.7968	9.7714	7.8139	5.1035	5.6707	4.9406	8.7542	8.8222	4.9742	4.8131	8.2169	4.8104	5.0797	9.8753	7.1148	8.9879	5.137	5.6328	8.1433	5.1679	5.5463	4.9638	5.3947	5.5514	7.6197	5.0328	8.5011	5.5462	5.9443	8.2497	5.8093	7.4534	5.1079	9.5218	5.6571	6.1038	8.6614	7.807	7.7563	6.6947	8.6424	5.159
EA_G__CAPN13	7.1311	7.5018	6.8198	6.7239	6.7757	4.5748	5.9724	4.4929	4.5142	4.4092	7.9041	4.5065	4.7075	4.6089	5.0453	6.041	7.7834	6.0129	5.6988	4.2756	5.5895	4.4542	5.7773	6.2634	8.6299	4.4638	6.1777	4.5847	7.3388	6.8161	7.333	7.547	4.4298	4.957	4.3726	8.1653	8.5483	6.0565	6.693	5.6346	7.3291	5.9757
EA_G__TSPAN1	11.08	6.9536	8.4734	10.657	7.9475	4.8968	5.8895	6.4675	4.6104	4.7299	11.1739	6.7962	3.8378	9.3664	7.4755	9.0053	8.6916	9.4426	6.1827	4.0691	9.8155	4.1915	7.6961	7.8023	7.0522	5.4747	9.9007	5.2416	10.3264	11.1772	9.7444	7.2088	6.128	7.6423	4.5854	11.4395	10.3699	8.1498	8.2523	6.8389	9.5743	9.5219
EA_G__C19orf21	9.6189	9.4483	8.9019	8.7564	8.9369	5.9232	8.5724	8.5302	5.5468	5.8788	9.3517	5.2243	6.8438	8.0179	8.5636	8.8702	8.1843	9.7186	5.4781	5.5555	6.6279	5.5706	8.7843	8.5778	8.8654	5.7745	9.6936	7.9411	8.8758	8.9668	6.591	9.9506	5.9944	6.0195	5.6263	8.618	8.3524	7.9338	8.3996	8.8792	8.9167	9.0596
EA_G__LAMC2	8.792	4.8871	8.4683	5.1494	6.2262	4.6844	4.3518	10.0446	4.9857	5.7121	4.609	4.6901	4.5395	10.2244	10.586	4.9955	5.1901	4.5107	9.9943	6.1694	9.2464	6.4632	5.4127	5.0411	5.017	8.3062	7.928	7.0229	5.7482	8.1101	5.3827	5.4005	4.6365	9.1972	5.3047	4.7042	4.8499	6.6933	5.7079	4.5086	6.9282	5.2612
EA_G__PITPNC1	5.9581	5.5345	5.4744	7.8044	6.3762	5.2162	6.9251	7.0212	5.1425	6.6952	6.5773	9.4228	4.747	6.4283	5.6002	7.1111	7.6632	5.9105	6.5611	4.5402	6.7923	5.8769	7.7613	7.2287	7.2535	7.215	6.1345	6.034	7.8241	6.7048	7.9891	6.3138	6.8045	5.0386	6.0261	6.8894	4.687	6.4611	6.7829	7.1502	5.4619	6.6286
EA_G__CHN1	4.5284	4.0137	4.6079	5.619	6.1267	6.2208	7.5276	6.5904	6.2909	7.1423	3.4928	7.0242	4.1356	4.188	4.353	4.7556	4.7042	3.9524	6.1469	8.2707	5.1835	6.059	6.8288	6.6782	5.13	8.7363	4.1657	6.693	6.2794	5.3912	4.3748	3.8667	6.6457	8.1629	7.7282	4.5954	5.4836	4.5742	5.2127	7.5735	4.3346	5.5815
EA_G__FMOD	9.9266	4.7456	4.3891	8.6309	4.5524	4.8797	4.254	4.4157	4.5959	4.4647	4.5711	4.2652	4.1456	4.4406	4.33	4.4191	5.2278	5.0278	4.4373	4.4526	5.1068	4.315	4.9047	4.6832	4.2507	4.333	8.337	4.653	10.2266	9.4424	7.4642	4.7254	4.4797	4.8205	4.5904	4.1968	9.5573	5.179	7.001	9.7217	12.0645	5.579
EA_G__BNC1	4.4225	4.6525	4.6375	4.5391	4.5794	4.9046	4.5271	4.5858	4.6519	5.013	4.2098	4.5758	5.4908	8.9293	5.375	4.532	4.5223	4.7651	7.5959	5.5354	6.9696	4.4421	5.2848	4.9453	4.6273	6.2613	4.7857	4.8329	4.6672	4.1558	5.0196	4.7998	4.616	8.4732	8.6029	4.718	5.0088	4.6339	4.9844	4.6371	5.3258	5.0175
EA_G__EDG3	7.4502	6.934	8.1139	10.4128	9.7139	6.3952	9.5367	8.0358	6.8443	8.9643	9.1369	8.9153	7.8993	5.3846	7.8087	9.1444	9.3102	7.1815	7.2726	8.8852	8.5981	8.5947	8.383	8.9758	8.7868	9.7428	8.7596	7.7877	9.4427	8.5052	8.8173	8.0215	7.9986	8.4006	7.2288	9.8528	8.3141	6.9779	7.5722	8.9381	8.5797	8.2089
EA_G__CLDN4	9.5613	9.7004	8.4153	9.1411	10.0233	5.3261	7.699	8.2254	9.351	4.9589	9.9183	9.0487	8.5706	7.9375	8.5209	9.5097	9.7434	9.2804	7.8583	5.3519	9.8327	4.7374	9.318	8.7885	8.585	5.0731	9.9284	5.8818	9.0956	8.7312	8.1256	9.8194	5.5932	6.9152	5.0136	9.936	7.8684	9.4915	8.5326	8.105	10.0266	8.707
