Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
EA_G__FKBP5	6.4834	6.8716	6.9568	3.8841	6.7133	3.8884	8.7708	7.259	7.6642	7.9288	7.0193	7.8872	6.9262	6.8425	7.6901	6.9147	5.197	6.3683	7.662	6.8303	7.6612	5.6101	7.2054	7.1163	7.2278	6.0459	4.81	7.8443	7.3161	8.0223	7.5574	6.583	7.9119	9.7287	9.705	8.5209	9.278	8.2444	8.2987	7.3037	5.795	6.7475
EA_G__RTN4IP1	6.117	6.8379	7.1769	6.8102	5.6755	5.9245	6.2427	5.9343	5.5299	6.8057	6.7378	5.9614	6.7578	6.5737	7.0625	6.8266	5.9498	9.8497	6.8697	6.9462	6.2934	6.5158	6.618	6.3577	6.6421	5.9307	5.8042	7.011	6.6721	6.7837	6.2704	6.3566	6.1471	6.5897	6.5766	6.2828	6.5701	6.8294	6.3789	6.676	6.1714	6.4724
EA_G__PRODH	7.1166	8.5848	5.3758	9.6968	6.5807	5.2856	9.8394	7.3753	6.3146	5.293	9.9249	7.0011	5.3203	5.7339	6.3419	5.347	7.6571	9.6035	5.5817	5.3378	5.6238	5.3479	6.1188	5.8214	6.8612	5.7096	10.3624	5.3603	10.5759	10.8014	10.6464	6.5433	5.7008	5.7056	5.2411	7.8362	9.7075	7.7263	6.2829	10.3923	10.4958	9.6963
EA_G__EPB41L4A	6.9861	4.8197	5.9817	7.0521	5.6139	3.9585	5.7618	5.0865	4.4588	4.1933	8.3309	7.5778	3.9447	4.723	5.6705	6.4675	6.9902	7.9628	5.5236	3.7847	6.6248	4.0786	4.8247	4.7297	7.9019	3.733	7.1104	5.7975	7.6741	9.1353	8.1433	5.9446	3.8929	8.5043	4.0766	8.46	7.4104	6.8676	6.1666	5.3605	8.1493	5.4527
EA_G__TUBA4A	8.6679	7.9277	9.8841	6.3558	7.2991	6.9787	7.7877	10.2872	5.4635	9.339	8.4505	7.3348	5.2554	9.8507	9.0392	9.883	7.864	6.864	6.8061	6.929	9.6147	5.9611	6.2718	5.9367	8.2313	5.3819	7.3407	6.8341	6.603	8.5443	7.9706	7.1037	7.6902	9.8575	10.3707	9.5426	8.7304	7.511	5.7331	8.2523	9.4774	9.6581
EA_G__KCNAB2	6.4385	6.9684	6.4144	6.0389	6.5181	7.0723	5.8128	6.0837	6.1133	6.8849	5.9883	6.2011	6.5699	7.005	6.2776	6.574	5.4957	5.8221	6.6062	6.2523	7.7148	6.2041	7.063	6.9145	7.2979	6.0917	6.832	8.0451	6.3589	6.5327	7.0228	6.1342	6.0931	7.7142	8.571	6.3799	6.7238	6.3138	7.1485	6.6954	6.1875	7.0463
EA_G__DGAT2	7.2799	7.332	7.2533	6.6673	7.965	8.3338	6.793	8.1477	10.0431	7.9407	6.4224	6.7501	9.0412	6.875	7.3975	6.9004	7.5933	7.9026	7.6489	7.2634	8.3765	7.1782	7.7127	7.7189	6.9761	6.9919	8.6463	7.3746	6.3347	8.788	7.7984	6.9102	6.8479	8.7216	7.0924	7.0184	9.2249	7.3643	8.7326	7.1686	7.325	7.993
EA_G__INPP4B	7.4601	5.5609	6.5215	8.2586	7.8952	6.7976	9.0549	5.2547	3.8202	3.6908	6.6821	9.0399	6.2207	7.1384	7.9002	8.0145	5.8217	4.926	6.9207	4.0702	6.683	6.1541	8.4551	8.0536	8.007	6.2776	8.6376	6.7377	9.2115	8.2744	4.6256	5.9112	6.4328	7.1682	6.4642	4.5528	6.9154	7.0869	6.5131	4.7484	8.5041	4.2681
EA_G__SLFN11	4.0289	7.3239	5.1422	3.4401	6.6335	8.8063	3.6834	6.7822	4.9182	3.8921	3.64	3.5673	3.7837	6.9671	3.7642	3.9415	3.8847	6.6266	3.7182	8.7167	4.0784	3.9653	4.2244	3.8785	3.8369	5.043	7.1813	3.6201	7.8717	3.9968	4.9768	6.6291	3.8912	4.3298	8.1337	4.0513	8.2407	7.1963	5.6434	3.6617	4.1892	3.6138
EA_G__SLC1A4	6.5473	5.9221	7.3969	9.5614	7.3214	6.5813	7.7174	7.5515	6.8238	6.5279	8.9692	8.7983	5.1599	6.5164	6.1471	5.0227	8.4291	7.5205	6.6816	6.0689	6.7585	8.1553	7.1356	6.2838	8.6605	7.9164	7.973	5.6469	9.6396	8.2052	7.6134	7.1734	8.4565	5.8662	5.6933	9.795	7.5711	7.6858	8.5743	9.4274	8.5301	7.555
EA_G__IL27RA	6.0024	5.1022	6.3254	5.0221	5.7103	7.1938	6.6624	8.022	7.9466	6.8401	5.94	5.6764	7.2059	6.6802	7.4566	5.1144	5.553	6.2494	6.6266	6.157	7.1711	5.3261	5.8236	6.248	6.0306	6.2951	5.0143	6.6472	5.6912	5.1369	6.1566	5.3116	5.9985	7.3052	5.8023	5.2485	5.5587	6.4946	5.6416	6.8361	5.4282	6.5847
EA_G__PHGDH	9.8708	9.7155	12.1456	10.4041	7.4956	11.0193	8.8634	10.073	11.4252	11.585	10.1518	10.5835	10.268	10.1517	10.5352	9.8114	10.2124	9.2242	9.5149	10.987	11.6377	10.0881	11.2146	10.3288	6.3836	10.2162	8.4036	8.8862	10.2948	10.2975	10.5765	9.6763	11.5833	10.4226	9.2939	11.8037	10.0412	10.2098	10.8873	10.0767	7.832	9.4402
EA_G__RCN3	5.2909	5.3223	5.2139	5.3075	4.8944	7.2725	4.8899	7.2447	6.9714	7.8065	5.8705	4.9802	7.0715	7.8726	5.8531	5.3134	5.8991	7.9319	5.9486	6.2787	5.7989	7.4315	6.196	5.6812	5.1465	8.6519	5.1569	5.1262	5.037	5.0976	5.9227	5.2641	8.8111	5.3963	8.538	4.9039	5.2303	5.3868	5.1206	5.5482	5.3271	4.7636
EA_G__ALOX15	5.6846	5.5017	7.8356	5.2048	7.0995	5.0413	7.3458	5.794	6.049	5.0225	5.2275	6.833	5.1828	5.82	5.3026	6.9726	5.5579	7.2879	5.1568	4.9275	5.9771	5.0502	7.3987	7.7875	5.4194	4.8775	5.7052	5.1627	5.8205	4.748	7.5522	5.7924	4.8617	5.3688	4.8747	6.7162	5.4903	6.5594	5.2819	5.5756	5.5439	6.2052
EA_G__BASP1	7.2406	7.5537	7.4218	9.3298	7.8868	9.6218	8.299	9.8899	8.5702	8.8385	7.615	7.3633	7.9699	7.3156	8.8249	7.1357	7.5611	7.6596	7.8624	9.069	7.4602	9.3455	8.8172	9.5101	8.6996	10.2572	7.2745	8.6855	7.8865	7.1992	7.8206	7.9689	9.3781	8.3597	9.3406	7.3915	7.6651	7.2088	7.8876	7.0879	7.7309	7.4299
EA_G__SLC35A3	6.8764	6.9759	7.094	7.2907	7.3304	6.8804	8.5712	6.8258	5.0838	6.1417	8.3065	7.4292	6.5046	6.4687	7.3555	7.401	6.7868	6.9591	7.1973	7.1317	7.6052	6.4983	6.4506	6.4749	7.5416	6.399	6.7088	7.0361	7.4263	7.7302	6.4726	7.0178	5.9109	6.6303	6.5504	7.5868	6.8543	6.5599	6.6407	7.2108	6.9675	6.8161
EA_G__LASP1	9.6609	8.0985	9.8876	12.0442	9.6875	9.6566	9.4254	9.0081	7.9105	8.4593	9.9506	9.0513	8.3063	9.103	9.3339	9.9633	10.2347	9.1961	8.9051	9.5649	9.1974	8.8417	8.05	8.4477	9.4768	9.8741	8.748	9.3074	11.1542	9.8979	9.2573	9.0258	7.5888	8.5865	9.4112	8.3876	7.9475	9.3171	10.7741	8.5215	11.0943	8.9903
EA_G__LEPRE1	6.6604	6.106	7.0872	6.4096	6.721	8.8094	6.5042	6.8624	8.5287	8.9158	6.903	7.1955	7.9912	6.5855	6.995	7.2352	6.5996	6.9778	7.1388	8.5846	7.1597	8.3424	6.6356	6.827	7.2675	9.3727	6.8462	8.1582	6.7103	6.9469	7.0673	6.3158	9.2172	7.4327	8.3081	7.7253	7.4537	6.4544	6.851	6.5327	6.2642	6.3042
EA_G__PLCB1	6.4221	5.2373	4.0511	6.0303	7.481	6.0417	3.957	6.6046	6.021	6.8197	4.0873	6.3016	6.6798	4.6381	4.0717	5.9303	6.8876	4.4982	4.7203	8.1615	7.4687	8.739	6.8326	7.8823	4.3357	4.3	6.0516	6.6256	4.7943	4.8304	5.7997	5.8301	5.7799	5.2577	4.1843	6.0416	6.5736	7.0923	7.5776	4.5869	4.5258	5.4937
EA_G__BAG2	3.8525	4.3299	5.1524	3.8546	3.7077	7.7073	3.4446	6.687	6.4005	6.3219	6.2911	4.5582	8.1386	7.9545	7.1173	6.8822	6.5667	4.381	6.3286	7.4399	6.2299	7.9982	5.0232	5.4682	4.334	7.5584	3.3871	8.1211	5.4731	4.2242	4.7056	4.5241	8.2828	6.9224	8.5168	5.2833	3.6269	5.8246	5.7192	3.7646	5.4666	3.4296
EA_G__WWTR1	8.5062	8.2368	8.9816	6.8254	6.4282	9.2967	6.3017	9.5252	6.9849	10.1663	7.4681	8.7618	8.6822	9.1395	10.0926	8.6425	7.9111	9.9261	9.4158	10.9385	9.7446	9.7977	7.4116	7.6245	5.7242	8.8946	7.0799	9.0873	7.4909	7.9722	7.2931	7.9894	10.0168	8.4116	7.8581	5.6614	9.2749	8.2689	8.4534	7.9319	7.752	6.0988
EA_G__LLGL2	9.3921	8.6915	7.7394	9.2172	8.9636	6.2317	8.8119	8.2638	8.0503	6.7246	8.8674	9.3444	7.2747	7.7949	7.7966	7.8608	9.2732	8.3801	7.9179	6.2965	8.1822	6.0368	9.5561	9.9449	8.5159	6.5672	8.6457	6.5173	10.4167	8.8447	9.2616	9.2767	6.1906	7.5902	6.2778	8.6172	8.1435	8.5877	8.313	9.276	8.2995	9.4724
EA_G__TMEM63C	7.9641	8.592	6.0696	8.7886	7.8238	4.5419	8.2991	4.5942	6.0379	5.3185	8.5746	8.1623	7.3653	4.9035	4.698	7.1967	8.3326	7.5247	6.3223	7.603	7.3911	4.2781	5.8289	6.3846	8.1346	7.6805	8.2487	4.4405	7.4794	8.0082	9.2885	7.5344	4.2336	4.6113	4.8724	8.902	7.7339	5.4872	9.4194	7.6357	8.1439	6.3547
EA_G__PPP2R2C	7.8327	6.1796	7.3569	7.5506	8.1042	5.4216	7.0691	5.1203	4.6485	4.7309	6.9322	6.837	6.4121	6.8921	6.7967	6.877	4.8079	5.2296	6.7186	5.794	5.0392	4.7801	8.0008	7.1813	7.9936	5.7678	7.178	4.6369	8.7009	6.4914	7.0986	4.9998	6.6378	4.9071	5.0094	4.7937	7.4191	6.3323	7.1069	7.6812	7.7757	8.092
EA_G__PRNP	8.5325	8.966	9.4338	7.1683	7.8965	10.0008	4.5591	9.9432	9.4469	10.1123	6.5717	6.5746	9.6536	10.4869	10.7038	10.0801	5.4384	8.4081	9.0153	10.7803	8.4326	9.5619	7.9611	6.9297	6.4105	9.4125	8.7312	9.6684	7.846	5.9126	6.856	9.276	9.3299	8.787	9.619	7.018	8.8016	7.8626	8.2148	6.9197	7.003	7.6553
EA_G__MOSC2	8.0345	4.9492	4.5615	7.5891	6.0434	4.9183	6.6017	4.7275	5.6269	4.8805	7.1689	4.5447	8.1637	6.7397	7.0843	4.4107	7.8313	7.6663	4.5017	6.6911	5.0552	4.6464	6.3374	6.1572	6.434	6.4259	7.506	6.9319	7.7187	7.6446	7.4599	4.5336	6.0516	8.5506	6.5042	6.0488	7.5804	7.9605	7.1899	9.0647	8.456	5.7498
EA_G__GPR81	4.9668	6.0516	3.5022	7.939	8.2233	3.5141	6.9006	2.868	3.5631	3.7151	8.6916	6.629	4.3242	6.9887	7.1222	5.8908	8.5484	7.3637	3.5687	5.2175	4.6384	2.9743	7.6206	7.1395	6.8412	3.373	8.2863	4.1802	8.6643	7.4676	6.8526	6.064	3.7546	3.8905	2.7273	7.8144	5.8669	6.462	5.8118	6.8539	6.9531	6.1376
EA_G__GALNT6	8.9187	8.6602	8.9768	8.6345	9.9625	4.7514	9.6093	7.1112	6.9446	6.5514	9.8516	8.9842	5.5323	6.8487	6.3386	8.2409	5.6076	9.23	7.851	4.671	8.141	5.0226	8.965	9.2303	9.3822	4.7392	9.425	5.2894	9.393	10.0229	9.2867	9.2247	4.9243	7.8977	5.0908	10.1047	10.2162	8.6008	10.6343	9.5105	9.5923	9.4242
EA_G__RHOD	9.4383	6.3205	9.3367	8.4884	9.4652	5.5742	9.5478	5.9601	8.9794	7.7977	9.6713	9.1259	8.1197	9.1846	9.0276	9.3317	8.4561	8.733	8.065	7.6813	8.0761	6.3719	8.9545	8.7762	7.9949	6.3457	8.7998	7.5	8.5256	10.589	8.8677	6.6228	6.1711	8.7664	6.7042	8.4099	9.6388	9.4683	9.594	8.2317	8.1995	8.4584
EA_G__VIM	5.3344	5.158	5.9012	5.9379	5.5988	10.7977	5.4171	11.3817	8.0182	11.1534	5.2627	5.1136	9.4485	5.5819	6.772	7.9764	5.239	5.4915	9.8841	10.9289	7.2613	11.442	5.4061	5.6065	7.7675	11.8277	5.75	10.3946	5.2262	5.1511	5.8853	5.6673	11.8249	7.839	11.273	5.4748	5.6659	5.91	6.5815	5.3475	6.071	5.5621
EA_G__RAD51C	6.8606	4.935	6.7649	8.5637	5.8431	5.7975	7.0133	6.7198	6.1266	6.765	6.9505	7.073	6.4052	6.0643	6.7	6.7522	6.6322	6.4426	6.4353	6.9924	6.4504	6.032	8.6623	8.8987	6.8283	7.2504	5.918	6.8714	8.1751	5.6679	5.7756	4.7278	7.4921	6.206	7.2721	6.2036	6.2317	7.1679	7.1046	7.3229	5.7122	8.0509
EA_G__COPS8	7.8668	7.6287	8.5364	7.7598	8.0338	8.5485	7.7398	7.6158	7.3489	10.6433	8.003	8.2763	8.0118	7.6235	6.8459	7.6459	7.5061	7.4184	8.1777	8.985	7.7039	8.5295	7.9888	7.9185	8.7738	8.5887	7.4272	8.2657	7.9461	7.522	6.7061	7.357	8.175	8.882	8.7343	7.6282	7.8232	7.7211	7.7819	7.7286	7.4214	7.6205
EA_G__STC1	4.2023	5.8475	6.0641	4.1757	8.2063	5.9901	7.028	4.5059	4.7051	4.7755	4.4204	5.5825	6.1916	4.6151	4.2116	6.5629	4.4202	5.4927	6.3077	6.2183	6.5919	6.4939	4.4274	7.0916	7.9985	4.5744	5.1884	5.6217	6.2482	6.0242	5.9654	4.519	8.2941	8.0628	6.9703	6.0986	5.5548	5.1707	7.1141	5.2534	4.8888	4.6737
EA_G__ALDH1A3	8.1307	7.1477	9.9419	5.5462	5.1046	5.1706	5.5215	10.5997	7.9756	6.3243	10.1103	5.3869	5.9514	8.1333	9.9057	10.7197	6.5167	8.2221	9.5832	5.4772	8.5415	6.7888	6.6298	5.1017	4.9374	6.9108	7.7315	6.1897	5.2779	6.2757	5.6755	8.4467	5.2612	7.2848	6.2392	5.4542	5.849	7.0659	5.5996	7.2203	8.0301	5.9235
EA_G__GLT8D4	5.4162	4.7151	6.1753	4.6364	5.56	8.5909	4.5511	6.4599	6.9925	7.8917	5.3506	5.6089	8.3612	4.909	5.3307	6.439	4.6377	4.642	6.4971	7.7787	4.8082	7.0644	6.5883	5.5457	5.5823	6.3558	5.8193	6.3478	4.9884	4.4178	5.2385	5.3691	7.1987	7.6105	7.5528	5.0621	5.652	5.7258	6.6445	4.8007	5.6412	5.769
EA_G__KRT80	7.039	7.9874	8.8008	6.8573	8.593	7.3834	7.596	7.8916	6.2923	5.5115	6.6546	8.7953	4.771	6.296	6.8175	8.4339	8.099	6.7786	8.3352	7.0502	6.6578	5.3198	9.607	8.2581	6.591	5.9135	7.3827	8.1626	6.9772	7.0231	5.9269	8.9574	6.4723	7.4273	8.2193	8.8584	6.6926	7.57	7.3203	5.5589	8.3578	6.5803
EA_G__PTPRG	5.21	4.499	7.3722	6.6243	6.3169	8.0079	5.5387	7.4888	4.6346	7.7804	4.1773	4.0564	5.6861	5.5681	5.9594	4.0333	5.0223	5.3326	5.4838	5.8104	7.3366	8.2883	6.2363	6.1699	7.0743	7.2877	6.4314	7.5303	6.992	3.9613	6.0453	4.4986	8.4789	7.313	7.5088	6.5257	4.9075	4.399	7.2354	6.022	5.5192	6.6035
EA_G__ARSJ	6.7046	4.1618	3.7627	7.2598	4.4582	8.8682	4.1374	6.9042	4.5932	7.8876	5.794	4.076	6.2482	7.0085	6.1297	6.2761	4.735	5.422	6.2652	6.6957	5.9446	7.9663	4.401	4.4831	3.7109	8.3193	6.0887	7.9827	5.8497	5.4783	5.9855	4.3994	6.8218	6.515	7.9454	4.071	5.9841	6.0991	4.5306	4.5496	6.0924	3.8537
EA_G__EDIL3	4.2675	4.4678	4.1222	4.2003	4.1091	10.3398	3.9199	7.7527	10.7627	10.9328	4.1415	6.574	4.1486	5.3387	3.582	5.0077	4.1852	4.3808	6.4883	10.5374	4.466	10.2267	4.3709	4.7425	3.968	9.6383	4.9919	9.9608	3.9369	3.9483	4.4458	4.7088	7.9988	6.332	7.8969	4.3348	4.1115	4.1293	3.8469	4.2709	4.2317	3.9187
EA_G__PLAU	5.9385	4.9315	4.724	4.8841	4.8479	8.6933	4.4801	8.7436	5.0131	5.279	4.9719	4.9397	4.9615	8.8449	7.0979	4.7291	5.766	6.7666	5.7082	7.4742	6.0511	8.372	5.0009	5.0307	4.8073	7.1008	5.1139	9.1058	5.2563	4.9718	5.5771	6.7449	11.4254	6.0597	6.0434	5.0122	5.0896	5.0643	5.9255	5.1345	5.0074	4.9608
EA_G__GDF15	8.7068	7.1724	5.6526	5.962	9.4267	8.161	5.4139	4.8212	5.2088	5.2556	9.4947	5.5548	5.304	6.6795	5.3912	8.6846	8.3132	5.6073	6.0021	4.7668	5.3299	5.2659	9.3891	9.0769	6.3475	4.9128	10.0786	5.4678	6.8564	5.8438	6.2679	5.9322	5.7552	5.5337	5.7553	6.3737	6.9215	6.5323	8.1624	6.3288	9.6974	8.3241
EA_G__TMC4	8.64	6.5461	7.9944	6.2488	8.4629	6.0186	7.9932	7.4768	6.8929	6.0736	8.9858	7.8696	7.7434	7.1081	7.1204	7.0207	9.016	8.0437	7.3004	6.301	9.6454	6.3986	8.2183	9.2347	8.4141	6.5111	9.0318	6.0146	8.9193	9.6407	8.511	6.7853	6.3755	8.8233	6.0398	8.8164	8.9131	8.8138	7.8806	8.7088	10.0027	8.9853
EA_G__PRKAA2	8.0302	4.662	7.4372	6.785	7.1607	3.6146	3.5888	6.7853	4.3759	3.844	7.8428	7.047	4.9962	4.6438	5.4194	7.5108	7.6447	6.1764	8.9101	5.5563	7.0928	7.0815	3.4372	4.4841	7.5284	4.0888	5.4735	8.2387	6.3459	7.3935	7.3877	4.6852	7.404	6.4435	4.3005	9.8826	8.7343	7.2639	7.2116	5.8771	9.668	6.11
EA_G__TPM2	5.1606	5.2415	5.3477	5.2106	5.4191	8.835	5.1325	7.9514	4.8864	9.1702	4.8827	5.0739	8.6567	7.1902	5.372	5.5809	5.3692	6.0067	6.5898	8.3943	7.59	9.1634	5.7814	5.7214	5.3237	6.0657	5.2437	5.8531	4.9569	5.4943	5.9133	5.5924	7.7389	7.1555	8.7479	5.3061	6.742	5.3229	5.5192	5.3575	5.6253	5.2939
EA_G__SLC6A15	3.7785	7.1291	3.3198	3.273	3.5835	3.7372	3.1815	6.8971	5.2064	5.4965	3.1428	3.5551	7.6077	6.8517	3.0742	3.4851	3.6928	3.4727	3.4102	7.1976	3.5516	3.4367	3.5232	3.5706	3.5068	5.6345	3.6135	3.5408	3.2714	3.3421	3.7884	7.2049	7.9561	7.7974	3.8068	3.4867	3.9042	3.6704	3.4567	3.4996	4.1987	6.9265
EA_G__NCOA3	8.1052	9.2571	9.592	10.8214	9.0906	8.4774	8.7035	8.4412	7.5889	8.6077	9.7062	7.983	7.965	8.448	8.4315	9.4085	8.0727	7.9253	7.81	8.1464	7.7562	7.9493	10.8399	11.1574	8.5521	8.1327	8.578	7.2583	8.1256	8.9069	7.9599	9.2201	7.7563	7.9861	7.9172	7.8126	8.8724	8.4034	7.8476	8.766	8.6426	8.1996
