Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__HES1	7.2466	7.8362	6.8655	7.9131	5.1651	6.9367	7.8518	7.9219	7.5594	6.5368	6.5024	7.6893	6.658	9.585	7.7168	6.5411	6.9986	6.0367	6.746	7.2969	6.5532	6.3761	7.2673	5.6609	7.8519	6.9642	6.1492	7.3558	5.9077	7.0221	4.6059	7.9363	7.6559	7.3246	7.1297	6.625	7.1431	5.8228
U133A__TP53I3	6.4026	6.6763	8.2514	6.3293	7.1322	6.819	7.1618	6.3678	6.5144	7.206	6.7321	7.3316	7.6571	5.8259	8.1345	6.9746	6.8374	7.2446	6.7114	7.2028	7.7129	7.0884	6.1951	7.7591	7.3	6.3167	7.4749	6.4755	7.6138	7.5304	7.6483	5.9188	5.8959	6.2309	11.9441	6.5465	6.4171	6.7233
U133A__PARP12	5.6212	7.2533	7.2406	5.7221	5.4178	5.3115	6.5946	9.2451	5.6289	6.6519	6.3163	7.2762	7.1555	6.4157	5.7841	7.1514	8.4965	6.4931	6.121	5.4093	6.0014	6.91	5.282	5.8362	6.0526	6.5117	5.5824	5.8208	5.7415	6.6629	6.5579	6.5832	7.6618	5.5611	5.8681	6.089	5.0997	5.5159
U133A__SIDT2	5.8856	8.986	6.2933	7.3246	6.6145	6.7782	5.727	7.0085	7.2121	6.4307	6.7302	6.8686	5.6188	8.9948	6.3065	6.9148	6.7901	5.7854	7.1027	6.6763	6.7265	7.3668	6.6904	6.4539	7.618	6.7863	7.0954	7.2985	7.8062	5.4073	6.5306	8.0395	7.2792	6.6182	7.7683	8.1148	7.4488	7.262
U133A__AXL	4.5848	4.3447	4.36	4.6163	9.7332	4.3709	7.011	4.3959	4.4975	4.5981	4.2906	4.9826	5.1863	4.2474	5.2312	9.2723	4.1729	10.475	4.5906	4.4261	4.7784	8.3136	5.0443	10.3645	4.1508	4.614	4.2537	4.0831	9.5546	7.5369	9.6852	4.2137	3.971	4.2126	4.5153	4.3396	4.2859	4.2316
U133A__DNM1	5.6161	5.646	5.4321	5.8578	6.6942	5.6352	6.4943	8.8086	5.9955	6.2088	7.913	6.0178	5.36	6.3878	5.7923	8.6169	8.4682	5.7741	5.5244	7.1578	6.3168	7.6517	5.6249	5.6326	6.4587	6.9409	5.6904	5.7951	5.5233	6.324	5.5619	5.3328	5.261	5.5189	5.5842	5.462	5.8005	8.0049
U133A__COL6A1	6.9732	6.3156	6.0991	6.3956	7.7987	5.9948	8.9878	5.7568	6.6083	8.0962	7.3804	6.3507	5.6124	5.8936	6.4987	9.1927	5.4538	10.8531	6.5479	6.2493	5.8409	11.2448	6.8487	6.5369	6.4207	5.7732	6.0757	5.7873	9.5167	7.8725	6.8032	6.018	7.0157	6.5026	6.3931	7.0413	5.7191	5.9583
U133A__APLP1	5.9239	6.0323	6.1931	6.3232	7.5674	7.477	6.1841	5.5497	6.8797	6.7528	5.5557	6.2126	5.5598	5.6878	6.7825	6.5167	5.6062	6.4302	6.3758	6.1313	9.2831	7.863	7.4449	5.9249	6.3563	6.1149	6.3308	6.1297	6.7158	5.9365	5.3313	5.4788	5.836	6.9901	6.4699	7.1559	5.8826	6.6871
U133A__AGR2	10.3169	10.6821	4.8118	11.0027	4.8801	9.5473	4.7238	4.9574	5.6983	5.7322	9.8422	7.8487	8.9628	11.018	5.5521	4.8807	6.5245	4.9432	9.0223	9.5307	5.3115	4.1066	11.5908	5.8781	10.7955	11.9865	9.8595	9.5144	5.8546	5.7616	4.7808	12.2035	10.6989	11.3355	11.4831	10.6889	9.3155	10.4286
U133A__EGR1	7.1754	8.7708	7.4441	7.4814	6.308	5.4248	5.9257	5.5174	5.819	6.5474	5.91	8.6843	5.9632	5.6021	6.4535	6.9361	5.6816	6.1835	6.0611	7.143	5.7529	5.9859	5.2688	6.1269	7.3378	5.4053	6.8313	9.3693	6.3465	7.0071	7.1152	5.2344	7.6351	5.7512	5.1156	6.4399	5.7614	5.5811
