Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__PCSK1N	8.5701	5.1548	5.3962	6.9004	6.1553	7.586	6.7564	7.5637	7.2533	6.7813	5.7054	6.0571	5.9201	6.8148	6.8731	6.6252	4.8381	5.3818	6.3363	7.0645	8.6712	7.6635	6.1384	5.4779	8.9092	5.3401	5.6267	5.3148	6.3185	5.3578	5.7835	7.1748	4.939	5.9004	5.8583	8.7879	5.7695	6.6894
U133A__L1CAM	5.131	6.8401	8.8594	5.4162	5.1979	5.9992	5.5173	7.8196	5.2405	5.5027	5.3762	5.4281	5.847	7.5077	7.1837	6.3174	4.9963	5.9868	7.9212	7.0946	7.0356	9.0199	5.9986	5.5005	5.3735	5.5797	5.2012	7.695	5.1086	9.1313	5.2153	6.4661	5.7168	7.2869	6.3167	7.8844	5.2102	5.2926
U133A__IGF1R	7.4366	6.0432	6.4696	7.616	6.7451	5.1784	7.4726	4.8247	7.1078	5.9359	5.9343	6.3173	5.3298	6.252	5.9489	6.6041	5.5932	5.6916	6.2705	7.8115	8.3023	5.3234	5.1774	6.931	7.3309	5.6135	5.2645	5.3017	5.5466	6.4853	4.9335	7.2016	4.7378	7.5757	7.0228	7.4657	5.5772	6.4581
U133A__BACE2	9.3765	8.281	8.179	6.3105	6.0657	5.3419	7.5574	6.834	6.793	7.912	7.5191	7.95	7.8842	9.2403	7.9159	7.0988	9.2209	6.3671	7.1378	6.2433	5.9436	6.2496	7.3922	6.7457	6.6809	7.7806	5.4893	9.4037	6.7943	8.3682	6.6684	5.4672	8.3419	6.8133	7.5997	8.4457	6.8962	6.4187
U133A__DHX40	7.0381	5.7867	6.4315	8.6347	5.919	5.9241	6.2316	6.2846	7.014	5.6478	6.411	6.2943	5.4408	6.003	6.5949	7.426	6.0468	5.1125	7.2359	8.2093	6.9354	6.8654	5.6059	6.4999	8.5027	4.9426	6.9965	5.1172	6.5324	3.9736	5.98	5.644	6.7685	6.3122	6.9005	7.842	7.2802	7.0766
U133A__IER5	7.3983	8.4834	8.2593	5.6405	5.9635	6.4142	7.3217	7.8547	5.634	7.5246	8.7751	8.6291	8.5956	9.4112	7.7493	7.0389	9.4247	6.8806	7.7217	7.0547	7.6119	7.9844	7.7677	7.9227	6.8566	6.0609	6.9052	7.4431	4.9517	7.9731	8.0814	7.4049	7.5876	8.2302	8.1897	7.8434	7.3929	7.6796
U133A__SORD	6.8487	7.5338	5.0809	7.4334	7.6924	10.2448	6.5448	6.994	6.3619	8.3127	8.8706	6.6022	6.8983	5.5765	7.2783	6.9989	6.9431	5.7191	6.3213	7.0173	8.0913	6.2285	7.1018	8.2329	8.0685	7.9099	9.6373	6.7424	6.6238	7.842	8.0155	7.3665	5.8317	7.1819	7.3664	7.0094	8.6978	9.2856
U133A__TGFB1	5.9513	4.8708	6.8974	5.4725	7.6091	5.426	7.5996	5.0132	6.1979	6.213	7.3059	5.6044	5.7321	5.1609	5.4784	8.1482	6.8518	9.5736	6.1038	7.11	6.7	9.5702	4.9982	7.0412	7.021	5.5408	5.1952	5.4666	7.4693	8.4618	8.5279	4.7022	5.8055	5.0334	5.4006	5.4102	5.4893	7.0574
U133A__GOLM1	10.7915	6.9699	6.8996	6.1436	7.6162	6.9619	6.097	6.8168	4.7724	7.2941	6.293	7.9946	8.2171	10.0582	6.9203	7.2777	7.3807	6.7465	6.279	5.3774	8.0129	7.4232	8.809	7.3179	5.4568	9.5048	5.0972	8.7597	7.0625	7.1676	7.1221	8.1662	8.2527	8.4265	7.2974	10.2189	5.9218	5.7551
U133A__RARRES3	6.2411	9.4968	5.8376	5.5572	5.0381	5.4944	5.277	9.0935	6.0281	5.4879	6.1373	9.54	7.6356	7.8721	5.3288	7.4354	9.2101	6.0114	5.3198	5.0877	8.4487	8.6168	6.2465	5.42	5.3185	8.767	4.7062	6.5872	5.4085	5.0522	5.5527	5.5433	9.1235	7.481	6.2309	9.4509	5.626	4.9116
U133A__ANP32E	7.7696	7.1675	6.183	4.7827	8.5756	6.3299	9.2043	9.8021	7.8249	7.8684	7.971	7.8101	3.4688	7.0035	8.1617	7.4757	9.4891	7.3647	7.0967	7.6872	7.282	6.932	7.591	9.3323	5.9998	7.3604	7.4851	6.1264	8.0691	7.2748	8.2153	6.6022	7.9594	7.1498	7.5878	8.6942	6.7701	8.739
U133A__SOX9	8.2497	7.1016	7.4328	6.4415	5.1599	5.4662	9.6309	7.8348	3.694	7.2584	4.6655	7.6915	8.1163	7.6546	8.6772	8.0704	9.0411	7.0576	6.8808	5.2438	3.9939	7.05	7.7779	6.2797	7.1848	7.9098	4.4058	5.1836	7.2816	8.8149	3.9671	8.6517	7.8486	7.6821	5.5651	8.8612	7.6305	6.2065
U133A__CDS1	6.9342	8.169	7.1014	6.1529	4.6661	6.6883	5.7098	6.1086	5.7983	6.1974	6.6959	6.7502	7.3118	6.8258	6.321	5.7782	6.6791	5.005	6.6497	6.3397	7.0044	4.9123	6.9792	5.0018	7.4359	6.9108	6.7669	7.3771	4.7441	6.4201	5.4182	9.0847	7.0352	6.8814	6.4939	6.8096	7.0282	7.4944
U133A__SPATA20	8.0097	8.0667	8.4022	8.973	8.1244	7.9384	8.1626	6.0568	7.9664	8.2571	6.9651	7.1642	7.1251	6.4692	7.276	8.545	6.7971	8.151	7.9175	8.4668	7.4922	7.9718	8.2501	7.8416	9.0767	8.2506	8.2715	7.4515	8.086	7.3961	7.0211	6.8099	6.2629	7.8545	8.2459	8.3378	7.6437	8.3765
U133A__PTPRU	8.8461	7.7909	5.3599	5.5647	5.6295	5.9431	6.2068	5.2724	5.8775	7.1523	5.8751	6.4143	6.3077	7.2033	6.1426	5.3025	5.9901	5.6516	5.9064	6.0962	5.8296	6.0597	6.9492	5.1764	6.0926	6.86	5.6323	5.9691	5.9083	6.7002	5.6666	7.1784	7.0607	7.8153	6.1712	6.6981	6.3257	6.6313
U133A__LIMCH1	6.0867	7.0559	7.0651	5.9547	3.4312	4.4364	6.6193	6.9381	3.4256	6.7857	4.222	6.9595	5.566	8.4483	5.7588	5.1467	7.6226	5.4328	4.0459	3.9423	6.553	4.4139	6.8992	6.5312	5.033	5.5271	6.2939	6.1873	3.4676	5.11	6.8599	8.4582	8.2485	7.9542	4.2224	6.6392	7.7023	3.813
U133A__CSRP2	4.6788	4.979	4.1554	5.0201	7.7089	4.3732	5.1256	8.5335	4.1902	5.8713	8.9537	4.8602	4.5477	5.8602	6.7445	6.1986	3.8214	6.0008	4.9673	4.4735	5.2102	6.9489	4.3389	7.2707	5.5783	4.5925	4.4372	4.4089	6.4662	6.4077	5.9498	4.0688	4.8518	4.6758	4.0357	4.863	4.0661	5.474
U133A__TMEM45A	3.9251	5.6223	5.8104	3.8356	7.0954	4.067	5.7298	5.2926	3.536	5.1283	6.8653	8.9616	7.9155	6.9156	6.3791	5.8904	8.43	6.0737	3.7106	4.2822	4.5262	6.6374	6.9656	5.4727	3.5937	7.3845	4.0045	5.9107	7.7047	7.3691	5.9503	7.837	7.01	8.6357	3.6449	8.7797	4.7818	3.96
U133A__BET1	6.457	6.8917	6.1	6.4871	5.9282	6.3555	5.9264	7.1228	5.9494	6.4942	6.1672	6.1476	5.602	7.193	6.5846	6.7723	7.2706	6.6186	6.4599	5.748	6.1616	7.2448	6.7981	7.2339	6.0368	6.4559	5.7412	6.4165	6.3714	6.2335	6.4052	6.7489	9.3023	9.1437	6.3116	6.7942	6.0472	6.3389
U133A__LASP1	9.5381	8.8228	9.664	11.8925	9.1628	9.3673	8.5106	8.657	8.8387	8.7288	9.609	9.423	9.7487	9.9354	8.9098	9.4553	9.1961	8.8766	7.5227	9.3005	9.6931	9.5261	8.2583	9.5882	11.114	9.393	9.1818	8.5311	7.9899	9.1735	9.2861	8.7128	8.7215	7.7283	9.741	10.3033	8.6075	9.0406
U133A__C1orf106	10.0398	9.071	7.5414	6.4457	6.014	6.2668	7.1557	9.242	6.8518	8.8609	8.3117	8.8083	7.699	9.1534	7.9706	6.8505	8.7505	5.9213	5.7634	6.1472	5.874	5.323	9.2096	6.4594	7.3261	8.0817	7.0397	7.7464	6	8.7694	5.5202	7.8809	6.8588	9.3234	7.395	7.6388	8.4486	7.6676
U133A__ITGA3	7.0347	5.904	8.7863	7.0003	8.0259	6.2689	7.8936	5.0259	6.8603	5.3603	7.6743	7.3976	8.3943	5.562	7.1843	8.7137	6.5616	7.4535	6.6455	6.406	6.3636	8.2664	6.2884	7.5132	7.5224	6.7249	6.8296	5.5944	6.0298	7.3832	7.7502	5.8839	6.4267	6.8074	5.8556	6.1491	5.7229	5.9956
U133A__BRP44L	7.3579	8.4504	6.9671	6.6044	6.4688	7.3948	6.1308	7.78	6.7401	8.099	7.6553	7.1964	7.7168	9.8542	7.801	5.8538	6.771	7.1507	6.6991	6.4159	8.2166	7.8053	7.8571	6.8111	7.5752	8.1616	7.7041	8.3869	7.4621	6.758	7.6077	7.3253	8.9495	9.1394	6.907	7.457	6.8471	7.551
U133A__MAP7	7.0294	6.9618	5.9371	6.2892	3.3979	5.2062	5.9871	5.1248	4.7305	4.9076	6.0043	6.1708	6.1226	7.9469	5.9668	4.6054	5.9177	2.8929	7.3712	5.9184	6.9424	3.6628	6.5938	3.1392	7.5058	7.6036	6.3028	6.4188	3.2386	5.2887	3.0559	7.2239	7.2001	7.7799	5.1143	6.5055	6.9507	5.9986
U133A__COL1A1	4.8595	4.5017	4.3453	6.7347	11.3634	4.9378	5.8092	4.8212	5.5465	4.0655	4.7173	4.1605	3.5882	4.5906	7.139	10.8683	4.5265	10.6014	3.8974	5.0738	5.193	10.155	4.7577	3.982	5.968	4.0965	6.6127	3.9594	11.1959	5.4949	8.7142	5.5253	4.1782	4.3818	5.6643	3.9736	5.6976	5.9443
U133A__SGCB	5.8037	4.345	4.4165	4.5248	7.8458	4.0945	5.9386	7.1406	5.1858	7.0696	6.3675	4.4416	5.602	3.9234	7.0299	6.7798	4.7882	7.8291	5.4336	5.8159	8.2976	8.6534	5.0713	7.4406	4.5614	4.3851	4.0615	4.7536	6.9454	6.2714	7.184	4.3896	4.0284	5.3401	5.106	5.3055	4.3728	5.1227
U133A__OBSL1	6.4514	8.9967	8.0289	7.8813	7.8676	6.4196	6.992	7.3861	7.9661	7.1877	6.5112	6.835	7.0874	9.4103	5.8645	7.4016	7.6103	5.0045	8.8911	7.6113	6.4547	7.3043	7.8238	6.2485	8.0171	7.5013	8.824	7.9762	6.5707	7.5554	5.2249	7.6849	9.4082	7.1551	5.7054	8.0534	6.569	5.8275
U133A__ELF3	7.5457	9.7151	8.1411	8.6588	4.5443	6.8332	8.8709	8.6235	7.3098	7.955	6.3115	8.395	8.3632	9.5127	8.8539	7.0033	8.8438	5.3407	7.0076	8.1508	5.7695	5.0759	8.4196	5.1225	7.6662	7.8192	7.1622	8.9949	5.89	6.1304	4.9205	8.3142	8.0164	7.5694	7.2921	8.2882	9.5173	7.633
U133A__ALDH1A3	6.3501	8.1049	10.7086	5.7829	5.0371	5.7541	10.4029	6.9131	5.5586	5.9053	9.253	9.3821	11.1356	7.2073	9.6541	7.0172	8.7778	6.3367	7.9258	5.9722	5.3213	6.7306	7.3828	5.8164	5.5605	7.0272	5.6679	7.2823	5.5688	9.2197	5.8794	5.5785	9.9387	4.9809	5.821	6.1372	6.0094	5.9709
U133A__SNX7	7.2258	6.9361	6.6633	6.3575	8.2264	6.3147	7.2735	6.4903	7.5596	7.2552	8.0102	8.1539	7.6537	5.9321	7.1316	8.3416	7.9242	8.5314	5.7752	7.1402	5.4831	8.5363	5.4501	9.0729	6.7602	6.3801	7.3553	7.4533	9.1969	8.5021	8.5449	5.1871	6.7639	5.9201	4.634	7.2475	6.574	7.2083
U133A__C2CD2	6.774	8.7407	9.2737	7.1994	5.6435	5.9359	6.1188	7.8405	7.7948	6.9643	7.2193	6.2788	6.0795	5.1897	5.3207	6.1441	7.489	6.3777	5.4927	5.9892	4.3464	7.1836	6.9948	6.1461	6.8773	5.5821	4.915	8.4905	6.6962	7.2271	6.4275	7.5738	8.665	6.9045	6.6834	8.2981	6.738	7.3067
U133A__MLLT11	6.2166	5.4252	5.4761	5.4696	9.2362	5.5842	5.7505	6.2622	6.0969	5.7778	9.3885	5.6596	5.1106	5.3868	5.5513	9.7364	5.8626	8.5124	5.5678	5.6979	8.2225	8.9305	5.5103	5.6819	8.5691	7.7028	7.9421	5.7603	7.4782	7.9219	7.7591	5.4643	5.3271	5.7609	6.4866	6.123	5.5322	5.3209
U133A__PLXND1	8.0278	8.0521	7.2243	6.8569	6.1152	6.932	6.7389	7.6025	7.7119	7.432	6.9718	7.012	6.7294	8.5089	6.3405	7.3005	7.767	7.1712	7.5315	8.1479	7.045	8.3326	9.6295	6.9015	7.1637	6.9815	8.0254	6.8911	7.248	7.013	6.1165	9.3213	7.7929	7.2942	7.5523	8.2313	6.6068	6.7508
U133A__TRIL	6.45	7.691	4.9883	5.7803	4.3206	6.0987	4.8923	6.7164	6.9271	4.5574	4.0993	4.5377	4.618	7.1386	4.4006	4.3815	5.8478	4.3545	4.9991	5.0011	7.308	4.4089	5.3409	4.5657	5.6758	4.9838	5.7791	7.6403	4.4034	4.3459	4.6801	7.0693	7.903	5.9149	7.3008	6.3524	6.3898	4.6888
U133A__TSPAN13	9.6774	10.0953	8.3777	10.249	5.511	9.5712	7.7338	7.6575	9.9233	6.7565	9.5285	9.5561	9.2752	10.611	8.413	7.5481	10.2011	5.4571	9.1734	9.4408	9.5767	7.3108	10.1409	5.6786	10.1128	10.3424	9.7301	9.8614	8.6711	6.8176	6.1061	11.0026	10.0425	11.2545	10.2015	10.0762	10.0917	10.3821
U133A__EPAS1	7.5586	9.4435	9.3385	6.5628	7.1099	6.6122	6.878	5.9279	7.9068	9.1876	9.0687	8.1309	8.2067	11.134	8.0527	8.9875	8.7955	7.4187	9.242	7.7912	8.5965	8.4085	9.4821	6.3178	8.0953	7.8271	7.9185	9.5402	6.3055	8.8077	8.0257	8.9549	7.1293	10.3129	7.6909	9.5309	7.7552	6.3461
U133A__SLC39A6	7.7971	6.2623	5.3606	8.41	7.1998	7.8475	7.3674	7.4381	7.3231	6.8048	6.6043	5.6466	7.0401	6.5261	6.3182	7.2364	6.9683	6.666	7.9931	10.5732	8.0261	5.5622	7.2093	6.5394	8.0151	6.4029	6.5248	6.2838	6.153	7.6162	7.6329	7.1446	6.6113	7.6467	7.1279	8.8267	9.2532	11.5676
U133A__IRS2	8.2646	5.3993	6.3871	6.1831	6.2723	5.228	9.8849	5.6423	6.4241	5.833	9.3915	7.7954	6.0032	5.453	8.6129	6.621	5.3606	5.4758	5.921	6.2504	6.3569	6.8503	5.6481	7.0768	7.1192	5.6215	5.0591	5.6329	6.3412	7.299	7.7423	7.3676	6.7356	5.7346	6.0545	5.8869	5.9846	6.0265
U133A__ID2	8.0734	7.4444	3.4919	9.022	8.2608	9.4546	8.9987	8.7602	7.2989	8.911	5.122	9.6486	3.8659	9.4692	6.8716	7.2985	6.0127	7.966	7.686	8.6926	9.3373	7.6134	7.141	4.5686	9.3071	7.5169	9.9817	7.6966	5.7772	6.8302	6.2331	6.7214	6.8739	7.9709	6.2231	7.4058	8.9398	6.7317
U133A__QPRT	6.2711	9.4457	8.2145	7.4417	5.6007	6.3278	5.4435	5.1401	7.275	7.3774	5.6756	5.5612	6.3718	8.0511	8.7061	7.02	9.2734	5.9733	7.4239	8.1142	6.9332	8.6614	7.115	5.2379	9.1192	8.4536	6.314	8.5981	5.9379	5.4969	5.6873	7.2077	9.2223	6.3381	7.7665	8.9526	8.0018	5.6556
U133A__MALL	5.9594	9.6574	8.4122	5.7996	5.5609	5.355	7.6983	5.6344	5.9818	6.1853	8.6162	9.3676	10.0543	8.4348	6.8244	7.0931	9.9715	5.675	8.3023	6.3252	5.9264	5.4322	6.7314	5.8379	5.7292	6.607	5.6076	6.8833	7.6292	6.4668	5.7006	6.9903	8.1516	5.6005	6.0371	5.9517	5.5443	5.7131
U133A__TRIB3	9.0028	9.4839	8.2244	9.3851	8.1789	9.2784	7.8627	8.1408	7.3561	7.9885	8.0431	8.3225	8.1897	9.1229	7.2537	7.8749	8.5921	7.3169	7.7317	7.7524	6.9773	7.7019	9.4918	7.0513	9.2248	9.1973	9.2415	9.2335	6.7173	8.1263	7.6057	10.2862	10.4969	10.5917	8.0399	8.4322	8.2995	8.6039
U133A__DTX4	8.5534	9.0599	7.5579	7.4076	6.0917	6.706	6.3983	8.0553	6.4963	8.0591	7.1172	8.3881	7.9724	9.3534	6.8807	5.8196	7.6493	6.1719	6.0955	6.0561	6.6433	6.6331	8.2983	5.8898	7.0834	7.3844	6.6527	7.4584	6.2423	7.1386	5.167	7.0847	7.7214	7.9261	5.7985	9.3252	6.781	6.6645
