Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__MEST	3.7821	8.4329	7.4442	8.1036	7.8282	5.1585	8.0538	7.5372	8.5749	4.1282	3.9542	8.2015	4.1632	7.7767	7.7725	6.9852	7.9736	4.1779	10.2616	3.9201	5.9893	8.2535	8.0721	8.4844	7.003	7.3438	6.4017	7.9458	9.0529	5.6433	4.3579	7.0465	7.9342	7.6883	4.2239	4.1949	7.1188	7.7275	8.3201
EA_G__TMPRSS3	9.8081	6.2517	4.6731	6.3099	7.8022	4.3753	6.8658	4.1635	5.2231	4.4602	5.3789	6.8408	4.6199	4.668	6.3221	5.0635	6.0278	6.1435	4.2958	7.1903	3.9978	5.25	4.758	4.7685	4.1056	7.4917	9.4186	4.7655	5.2652	4.5343	9.1125	4.5138	7.2599	7.5815	7.0602	5.4646	7.505	4.7394	4.7502
SNP__PTPRN2	-0.54	0.091	0.186	0.355	2.806	0.212	0.084	-0.263	-0.23	1.006	2.779	0.286	0.411	-0.76	0.007	-0.229	0.264	0.45	0.006	0.092	0.206	0.691	0.507	-0.225	0.13	-0.332	2.594	-0.039	0.258	0.53	-0.226	0.002	-0.266	-0.906	-0.308	-0.319	-0.288	-0.046	0.028
EA_G__SATB2	5.9807	4.9968	6.4479	5.0371	6.5087	6.9835	5.111	6.2984	5.1495	4.9582	4.8519	5.0624	6.9973	6.531	5.6969	5.896	5.6052	6.2428	4.569	4.8822	7.8537	6.7478	7.0652	7.5473	8.8773	4.9597	4.3184	6.2106	5.1857	8.181	6.3682	6.9949	7.1939	5.2308	5.8839	5.813	6.8878	5.2493	5.8126
EA_G__EPB41L2	6.6357	3.5196	8.5143	5.0152	3.8346	7.2057	6.1864	8.2547	6.4645	8.3694	7.0403	4.1389	9.0062	5.5827	6.685	7.1446	4.8245	8.3567	8.2745	3.269	8.2875	4.9766	7.0896	7.2073	8.3392	5.3878	8.5821	5.747	3.4058	8.1063	7.0184	7.3074	6.9073	4.428	6.6847	5.489	5.5184	3.3655	5.0117
EA_G__FOS	5.509	6.0591	6.0949	5.4464	5.5712	5.2216	5.1465	5.4398	5.2783	6.6916	6.3583	5.3261	6.21	6.067	6.0873	5.7134	5.531	5.8097	5.9899	6.8436	5.9948	6.7556	7.1229	5.0806	6.436	5.0131	4.9592	5.291	5.6176	5.4484	6.6349	5.0261	5.4311	6.9402	6.1498	4.7933	5.3253	5.2214	5.1603
EA_G__MAPK13	8.8569	5.7396	8.8783	8.9074	8.7232	5.4127	8.4843	7.2281	6.6557	5.5989	8.9054	7.3132	5.6793	9.2513	7.9948	7.8879	7.9473	5.5743	5.7215	9.0168	5.3583	8.6374	7.9377	5.4413	8.6457	9.7135	9.2189	8.8961	6.4072	5.5621	8.1762	5.5973	9.1242	8.9669	8.3048	8.7898	7.7641	8.6697	8.3449
EA_G__SEPP1	5.8056	5.9218	3.3766	6.3037	4.7371	3.5677	6.3167	3.2726	4.6837	3.6948	7.4843	6.7786	5.6468	3.6065	4.0479	3.7188	7.1792	3.7197	3.9899	3.8702	4.1466	3.8268	4.8399	3.5405	3.4066	9.2661	9.3975	6.8488	4.9906	3.4597	3.7391	4.0567	6.7115	7.3823	5.9143	7.0828	4.9858	9.1555	5.4501
EA_G__HERPUD1	8.6285	10.4478	9.2085	10.5562	10.0457	9.4448	10.349	8.6294	9.3023	9.4727	9.8717	10.0827	8.4007	9.3534	9.6033	8.7193	9.3689	9.1327	10.4734	9.8305	9.1198	9.0948	9.0238	9.246	9.1072	10.4887	10.6213	8.9895	10.5573	10.2198	9.2076	10.4204	10.2215	12.2288	10.1602	8.8683	9.8176	10.4281	9.3348
EA_G__COL4A2	6.36	6.061	6.9582	5.9927	5.6818	9.1358	5.6938	8.5657	5.8659	8.1435	5.706	5.736	8.5431	8.8082	7.6081	6.3498	6.3447	9.6397	9.1724	6.1702	9.4784	6.189	6.2593	11.3453	7.8284	5.8093	5.7943	6.9666	6.5292	6.5386	8.0359	6.3432	6.0159	6.3401	6.3543	6.1933	5.9988	6.2438	5.8257
EA_G__CUL4B	6.6142	7.0274	8.4121	6.2287	6.8128	9.3472	7.0256	8.1315	7.2752	7.686	7.6102	7.6919	7.0614	6.7863	6.5816	7.5829	7.2735	7.3667	10.0552	7.1003	7.8513	6.5622	7.0789	8.6142	7.2966	6.404	7.2378	6.5199	6.8767	7.1544	6.4288	6.9163	6.5287	6.3816	6.6166	6.3577	7.0476	7.0727	6.9907
EA_G__NRAS	8.8555	8.6798	10.3366	8.779	8.7419	10.1321	9.294	8.8577	7.8488	8.7858	5.968	8.8714	5.4055	9.1916	9.9501	8.9914	5.3664	9.5788	10.417	8.7148	9.4073	10.6152	11.0763	8.9749	10.0815	8.4322	7.5223	8.2559	8.7267	9.918	9.3361	9.5803	5.4178	5.0209	8.1186	8.3406	5.1291	5.3785	4.6904
EA_G__TGM2	8.291	6.0616	7.0423	5.7179	5.6685	5.8302	5.5872	5.6804	6.1347	6.0938	5.4613	5.7582	5.7239	6.3815	8.1771	9.5003	6.2242	7.0675	6.8345	6.4743	7.0627	6.2897	5.9839	5.63	7.5554	5.7424	5.7822	6.6473	6.1463	6.5515	7.7965	7.8061	5.8887	5.8529	6.5328	5.9166	9.2223	5.812	5.7594
EA_G__PPARG	4.6215	6.5305	7.934	4.6426	4.1049	6.3852	4.0556	4.1574	6.1708	6.2069	6.668	4.9985	6.4105	6.7801	7.6333	6.6165	4.4049	4.647	4.4036	5.7946	5.4278	6.021	4.7007	6.6332	7.4767	4.882	4.7691	5.0838	6.0922	6.8835	6.719	7.2242	4.5426	5.4842	5.4998	4.629	4.8316	4.8671	5.0955
EA_G__RAB31	6.2049	8.207	8.5769	5.1319	7.9678	8.6318	4.3346	8.3939	5.9684	8.6436	7.7198	5.0101	5.8852	7.9053	7.1351	8.5096	5.9347	8.1378	9.1231	7.3167	8.2348	7.1382	6.757	9.0757	8.3771	6.9554	8.1439	5.658	8.7785	10.5171	8.111	8.5574	4.3963	6.72	4.3758	6.537	7.7962	5.6415	6.0797
EA_G__GBA2	7.0611	7.9182	7.2585	7.1177	7.7517	7.7342	8.9204	7.3434	7.9632	7.1583	7.0217	7.9961	8.1298	6.9633	7.4439	6.7869	10.8175	7.7709	7.9028	8.3792	7.6672	7.5137	7.7553	7.8072	7.9523	7.9938	8.3174	8.0147	7.6414	6.5285	6.4815	7.3485	8.6403	7.3107	8.0718	7.2136	7.4953	7.6339	7.5122
EA_G__ZNF772	3.4741	5.9614	5.8263	6.1535	7.5782	6.4878	6.043	6.5578	6.4763	5.906	5.4749	7.9019	5.5932	6.931	7.2329	4.4548	5.6856	6.1812	7.0567	5.7735	5.8018	6.387	5.848	5.9141	5.6669	6.9224	7.2034	6.3847	5.7905	6.5167	5.7084	5.6054	6.7026	6.4004	5.5536	6.5342	5.1591	6.1564	5.6997
EA_G__SCUBE2	4.7629	5.0546	4.9929	5.8206	11.4402	4.9679	4.8344	4.6654	7.3754	4.8634	5.6711	11.3873	5.0011	5.0155	4.8528	5.0303	7.8015	4.8511	4.9676	5.1207	5.0834	6.1512	7.9257	6.3243	4.9595	7.4764	5.106	5.7841	5.3968	4.9885	5.3571	5.0823	5.1082	5.4785	5.2741	9.74	8.5451	4.9859	5.4146
EA_G__GUCY1A3	4.5009	6.0531	4.9695	8.4516	5.9182	5.2069	3.9292	8.6645	9.9189	6.4862	9.1825	4.1816	5.499	6.6166	5.7355	8.1082	5.6982	4.5786	6.7644	10.116	4.5044	4.6991	5.7095	9.4398	4.1571	8.6149	6.2556	8.6845	4.532	5.0525	6.3449	4.4938	8.1693	7.6123	4.6695	4.3123	4.3976	7.4114	6.5141
EA_G__SACS	4.5844	5.5065	5.7151	4.387	4.7922	8.2338	5.5884	6.3576	7.2455	7.5184	5.6008	4.9033	5.9435	6.2962	5.4477	5.9335	3.5737	6.839	6.8542	4.146	8.3747	5.1792	4.7755	6.9225	7.6452	4.2029	3.5922	4.7532	5.8038	8.5415	5.6956	7.7867	4.8587	4.2936	4.3439	4.6223	5.3828	4.3278	6.2313
EA_G__SH3KBP1	6.9181	6.3485	7.4737	6.2274	6.2885	8.1333	6.2943	7.8321	5.0438	7.9499	5.0309	5.2233	8.041	6.9922	7.6968	8.5194	5.9744	7.0511	7.4211	7.9876	7.6714	7.6042	7.027	8.4773	7.8992	6.2095	5.0461	6.2935	5.9915	9.2351	7.3744	8.3209	6.2036	7.3834	6.9534	5.4421	7.2851	5.7527	7.1467
EA_G__GADD45A	6.0251	6.3877	7.29	6.2489	5.8731	7.0816	5.5713	7.2169	6.2905	6.627	5.9471	5.5842	6.46	7.4015	8.8588	7.7404	5.5864	7.7197	6.6974	6.4102	8.2647	6.0858	6.2982	7.206	6.8756	5.9687	6.3753	6.3945	6.1844	8.4067	6.1507	8.2315	5.9881	7.382	5.9993	5.571	5.8913	6.1594	5.5673
EA_G__FNBP1L	8.5219	8.5289	7.6478	8.4539	8.351	7.0591	9.6076	6.7787	8.6686	8.0961	8.2637	8.7931	7.2188	5.7429	7.8353	7.8897	8.3303	8.2916	8.1014	7.8392	6.9948	7.4318	6.9272	7.6996	7.3964	7.8818	8.683	7.6256	8.5993	7.5481	7.6881	4.6379	8.162	8.6585	8.0922	7.9175	7.273	7.8445	8.0693
EA_G__SLC44A4	11.6736	6.0217	5.1742	6.4575	6.28	5.1744	5.8406	5.1784	5.4359	5.1851	5.2161	5.3873	5.2039	5.4683	5.0755	5.4196	9.9478	5.5018	5.1499	6.7549	5.1958	5.7664	5.7798	5.3333	5.4313	5.9026	11.0876	7.5139	7.3705	5.4841	5.7716	5.4328	11.6179	5.6014	6.6319	5.8825	6.0667	10.1028	9.7302
EA_G__ZNF703	8.9258	7.2036	7.6985	8.3321	10.7497	6.7294	8.7856	7.5604	6.8715	7.1891	8.9055	8.3589	6.7036	6.9888	6.8515	6.7668	9.5952	6.8245	6.9589	7.3393	7.3347	8.401	8.7959	7.4865	6.8422	9.4783	7.1382	8.1575	7.1893	6.8779	6.9616	7.2656	8.5025	8.7906	8.6151	8.0155	7.6965	7.8571	8.3007
EA_G__TP53I3	7.2072	6.49	7.4101	6.4218	5.7296	6.8989	6.3822	6.593	6.3786	5.8914	6.2579	5.8603	7.2299	6.322	6.7791	7.2272	5.7907	8.2065	6.6747	6.855	7.2216	6.9246	7.2764	7.3061	7.6965	7.3598	5.8916	7.2624	6.6343	7.0675	7.4144	7.4269	5.992	5.5667	6.3766	10.7347	6.5291	6.4393	6.3972
SNP__GSTM1	1.308	0.102	2.472	-0.243	-0.13	1.142	0.296	0.868	-0.518	-0.31	1.245	0.005	1.479	-0.132	2.103	1.379	-0.257	-0.444	2.34	1.976	1.276	2.435	2.546	1.445	1.813	-0.172	1.723	-0.063	1.282	0.164	0.188	1.108	1.492	-0.384	0.043	-0.303	-0.303	1.499	1.386
EA_G__PGM1	7.8898	8.6544	7.9477	6.894	5.8824	8.622	4.6605	7.3383	10.4094	8.5205	6.1105	6.4397	8.8014	7.6357	8.8727	8.9912	7.8702	8.6363	7.5637	9.1468	8.202	6.5508	6.1904	7.7642	8.2013	6.8272	5.1604	7.7994	8.4064	8.5244	9.113	8.4196	4.5141	7.6432	8.3836	7.488	8.3279	8.1875	7.4485
EA_G__ACSS1	6.8642	6.1932	5.7212	8.944	8.8433	6.6751	5.9356	7.0809	7.7073	5.7282	9.4283	9.4403	8.2659	7.664	6.1994	5.7524	7.5795	5.797	6.8739	6.0574	5.482	6.9186	7.9288	7.7545	5.5491	7.1266	9.0184	6.6254	7.4327	5.8531	6.3413	6.4753	9.333	7.0617	7.336	7.6276	9.2122	6.1762	5.8835
EA_G__PVRL4	8.9017	8.8387	7.5802	8.6614	9.612	6.0215	8.4399	7.6435	8.619	6.0006	7.4022	6.9983	5.9267	6.4973	7.5051	7.1911	8.8506	6.8664	5.7394	9.0419	6.0255	8.6467	7.9387	5.9404	6.0246	7.6553	7.9653	8.7386	8.6132	6.1518	6.6455	5.8878	9.0033	8.5554	8.2224	8.8527	8.4894	7.7461	7.9785
