Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__EFS	5.6312	5.8379	7.5074	6.6899	7.0576	5.2477	6.1714	6.8069	7.6687	5.6171	7.7741	6.2187	6.8659	5.846	5.8344	5.5482	8.1291	5.4385	7.0219	6.6711	5.7584	5.7557	5.8945	5.2271	5.5316	8.757	5.6034	7.8905	6.128	5.5567	5.6693	5.8229	8.2628	7.5521	6.116	7.2822	5.9159	7.2416	6.0806
EA_G__PIP	5.4517	6.0194	4.2726	9.8248	5.6362	4.5378	4.3694	4.1597	6.2646	4.891	7.1082	5.4811	4.2352	4.3455	3.9187	5.0015	5.4016	3.98	4.2767	4.7902	4.8801	4.254	4.5241	3.9924	3.8229	6.6374	5.211	8.0533	5.4421	3.9923	5.1924	4.433	11.7168	8.0814	5.4705	12.3875	5.4503	9.2289	5.9032
EA_G__GLT8D4	5.4162	4.7151	6.1753	4.6364	5.56	8.5909	4.5511	6.4599	6.9925	7.8917	5.3506	5.6089	8.3612	4.909	5.3307	6.439	4.642	6.4971	7.7787	4.8082	7.0644	6.5883	5.5457	6.3558	6.3478	4.9884	4.4178	5.2385	5.3691	7.1987	7.6105	7.5528	5.0621	4.7053	5.652	5.7258	6.6445	4.8007	5.769
EA_G__EHF	8.9418	7.9677	7.8953	8.8702	8.3787	3.4608	7.0353	8.5755	9.3891	3.7674	8.0012	6.4301	4.3068	9.4851	8.5171	8.2355	9.4367	7.3563	3.5329	8.1561	3.837	7.2835	4.963	3.0694	3.5169	8.217	8.8245	9.2446	7.1737	4.1825	7.2807	3.8479	8.8579	9.2408	8.1504	9.8011	8.7526	8.8216	9.3806
EA_G__CTSH	9.1657	7.8295	9.6938	8.0322	8.7116	8.5869	5.5315	8.4511	8.0863	6.4945	9.7603	8.0625	9.3242	8.5953	8.9432	9.5252	8.341	8.4416	7.2664	9.9204	5.6387	8.4003	8.9769	7.5765	7.2789	6.8818	8.5445	6.6818	8.1243	8.5227	8.5039	5.5465	5.5571	7.9805	8.151	8.5519	8.9272	8.1753	7.6677
EA_G__MFSD2	7.2966	7.7164	6.0506	8.6138	6.477	6.0257	6.2412	6.2149	8.0212	5.8516	6.1562	5.419	6.3786	7.6426	6.6083	6.4054	7.0198	6.887	7.071	7.4308	6.0344	5.6524	5.7796	6.7033	7.8895	5.9641	8.505	8.7674	8.0289	6.471	8.3094	7.1014	10.8495	6.757	7.2966	6.0039	7.0495	5.3309	6.8767
EA_G__DCBLD2	8.5471	4.4849	10.0473	7.708	6.5121	9.4737	3.6511	8.2451	7.0105	8.7746	8.1518	3.6162	7.8489	10.0058	9.1965	9.857	8.0481	9.6844	9.6487	8.7991	10.7754	7.3132	6.7617	10.5443	9.4729	7.8692	3.5968	6.9997	6.6151	9.3028	7.7366	9.0471	7.064	7.7637	7.4904	8.1841	8.5023	7.8199	7.5897
EA_G__TNFSF10	7.2591	5.7198	3.5621	6.1808	6.6762	3.9131	4.191	3.5048	7.7882	3.4474	7.5689	6.5684	3.5722	4.645	6.3477	6.4558	8.1757	5.2783	3.5772	9.709	3.725	3.7304	4.1417	6.8426	4.6852	7.0454	8.5212	6.1688	4.2662	3.6572	4.2944	3.437	7.5867	9.1214	7.7597	6.7804	6.5223	5.9878	4.0143
EA_G__OBFC2A	8.663	7.6101	9.2122	5.7752	5.5617	8.0921	4.5264	8.1177	5.6774	8.5995	6.3325	5.6037	7.6901	9.0276	8.7656	8.7563	6.3893	8.8214	9.7788	7.8827	9.2412	6.4123	6.7442	8.2834	9.4543	5.5142	6.1973	6.3699	6.996	8.5565	8.4307	9.0169	7.7607	7.9834	6.1808	5.7689	6.4453	5.6546	6.4721
EA_G__PDK2	8.2428	7.0593	7.3418	8.6813	8.1326	7.0869	8.0833	7.6765	7.668	7.2951	9.5634	8.5473	7.3267	6.8853	7.5144	5.2004	7.6	7.5001	8.071	7.2623	6.6124	7.5269	7.8726	7.353	6.89	9.2013	7.7035	8.4327	6.8599	5.42	7.5932	6.1561	7.9233	6.9924	7.5973	8.3188	5.2635	8.3825	8.3118
EA_G__MAFB	5.7342	5.3906	6.6703	7.3827	6.9851	5.7129	7.8404	6.6004	6.6936	7.097	5.5364	6.4347	5.5098	5.5565	6.3613	6.3785	6.7016	5.7772	8.3503	6.5847	6.896	6.0837	6.9178	5.8583	5.1738	6.3921	6.1406	7.377	5.9378	5.7124	8.595	5.6891	7.012	7.3939	7.0224	5.7475	6.1	5.865	5.9192
EA_G__CX3CL1	4.8992	7.5203	5.2355	8.1937	8.0604	5.3572	4.9287	7.6396	8.1076	8.1127	5.2753	8.3565	6.5916	5.3695	5.828	6.712	8.6337	6.9305	7.4107	9.3933	4.8522	5.3672	5.3974	5.562	5.068	5.56	6.1645	5.6093	8.2584	5.6996	5.5162	5.4522	5.5328	9.1033	5.7656	5.5337	5.1705	5.342	5.4813
EA_G__GHR	3.6065	3.4555	3.1078	7.0331	4.4249	3.2946	8.2991	3.6146	7.3657	3.4598	6.2015	6.8667	4.7513	3.453	3.1757	3.2235	4.0767	2.9606	3.0266	4.2527	5.2987	4.6304	7.0062	7.6029	3.0519	5.8397	7.612	7.7942	3.5592	3.7344	3.2773	3.4318	6.1368	3.7827	5.217	7.7204	4.3278	5.4494	4.6905
EA_G__CYFIP2	6.9195	7.6336	5.8455	9.0937	8.0094	4.9558	9.1605	7.1359	6.1258	4.9594	6.3421	7.6514	6.2954	5.2496	4.8951	5.2998	8.4513	6.591	5.0957	5.0147	4.9933	7.4391	7.4575	5.4852	5.7216	7.2038	9.1192	6.5537	7.9774	5.9874	5.4906	6.214	9.1159	5.4779	9.0647	8.058	8.4102	5.4775	8.5427
EA_G__CTSL1	7.6904	7.1446	5.9869	5.883	6.5277	9.1712	6.6027	6.0323	5.851	7.413	5.9477	5.9626	6.4435	7.0527	6.8364	7.614	5.1383	6.8249	7.5579	6.3704	7.4269	6.6451	6.6534	7.4699	6.91	5.9933	7.3942	4.9259	7.1257	10.0666	7.3463	6.5746	5.5826	6.8836	6.2702	5.4304	6.6445	5.5102	5.704
EA_G__NBL1	5.6874	6.1693	6.0302	6.5123	7.91	7.2287	8.8627	7.4446	6.4894	6.4088	7.8477	8.9876	7.7277	7.8409	7.989	6.262	7.4926	6.8964	7.0244	9.3898	7.4014	6.5167	6.2728	7.7704	7.2223	7.4465	9.3873	8.9764	6.4183	6.2493	7.4905	7.3304	6.0452	7.0402	6.3728	7.4907	7.1949	6.2454	6.7302
EA_G__BRF2	6.6475	6.2276	6.4428	7.0071	9.4145	7.2164	7.8488	7.1488	6.7196	6.3591	8.1825	7.3209	8.0953	7.5814	6.3615	6.3304	7.0131	6.7187	8.2402	6.0198	6.7729	6.6952	6.6157	7.437	6.5626	8.153	6.7856	6.8661	6.5485	6.3313	5.8399	6.6518	7.0016	8.8859	8.022	7.1646	6.5129	7.7892	8.2845
EA_G__ELK3	6.214	5.7875	6.4343	5.0173	5.7208	6.3793	6.0668	6.2242	5.6844	6.4943	6.0164	6.0869	6.0582	6.9747	5.8821	6.9185	4.5117	6.5217	6.7734	6.2157	7.2924	6.2209	5.6102	6.1929	8.1946	5.6704	5.4659	5.4923	6.0903	8.2677	6.319	8.0026	5.7072	5.567	5.9615	5.5961	5.5168	5.4524	5.4035
EA_G__CXADR	8.1242	8.319	6.2655	8.1395	7.1178	7.7775	6.8156	8.8884	8.8088	4.5049	9.7127	4.296	6.9281	7.6426	7.2309	9.0671	8.571	7.8728	7.7685	9.1079	5.8523	5.5015	4.419	5.97	5.7844	8.1596	8.4086	8.1508	7.4478	6.0175	7.8805	6.1286	8.7646	8.0084	8.2033	7.7026	6.4509	6.9211	7.1124
EA_G__THRA	7.6633	8.9597	6.4384	8.027	7.7901	7.1068	8.7645	6.8579	8.0306	7.0542	6.2938	7.2483	7.7367	6.9753	6.3581	6.7029	7.0508	7.1104	7.967	8.2489	6.9226	7.4362	7.3108	7.9166	6.6786	7.2192	7.9817	7.2929	8.3527	6.7823	7.784	7.8335	7.1	7.7586	7.5549	7.6964	9.9698	8.0602	8.0673
EA_G__RERG	6.304	5.7883	5.1813	7.0617	8.9341	6.9909	7.1023	5.2465	9.1777	6.389	7.4429	6.875	3.3728	3.7	7.0141	4.2244	8.5667	3.7031	3.7498	8.8424	4.2458	5.4949	7.6464	4.9248	3.7492	8.2545	7.997	5.7481	4.6398	3.8895	7.7126	3.8277	7.7315	6.8926	4.3393	7.2201	6.6304	6.0999	6.942
EA_G__PRLR	4.5995	7.9719	3.7946	9.1863	9.9247	4.9871	9.5426	6.8392	7.9902	5.3778	9.5253	9.6628	4.8155	3.4702	5.1603	5.2633	8.3946	6.1661	3.8892	6.4743	3.5713	6.7331	8.7018	6.0702	3.9288	10.1469	8.5814	7.4217	7.8099	3.7377	4.6704	4.4364	9.0648	6.4511	8.0691	11.1837	7.9121	8.9712	5.9926
EA_G__ST6GALNAC2	10.2973	5.0291	5.516	10.3685	9.1426	4.5595	8.7228	6.5984	7.353	4.8036	9.9648	6.5371	4.6823	5.9709	5.9589	4.8008	8.1178	5.1009	5.8811	7.4136	4.6967	6.3217	8.8799	5.7877	4.6438	11.3695	9.1258	9.9534	5.1063	4.954	6.391	4.6258	9.9215	6.6702	10.1722	9.3112	10.0639	10.5198	10.1631
EA_G__NT5E	5.9068	7.0846	5.1501	3.9196	3.2264	9.0413	3.3792	7.2634	3.8917	3.5081	3.4181	3.341	3.6388	6.864	8.5101	8.8687	3.5929	6.896	5.2742	5.9823	10.1163	3.8698	5.5831	8.137	10.8683	3.268	4.7321	4.3347	7.0175	10.6481	5.3531	8.4554	3.5999	3.747	3.7861	3.4798	3.9113	3.6276	3.2018
EA_G__ATP6V1B1	8.431	8.806	5.902	7.3183	6.9918	5.9325	5.7772	6.4595	6.2043	6.3031	6.1353	9.5806	6.3115	6.287	6.7994	6.0559	9.4686	6.157	6.0111	9.3752	5.722	6.8148	6.4098	5.9892	5.9529	7.875	9.1033	6.5552	8.2919	6.0271	7.2476	6.1054	7.2345	8.1543	6.8779	6.3264	7.0163	6.1973	6.1065
EA_G__RBP1	4.8403	5.9552	5.457	6.6656	6.0731	5.2736	5.9034	9.2259	7.7798	5.7334	5.6325	8.3341	5.4096	6.5517	8.8984	7.9803	5.797	6.2743	7.3786	7.6065	5.3195	5.4454	6.0751	7.1653	5.6685	5.5169	8.7108	5.8746	5.5847	5.6237	8.4724	5.6264	5.294	10.3371	5.7197	5.646	7.4831	5.5608	5.3198
EA_G__FGFBP1	6.3225	5.2148	4.9506	5.1963	5.1792	4.6488	4.6917	8.0087	5.957	5.0765	4.397	5.121	4.9933	9.6209	10.2994	7.1379	7.3946	7.7014	4.9615	9.6788	4.4341	5.1536	4.7886	5.5871	5.4156	5.1479	6.8693	5.6272	5.0578	5.0235	10.3758	4.803	5.459	8.9481	5.4596	6.1439	5.1489	4.7668	5.0402
EA_G__ACSL1	8.4285	9.3878	8.6513	9.8595	7.938	7.0775	9.3158	7.6291	6.6026	8.2128	9.6152	8.8888	7.4057	6.6016	8.5239	8.7204	8.4505	6.5524	6.2068	9.8073	6.9813	7.6201	5.1828	7.2449	7.5045	8.814	8.3192	9.1933	8.0645	6.585	9.5051	8.4462	8.6173	9.4908	10.3861	8.6547	8.5527	7.1048	6.8911
EA_G__MAP7D3	5.3052	6.181	7.0881	3.7726	5.4351	8.0335	4.1145	8.2134	6.6816	7.4399	3.8649	5.2828	6.9662	6.369	7.7975	7.3791	3.9768	7.9146	7.4129	6.0423	7.4841	5.9373	6.1096	6.9765	8.4972	3.8711	3.6075	4.4657	5.4472	6.6247	7.5826	7.2635	4.9255	4.3312	5.013	4.094	6.2554	3.8949	6.3251
SNP__LOC643473	-0.26	-0.178	-0.209	-0.352	-0.211	-0.07	0.064	0.078	0.129	0.094	-0.251	-0.141	0.04	-0.124	-0.036	-0.541	-0.29	-0.094	0.287	-0.184	-6.439	-0.006	-0.191	0.002	-0.159	-0.186	0.2	0.211	-0.383	-0.676	0.188	0.002	-0.053	-0.293	-0.142	-0.139	-0.296	-0.159	0.024
EA_G__LIX1L	7.0503	6.1563	6.3021	6.3732	6.1186	8.7243	6.1524	6.3183	7.1465	9.297	6.3577	6.1008	8.1997	7.2702	6.291	7.1682	5.8085	7.3612	8.4933	7.499	8.3386	6.4769	6.4167	8.6126	8.6972	6.1507	5.6465	7.0801	6.2616	8.5432	6.7169	8.4945	6.0937	6.5185	6.4799	6.6102	7.8906	7.1669	6.7312
EA_G__TIMP2	8.0733	8.3458	7.5595	5.3944	8.578	8.7678	6.3471	8.206	6.7557	9.266	6.5326	6.6301	7.4328	7.5212	7.6423	8.8436	6.5074	8.6701	9.1357	7.1354	8.2937	6.9135	6.629	9.9272	7.5771	5.6731	6.6532	4.7218	8.7064	9.815	7.1412	8.3924	5.6884	6.8307	6.477	7.3707	8.4241	4.9285	7.046
EA_G__OAS3	8.2237	7.6448	7.0677	6.1127	9.0316	5.7509	7.3295	7.4997	8.5851	5.8028	5.1451	7.1703	8.434	8.6271	7.967	8.7854	6.2695	6.0357	6.9072	9.6007	4.9176	7.4661	7.1695	5.763	7.3515	7.8704	8.5413	7.2501	6.2291	6.6144	7.8217	6.3745	7.7032	9.1884	7.9386	8.3148	6.03	7.1356	6.5609
EA_G__SLC39A14	7.2392	7.0695	8.413	6.7073	6.6778	9.7325	7.094	7.6136	9.8801	8.189	7.4083	7.1434	8.5716	7.6742	7.7243	6.9608	6.898	7.8345	8.1108	6.6582	9.4612	7.1446	6.7092	7.542	8.3485	5.9451	7.0796	6.3629	7.3537	10.7989	7.488	8.4903	7.7988	5.7332	6.6494	7.0208	7.5143	6.2866	7.8622
