Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
U133A__SGK1	4.5039	4.9334	6.1785	4.7827	5.0255	8.6493	4.9394	7.5162	7.9635	4.3632	4.5738	6.4205	8.1867	7.2171	5.7353	4.9836	4.2787	5.4377	7.4515	6.0284	7.7563	5.059	5.5643	7.6973	7.0334	6.3626	4.4837	4.4109	4.9636	8.6062	6.7889	7.1807	4.5583	5.3698	6.1684	4.7328	4.6854	4.8292
U133A__C4orf19	7.472	6.995	6.1152	5.7927	6.3656	5.2571	5.9706	5.8058	5.259	4.7316	6.7285	5.4242	6.6961	7.585	5.7606	7.2136	10.2326	6.1892	5.0874	6.2435	4.9288	5.7074	6.7407	5.4766	4.9949	7.6176	8.3724	6.8461	6.9588	5.0222	4.9962	5.2601	8.0656	6.9566	7.7508	8.4822	5.3883	6.2493
U133A__TTC39A	6.7363	7.9537	4.4192	6.888	8.6528	3.8361	6.2428	4.2693	4.6311	5.2211	9.349	4.463	4.6581	5.3975	4.1091	5.2844	6.965	5.4051	4.311	6.2015	3.7661	4.5869	7.2805	3.4222	4.2968	7.8908	7.3398	7.8998	7.1437	4.1734	3.6019	4.3341	7.0522	7.0384	6.696	7.1654	6.5769	7.4901
U133A__CYB561	9.3231	8.9941	7.8642	7.9717	8.632	6.2388	8.0748	6.4993	7.6969	6.9168	8.6582	8.3664	8.4426	7.8981	7.7693	9.4771	7.5397	7.7448	7.7648	8.0632	6.9285	9.7372	9.1411	7.0833	7.3983	10.3813	8.2127	8.7824	8.5366	5.2097	7.0984	6.7225	10.2413	8.9039	9.4326	8.5092	8.7911	9.3286
U133A__SLC24A3	5.6004	5.5097	4.5251	7.0284	8.6046	4.2919	7.6789	4.5472	5.7657	8.3801	7.8815	6.0192	4.488	4.5344	4.5142	6.0343	7.7085	4.6155	4.9532	6.8012	6.2703	4.6445	6.0407	4.3953	4.6406	6.2134	5.5668	7.404	5.3517	4.4037	4.821	4.696	7.0271	5.4589	6.5218	6.8955	5.5253	5.9244
U133A__KRT19	11.6554	11.9776	10.9191	11.935	12.491	3.995	11.6489	4.3819	10.8671	10.3292	12.2228	3.8177	10.8381	4.5913	4.6342	12.1027	12.4618	11.0216	10.3341	11.7799	3.831	10.65	11.6347	4.0939	7.2772	11.6624	11.784	10.9377	12.0028	3.9802	10.1275	3.2941	11.8623	11.6439	11.4468	12.1604	11.9516	11.561
U133A__MYB	7.1063	6.9468	5.5605	7.1427	8.3619	5.2382	6.1754	5.2894	5.4142	6.3239	6.4602	5.2946	4.9253	6.2981	5.4064	5.8573	7.3429	5.4122	4.8759	5.6105	5.5049	6.3934	7.2538	4.4327	5.3734	8.3463	6.7762	7.5681	6.5134	5.2487	5.4891	4.8102	5.5343	6.6125	6.4074	6.262	6.2372	7.4982
U133A__ERBB3	9.0074	7.5004	6.4014	8.3846	9.4643	4.1332	7.8718	3.9425	7.0488	7.2396	8.1221	7.1116	6.5673	7.1065	5.2443	8.1957	8.2884	6.1232	6.1179	7.809	3.9223	7.4837	7.907	5.1573	4.7362	8.49	7.7735	8.3471	7.8318	4.3134	6.0561	4.2768	8.8454	8.2685	6.8618	8.571	8.3354	7.6055
U133A__GATA3	4.3432	3.6303	5.3574	5.039	9.974	4.1358	8.5593	3.5801	2.9041	5.2215	8.0058	4.0984	4.9866	4.7334	5.0131	7.259	7.9089	3.0972	5.915	5.4572	3.2756	8.2784	9.0129	2.9786	3.0718	7.1761	6.9304	9.0051	4.2017	3.2494	3.2905	2.7796	8.2158	5.6253	7.0477	8.5736	6.4257	8.156
U133A__ZHX2	6.6374	9.2638	6.7542	7.8713	7.8561	4.9952	6.5017	6.1914	6.0232	7.4021	7.1239	5.0842	5.9716	7.2131	6.5772	6.5952	8.4563	6.9501	6.0953	8.0637	5.4724	6.7913	7.4885	4.9739	6.05	7.6426	6.7416	7.0132	6.648	6.059	6.029	4.8623	6.4096	7.6708	6.0315	5.7254	7.2085	7.0087
U133A__XBP1	10.8344	9.815	7.6964	10.7009	11.15	7.9069	10.6604	7.5297	7.6036	7.9543	9.2154	7.8611	8.1184	8.313	7.637	9.3929	10.5899	8.1677	7.1544	8.6517	7.6438	9.3516	10.7117	7.2265	7.889	11.5911	11.2322	11.2977	10.1574	7.1282	7.1631	8.0768	11.2015	11.1151	10.9035	10.9459	11.6974	10.5644
U133A__SLC39A14	6.6658	6.3508	8.5567	5.7462	6.1677	9.7025	6.6078	6.8325	6.3584	10.0436	5.8834	7.972	7.7405	6.3612	6.229	5.618	6.6312	7.0261	7.3375	6.1078	8.8219	6.2226	6.0328	7.3106	7.9923	5.6425	6.5311	5.5457	6.6012	10.1244	7.5401	8.3297	7.8884	5.1832	6.6665	6.7652	5.9987	8.1011
U133A__PIK3R1	6.3096	5.6139	6.3818	6.1887	6.773	5.1455	6.0698	5.6789	5.2187	5.862	7.7312	5.0392	5.7226	5.5993	5.6563	6.3551	5.6785	6.8184	5.2997	6.4776	5.8206	6.3955	7.1854	7.0608	5.0786	7.077	6.7442	8.2348	5.1387	7.0363	5.4349	8.1998	7.5307	7.3329	6.3289	6.5928	7.6142	5.8725
U133A__TRIP13	7.745	8.3821	9.099	8.3399	7.2109	8.4946	8.4298	9.1761	8.1542	8.1616	8.0032	8.2922	9.269	8.9522	11.8558	8.2882	8.7189	8.5732	8.6762	9.2749	9.1383	7.9553	7.9682	8.3787	8.1315	7.9447	8.0787	7.9149	8.2085	8.3646	8.3153	9.9502	6.6053	7.1	7.2737	8.9561	6.3957	7.9724
U133A__PDLIM2	6.1838	6.4469	6.5686	5.0195	5.6124	8.445	5.1054	6.6544	6.7985	7.5575	4.7108	6.3607	5.2325	5.6691	6.1512	4.6418	6.3079	7.0536	6.8265	6.1954	8.6963	6.1059	5.2037	6.625	6.7859	4.9201	6.5696	4.5589	7.137	7.7536	6.8021	7.2215	5.3168	5.6906	4.947	5.8226	6.1648	6.9082
U133A__GALNT6	8.8821	7.3905	8.324	6.7568	9.7521	5.1143	8.8841	5.7714	6.8554	6.1052	8.3463	5.6143	6.7577	6.284	8.1603	7.455	8.2228	6.9834	5.9045	7.5279	5.4304	8.8602	7.768	5.6215	5.8084	8.4236	9.1485	9.1731	8.7939	5.665	7.8211	5.8236	10.0613	8.3165	9.245	7.746	7.8728	9.2057
U133A__AHNAK	5.281	5.7218	6.4729	5.9388	5.7781	5.2206	5.2713	4.9275	6.1827	6.0559	6.224	5.2952	5.0968	6.7373	7.6819	5.6581	6.8806	5.6812	5.9843	7.446	5.8018	5.7293	4.9851	5.331	5.0914	7.506	6.7486	6.7658	6.1605	5.0432	4.7147	5.4686	5.7549	8.1404	7.3006	5.636	6.6421	7.5269
U133A__HIST1H2AC	6.6347	6.1315	6.2762	6.5263	8.9285	6.3159	8.2325	5.5273	6.2668	5.7625	8.2922	6.892	6.4753	8.9315	5.4115	7.5241	9.1759	6.6311	9.0257	6.3429	6.1112	6.5974	7.5399	7.5443	5.4127	8.1253	8.7312	7.1371	6.148	7.2614	5.7119	5.4892	7.0303	8.049	6.763	7.3041	6.201	5.5955
U133A__DCTD	6.7368	5.2551	7.543	5.1467	5.2233	6.3193	7.0626	6.6695	6.191	5.2222	5.2165	8.2899	7.0776	7.2563	7.3378	4.372	5.1893	5.3932	7.6038	6.9105	6.8982	5.9638	6.1875	7.3325	8.1583	6.0793	6.8102	6.0422	5.4363	7.4175	8.6957	7.8895	6.5288	6.9611	7.7797	6.4909	6.6284	7.042
U133A__NRAS	5.5548	6.1408	7.7102	6.0264	5.2946	7.6303	6.9143	5.426	5.5279	5.2327	6.1487	4.6216	7.2599	7.2058	6.6215	4.9542	4.2955	7.6456	7.144	6.1282	7.0791	8.2575	8.4564	6.3052	7.7325	5.1749	5.0033	5.4207	5.5992	7.5259	7.0119	7.2775	4.3038	4.2994	5.9637	5.7282	4.1235	4.3905
U133A__SH3BP5	4.5669	6.8751	7.6365	6.3726	7.6208	5.3896	6.2074	6.9909	5.7432	8.4108	7.7287	6.5201	5.893	6.0643	6.2105	6.1593	6.5372	4.3785	6.5156	7.5147	5.231	8.6417	8.4431	6.5498	5.8189	7.3821	6.1776	6.3141	6.571	7.6624	5.2193	4.8949	6.9699	5.8436	6.8418	6.3893	5.6068	6.8504
U133A__LMCD1	6.5609	6.4091	6.5713	6.1756	7.4953	5.3439	6.2751	5.829	7.8319	5.3364	7.8935	7.3762	5.3461	5.7221	5.6691	5.9457	7.0603	5.1047	6.4592	6.3042	5.9992	6.2394	5.9717	5.9372	5.7364	6.2042	7.0151	6.8584	6.1463	5.4766	5.0203	5.7004	7.9499	6.6592	7.4884	7.5056	6.6191	5.7219
SNP__SHCL1	0.37	-3.776	-0.191	-0.146	0.229	-0.093	0.096	0.186	0.39	-0.191	0.284	0.058	-0.119	-4.672	-0.149	-0.357	-0.586	0.234	0.241	-0.253	-0.189	0.005	-0.126	-0.133	0.125	-0.12	-0.315	-0.532	-0.576	-0.138	-0.114	0.06	-0.305	-0.354	-0.139	0.301	0.011	0.023
U133A__QPRT	6.2711	9.4457	8.2145	7.4417	6.489	5.6007	6.3278	5.5574	5.4435	5.1401	7.275	7.3774	5.6756	5.5612	6.3718	7.9553	8.0511	8.7061	7.02	9.2734	5.9733	7.4239	8.1142	8.6614	5.2379	9.1192	8.4536	6.314	8.5981	5.9379	5.4969	5.6873	7.2077	9.2223	6.3381	7.7665	8.0018	5.6556
U133A__TSC22D3	8.6296	7.6905	8.256	8.0938	8.2768	6.8298	8.046	6.6455	6.3736	7.4189	7.9939	6.8413	6.5075	8.4426	6.8274	8.6658	9.6233	7.1738	7.9296	9.0921	5.9813	7.7376	8.113	6.4745	5.5423	7.798	9.5332	8.5134	8.297	7.2593	7.1095	8.0444	7.5857	10.0225	10.701	6.4267	9.4171	7.5559
U133A__C14orf147	7.7955	8.3373	6.6856	8.171	8.4945	6.8873	8.2934	6.8596	6.7264	6.9095	8.3919	6.5508	5.5822	7.4452	6.6456	6.933	8.6093	8.602	9.9961	7.2904	5.9391	7.7385	7.521	6.7347	7.4272	8.6416	8.0875	8.3295	7.9421	6.3528	6.4246	6.1853	7.4063	8.0512	8.3688	6.4358	8.4628	7.7993
U133A__CLDN3	7.7269	8.5775	5.1292	7.7776	9.2494	4.7725	8.7299	4.6935	8.1731	6.2573	8.0305	4.4347	5.0398	6.8845	4.4998	10.8392	3.9735	3.9722	6.2876	7.4706	4.6249	8.2015	10.1075	4.2289	4.4656	7.8263	8.3076	7.829	7.6463	5.0252	5.2019	3.7519	9.1572	10.4226	6.5411	9.7858	5.8151	7.4535
U133A__TUBB6	4.8682	6.5678	8.0465	6.253	4.4901	9.8768	4.9213	9.5493	8.3339	9.2657	7.3934	8.5949	8.9081	8.7762	7.6112	5.3791	6.6415	9.8152	9.8057	8.0943	9.7499	8.3425	7.4325	10.4802	9.0045	7.5802	5.0843	5.1846	6.5456	10.1106	9.4057	9.6441	5.1798	6.0299	5.5564	7.8651	6.4891	9.5322
U133A__PRR15L	8.4675	7.591	6.1531	9.0722	8.1647	5.2518	7.9719	5.8518	9.937	7.0928	8.2127	5.8732	5.7062	7.6331	6.1713	8.5749	8.9961	7.8532	6.768	8.1892	5.6078	7.6569	8.1452	5.3097	5.9224	9.8647	7.949	8.5299	7.4547	5.3048	6.2798	4.9068	8.3583	8.9671	9.4867	7.4828	9.7675	8.9323
U133A__CREB3	6.9815	7.295	7.4987	6.6385	7.5188	7.8333	7.8931	7.4788	7.2634	6.8872	7.2219	7.4311	7.737	7.0628	7.0688	7.8723	10.674	7.9901	6.7089	7.9428	7.7562	6.858	7.126	7.9442	7.5443	7.9957	8.3155	8.1355	6.7483	7.733	6.7167	7.73	8.3628	7.7211	8.7709	7.5401	7.6952	7.717
U133A__MXRA7	7.3883	4.9898	5.2513	6.1786	7.3459	8.8708	7.5332	9.6161	7.994	7.5735	8.5232	8.4778	9.4836	7.0129	5.6822	5.7562	5.2279	10.1797	9.496	8.2414	9.2301	5.9779	6.369	10.6844	9.4217	6.698	5.4442	5.2076	5.147	8.9371	8.2772	8.9797	5.5672	5.5043	5.2859	7.7395	5.6894	7.6177
U133A__BCAM	10.151	8.1702	6.8482	8.9493	8.1994	6.1925	7.2428	7.4964	8.1735	7.7114	8.0871	7.3462	6.5328	7.6031	6.7278	8.1161	7.4603	7.2592	7.7261	6.6556	7.1254	7.5406	7.3836	6.9566	6.6431	9.5823	7.5033	7.9197	9.1546	6.9064	6.5732	6.4991	9.2367	8.5722	9.1207	8.013	7.997	7.2864
U133A__TRIB3	9.0028	9.4839	8.2244	9.3851	8.2841	8.1789	9.2784	7.2441	7.8627	8.1408	7.3561	7.9885	8.0431	8.3225	8.1897	8.7604	9.1229	7.2537	7.8749	8.5921	7.3169	7.7317	7.7524	7.7019	7.0513	9.2248	9.1973	9.2415	9.2335	6.7173	8.1263	7.6057	10.2862	10.4969	10.5917	8.0399	8.2995	8.6039
U133A__SELENBP1	8.8083	9.7924	6.2626	7.6433	9.2375	4.404	8.985	5.7129	8.8748	7.4447	7.9249	6.8402	4.8861	6.996	5.9103	9.6817	8.3716	5.1255	6.3603	8.2953	5.4059	5.6645	7.5547	5.0839	5.9437	7.8378	7.8349	9.293	9.5222	5.4631	4.9068	5.4815	8.5464	8.5024	8.8177	7.1748	9.6663	8.0155
U133A__AGR2	10.3169	10.6821	4.8118	11.0027	11.4133	4.8801	9.5473	6.1277	4.7238	4.9574	5.6983	5.7322	9.8422	7.8487	8.9628	11.0145	11.018	5.5521	4.8807	6.5245	4.9432	9.0223	9.5307	4.1066	5.8781	10.7955	11.9865	9.8595	9.5144	5.8546	5.7616	4.7808	12.2035	10.6989	11.3355	11.4831	9.3155	10.4286
U133A__HIST1H2BG	4.8283	4.2641	3.7738	5.0005	8.9158	4.5763	5.5262	4.2147	4.4331	5.2718	9.2574	5.3945	5.7249	6.471	4.4167	7.7626	6.6603	4.5105	7.4535	4.1956	4.0378	5.3949	6.6731	5.2408	4.1684	8.9951	6.9417	6.9214	4.4134	4.9449	4.4145	4.68	5.8657	6.7726	3.6731	5.8628	4.8942	4.9211
U133A__CAV1	4.2859	4.1942	8.1428	4.49	4.2497	10.769	3.9335	9.4857	10.2245	4.1066	5.7522	4.5139	10.4314	9.7651	8.6141	5.5414	5.3759	8.5934	9.5218	8.7912	11.4435	5.6543	6.486	10.4205	10.5667	4.3654	4.8546	3.8748	5.5985	10.5467	9.5059	10.8746	4.009	5.6255	4.2529	4.2671	3.9104	3.9756
U133A__BAG2	3.9484	3.6233	4.2663	3.847	3.6546	6.779	3.7302	6.7389	4.687	5.112	3.9445	6.6817	8.2798	6.0631	5.3853	4.0193	4.1116	5.402	5.1323	4.2779	6.4596	4.6848	4.244	6.4698	7.9802	4.5399	3.9434	3.9206	3.9939	8.1652	7.0594	7.9745	4.0376	4.4212	3.8011	4.8384	3.5252	3.6305
U133A__CRABP2	7.7927	6.2883	7.6984	7.1272	11.2478	7.1984	9.2384	7.2001	10.2575	11.042	10.4868	7.9145	5.679	11.2348	9.6855	11.4223	10.9394	9.1947	9.329	11.2675	6.4565	10.9021	10.0104	6.0832	6.5894	7.7354	10.3027	10.8015	9.5601	7.2299	6.7276	6.367	9.2587	8.4121	9.1007	10.4822	9.367	8.6028
U133A__TIMP2	6.9407	8.1437	7.5463	5.9061	6.7268	6.8093	6.4559	6.6186	7.4862	6.1842	6.645	7.2158	7.4453	6.6229	7.8937	6.3703	6.1997	7.5739	7.5759	6.5576	6.9703	6.4701	6.6941	9.6382	6.7168	5.6529	6.2677	5.5385	7.5049	8.0501	6.498	6.5791	5.934	6.7798	5.9121	6.6794	5.8372	7.0237
U133A__KDM5B	8.1465	7.4558	6.7369	8.3674	9.3575	7.7621	6.8057	6.3016	6.7703	9.3637	6.7633	6.888	7.5471	7.688	6.1548	8.1849	7.2104	6.6561	7.2374	7.8139	5.2883	6.9218	8.0348	7.1837	6.3683	7.883	7.3634	7.4506	6.7803	6.9829	6.1166	5.7313	8.4742	8.0702	8.648	7.9186	9.667	8.2752
U133A__ABCC5	6.6226	8.0779	7.8607	7.1449	7.6776	6.8408	8.5504	6.9079	7.4246	7.1746	9.5645	7.9864	8.1341	7.9396	7.1158	7.6418	9.4831	7.1401	7.208	8.2613	7.2144	8.3302	7.7177	7.0907	6.9575	8.0859	7.7665	8.0521	8.6714	6.9314	6.6645	6.9156	10.0979	6.9137	7.4944	8.5541	7.0478	7.2983
U133A__PDCD4	6.1441	4.7881	3.469	6.8825	8.2694	4.4945	8.2124	4.4722	5.7415	6.9783	9.3378	4.8222	5.4742	6.1414	3.284	6.6053	6.8198	4.9423	4.4933	7.5575	3.7218	4.8931	6.3885	3.7962	7.4032	7.8862	9.6151	7.2734	3.8107	5.177	4.0607	4.2696	6.9303	6.7761	6.487	7.7569	9.0148	8.2637
U133A__CRIP2	8.2574	9.2634	6.3153	9.209	9.9678	7.8746	8.3415	6.5901	7.7681	8.0402	9.0021	7.6044	5.5453	6.6722	6.6952	9.1442	8.8685	7.8221	7.9649	7.9883	7.3507	8.6357	8.6983	6.3079	5.1886	9.2302	8.0924	7.8109	8.3547	8.1304	6.4487	5.4693	9.8773	9.8924	7.1792	9.294	9.0175	9.4029
U133A__MAP7	7.0294	6.9618	5.9371	6.2892	5.0622	3.3979	5.2062	3.4467	5.9871	5.1248	4.7305	4.9076	6.0043	6.1708	6.1226	3.6918	7.9469	5.9668	4.6054	5.9177	2.8929	7.3712	5.9184	3.6628	3.1392	7.5058	7.6036	6.3028	6.4188	3.2386	5.2887	3.0559	7.2239	7.2001	7.7799	5.1143	6.9507	5.9986
U133A__EPHA2	6.8777	6.8505	7.7375	5.9049	5.1826	8.0944	5.8575	7.5704	6.3275	5.4135	5.1916	6.3529	7.8942	7.0137	8.5616	7.0007	6.7903	6.7602	8.2689	6.7414	8.1722	6.0052	6.6211	7.5885	8.7282	5.6235	5.8814	5.967	6.6319	7.5941	8.0211	8.2738	6.9307	7.4133	6.077	5.5545	5.4127	5.8045
U133A__IRF9	6.567	7.2426	7.1816	6.4215	10.1828	7.6644	6.1171	7.5577	8.3291	8.6936	7.7642	7.5971	6.2636	9.3201	8.0265	9.4517	6.8795	7.5318	7.4596	9.766	6.7956	6.2872	7.9939	7.9128	6.4818	7.5838	7.5909	6.9253	6.1693	6.8573	6.9026	6.0417	6.8427	10.2102	6.3509	6.8277	6.3875	6.0362
U133A__SLC16A3	4.8204	8.7523	4.7778	7.5024	8.6788	3.8512	4.5588	7.2183	5.858	4.6259	4.682	6.8934	8.3892	5.8137	7.6306	4.5885	4.7371	5.944	7.2585	5.2284	5.8389	5.5231	5.6305	6.9724	8.9113	5.1973	4.6446	4.4335	8.1393	6.7169	10.4205	7.0373	5.8006	6.4482	4.1816	5.4415	7.172	9.6262
U133A__LMO4	7.4737	7.1325	7.3624	8.5532	7.9792	9.7098	5.7002	6.5274	8.2677	7.6793	8.0974	7.6477	7.0389	7.4546	6.855	9.4747	7.7206	8.0476	7.8791	8.7906	7.5205	6.2739	5.9112	7.6279	7.5364	7.9322	9.2733	7.7056	6.1979	8.918	6.745	6.2862	9.1307	8.2001	7.5695	8.3962	4.2304	6.628
U133A__SHB	6.1653	6.8733	6.828	6.1711	6.3303	7.2606	6.1796	5.8797	6.4954	6.4016	6.8149	6.1061	7.1242	6.5164	7.1248	6.8155	9.4468	6.3557	7.5118	8.0176	6.6858	6.4005	6.5346	6.7529	6.6582	6.3874	6.546	7.5095	6.2702	5.2957	5.9911	6.1421	7.0421	7.0962	6.027	6.3154	5.9912	5.9384
U133A__GAL	5.5668	5.0145	6.3931	5.1247	5.5186	4.3321	5.1451	4.8246	5.9986	7.9881	4.8284	8.7914	9.0261	6.4929	5.9047	4.7434	5.3813	8.2046	6.7009	4.1139	4.7831	6.4596	6.1713	4.8966	4.4756	5.308	4.7313	4.5764	4.8875	4.9972	7.4613	5.5538	4.7111	4.4203	4.6807	4.7853	4.9922	8.7476
U133A__PPL	7.2713	8.6978	8.5532	7.5989	7.4733	5.343	7.0375	5.1253	7.7172	7.1606	6.3943	5.6236	8.6777	7.8406	6.9215	7.4366	9.0138	6.3552	6.8729	8.4826	4.9562	8.1627	7.1625	4.9658	5.0623	8.1619	8.0623	6.3576	7.8424	6.0512	6.4286	4.7362	7.7004	9.3791	7.1074	6.9717	6.9001	7.5252
U133A__SHANK2	7.3481	5.9045	4.943	7.6843	6.9359	3.9882	5.1612	3.8208	5.641	5.3585	5.1934	4.0531	4.7244	4.8992	5.345	4.6605	6.5754	4.4562	5.1162	6.8101	3.9503	5.2678	5.5006	3.8321	4.2847	7.5141	6.359	7.3884	5.3379	3.9945	3.8673	4.0287	6.3054	7.4714	6.2082	6.502	6.5888	7.1964
U133A__TGFB1	5.9513	4.8708	6.8974	5.4725	7.8468	7.6091	5.426	8.1271	7.5996	5.0132	6.1979	6.213	7.3059	5.6044	5.7321	5.3338	5.1609	5.4784	8.1482	6.8518	9.5736	6.1038	7.11	9.5702	7.0412	7.021	5.5408	5.1952	5.4666	7.4693	8.4618	8.5279	4.7022	5.8055	5.0334	5.4006	5.4893	7.0574
U133A__PPID	5.7543	5.0949	7.5725	4.7081	6.3369	6.4077	6.4478	6.511	5.1869	5.9801	4.6728	6.5156	7.3894	7.1278	7.2762	4.8877	4.8359	4.6655	5.973	4.7282	5.6947	6.2058	5.1748	5.4494	6.7744	6.0593	5.3653	5.694	6.1165	5.3484	6.8163	7.1574	5.5997	5.9419	5.023	4.7731	5.197	6.5643
U133A__TOB1	8.8416	8.1199	7.4176	9.54	10.0412	5.6991	8.2963	6.2978	8.2331	6.9626	9.9774	7.4185	7.3983	7.7978	6.7211	9.922	8.3342	7.3782	8.2944	7.4541	4.4955	8.4614	8.9689	7.562	5.935	10.6432	8.5555	9.5297	8.6703	5.2081	4.7449	5.9356	8.5847	8.2344	8.8228	9.8445	9.6404	9.1081
U133A__MX1	5.169	5.218	5.3961	5.3392	9.9996	4.9648	5.2677	7.1228	6.5151	10.8094	6.4112	9.3075	8.201	9.9742	4.962	9.3696	5.5006	4.6808	6.6207	10.6462	5.0134	5.263	5.4207	9.1036	5.3544	5.0938	6.0666	5.1819	5.2037	5.1836	5.0459	4.788	5.0194	9.8745	5.681	6.0899	4.8871	5.0026
U133A__PPP1R3D	6.0376	6.2841	6.5806	5.8836	8.9569	5.5115	7.3522	4.8917	5.3847	5.2179	8.4079	6.0031	6.2885	6.1268	6.9745	5.6122	6.7862	5.4457	5.3754	5.7838	5.1445	6.6139	6.9967	5.3464	5.2928	7.7316	6.1594	7.5285	6.4306	4.8825	6.1016	4.8641	8.1589	6.6839	6.8287	5.7656	7.205	6.5275
U133A__PTRF	6.1143	6.0022	8.9581	6.2617	5.8685	9.7082	5.8463	9.004	8.3455	6.1188	5.7173	6.9987	8.6548	8.2281	7.4855	6.7332	6.6073	6.763	9.0215	7.1768	9.9604	6.0237	6.3204	9.1023	9.8031	6.2294	7.3507	6.3333	5.6802	9.5435	8.2916	9.4023	5.267	6.4218	6.5915	6.796	5.4646	5.981
U133A__MAP4K4	6.0673	5.1091	8.0032	6.3952	5.9184	7.3226	5.7528	7.3885	6.1253	7.425	6.5388	7.2464	7.61	6.8356	7.0288	5.4933	5.4528	6.7248	7.8366	6.6207	7.9799	6.3307	6.1541	8.1798	6.5193	5.9015	5.0642	4.9385	5.1327	8.1638	8.3236	7.7847	5.9041	6.5972	6.1144	6.0063	5.3321	6.2691
U133A__NRIP1	5.5528	7.2417	7.4096	7.0521	7.9732	4.3597	5.9207	7.3447	6.3574	6.5283	8.4802	5.5339	7.3417	7.1886	7.2016	4.8924	7.5251	6.4286	8.3895	7.2883	5.6035	6.477	8.2701	7.0626	5.2151	8.0484	6.1913	8.4174	5.9009	3.7583	6.4733	5.6841	7.5076	7.1235	6.9367	7.2135	6.1168	6.4789
U133A__FASN	10.7788	11.1828	8.2497	11.2606	9.3724	9.1052	8.5659	8.5505	7.7698	10.3198	11.0689	8.5587	9.2366	8.003	8.7145	11.0383	9.0543	8.8339	8.8259	9.3731	8.0922	10.2977	10.5056	9.0354	9.0868	10.2173	9.2182	10.1033	11.7652	8.8803	9.9972	8.5825	11.0307	10.3351	9.0381	9.5315	10.1347	11.2674
U133A__MAFB	4.2939	5.2209	6.2054	6.0526	7.1675	4.5699	8.118	4.2814	4.4545	6.0147	5.8886	5.9523	4.6033	8.0513	5.6472	7.7452	5.899	5.4665	8.7595	6.8573	6.4104	4.5053	5.7821	6.131	4.4014	6.1242	5.0501	8.6345	4.3436	4.4115	6.6507	4.4563	7.0732	7.0174	7.4185	5.1496	5.6559	6.4191
U133A__SNX7	7.2258	6.9361	6.6633	6.3575	7.242	8.2264	6.3147	7.9095	7.2735	6.4903	7.5596	7.2552	8.0102	8.1539	7.6537	6.9576	5.9321	7.1316	8.3416	7.9242	8.5314	5.7752	7.1402	8.5363	9.0729	6.7602	6.3801	7.3553	7.4533	9.1969	8.5021	8.5449	5.1871	6.7639	5.9201	4.634	6.574	7.2083
U133A__KIAA0182	8.7175	8.7547	8.2326	9.4399	8.9626	5.5927	8.9031	6.2784	7.0695	8.2032	9.5198	6.5335	7.1268	7.6521	7.6461	9.0573	8.5395	7.194	7.6429	7.7941	6.6802	9.3437	9.2681	5.5687	6.8539	9.4821	8.1927	8.8215	8.4014	6.3604	6.768	6.9346	9.4211	8.9541	8.2608	10.1651	9.5845	8.7069
U133A__SGCB	5.8037	4.345	4.4165	4.5248	5.746	7.8458	4.0945	5.911	5.9386	7.1406	5.1858	7.0696	6.3675	4.4416	5.602	5.0206	3.9234	7.0299	6.7798	4.7882	7.8291	5.4336	5.8159	8.6534	7.4406	4.5614	4.3851	4.0615	4.7536	6.9454	6.2714	7.184	4.3896	4.0284	5.3401	5.106	4.3728	5.1227
U133A__XIST	7.4954	9.2012	4.4356	3.8785	7.8339	3.9121	4.3337	4.4232	4.6098	8.5036	7.7232	4.3864	3.9876	4.0078	3.9	7.8932	4.7839	7.027	8.1843	7.4679	4.8628	4.5531	7.1401	7.8189	4.3492	4.1485	7.8787	6.4632	7.1041	4.9547	3.8857	6.9101	4.1381	3.7305	7.8729	4.508	7.1912	4.174
U133A__PCK2	6.284	6.7214	6.7969	7.826	7.0049	6.9382	7.006	7.0844	6.6359	6.756	6.5554	5.8093	6.4794	7.416	6.5607	9.1067	6.4475	6.7694	6.1271	8.2428	6.1926	7.1246	7.2563	6.0304	6.7161	7.0416	6.961	7.5692	6.43	7.0357	6.5541	5.9544	9.2728	8.7286	8.2243	6.6431	6.8368	7.7107
U133A__CLDN4	7.8095	7.8886	6.8892	7.4307	8.0102	4.3947	6.203	4.3468	7.5458	8.2974	7.4553	7.4055	6.5293	7.7536	7.9433	8.4582	7.7545	7.8168	6.8585	7.604	4.6864	7.6706	6.9713	4.3184	4.2514	7.1352	7.4668	6.7302	8.1243	4.5668	6.7523	3.8645	9.26	8.5318	6.2457	8.066	7.5057	6.617
U133A__UBAP2	5.4385	7.195	7.7345	6.0293	7.8019	7.284	6.8105	6.1824	6.5709	7.7504	7.1467	6.9458	6.9148	6.8468	6.2426	6.7524	9.8684	6.9149	6.3077	7.8567	6.7469	6.2089	5.9218	6.867	7.6678	8.1591	7.0411	7.7502	6.5173	6.3175	6.6482	6.7127	6.8332	6.0548	6.2607	6.3922	6.7369	7.6546
