Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__PODXL	6.5338	7.0465	6.9961	7.3009	7.4771	5.7421	7.7433	7.2504	7.7858	7.9623	6.375	5.9186	6.1199	7.3042	7.5714	8.7707	6.8597	6.2644	6.5362	7.7635	6.0348	8.0322	7.3219	7.3969	7.7025	8.049	6.8305	7.3334	8.0699	7.5153	7.0734	6.5859	6.8237	7.3762	7.5898	6.6797	7.3501	6.5858	6.8752	6.2957	6.3991	6.2155	6.9749
EA_G__MX1	6.7692	4.7426	5.3908	4.6858	9.9373	4.5484	4.9095	6.497	4.1892	9.6165	5.0623	4.3829	6.8304	9.198	7.6388	8.4811	4.8605	8.1899	6.5906	4.1496	6.4851	10.4663	4.1959	5.0645	5.0942	4.7296	7.1075	6.892	5.0751	4.657	8.2662	5.3425	4.8804	4.7268	8.276	4.5754	5.3837	10.0995	6.0441	7.4259	5.3872	4.8218	4.6197
EA_G__F2R	6.7287	3.9377	5.3006	6.0925	5.4609	4.2658	5.4885	8.7974	8.6304	7.5208	7.3673	3.7952	3.924	5.4926	5.8655	6.2163	6.2123	4.9195	4.8476	5.9294	5.7165	5.6475	8.9206	4.2515	4.3759	7.2447	9.6043	7.1297	6.9131	6.7434	7.4069	4.324	4.1797	9.12	5.1913	9.355	7.9381	4.7486	5.2218	4.3686	4.2223	6.5613	6.8521
EA_G__NLRP2	8.1576	8.9785	3.5682	8.9691	7.9713	3.6741	3.5258	3.3762	3.3124	7.512	7.108	9.2522	8.966	3.49	9.3799	3.4433	7.4231	3.8484	9.2504	3.5501	7.8246	7.7908	4.7481	3.3894	3.8341	8.0258	7.8593	8.1266	3.6189	7.8887	5.3161	3.7842	6.6445	3.5206	6.8015	3.8452	3.7499	3.8335	7.528	8.4914	7.8778	3.8702	3.7279
EA_G__TRIB1	6.0654	7.6744	7.3583	8.1414	7.6478	7.1402	7.0466	6.1924	7.7068	5.744	7.5091	10.0096	6.0943	7.3652	8.6332	8.1202	8.4305	7.2159	7.5348	7.1922	6.9458	7.9489	7.2746	7.6339	7.6185	6.8488	7.7643	7.2685	6.0405	7.469	6.0243	6.9417	7.5015	6.9704	7.4809	7.0816	7.3701	8.6768	7.0623	6.3992	7.1432	7.0288	7.134
EA_G__HOXB3	6.2695	5.6785	6.5189	5.8395	6.2503	6.7731	6.0779	7.2295	5.7514	6.1538	5.8609	7.3176	5.89	5.9134	6.9034	6.5862	6.8059	7.238	7.3189	5.8709	5.955	7.4904	6.6642	6.2572	5.8245	5.7535	6.208	6.9848	6.1154	5.9465	7.6904	6.9124	6.1263	5.8914	5.88	6.0983	6.1953	6.4145	7.2706	7.1934	8.2114	5.9354	5.9813
EA_G__GPR110	9.7446	7.0704	8.8625	3.7237	3.745	3.6985	3.7424	3.8281	9.0125	3.733	3.472	4.4485	4.4558	6.7612	7.5227	8.4464	8.9925	4.7165	9.3514	8.1791	3.2085	8.7699	3.8459	4.1206	3.9779	4.3228	3.6583	7.068	8.7401	3.5079	8.1907	4.253	6.7929	4.1236	3.5422	3.979	4.2127	9.0757	6.5644	6.4813	3.5142	3.8201	4.2971
EA_G__TPCN2	8.8521	7.9813	7.1748	7.711	7.6641	7.3829	8.7998	7.3341	7.9965	7.8396	8.0192	7.5535	7.3698	8.9345	7.5463	7.7012	7.3245	7.4401	7.6544	7.51	8.149	7.223	7.2046	8.0075	7.7043	9.9994	7.5842	9.0437	7.7263	7.5978	10.3492	8.0264	8.0715	7.3931	8.0012	7.5193	7.3771	7.2979	7.8551	7.7114	8.1412	7.9299	8.8507
EA_G__NRSN2	7.6087	5.1787	5.0275	8.0338	8.463	8.8577	8.0484	7.953	8.0956	8.0397	7.7657	6.0771	6.3833	8.6206	6.204	6.0926	6.5519	7.828	7.5432	7.5792	9.7283	7.8983	8.2614	7.3832	7.1148	7.7793	7.7514	7.7939	7.3114	7.5618	7.3629	7.8958	6.3898	7.4973	6.9706	7.0097	7.6632	7.1233	6.3287	7.8312	7.8128	6.9757	7.8145
EA_G__DNER	5.627	5.1472	5.0896	5.4137	5.6186	6.2841	4.8851	6.8259	6.9456	5.0637	5.0964	4.5338	4.7564	5.1132	5.7742	5.1299	5.4944	4.875	4.9183	5.9718	4.8761	5.0484	8.2094	5.0598	4.9271	9.5248	5.5037	5.9317	4.6785	7.1297	4.608	5.178	4.8807	6.553	8.397	7.9814	5.666	5.4052	5.1754	5.0248	5.2306	4.8172	5.1132
EA_G__EXT1	6.9002	7.2851	8.0007	7.2317	7.4158	9.4078	6.2099	8.2239	9.0509	8.0849	9.5899	7.5442	7.2337	7.5812	8.4481	9.2912	10.1238	7.8283	9.2087	8.4022	7.6371	8.1848	10.0477	6.7194	6.7105	5.5645	9.9259	7.4582	9.0962	7.2525	7.5283	7.3022	6.8852	8.3403	7.8279	8.393	7.9956	8.4691	6.9261	7.0398	7.4408	6.3569	6.7935
EA_G__HOXC12	7.2209	6.6279	6.9142	6.8575	6.9437	6.6965	6.7261	6.9314	7.8412	6.8565	7.0196	8.7035	6.2814	7.4436	7.3764	6.6042	6.7844	8.4378	9.8584	6.1344	7.5202	8.1502	6.6788	6.6752	6.8411	6.5513	8.1895	6.6735	6.4455	6.1602	7.7564	7.3628	6.9104	6.778	8.0323	6.6568	6.4454	7.6267	6.9193	7.4525	7.7345	6.5116	6.5967
EA_G__S100A9	9.9286	10.4677	9.3762	5.0812	6.9142	4.3949	4.6743	5.1548	6.0501	8.569	5.7944	4.4989	4.2624	6.1371	5.9066	7.4444	9.4016	7.1889	10.6024	7.5374	5.7237	8.3124	4.4361	5.5374	5.7212	4.7981	5.1561	7.6995	4.9199	4.4352	4.3882	5.3761	9.4696	5.0333	6.3185	5.2789	5.5378	7.0502	7.3179	5.8982	7.8924	4.854	4.7601
EA_G__PAPSS2	7.2823	6.697	4.1942	5.2849	7.4357	7.7269	4.1448	7.8782	5.6242	5.0044	6.2163	7.3525	4.1378	7.0173	5.5295	4.0856	8.6186	7.3578	6.8063	4.2285	6.4559	8.0119	7.0124	5.7553	7.2024	5.1418	7.705	7.1569	8.2458	6.6326	6.0013	4.8393	5.7855	5.732	6.5713	5.7708	10.4717	6.5437	8.8104	7.705	8.6322	7.9299	5.9458
EA_G__EPHA4	4.1217	5.0734	5.9051	6.2606	4.4531	7.9784	3.8708	7.9315	7.1865	5.253	6.9047	4.6924	4.5379	4.3548	5.9984	6.7428	6.6761	5.5218	9.2057	5.8254	6.264	7.1311	7.3232	7.0524	7.149	4.5379	8.0528	6.3143	6.3083	6.0132	4.0356	7.8997	5.4945	4.3484	4.3606	6.4671	8.8106	3.9527	6.7085	7.4911	6.4549	4.1474	4.7413
EA_G__GPRC5B	4.9745	6.388	8.1964	6.1617	6.2748	6.497	5.2667	8.9045	6.0606	6.7039	6.2604	7.0809	4.8034	7.9743	6.8597	7.5867	8.3264	7.0387	7.6177	6.3867	5.3386	7.5323	7.0233	5.9088	5.3699	4.439	7.6679	6.8634	4.6996	6.5032	6.9632	5.7648	6.2546	5.117	5.209	6.388	6.478	6.2985	5.6048	5.5162	5.5363	6.325	6.1032
EA_G__STS	8.143	6.7578	6.9719	9.0473	6.5325	5.225	5.693	5.8278	5.4704	5.3683	5.3946	6.1455	9.8669	5.3857	5.7559	7.7408	7.5128	6.6342	8.0108	6.1489	3.963	7.8473	6.9436	5.5505	6.341	5.6965	6.5913	8.3982	6.5483	10.4565	9.262	8.2868	6.7478	5.2848	5.6274	7.1699	7.0427	5.477	4.632	6.0835	7.854	7.2758	6.1104
EA_G__CDKN1A	7.6223	5.6813	6.1515	6.4516	8.1183	5.5956	5.843	7.1186	7.4914	7.5622	5.7902	6.163	6.0874	5.8016	7.2229	7.1044	6.6212	6.0946	5.4977	7.7513	5.5767	6.2617	6.6892	7.3846	7.4505	7.7351	6.1198	7.588	6.1107	7.3511	5.8232	6.166	5.8865	6.8653	5.5836	6.0481	6.6928	7.0882	5.8646	6.8521	6.7727	7.4713	7.7466
EA_G__RAPGEF5	6.3415	7.266	5.8295	6.5457	6.6712	3.3864	4.7324	3.7336	6.3047	5.8669	4.0035	7.7655	6.0587	6.0581	5.7079	6.3887	6.0594	7.4801	5.7724	6.221	4.9361	7.0582	4.0924	4.4095	5.2392	6.3018	3.484	7.3046	5.3194	5.321	6.2087	5.705	6.5869	3.6423	5.23	3.6547	8.3677	7.8614	6.4436	5.4905	6.7032	4.9861	4.911
EA_G__FADS2	5.5203	5.1836	4.6766	11.2866	8.1832	10.7062	9.6347	7.8934	8.0137	10.8844	8.4065	5.944	4.895	11.2039	7.2327	6.9073	6.0754	10.6541	6.8636	5.5278	8.4189	9.0812	6.2579	7.3093	8.6543	10.5743	6.5811	9.9779	8.8552	10.1211	10.3286	7.1607	4.3387	9.1821	10.3134	6.2067	10.128	9.645	10.6903	8.0701	7.969	8.508	10.2159
EA_G__XPO7	8.5499	8.1521	9.1879	8.441	8.0038	9.1217	8.3196	8.4432	8.2448	9.2044	8.3067	8.6677	8.1523	8.4557	7.6985	8.194	8.0059	7.3682	8.5117	8.7745	8.3272	7.316	9.0734	8.2715	7.7554	10.9542	7.5707	8.2995	8.812	7.6431	7.8666	7.8212	8.0921	7.8502	8.291	8.4653	8.4306	7.0594	7.6009	8.1521	8.2975	8.6333	8.9366
EA_G__CHAC1	6.4402	6.8948	7.8778	6.8373	6.0799	7.8801	8.0356	6.779	7.3749	7.5149	7.6317	7.4711	6.3025	6.3981	7.9541	7.0921	6.7527	7.6918	6.156	6.4615	6.6071	8.4346	7.2855	8.1311	8.0203	6.3289	7.28	7.068	7.5078	6.4666	7.1311	7.937	6.8757	9.1523	7.1693	6.6026	10.1926	9.6415	5.765	6.5656	7.071	6.0084	5.5164
EA_G__UNC13D	7.2054	8.5678	8.403	6.589	8	5.9315	6.46	6.5319	7.585	6.7512	6.1501	6.4098	7.9107	6.1484	7.6261	6.5748	8.1147	7.4762	6.6524	6.8474	5.9809	7.1011	5.9956	7.7133	7.1245	6.1055	6.002	7.0397	8.6899	7.4076	6.6057	6.9214	9.2958	6.2236	7.8169	6.2601	6.8333	6.4987	7.0049	7.8597	7.6537	6.2393	6.4333
