Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__NCOA1	5.7013	6.7755	6.6703	6.6969	6.4277	6.0786	5.9324	6.1676	5.7387	6.4161	5.8875	7.9094	7.0539	6.4869	5.1038	6.4759	6.3607	7.8082	6.9388	5.9142	6.0282	6.6922	6.4098	6.6132	6.8043	5.7002	7.2551	6.1257	5.8861	7.114	6.5122	6.1483	6.4088	5.6262	5.6425	5.8318	7.6638	6.5291	6.9219	6.5437	6.7976	6.6471	6.328
EA_G__TMEM45B	7.6067	6.9318	4.8694	8.2607	5.8827	4.0544	6.8897	4.4105	4.1082	4.5358	4.32	8.2657	6.8742	4.5363	7.0629	6.5802	5.6247	8.1369	8.1123	4.5414	4.0417	4.9594	3.8961	6.4895	5.7187	4.3127	4.1766	7.7764	4.7821	6.3274	8.0271	8.7181	6.6217	4.7421	4.5365	4.1764	8.6359	9.1021	8.3886	8.0495	8.7831	5.7404	4.9571
EA_G__LRP1	7.3455	5.8054	6.5213	5.7512	6.6153	7.2126	5.7528	6.9074	6.4076	8.0052	8.9511	5.5205	5.6759	7.0528	6.8939	6.513	5.8578	5.8021	5.5253	6.5772	8.0746	5.9964	8.4479	6.5123	6.3447	7.2488	7.5366	6.4919	5.8946	5.9961	6.6637	6.8374	5.9299	8.0212	7.0683	6.5519	5.6962	5.9237	6.8541	6.1843	6.9752	6.0082	6.3535
EA_G__CASC3	8.4111	9.6823	7.6614	8.4248	8.6808	8.2243	8.6113	8.0582	8.1973	7.9778	8.0954	7.4338	7.6564	7.9305	7.912	8.0334	7.8723	7.6213	7.5706	8.3042	8.4255	7.8706	8.0943	7.7102	7.7204	8.3021	7.685	7.5713	8.0209	7.2821	7.7417	7.4073	9.4532	7.9767	7.5439	8.5877	7.4034	7.8038	7.7745	8.4013	10.5873	8.2008	8.5735
EA_G__PWCR1	8.9888	5.3227	2.5284	10.4187	8.1334	3.0837	9.3336	6.9544	8.4868	2.947	3.1295	3.0359	2.8125	2.8025	8.2323	8.2084	3.26	2.4943	10.2307	8.6462	9.3808	3.2082	6.4405	2.8341	3.1931	7.4359	9.7707	8.8283	2.8326	9.0792	9.374	8.6979	4.3452	10.521	8.6516	8.8029	3.2803	7.2789	3.4601	7.9272	8.077	6.948	8.2631
EA_G__ELP2	7.877	7.5061	6.8101	8.7136	8.8476	8.2687	7.9951	7.7833	8.4039	8.566	8.8814	7.7643	7.8636	7.8812	7.2598	6.6707	7.9701	7.9433	6.9536	7.7596	9.7688	7.5378	8.4416	8.684	10.712	8.777	7.4294	7.2157	8.242	8.0415	7.1405	7.0794	7.4437	7.4657	8.5672	8.5041	6.8259	7.26	7.1466	7.8111	8.1716	8.7043	11.8522
EA_G__LOXL1	8.8376	7.4349	7.7394	7.7773	7.7061	9.0295	7.7618	8.9224	7.752	10.6471	8.9133	7.4156	7.31	8.0085	7.5414	7.4587	7.4168	7.5779	7.5758	7.4601	8.8739	7.7037	9.9236	7.5935	7.9409	8.9285	9.9529	7.5511	8.058	8.253	8.0283	8.322	7.6632	9.634	9.1346	8.9559	8.8333	7.528	8.7906	7.5289	7.9717	8.0361	7.5038
EA_G__SLC45A3	8.3993	9.4614	8.5019	6.3914	7.1243	6.7449	5.9989	7.2489	6.8338	7.3632	6.833	9.3329	6.1092	7.8421	7.4695	6.8411	7.3782	6.9189	8.3279	8.1733	7.0086	8.2368	6.9773	6.9731	7.0142	6.8171	7.7159	8.9468	7.9903	5.9858	9.3593	8.1569	9.3131	6.4692	7.3103	6.9522	6.2317	8.39	7.9484	6.8494	7.7818	6.0996	6.6263
EA_G__KLF6	8.7243	6.8794	6.9784	7.7831	8.8717	8.7483	8.4806	7.5398	9.7852	8.0524	7.7242	6.8614	7.7285	7.477	7.8185	7.554	8.3736	7.6188	7.7119	8.1123	8.1562	8.3758	8.9625	6.4859	6.1177	8.6016	8.4701	6.786	7.631	7.6206	7.3374	7.12	7.1219	9.565	7.6361	9.1098	7.3667	7.9498	6.2908	6.5741	6.8629	7.392	8.3775
EA_G__ICAM1	7.3401	6.2048	8.4348	5.3744	5.9472	4.8541	6.0604	7.4023	5.8973	7.0879	5.0097	4.8706	5.7197	10.0691	6.3699	8.2194	8.5107	6.2785	6.5658	5.2401	5.5383	7.9088	4.9631	6.2597	6.3373	4.8813	7.6836	5.5911	5.9262	5.0206	5.2262	6.5777	5.7838	4.7708	8.2644	6.6475	5.3186	6.0636	5.2557	5.3001	5.5817	5.5436	5.2096
EA_G__BASP1	7.2406	7.5537	7.4218	9.3298	7.8868	9.6218	8.299	10.0375	9.8899	8.5702	8.8385	7.615	7.3633	7.9699	7.3156	8.8249	7.1357	7.5611	7.6596	7.8624	9.069	7.4602	9.3455	8.8172	9.5101	8.6996	10.2572	7.2745	8.6855	7.8865	7.1992	7.8206	7.9689	9.3781	8.3597	9.3406	7.3915	7.4398	7.6651	7.2088	7.8876	7.0879	7.4299
EA_G__FAM83A	6.2667	9.2665	6.9613	6.4079	5.4584	5.1123	5.3789	5.2705	5.0616	9.4749	5.205	6.0218	6.385	5.005	9.102	7.37	6.5828	6.3643	7.5888	5.9004	5.0462	6.8265	5.0033	5.7755	5.9803	5.2402	4.9435	5.8912	5.5186	5.7117	4.9014	6.4144	6.7959	5.5079	6.2875	5.5004	5.4083	5.8496	5.8332	5.7875	5.6898	5.2744	5.1521
EA_G__CHN1	4.5284	4.0137	4.6079	5.619	6.1267	6.2208	7.5276	7.1776	6.5904	6.2909	7.1423	3.4928	7.0242	4.1356	4.188	4.353	4.7556	4.7042	3.9524	6.1469	8.2707	5.1835	6.059	6.8288	6.6782	5.13	8.7363	4.1657	6.693	6.2794	5.3912	4.3748	3.8667	6.6457	8.1629	7.7282	4.5954	6.0646	5.4836	4.5742	5.2127	7.5735	5.5815
EA_G__EREG	5.0532	5.3759	8.6708	4.9849	5.4965	4.8684	5.0703	5.1299	5.0926	4.8013	5.086	5.5058	4.9011	4.9719	8.5464	7.1948	6.1416	5.1092	5.2788	5.0953	4.7106	5.6875	4.8778	5.0692	5.2925	5.2729	4.8486	4.9866	8.4765	5.1887	5.172	5.8093	5.3422	5.1829	8.3569	8.3058	4.819	6.7746	5.42	5.1217	5.3123	4.9333	5.0928
EA_G__ACSL1	8.4285	9.3878	8.6513	9.8595	7.938	7.0775	9.3158	6.7457	7.6291	6.6026	8.2128	9.6152	8.8888	7.4057	6.6016	8.5239	8.7204	9.4415	8.4505	6.5524	6.2068	9.8073	6.9813	7.6201	5.1828	7.7769	7.2449	9.0405	7.5045	8.814	8.3192	9.1933	8.0645	6.585	9.5051	8.4462	8.6173	9.4908	10.3861	8.6547	8.5527	7.1048	6.8911
EA_G__CHST11	5.5933	8.479	7.6473	6.3925	5.3695	5.6775	4.7302	6.3034	6.1573	7.3959	7.1552	5.6205	5.3228	8.1747	8.4076	8.4095	7.4488	6.8241	8.8412	7.4478	6.4102	5.7773	5.0518	6.2274	5.954	5.2161	7.4221	7.3829	7.2048	8.3594	5.2322	7.6196	8.0307	9.1393	6.8942	7.0447	7.6509	6.9587	5.4991	7.2041	5.7816	6.1174	5.905
EA_G__PLXND1	8.4841	7.676	7.6166	6.7531	8.4025	6.1691	7.3083	7.7008	6.6701	8.3487	7.0234	7.7191	8.7714	7.9056	7.1263	6.8018	6.2004	6.6459	8.554	6.3407	7.9336	8.1718	7.47	8.4443	7.9899	6.9441	8.8234	9.7495	7.071	7.553	7.083	7.9119	6.8313	6.881	7.4619	6.1199	9.7749	7.7921	7.7438	7.6225	8.5472	6.6854	7.1503
EA_G__VSTM2L	7.7422	8.012	6.5151	7.0129	6.9401	6.45	6.1622	6.8264	6.337	7.1204	6.482	6.317	6.8206	7.12	6.7261	6.5938	7.0164	6.4424	7.3487	6.9493	6.5689	6.7803	6.6125	6.719	6.8905	7.0929	7.3722	8.1028	6.9369	6.4124	6.215	7.2384	8.8512	6.3243	6.7686	8.1457	6.8802	7.1857	6.5892	6.5964	7.12	6.7339	6.6447
EA_G__GRHL1	7.4864	9.2777	8.5882	8.4331	8.1596	4.5777	7.3829	4.9375	6.9572	8.8017	5.6615	8.8513	8.2691	8.5193	5.7475	7.9388	8.2395	8.5409	8.8189	5.7083	3.8144	8.6706	4.7181	7.8945	7.4297	7.0309	3.8956	8.4011	4.4916	8.2061	6.5684	8.093	8.9502	4.0578	4.9376	4.3753	8.8226	7.1577	7.2173	7.8761	7.8942	8.1774	7.5772
EA_G__SEPT5	6.3649	5.8218	5.4888	6.8545	9.2149	6.9917	7.0728	7.5437	6.888	8.1918	5.9548	4.9238	7.691	9.195	6.8196	5.8255	4.974	5.7689	5.4952	6.6148	8.3416	5.4054	7.6431	5.8702	5.9275	8.196	8.0557	7.0142	5.3191	6.0274	6.0086	7.2841	5.941	7.763	5.3691	6.201	5.9793	6.4339	6.6086	6.8084	7.9207	6.5206	8.1474
EA_G__KRT4	9.7219	10.5022	8.4322	5.6982	7.0224	4.8566	5.1172	5.4778	5.7409	5.386	5.2757	7.0767	6.0104	5.2304	8.9052	9.3809	7.0895	7.6973	11.8887	5.8807	5.2835	10.6574	5.3413	5.9723	5.2885	5.2528	4.9354	6.8817	5.3237	5.0901	7.7435	6.0481	10.6123	5.1709	5.6639	5.5898	7.6778	6.5852	7.4726	6.6242	7.5048	5.938	5.2551
EA_G__FKBP10	9.0546	9.6293	8.302	5.334	7.7281	9.2253	7.1871	9.1655	8.358	5.4329	8.8414	5.871	5.2026	8.8307	7.781	7.7694	5.4977	5.6494	5.8272	8.2079	9.792	8.7845	9.9719	8.8278	7.4578	8.6401	5.739	8.1887	8.5766	5.3066	8.4515	7.6708	9.5271	8.3804	8.5628	9.2679	6.4518	5.5117	8.0723	6.9652	5.8348	6.6115	8.8754
EA_G__ATP8B2	8.0812	7.7015	5.0872	8.338	7.5877	8.7467	9.1171	8.3576	8.0836	5.432	8.3926	5.1155	6.1409	7.7048	5.8547	5.3445	5.0078	4.9833	4.7422	6.776	7.693	5.2764	8.5529	8.4125	8.1125	7.1092	8.4488	6.1256	8.1829	7.323	8.645	6.01	6.1171	8.5517	5.1756	8.3288	5.667	5.1067	5.8972	7.1547	8.351	4.9211	7.1911
EA_G__PFTK1	6.4434	4.6955	5.7636	6.7976	6.166	4.3015	6.6181	6.5578	7.0255	7.2514	8.1983	5.1313	5.2688	5.6752	6.2696	7.1337	4.869	6.7346	4.3274	7.3448	6.6948	6.5962	7.6551	4.7366	4.6529	6.7084	5.6797	5.2948	7.034	5.2519	7.2384	5.4197	4.6521	6.6485	7.9803	6.9505	6.8473	6.6428	8.2703	5.5371	5.1284	5.3968	5.376
EA_G__ASRGL1	7.1149	7.0425	6.5196	5.6356	6.5771	6.3831	5.0036	6.4931	7.3281	7.1895	6.3351	4.5902	7.1005	5.729	6.1189	6.368	5.3845	5.4255	7.2684	7.2256	6.573	4.9263	5.1455	6.733	6.0474	7.7749	6.0371	6.2716	5.6172	7.5256	9.2882	6.0556	7.2998	5.8367	5.5255	5.1819	6.353	5.1111	7.3248	6.848	8.3195	5.795	5.7236
EA_G__SNCG	8.2039	6.4507	7.0948	5.9396	7.2276	5.7494	6.6732	6.1872	5.6904	5.5465	6.114	6.9095	5.7878	5.7038	6.8133	5.957	7.5815	6.2302	6.9691	6.2156	5.8637	7.1454	6.0502	6.5083	6.4588	6.4497	5.8969	9.1648	7.2697	7.3983	6.7174	6.9582	6.4441	5.744	6.1946	6.0572	10.6716	7.0495	8.5697	6.9231	8.5346	6.3225	8.1846
EA_G__PLEK2	7.5218	7.8767	7.4077	6.9913	7.451	4.8813	5.5825	7.5723	8.7524	5.5392	5.615	5.8396	6.6606	5.4987	9.5771	8.7812	7.8662	5.7642	7.856	5.711	6.7698	6.9822	5.4334	6.5699	6.8922	5.1198	5.7967	5.6785	8.9464	5.9095	5.3534	5.9621	6.9102	5.6178	8.5805	8.2555	6.9077	7.1837	5.1365	6.8475	7.0183	5.7742	5.5865
EA_G__TINAGL1	8.6019	8.6354	9.6651	6.019	5.932	5.7888	5.8083	7.5123	8.5053	8.8883	6.7316	6.1613	6.0038	8.3238	9.5797	10.0297	10.061	6.0728	8.2096	8.8713	6.5225	9.5501	5.9141	6.1782	6.1432	6.0756	6.8509	7.3558	8.9479	7.1691	7.3697	6.815	9.2158	5.9586	8.2337	7.5817	6.8742	8.4665	6.0613	6.9605	6.39	5.9432	5.8438
EA_G__FLJ33790	6.6866	7.7222	7.3971	7.557	7.2318	6.5064	8.2235	6.254	6.9082	6.9404	7.3245	6.6492	7.3755	9.4994	6.7278	7.2245	6.7675	7.8922	7.2427	6.7291	6.6399	7.2212	6.2331	6.5074	7.7906	6.5877	6.9103	7.6832	5.9928	6.5489	6.2324	9.313	7.5911	6.9989	8.1377	6.4363	6.4097	8.3494	7.2226	7.5509	8.5104	7.5982	7.5542
EA_G__CDH2	4.0251	4.0411	3.9336	6.1279	5.6571	9.8299	4.4929	9.9081	10.0761	7.0983	9.3912	3.6812	4.1157	6.1737	6.6884	3.977	4.3982	4.3306	4.3469	9.5028	11.0385	4.1055	10.6677	4.2581	4.3672	8.5006	9.341	5.4302	4.6632	9.0445	4.2375	5.3076	4.4986	6.1511	7.001	10.2831	6.7609	4.2568	4.0943	4.3249	5.1323	5.1626	5.225
EA_G__SPRY1	8.1188	6.6834	4.9398	6.5822	5.7073	5.4318	5.413	4.7038	5.5559	5.6548	6.0127	8.022	5.0918	4.2774	5.0493	5.5141	7.2697	7.6798	8.1014	5.4831	4.7961	5.822	5.1568	5.707	5.842	5.0568	5.8247	8.163	6.8469	6.0705	6.6836	7.4882	6.7315	5.3479	4.8691	5.332	6.7313	6.8209	6.5996	5.6949	6.1545	6.792	5.6266
EA_G__GPT2	6.5618	8.2848	8.2032	7.186	7.7035	8.4761	7.3253	6.6051	7.1231	8.9704	7.5034	8.7019	7.4346	8.3054	7.4531	8.0845	7.7741	8.3189	7.4314	7.6565	7.3449	8.436	7.0308	8.0378	7.3325	7.4295	6.4593	8.197	7.6069	7.1134	7.1712	7.9773	8.4251	7.994	7.2404	6.9377	10.0932	10.2191	7.2991	7.019	7.6085	6.5541	7.0243
EA_G__PRSS8	9.6655	9.4021	8.6396	9.1182	9.8896	5.839	8.563	6.0769	7.0852	9.3449	5.6234	9.9989	8.7449	9.0331	7.2019	7.5485	8.8439	10.563	9.5767	7.8573	5.7101	9.9771	5.7054	9.0099	8.9593	8.5698	5.822	9.4326	5.9163	9.2733	8.5573	8.7847	9.0995	6.067	7.8782	5.7102	9.9436	9.4381	6.9483	8.2088	9.2864	8.4567	7.7295
EA_G__KRT6B	5.9665	6.0994	5.8116	5.5577	5.8059	5.3078	5.5672	5.461	11.9954	5.9931	8.7915	5.7222	5.9716	5.6386	7.5151	7.1274	6.4871	5.5951	5.8183	8.5156	6.2271	9.2072	5.3215	5.9452	6.0416	5.4281	5.4047	5.7401	5.7328	5.5949	5.1991	5.8816	5.703	5.219	9.6538	5.5815	6.1517	7.4943	5.6991	6.0661	6.0697	5.5985	5.8874
EA_G__FGFR1	5.0629	5.3554	5.4223	7.1583	7.1868	7.3778	7.1919	6.6474	5.869	9.3985	7.4098	6.7101	6.4214	7.082	5.6584	5.8466	5.71	5.7984	6.7644	6.2995	8.9022	6.329	7.4693	6.6318	6.4525	11.2183	7.7328	8.0974	6.7207	8.2795	6.8672	6.3893	5.584	7.5019	5.7406	6.9605	5.9161	6.5106	7.1753	6.2782	7.357	7.4174	7.2196
EA_G__CTSL1	7.6904	7.1446	5.9869	5.883	6.5277	9.1712	6.6027	7.3059	6.0323	5.851	7.413	5.9477	5.9626	6.4435	7.0527	6.8364	7.614	3.7865	5.1383	6.8249	7.5579	6.3704	7.4269	6.6451	6.6534	7.3371	7.4699	6.4934	6.91	5.9933	7.3942	4.9259	7.1257	10.0666	7.3463	6.5746	5.5826	6.8836	6.2702	5.4304	6.6445	5.5102	5.704
EA_G__CALB2	8.0751	4.3682	9.4484	4.991	7.6983	4.5283	4.2529	5.2906	6.6151	6.014	5.4987	4.9633	6.5905	9.8532	6.3751	6.9999	9.7141	4.72	6.0323	9.3111	5.3211	9.8956	4.8503	4.3033	4.8289	4.4451	4.5107	8.4755	5.5838	4.4435	4.3592	5.5252	5.0455	5.3978	5.355	4.3414	6.2369	9.2125	4.9478	4.5061	5.5055	4.6117	4.5077
EA_G__CPAMD8	7.0478	6.0825	7.2596	7.2388	6.7996	5.6587	6.0427	5.8858	5.6522	7.7413	5.7791	6.8633	6.049	6.0436	5.9711	6.7098	6.1118	7.7258	8.4635	5.9444	5.3842	6.5933	5.5284	6.2974	6.322	5.9579	6.7371	8.6424	5.4769	7.4537	5.9555	7.027	6.3632	5.7861	6.2587	5.9367	6.3406	7.1091	6.9385	8.6235	8.1872	6.9222	6.1828
EA_G__P2RY6	5.8658	8.7646	8.1342	6.6875	7.0986	5.3199	6.1138	6.0507	5.4422	6.5098	5.6812	8.2888	7.7752	5.6175	6.0433	5.9451	8.1152	7.4019	8.6796	8.0907	5.2767	7.7315	5.7837	7.7124	7.6371	7.2822	5.2904	7.1436	5.8952	8.1293	8.0841	8.0435	9.1671	5.4074	6.0452	5.7602	8.617	7.9559	7.8561	8.0817	6.8568	6.9486	6.7097
EA_G__CROP	8.2018	7.6794	7.1056	9.5442	8.051	7.4537	7.8689	7.8178	8.4957	7.9071	7.1415	7.6063	8.8638	7.582	7.279	7.535	7.1366	8.7753	7.3724	7.7864	8.2097	6.8236	7.3167	7.1462	7.5035	7.6065	7.5749	7.0848	7.917	8.6685	7.5685	7.8229	7.1268	7.4569	7.1952	7.7688	6.7249	6.9686	6.9692	7.8227	7.4175	7.8985	8.1484
EA_G__MPZL2	7.3719	8.6176	8.1841	7.2143	7.3076	4.2879	4.419	5.9611	7.7694	6.6724	3.5131	7.6984	8.0349	8.2702	9.4412	8.84	9.0008	7.4943	9.3383	8.5485	4.4397	8.184	3.998	8.2389	8.139	4.93	3.2662	9.3087	5.9442	7.1773	7.9779	7.2399	9.0231	3.7817	8.534	3.5483	7.5277	8.2461	8.5938	8.7982	8.025	6.9311	6.4377
EA_G__SDC1	9.8678	9.8238	9.9144	9.5408	10.3	8.2603	9.1986	8.8559	8.3541	10.0467	8.3696	10.5063	8.5726	8.8345	9.0355	9.2236	9.4389	11.6207	9.8784	8.3024	7.9464	10.0645	8.4409	9.4673	8.7275	8.6508	8.7282	10.8626	8.9286	9.0714	9.007	9.5907	10.3639	7.9955	7.9054	7.6301	9.8965	9.1961	9.5786	8.4186	9.5167	8.2436	8.615
EA_G__SH3BGRL	7.102	3.942	5.8526	7.1953	5.0198	7.4323	7.7708	6.0477	7.8664	5.9809	7.0227	7.314	6.1049	7.0572	6.0477	6.2545	3.6697	6.9976	7.2912	6.4261	8.2649	7.7216	6.3939	7.5036	8.6749	7.7542	6.6349	7.6797	7.0193	8.0679	10.253	6.9757	5.0457	7.6014	7.6059	6.7317	6.7682	6.2722	8.3469	7.2142	7.1465	8.439	7.1421
EA_G__CPT1A	10.0084	9.7015	7.5302	9.5527	8.8672	8.3415	9.4435	7.4179	8.2157	5.0064	7.7151	8.4611	7.485	8.2409	8.9857	8.4221	8.6628	8.1331	8.8196	7.7552	7.8873	7.7419	7.9604	9.2672	9.1785	10.0054	7.8197	10.1675	7.996	9.5613	10.951	7.5483	9.4049	7.9403	8.8719	6.8117	7.7292	8.7383	10.2412	9.7116	9.142	9.6458	9.9982
EA_G__TMEM63C	7.9641	8.592	6.0696	8.7886	7.8238	4.5419	8.2991	5.1121	4.5942	6.0379	5.3185	8.5746	8.1623	7.3653	4.9035	4.698	7.1967	8.3326	7.5247	6.3223	7.603	7.3911	4.2781	5.8289	6.3846	8.1346	7.6805	8.2487	4.4405	7.4794	8.0082	9.2885	7.5344	4.2336	4.6113	4.8724	8.902	8.7742	7.7339	5.4872	9.4194	7.6357	6.3547
EA_G__RORC	7.6294	7.8594	5.6786	7.0519	7.5726	5.514	5.6777	5.7643	5.6198	6.0853	5.5107	7.422	7.2508	5.5734	5.5397	5.5921	6.1229	6.4823	6.9352	5.5364	5.4595	8.2631	5.482	6.6938	7.2834	6.8486	5.1718	7.0259	5.7918	5.6745	5.7574	6.3865	6.4728	5.2525	6.2949	5.6901	7.2421	6.84	6.987	6.9613	8.9875	7.1181	6.3763
