Cell lines	600MPE	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC2185	HCC3153	HCC38	HCC70	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751
EA_G__TIMP2	8.0733	5.3944	8.578	8.7678	6.3471	8.206	9.266	6.5326	6.6301	7.4328	7.5212	7.6423	6.5074	8.6701	9.1357	7.1354	6.9135	6.629	9.9272	7.5771	5.6731	6.6532	4.7218	8.7064	9.815	7.1412	8.3924	5.6884	6.8307	6.477	7.3707	8.4241	4.9285
EA_G__SLC7A11	5.1809	4.1599	5.0311	6.5597	4.2618	5.8494	8.4557	4.9675	5.0098	5.4931	7.8307	6.4145	3.8433	5.6015	6.7087	5.6799	5.8004	5.4594	5.2728	8.0821	4.96	5.0106	4.2806	4.9229	7.2331	5.2141	7.3597	6.9123	7.5002	4.0292	4.5781	4.0326	4.6664
EA_G__HMGCS2	4.5544	10.0884	4.2474	4.296	4.3704	4.3897	4.5194	7.4041	4.6301	4.2111	4.6196	4.2624	4.8674	4.6161	4.3498	4.6828	4.5064	4.7543	4.1742	4.5988	9.1804	10.6013	4.9517	5.0354	4.5088	4.4993	4.4967	8.0871	5.7396	6.6758	5.8813	7.594	7.4631
EA_G__CRIM1	9.0196	6.5929	7.7545	9.7719	4.9514	9.4674	8.0665	5.769	8.1182	7.7723	9.2139	9.9786	9.1212	9.553	8.9683	9.1882	6.9248	7.2872	10.3139	10.2066	6.0395	8.0396	5.5615	8.5579	8.5317	9.052	10.2588	7.9147	7.6815	8.6219	8.7841	8.2763	5.0659
EA_G__CD109	6.1416	3.7921	5.5339	8.3527	3.4254	9.8252	9.2487	3.0817	6.5144	7.1157	8.0877	9.3691	3.7098	9.8537	8.8739	7.4854	4.4126	5.5731	8.0959	3.3463	6.1181	7.5862	3.8296	4.357	10.4754	8.624	9.3002	5.8117	4.6067	3.6874	4.1718	7.6538	4.3542
EA_G__FJX1	8.3967	4.9649	6.9083	9.0274	6.719	9.9085	6.0156	5.9123	6.1875	9.0239	10.8651	7.8271	7.6401	8.2594	7.1323	6.3296	7.4508	5.7965	8.9907	8.713	6.5637	7.2206	7.9145	6.3355	8.3063	8.4438	8.6121	7.8131	7.6374	7.4963	7.972	7.0963	6.8239
EA_G__TMPRSS2	7.1443	7.4163	6.1494	4.76	5.2206	5.9465	4.4614	8.4729	6.5273	4.686	4.6026	5.5772	9.8984	4.5147	4.4592	8.9766	7.2592	6.7275	4.3741	4.2222	6.094	7.3281	6.4244	7.2688	4.3749	4.9769	4.5539	6.2306	7.1473	5.1128	7.3834	5.9248	4.9624
EA_G__TIMP1	10.696	5.9828	10.8059	10.6076	6.2943	10.4313	11.5399	5.6373	10.8903	11.2532	9.662	9.3399	6.355	9.3984	9.7969	7.911	9.3202	10.1272	12.1036	9.8061	8.7353	10.5777	7.4083	6.8389	11.3341	11.0263	12.4699	8.2387	7.4412	9.8428	7.7003	11.5617	5.4094
EA_G__LTBP2	6.4939	5.8484	5.7214	5.8612	5.9966	7.2573	6.9893	5.5716	5.7214	6.0676	6.8141	6.828	6.3254	6.36	8.5798	6.1362	6.3948	6.1604	8.5092	6.5464	5.7252	5.5235	6.3771	6.142	7.3028	6.7043	6.306	6.5798	6.8782	6.3072	6.3083	5.977	6.2503
EA_G__PHLDA1	7.264	5.4323	6.0387	7.1715	4.5343	8.4106	7.8576	5.8538	7.0573	5.0523	9.211	9.0987	7.6233	7.8731	8.6225	7.3199	6.9348	6.4868	7.7793	9.2009	5.3553	5.2952	5.3613	5.4233	9.2377	6.425	6.9972	5.2608	7.1747	5.2914	7.144	5.156	4.4997
EA_G__ICA1	6.8007	7.7109	6.3638	4.2132	7.1927	4.9716	3.7922	7.0962	6.1191	4.2211	4.1324	4.8164	6.8093	5.7834	3.9633	4.0011	6.8677	7.0587	4.0082	5.9475	6.8185	5.8066	6.6253	6.7251	5.4292	5.8257	4.0589	6.974	7.7989	6.9839	7.286	7.3446	7.8273
EA_G__PRODH	7.1166	9.6968	6.5807	5.2856	9.8394	7.3753	5.293	9.9249	7.0011	5.3203	5.7339	6.3419	9.6035	5.5817	5.3378	5.6238	6.1188	5.8214	5.7096	5.3603	10.5759	10.8014	10.6464	6.5433	5.7008	5.7056	5.2411	7.8362	10.5858	9.7075	7.7263	6.2829	10.3923
EA_G__SLC9A3R1	10.8284	10.9597	12.1339	8.7121	11.6704	8.938	7.8985	11.4576	12.2228	9.8097	9.4062	9.2397	10.1126	9.0002	8.2983	10.211	11.5891	11.5335	7.5431	9.0363	12.6162	10.3807	11.9228	10.702	7.9923	8.16	8.1862	10.5458	9.9597	10.2024	10.9276	11.5295	11.3238
EA_G__GRB7	8.5454	11.1297	8.1717	6.2075	7.1224	7.4261	6.3606	11.6802	7.283	9.436	7.1132	6.9786	8.4244	7.8473	5.9178	8.1182	7.3692	7.4325	5.5442	6.1796	9.8138	7.8417	8.799	10.5391	7.3985	7.0859	6.2713	7.9055	12.3691	8.1468	7.4714	10.6486	7.7878
EA_G__SYT12	6.5702	6.4667	7.2718	5.6842	7.9997	5.3679	5.0011	5.5349	7.2782	6.3472	5.9473	6.3003	8.2401	5.853	5.1824	7.0638	8.037	7.7083	5.4029	5.6268	6.4297	7.8238	8.001	7.193	6.263	8.7831	5.9885	5.3229	6.7599	7.2041	6.3496	8.237	7.9768
EA_G__NHEDC2	5.1404	5.0185	4.8827	6.6627	4.1264	5.9421	7.6438	4.8055	5.3737	6.7333	6.4724	6.1886	6.4636	6.7411	6.1157	5.8529	5.7495	5.4824	6.4926	4.4558	5.0307	4.3183	5.1944	5.7618	7.2622	6.4832	7.8141	6.5272	4.9132	4.7038	5.6645	5.6493	4.6542
EA_G__FAM126A	6.3818	7.153	4.3663	8.6294	6.0958	6.8821	8.533	3.5746	4.3202	7.0721	8.1954	7.9781	4.5708	7.4622	7.9965	6.1561	5.7628	4.3029	9.1447	7.9583	6.4401	5.131	4.7284	4.2539	8.47	5.9557	9.0501	6.6312	5.0043	6.138	7.4823	6.8191	6.6976
EA_G__FGFR4	6.212	9.4947	8.6522	6.7252	11.1104	6.9616	6.9437	9.9702	7.7334	8.649	7.4069	6.9704	7.8246	7.3383	7.6825	6.2891	7.6865	8.3879	8.0349	6.6169	9.9462	9.8037	11.4544	6.6971	6.6719	6.5764	5.6794	8.3049	9.0287	8.2707	6.8843	8.8386	10.7427
EA_G__MALT1	6.1856	6.6217	6.2121	8.5624	6.7858	8.3258	6.901	6.3425	6.2349	6.6303	6.5109	6.7436	5.518	6.689	9.3823	6.2279	5.7846	5.3337	7.5889	6.8856	6.1808	4.8845	5.9347	6.6455	7.5106	7.3724	7.5651	7.0666	5.7784	5.2207	6.0642	6.4532	7.0325
EA_G__ACSL4	3.8905	3.2175	3.0199	8.1981	3.93	5.8474	7.8339	3.2795	4.7223	6.0223	5.4391	5.9242	3.2448	6.4566	7.5506	6.3064	4.3467	3.4318	6.5727	8.0383	3.8174	6.3426	4.0514	3.2697	7.359	6.9283	7.5937	6.0038	3.4226	5.8348	4.7256	3.5077	3.3705
EA_G__ATP10D	5.5889	4.4171	4.7251	4.0012	4.1262	3.7236	6.9635	3.2295	5.5628	4.9374	7.053	7.2096	3.7703	6.4579	6.6916	6.6534	4.0559	3.9068	5.913	6.3646	5.9933	5.4572	4.5143	4.7657	6.5914	5.5249	5.4299	6.7164	5.918	5.201	5.7417	4.4694	5.1556
EA_G__FAM120C	6.734	6.9027	7.2895	7.5805	6.9332	6.2679	6.4023	7.0268	6.7884	6.3034	5.144	5.782	7.8624	4.9352	6.3925	6.2466	7.8199	7.3178	6.2234	6.1857	6.9862	6.9113	7.2472	7.2245	5.878	6.9624	6.042	6.8034	6.3654	6.0982	7.9788	7.8176	7.9865
EA_G__TRPV6	5.9489	7.3399	5.3999	5.1131	5.837	4.7885	4.7744	4.871	5.2912	5.0413	5.1102	5.1268	9.2894	5.4021	4.7952	8.0611	5.4671	5.4788	4.7818	4.9054	7.7522	6.6101	8.7922	8.2537	5.0953	5.2391	5.3572	7.0029	9.1168	7.0934	8.5497	5.0626	8.2569
EA_G__ADD2	5.5151	5.5351	5.3535	5.5599	5.3892	7.3116	7.7376	5.2749	6.6198	6.8201	6.7041	7.7484	5.514	7.5593	6.615	5.87	5.8426	5.7224	5.4215	7.2226	6.1584	5.385	6.318	5.8218	6.0723	7.1771	6.4609	5.5033	5.4357	5.8193	5.5984	5.4563	5.3741
EA_G__GALNT7	9.6749	8.5231	7.2484	7.1488	7.5272	7.5228	6.8623	10.4321	6.6273	7.0021	6.6653	8.244	8.5352	6.033	6.1371	8.4471	7.7906	7.5339	6.9762	7.7804	8.9969	9.1677	8.3252	7.6935	7.7995	7.7606	7.4331	9.9007	9.1024	9.738	7.0766	7.5746	8.5319
EA_G__TPD52	5.9209	7.0653	6.6962	5.3719	6.8489	6.829	5.1704	7.2799	6.5672	7.0081	5.6315	6.5702	6.491	5.8988	5.8681	5.9646	6.3341	6.808	4.2657	5.3093	6.894	6.7619	6.1522	8.3772	5.8053	5.8745	5.9066	6.8577	7.4252	6.5493	5.7787	7.5175	7.2785
EA_G__DPYSL2	5.7919	6.5531	7.199	10.3808	7.342	8.2545	8.9742	5.9297	7.6053	8.5864	6.9477	7.2433	6.0442	8.2008	8.1649	6.9424	7.6608	7.1866	8.7065	8.0483	7.6197	5.6238	7.8734	5.0121	9.7796	9.6176	9.3425	8.7012	6.9372	7.67	7.3599	7.4901	5.1537
EA_G__ZNF652	7.5137	9.1134	7.658	5.4265	8.0263	7.5657	6.1679	10.4217	8.3293	6.9403	6.4695	6.4805	7.371	6.6141	7.0294	6.8064	7.3028	7.8102	6.7251	6.172	9.0124	7.6468	7.4323	6.5588	6.6853	6.6539	6.3657	7.335	8.4527	7.8613	7.2296	8.3435	8.7495
EA_G__ATP6V0A4	6.396	9.5886	6.8897	4.4126	4.4522	5.3603	4.3231	8.3304	6.5654	4.3641	4.4015	4.6533	7.8356	5.7837	3.8844	5.4336	6.9256	6.3269	4.1126	6.246	8.7945	6.5413	4.8429	9.4857	3.9129	4.2576	4.3833	7.4254	4.3647	5.9346	4.4506	7.5065	7.4908
EA_G__SRPX	4.8418	5.1588	4.2865	4.4735	4.0039	7.2853	10.396	4.3236	4.6318	9.3757	4.3267	4.0548	4.527	5.7129	5.7652	4.6263	4.5545	4.5687	6.9883	5.8279	4.3906	5.7889	4.9086	4.3626	10.949	6.1023	9.3259	4.8527	4.4114	4.3412	4.962	4.12	4.6042
EA_G__AHNAK2	6.4315	5.7758	6.5778	8.7237	8.1277	11.0055	8.9185	6.0669	7.319	5.8046	8.2741	7.0113	6.8208	9.6726	7.9732	7.629	6.3356	6.7179	9.2604	7.9926	5.8029	5.5643	6.3239	5.8413	11.1983	8.7533	9.2006	8.6161	7.8498	6.7657	6.6229	7.0651	6.7233
EA_G__CDYL2	7.3631	8.2646	8.9194	5.849	8.0675	5.272	5.3771	8.4468	8.5447	5.8033	5.7483	5.7744	8.1388	5.639	5.5573	5.97	8.7179	8.367	5.4427	6.9612	8.487	8.1416	7.5519	7.1617	5.9508	5.5106	6.3854	8.3072	6.9069	7.6963	7.086	7.575	7.7872
EA_G__UPP1	5.4549	5.448	5.1849	6.6737	5.1357	6.9823	6.6838	4.889	5.2305	5.3407	7.4135	7.397	5.3149	6.9028	6.8339	6.2895	5.6169	5.127	6.8378	6.9034	4.8709	5.1442	5.3505	5.686	7.1274	6.5287	6.8426	5.5523	7.256	5.5613	5.6237	5.6119	5.0034
EA_G__ACN9	5.663	2.2474	6.4061	7.3112	2.7477	7.1126	8.0424	2.5176	7.5615	6.6273	6.5053	7.5679	2.2849	8.2112	7.1776	6.3609	2.5402	2.3462	7.0306	7.6458	6.8231	4.2824	5.423	7.6019	7.7805	7.3034	7.8799	7.6985	6.6824	8.9937	3.1105	6.3996	2.2698
EA_G__TM7SF2	7.362	10.6738	8.9356	7.777	7.8977	7.2251	6.8147	9.1668	7.9039	6.7241	7.7442	7.9366	8.5326	7.6531	7.0171	7.4679	9.5635	10.0085	6.465	6.9611	9.7289	8.2619	9.9341	8.013	7.0973	7.8511	5.806	9.5896	6.8613	8.2324	10.641	9.5627	9.7151
EA_G__ERMP1	9.1233	7.7073	9.4053	7.401	9.5278	6.7848	7.2208	9.9716	8.4253	7.4714	6.4361	8.3757	8.2505	8.196	8.1311	9.9705	8.8285	8.7303	4.9347	6.0482	8.8685	10.2583	8.723	9.3062	5.3658	8.9447	7.3782	9.6522	8.6249	10.0875	9.0246	8.9602	9.9493
EA_G__CYP2J2	7.5609	6.7259	6.0601	4.78	5.8339	6.1137	4.6398	7.7706	6.8903	5.9356	4.8007	5.9878	7.4097	4.6187	4.4382	6.0827	6.3696	7.0868	4.2793	5.9153	7.5381	8.3749	5.4937	7.2803	4.893	5.2515	5.3152	6.042	7.5127	5.895	5.9996	6.2447	7.9614
EA_G__ANXA1	9.3451	4.0476	6.3945	10.2017	3.5434	10.6675	9.7178	5.7747	3.241	9.4661	10.3797	10.7509	5.1369	10.5083	10.031	11.0436	3.448	3.7029	10.0666	9.9841	4.7581	8.4359	3.764	5.1137	11.0653	10.5969	9.902	8.9069	10.2567	8.2487	5.7561	3.9458	3.0291
EA_G__JAG1	5.3676	5.3175	5.37	5.2094	4.8659	10.6497	8.7216	5.2027	5.7356	6.6225	8.4241	9.22	8.3486	8.547	11.4361	8.8384	4.9283	6.6646	10.2915	8.3717	5.8293	6.3949	6.5058	6.3796	7.2595	6.924	7.0998	8.7139	7.9	5.371	5.2308	4.8664	5.3273
EA_G__FXYD5	9.087	5.1452	6.8194	10.3061	5.212	9.9677	9.9666	4.9676	5.8157	8.678	10.7836	9.0929	7.316	9.7402	8.2865	10.1781	5.3102	5.5668	10.1368	9.7893	5.2174	5.9207	8.6977	8.8892	7.4253	9.2964	9.4217	8.919	8.5269	5.7418	8.3542	7.2186	5.8579
EA_G__FABP5	4.5852	5.6242	4.9494	3.2476	4.6763	8.607	6.8194	6.1227	5.9207	8.2855	8.2952	8.2315	3.8303	6.6193	8.1268	8.0179	4.5795	4.4465	7.8224	8.5296	6.4531	5.4059	3.6267	5.0183	9.5285	6.2494	8.6298	3.1829	4.1928	3.9817	3.7328	3.6033	6.0214
EA_G__CCDC125	6.7241	8.2014	7.8942	6.5806	7.5742	5.6801	6.0105	8.1674	7.8031	6.378	5.856	5.009	7.0037	6.4699	5.9728	6.3171	6.9265	7.4992	4.8539	6.4407	7.3733	8.7571	6.9123	7.071	5.6281	5.3484	6.4832	8.3702	6.7762	6.4973	8.0046	8.2983	8.289
EA_G__C10orf38	6.2483	5.3107	5.1599	8.0693	5.1925	7.2034	6.0324	4.802	4.8767	7.5243	7.2618	6.0726	5.238	6.5257	7.1925	5.3892	5.5845	5.4859	8.3927	7.5852	5.2761	4.6143	5.828	5.3883	5.3581	5.9375	7.9592	5.5203	5.343	5.5036	5.4112	5.5978	5.3111
EA_G__KIAA1370	8.0117	7.3101	7.5285	5.8151	7.928	5.5305	5.1632	8.5057	8.3103	5.6178	4.1441	5.8594	7.7436	5.6434	6.0605	7.0426	8.0435	7.6508	5.501	5.8793	7.546	8.121	7.6939	6.9794	5.6558	5.3833	4.6569	8.0614	7.0923	9.0775	8.1025	7.7791	8.678
