Cell lines	600MPE	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC2185	HCC3153	HCC38	HCC70	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751
EA_G__ERBB2	9.7997	12.3566	10.2935	7.7806	9.1247	7.7491	7.1261	12.6526	8.5876	11.3467	7.4832	7.6512	10.2349	8.7512	8.1322	8.6875	8.5271	8.7417	7.9542	7.3805	11.4924	9.0715	10.6304	12.0992	8.1194	7.4859	7.6326	8.7176	12.6826	8.6454	9.1608	12.2493	10.0611
EA_G__STARD10	8.7444	9.838	10.3464	6.9657	8.9884	7.0812	6.3309	10.6337	9.9114	7.9561	7.2257	7.6626	9.147	7.3262	6.4872	7.4777	9.734	9.5739	7.4208	6.2262	9.903	9.0237	9.6166	9.3077	6.0593	7.4425	5.9183	8.838	8.704	9.3903	8.7334	9.6701	9.2205
EA_G__PRR15	8.5828	9.4281	8.7477	5.9517	8.5116	6.3331	5.4556	8.8302	7.6556	5.6097	6.8916	7.1865	8.3428	6.3757	5.5522	6.7254	7.5276	8.6434	5.9078	5.5891	9.0365	8.5096	8.2513	8.5682	5.5335	7.784	5.8528	9.2642	9.3127	8.6535	7.2126	8.8522	9.174
EA_G__LAMB1	8.6061	7.5613	8.1784	8.178	7.7319	9.1946	9.244	7.368	8.1479	9.7851	8.6398	8.7716	8.0677	8.7155	7.9749	7.6611	8.0096	5.3777	10.6895	7.6222	6.0822	8.1012	5.867	9.4446	6.7632	8.4329	8.9308	8.3119	5.3253	8.4389	8.0109	4.8772	6.7571
EA_G__LOC493869	7.5675	6.5814	6.1373	9.9093	3.4796	6.1974	9.0133	2.7338	6.9972	7.0989	7.0566	6.7197	4.9328	8.408	8.8576	8.31	6.3644	5.0232	9.1317	8.3857	6.483	7.7228	4.5915	3.9953	9.3612	8.0153	9.2636	9.5856	8.1735	5.9401	8.3805	5.4012	4.2873
EA_G__GSTT1	7.6347	8.0168	7.052	7.6019	8.4776	4.7123	4.5363	8.8024	4.5306	4.5116	4.9129	4.2115	7.3671	7.6961	7.5309	4.753	6.5317	7.7158	6.9876	4.0882	8.3665	7.6046	8.6851	6.5673	5.1682	7.0605	6.4598	7.5391	7.2578	4.7409	4.6702	7.7072	9.7679
EA_G__CEACAM6	11.9576	10.4191	6.7394	4.4249	4.3434	4.5225	4.2987	10.2871	4.6155	4.2125	5.4873	5.8584	10.3529	4.6112	3.9866	7.9509	8.4815	7.3165	3.6986	4.1634	10.9123	10.8417	4.9382	6.4947	4.7785	4.201	4.5135	7.5353	10.2088	7.5093	6.1862	8.1197	6.9771
EA_G__MAP4K4	6.8339	6.9846	6.6211	7.6195	6.5829	6.9551	9.6361	4.6415	6.9167	7.5113	7.577	8.575	5.8437	7.5774	7.9209	6.8842	6.9634	6.292	8.0307	7.2345	6.2708	6.4071	4.8013	4.4212	9.5851	6.9638	7.773	6.0739	7.3778	6.2682	6.226	6.4416	6.0425
EA_G__ATAD4	8.9675	8.0263	8.0542	4.5523	7.5399	8.0394	4.8296	10.7967	7.4212	4.1336	4.5672	4.7596	8.0676	5.5651	4.2357	7.043	7.2902	7.5689	3.7982	4.8914	9.0888	8.2291	7.5073	7.1289	4.5322	5.1374	4.3119	7.2446	7.4827	9.1193	7.2602	7.8865	8.9783
EA_G__C17orf28	9.3617	9.6197	10.0389	5.5952	9.5722	6.3666	5.2734	10.3721	9.0304	5.4402	6.5831	7.025	8.2773	7.1557	5.8027	7.1023	9.1167	9.277	5.3589	6.1912	11.1353	8.8997	11.0475	9.6716	5.6045	6.3796	5.9321	9.479	9.5063	9.3071	9.6105	9.9773	10.4072
EA_G__OBFC2A	8.663	5.7752	5.5617	8.0921	4.5264	8.1177	8.5995	6.3325	5.6037	7.6901	9.0276	8.7656	6.3893	8.8214	9.7788	7.8827	6.4123	6.7442	8.2834	9.4543	5.5142	6.1973	6.3699	6.996	8.5565	8.4307	9.0169	7.7607	7.9834	6.1808	5.7689	6.4453	5.6546
EA_G__KIRREL	7.5887	5.6081	5.7258	10.3544	5.5244	9.7389	9.7405	5.3224	5.3906	10.1946	8.1	9.2642	5.5174	9.3051	9.8443	7.0456	5.8194	5.7806	10.0757	8.5703	5.2519	5.8751	6.4035	5.6421	10.2171	8.5799	9.3106	5.6723	5.8787	5.7361	6.8062	6.3514	5.7109
EA_G__GLIPR1	3.2087	3.4702	3.5103	8.225	3.4968	6.1064	7.0228	3.3575	3.7556	4.2416	6.6397	6.1565	3.5767	6.5325	8.5465	4.8932	3.6517	3.3135	7.2825	6.9605	3.1331	5.5399	3.7158	3.6556	7.0461	6.3423	9.0025	3.6353	4.0555	3.3701	4.2331	3.4115	3.1647
EA_G__OPTN	7.221	5.3369	6.9311	8.3122	6.5453	7.5186	6.0328	4.7322	6.9897	6.7986	6.2956	7.0622	6.6243	7.2997	8.3212	8.8409	5.3053	5.7791	8.1823	6.7992	4.892	6.3711	5.1838	6.2416	7.8105	7.3452	6.5014	6.3757	5.827	5.7857	7.2587	5.688	4.9217
EA_G__C20orf42	3.4376	3.8664	5.7135	6.0366	3.6472	7.5292	4.1794	3.3863	5.1534	6.995	8.7192	9.0772	4.6405	6.635	6.317	5.5793	3.838	3.8146	3.6306	7.1876	3.542	4.684	4.2703	3.8293	5.3947	7.4157	7.0976	4.1238	4.2218	3.7979	5.7945	4.0094	3.5256
EA_G__CACNA1D	5.1325	6.4883	7.1711	4.3929	5.9883	5.0697	4.3872	7.9984	8.2401	5.3635	4.4459	4.8797	7.7626	4.6953	4.4363	5.9109	6.6581	6.2977	4.2473	4.4991	6.9919	6.4139	7.5077	7.7938	4.5576	4.5211	4.5248	5.9556	6.0469	7.638	6.6987	6.9375	7.5353
EA_G__CMTM7	7.8658	7.1049	5.3678	7.6197	5.935	8.8032	8.1796	5.1804	5.5291	8.2411	8.1877	7.9604	5.849	8.9538	7.5776	8.2734	6.3971	5.7649	7.7657	8.3036	5.4139	6.5478	6.1254	6.2854	8.5469	7.8743	7.6306	7.0904	5.7507	6.2845	7.1193	7.5985	5.557
EA_G__KLRG2	6.9239	8.4057	7.5283	6.4	9.6446	7.8073	6.0509	7.7071	6.9473	6.3701	7.4151	7.5596	8.4247	7.0207	6.3157	7.1726	7.2573	7.355	6.4254	6.1478	7.9256	9.0586	8.2741	8.7105	6.5291	6.5715	6.701	8.0547	7.249	6.6918	7.2045	7.9626	8.9974
