Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__PRAME	5.1003	5.3193	6.3397	5.3357	6.2642	5.1516	8.9344	9.7548	6.0639	7.7932	5.4245	4.9665	6.5426	4.7451	5.1626	8.5171	7.8514	7.7627	5.4001	4.8634	5.1053	6.2272	7.7763	4.4942	4.8008	6.0026	5.1608	5.4706	5.8955	4.9292	4.9845	5.7112	7.4347	6.7545	4.8801	5.8399	6.7549
U133A__ATP2C2	6.3307	6.2095	5.2594	6.78	4.7505	6.4084	5.4049	4.9367	6.2669	4.6402	5.5946	6.105	5.0725	6.7137	6.1365	4.8823	5.9041	4.6599	6.1516	5.6878	5.0964	4.7406	6.6441	4.5629	6.3763	7.4543	5.9877	6.6966	5.0115	5.5817	4.528	7.6835	6.0596	5.6751	6.1125	7.0079	5.4811
U133A__TNC	5.3228	4.6808	6.0589	5.0294	6.8118	4.6548	5.8077	9.2972	4.909	6.0354	4.8131	5.0022	8.1084	5.3092	6.2336	9.3754	8.5657	6.5111	5.0374	4.7272	7.5415	7.5353	5.0349	5.0495	6.0046	6.2086	9.5715	4.904	7.4837	8.1507	6.8616	6.0683	7.8556	4.9164	6.5265	5.2553	4.8657
U133A__SLC16A1	5.5794	5.7645	8.3004	6.0565	7.9693	6.5954	7.3152	6.2764	5.9809	7.3342	8.5427	8.3794	8.0237	5.2666	7.0439	8.327	8.4403	7.6278	6.1698	6.5289	6.4164	7.8131	4.8744	5.4479	5.6483	8.4516	5.5286	5.5178	8.0539	8.2358	8.9896	5.4203	6.7675	5.835	6.0467	4.937	7.0823
U133A__NNMT	7.4816	6.4025	8.9292	4.3441	10.43	4.4886	4.4447	4.5027	4.0426	5.1421	4.462	6.0129	6.8071	4.2145	5.8981	7.0081	7.6329	7.5692	4.5485	4.4465	4.6024	10.1086	4.1548	4.4358	4.2956	4.9538	4.3555	4.6834	8.5814	8.774	9.9583	5.6167	5.758	4.3408	8.3456	4.1626	4.082
U133A__PPP1R3D	6.0376	6.2841	6.5806	5.8836	5.5115	7.3522	5.3847	5.2179	8.4079	6.0031	6.2885	6.1268	6.9745	6.7862	5.4457	5.3754	5.7838	5.1445	6.6139	6.9967	9.3097	5.3464	7.7236	5.2928	7.7316	6.1594	7.5285	6.4306	4.8825	6.1016	4.8641	6.6839	6.8287	5.7656	8.1055	7.205	6.5275
U133A__TNS3	6.8795	8.1902	9.0136	7.5866	9.0042	5.6988	9.2701	4.0902	5.5019	8.1426	7.8083	7.7228	8.5076	8.5705	6.2364	9.9299	8.961	7.8124	6.7106	6.5179	6.2633	8.3007	8.0747	8.3139	6.4102	7.207	6.7186	6.7809	9.3477	6.5821	8.1469	8.4555	7.3788	7.9149	8.683	4.8818	6.7365
U133A__ITGB4	8.4764	6.8825	7.8694	7.2638	5.1424	6.7049	9.9222	5.9812	6.4977	5.6302	9.8634	7.2601	7.6693	6.7599	9.2314	6.4951	6.4958	5.6846	7.7798	8.3127	5.2167	5.7594	7.597	5.8136	7.8203	7.0236	6.7098	6.7099	5.7868	6.8612	5.7862	7.0662	7.1408	7.4342	7.6944	6.2395	7.5587
U133A__PARP12	5.6212	7.2533	7.2406	5.7221	5.4178	5.3115	6.5946	9.2451	5.6289	6.6519	6.3163	7.2762	7.1555	6.4157	5.7841	7.1514	8.4965	6.4931	6.121	5.4093	6.0014	6.91	5.282	5.8362	6.0526	6.5117	5.5824	5.8208	5.7415	6.6629	6.5579	7.6618	5.5611	5.8681	6.089	5.0997	5.5159
U133A__GNG12	7.5942	7.7849	9.0112	6.4664	9.7447	5.7435	7.6541	6.3405	6.7824	8.0676	8.631	8.0184	7.7945	7.4507	8.4371	8.502	9.4671	10.163	5.8447	6.4708	6.9607	8.6305	6.6815	9.2273	6.8388	8.3046	7.625	7.4958	9.7275	8.1413	9.2598	9.1562	8.3668	6.9594	7.5017	6.9873	7.0425
U133A__ST14	6.2778	7.5491	6.1897	6.5451	3.9898	6.2206	6.3367	7.2561	6.6181	4.9063	6.9803	7.7047	7.101	7.1576	7.4406	4.7531	6.3258	3.7092	6.126	6.1322	5.9004	4.5615	6.1623	3.929	6.3002	6.4807	6.4503	7.2871	4.9825	6.7263	4.1953	6.6592	5.1746	8.3697	7.4472	5.7941	6.2579
U133A__SLC7A11	4.2893	4.9085	8.8657	4.8749	7.6008	4.0794	4.8761	4.5896	3.9585	5.6869	9.4099	5.7783	5.776	4.097	5.2914	7.2811	6.0812	8.3411	4.3563	4.5052	5.6895	6.2811	3.7697	9.0367	5.1478	5.4183	4.2368	4.6391	6.1061	5.0838	6.5691	7.4302	7.695	4.18	3.9346	4.1598	5.1029
U133A__ARHGDIB	8.5293	8.1199	5.8842	6.4501	4.7304	4.7976	5.607	6.4063	8.0311	5.4551	9.4922	9.2045	7.5589	10.3184	8.841	4.8659	9.2277	6.0753	4.7729	5.4535	5.0219	5.5393	10.2407	10.0378	9.1753	10.118	6.7721	8.9124	5.2272	8.2832	6.2232	9.0231	7.7081	6.377	9.6437	8.9659	6.9107
U133A__KDM4B	7.0519	7.1044	6.0515	7.4491	7.1928	8.1492	6.1444	7.9974	8.6306	5.6694	6.594	6.2074	5.1967	6.7817	6.8032	6.8838	6.5409	5.945	6.1848	6.9393	9.4039	7.2455	6.7971	6.6163	7.5952	6.4755	8.2976	6.1498	6.6724	6.5498	6.4961	6.9118	6.5551	8.9722	7.696	8.1269	7.1149
U133A__PLAUR	7.2636	7.0817	7.6566	6.3774	7.9196	6.3478	8.6018	7.3217	6.6571	6.7499	6.7768	7.13	8.4113	6.8516	8.1211	7.2534	7.3607	8.1234	6.4877	6.4579	6.6082	6.9693	6.7436	8.9904	6.1449	6.6998	6.2084	6.715	7.4222	9.277	7.1697	6.8223	6.7814	6.3108	6.3435	6.3425	6.7746
U133A__GRB7	8.3996	10.2608	7.1275	10.6507	6.3286	7.053	8.3948	6.9301	7.1531	9.4888	6.7622	7.2019	11.2984	7.5151	8.0687	6.7119	7.5479	6.7995	6.1629	7.5126	6.6554	6.355	7.4331	6.1061	8.6563	6.8747	7.812	9.662	6.2945	6.9855	6.7471	12.4555	7.0393	7.1024	10.4791	7.1442	6.9964
U133A__SOD2	5.5088	6.9736	6.9797	4.881	7.7208	5.6061	6.6548	7.6545	5.7471	8.3722	7.9873	6.5132	7.3532	5.9588	7.7653	6.3289	7.5586	6.3059	5.2549	6.0585	6.0706	8.5843	5.3729	5.5954	5.823	6.3231	5.1422	6.0321	7.3062	8.7586	9.3681	6.4789	6.5449	5.6744	6.295	4.8445	6.1557
U133A__CYB561	9.3231	8.9941	7.8642	7.9717	6.2388	8.0748	7.6969	6.9168	8.6582	8.3664	8.4426	7.8981	7.7693	7.5397	7.7448	7.7648	8.0632	6.9285	9.7372	9.1411	8.1277	7.0833	8.4517	7.3983	10.3813	8.2127	8.7824	8.5366	5.2097	7.0984	6.7225	8.9039	9.4326	8.5092	8.6084	8.7911	9.3286
U133A__SLC39A14	6.6658	6.3508	8.5567	5.7462	9.7025	6.6078	6.3584	10.0436	5.8834	7.972	7.7405	6.3612	6.229	6.6312	7.0261	7.3375	6.1078	8.8219	6.2226	6.0328	6.4296	7.3106	6.5998	7.9923	5.6425	6.5311	5.5457	6.6012	10.1244	7.5401	8.3297	5.1832	6.6665	6.7652	7.3475	5.9987	8.1011
U133A__IFRD1	5.4877	4.9609	6.223	6.1315	6.6057	4.5862	4.8029	8.1135	5.2789	8.2698	5.9761	6.4008	5.8931	6.959	7.5063	6.305	7.2214	6.5547	7.5278	5.16	4.7386	6.84	4.7622	6.307	4.2376	5.1419	4.3653	5.7774	5.6285	7.0969	5.726	6.0891	6.9652	3.9585	4.1403	5.2741	5.3617
U133A__AGR2	10.3169	10.6821	4.8118	11.0027	4.8801	9.5473	4.7238	4.9574	5.6983	5.7322	9.8422	7.8487	8.9628	11.018	5.5521	4.8807	6.5245	4.9432	9.0223	9.5307	5.3115	4.1066	11.5908	5.8781	10.7955	11.9865	9.8595	9.5144	5.8546	5.7616	4.7808	10.6989	11.3355	11.4831	10.6889	9.3155	10.4286
U133A__PRODH	7.029	8.2633	5.8233	8.8993	5.8303	8.8246	7.1422	6.0662	6.391	6.1094	5.6095	6.9142	6.0079	8.4251	6.3012	6.0604	5.6111	6.144	6.283	6.6374	6.2947	5.8934	8.895	5.9198	9.8687	8.7783	9.8905	7.0932	6.1111	6.2748	5.5846	9.5521	8.7129	7.005	6.463	8.3004	8.9385
U133A__CRYAB	5.9769	6.6645	5.5916	5.2189	5.1263	5.5506	8.962	10.349	5.5635	10.0838	5.3294	7.6599	5.5014	5.2775	8.9366	7.7718	8.6936	5.6617	5.4935	5.4123	5.2084	5.1464	5.1888	5.1236	5.2909	5.2474	5.3376	5.6819	6.1253	5.0584	5.4355	9.1503	5.5079	5.4755	4.7935	4.6965	4.9777
U133A__PLCG2	6.5168	6.5628	6.8862	6.6357	6.7695	6.7472	6.8618	7.0184	6.6858	6.8866	6.5975	7.3542	6.9606	6.522	6.9216	7.2069	10.2967	6.8883	6.7778	6.8881	6.5643	6.5345	6.3556	6.7718	6.6133	6.7417	6.3532	6.7498	7.1081	6.2739	6.6263	6.4407	6.699	6.9178	6.6411	6.4317	6.4792
U133A__LOXL1	7.6117	4.1966	5.1158	4.3121	8.338	5.7862	4.933	8.9195	5.1848	5.3431	3.9845	4.0034	4.3856	4.1953	4.8002	6.8359	4.9628	9.1502	5.6646	8.9368	6.588	8.3756	3.6902	5.6773	6.3196	7.3211	4.5602	4.2818	9.7542	8.8104	6.6159	3.9347	8.3171	4.6056	5.1326	5.3135	5.2119
U133A__C5orf23	5.6841	6.3829	5.455	7.5346	6.5705	7.2092	8.7788	7.6183	5.4248	7.2325	5.4244	5.5515	5.5549	8.2279	6.8555	7.2818	8.3511	7.1384	5.6597	5.5512	6.1622	6.0857	5.6845	5.6237	5.9768	5.8137	7.0568	7.5061	5.7325	5.2448	6.0217	5.3433	5.4923	5.947	6.2081	6.4551	5.6891
U133A__KRT8	10.7115	11.2525	11.4126	11.1708	4.6994	10.4767	9.9402	9.7313	11.932	8.4941	8.913	10.6646	11.1743	11.4994	9.9269	9.5922	9.5457	5.7145	11.6793	12.1159	10.506	7.5837	11.0665	8.3426	11.2063	10.4653	9.1194	11.5414	4.6224	9.8963	8.3775	10.994	9.9593	11.9459	11.5683	9.9995	11.4816
U133A__ESR1	6.6831	4.5396	4.5822	6.3976	4.5782	6.6629	4.3235	4.353	8.2688	4.2264	4.7002	5.0748	4.3154	4.4719	4.0143	4.271	4.5688	4.0522	6.4113	7.7469	9.7696	4.5068	6.1899	4.216	8.2838	6.551	4.4076	4.7332	4.2618	4.2987	3.6143	4.8123	6.8369	7.3126	6.7535	5.0044	7.8658
U133A__FBLN1	6.1437	7.8745	6.5493	4.731	4.7087	5.3776	7.9094	6.6592	4.574	6.5739	5.7041	6.1375	5.3861	7.0399	6.4172	6.3002	6.7823	6.1568	4.5418	5.0442	5.4569	6.0269	4.696	4.6306	4.9543	6.269	4.5353	6.8851	5.23	4.4758	6.9467	9.0548	4.2538	4.5744	7.7406	4.5517	4.7651
U133A__FGFR4	5.2867	5.3796	4.6769	5.932	4.6014	8.8352	4.8179	5.08	5.6192	5.5987	5.5846	4.808	6.2914	5.3225	4.6994	5.1195	4.6729	5.1249	5.0994	4.7136	6.0483	5.4814	5.1906	5.0617	7.1829	6.8866	10.4891	5.3601	5.2254	5.1338	5.1372	6.7871	6.0534	5.1223	5.6953	8.0318	7.52
U133A__RHOD	7.8747	5.2958	7.9209	6.4675	5.1077	7.9489	5.7556	6.6789	8.1395	6.8909	8.2529	7.7422	7.4409	7.285	6.8871	6.6721	6.7316	5.5286	7.3222	8.2642	6.9058	5.7004	7.3765	6.1846	7.1356	10.2792	7.6147	5.486	5.0982	7.0881	5.0527	7.3789	8.2248	8.4567	7.6569	6.3975	7.906
U133A__XBP1	10.8344	9.815	7.6964	10.7009	7.9069	10.6604	7.6036	7.9543	9.2154	7.8611	8.1184	8.313	7.637	10.5899	8.1677	7.1544	8.6517	7.6438	9.3516	10.7117	11.2426	7.2265	11.6896	7.889	11.5911	11.2322	11.2977	10.1574	7.1282	7.1631	8.0768	11.1151	10.9035	10.9459	11.0313	11.6974	10.5644
U133A__SIK1	5.5407	6.6616	6.0677	4.9096	6.6913	5.4221	7.7282	8.163	5.4636	5.4409	6.6593	5.7017	6.0411	5.3807	7.5037	6.582	5.9786	5.4702	6.3386	6.4975	5.7459	5.7844	5.5274	5.4881	5.517	5.6329	4.9697	5.7079	6.6356	7.7926	6.1986	5.94	6.413	5.5653	6.0509	5.3543	5.5297
U133A__UPF3B	5.4087	7.4007	8.996	6.0208	8.5935	6.8089	6.7156	8.967	5.7916	6.9372	7.1397	6.7902	7.4767	6.9753	7.8309	7.9876	7.8404	6.1483	7.3708	7.4787	6.5789	7.2884	5.6376	7.2472	6.0651	7.2458	7.3178	6.6988	6.1282	5.6486	6.551	6.9342	6.3386	5.4531	6.7	5.4613	6.7386
U133A__FN1	5.5508	8.2086	8.2103	5.0901	10.9376	5.1521	5.7746	5.3775	8.8173	8.8456	4.7236	7.7597	5.8096	9.125	10.8297	11.166	5.7755	12.6523	9.0605	6.3942	8.9727	11.2772	6.6221	6.7443	6.9068	5.3011	4.931	7.9249	9.9495	11.5261	10.6074	5.1375	6.0347	6.7769	9.6411	5.6355	5
U133A__FXYD3	11.5397	11.0245	8.0183	10.1672	5.6784	10.1874	10.7614	6.2523	10.0586	7.166	10.7566	11.6944	10.7079	9.3959	11.2081	6.987	11.426	6.3006	7.5367	10.2466	10.2571	5.9241	11.9506	6.3403	11.0188	11.5663	10.5882	10.2691	6.2193	8.8516	6.3659	11.292	11.1506	8.8209	11.6832	10.5311	10.7219
U133A__SPARC	3.7712	3.66	3.5138	3.5735	10.4223	3.5195	4.282	3.8571	3.5912	8.829	3.6301	5.2953	3.922	3.632	9.6467	9.8987	3.695	11.0811	3.9276	3.715	4.7207	11.7943	4.1587	5.5428	3.6311	10.9894	3.6342	4.0483	8.1684	3.7031	9.5455	3.6479	3.7304	3.9174	3.54	3.7679	3.658
U133A__ISOC1	5.1663	6.6553	6.119	7.541	5.287	9.2407	5.7943	7.3405	8.0976	6.9094	6.4093	6.761	6.1868	6.9766	6.6684	5.8931	5.609	5.2129	7.5138	8.045	8.8911	5.4164	6.7959	6.9834	7.4249	7.287	7.952	6.9193	5.8083	6.542	6.1968	6.9708	5.616	6.3399	6.6446	7.5794	7.608
U133A__FADD	8.5432	7.2253	7.5941	7.3694	7.3736	8.6319	7.9796	8.0257	7.5068	7.4055	7.7871	7.4981	9.2216	7.4372	7.3283	6.8438	7.0393	7.045	8.2105	7.9457	9.9878	7.5091	8.7146	8.1263	8.5757	10.0277	8.4773	7.1372	6.7516	8.0897	7.4219	7.5246	6.8788	7.3984	7.6765	7.8862	9.1575
U133A__ID3	6.5887	8.2017	6.4475	6.292	9.0818	8.7673	6.2882	8.7247	5.5829	4.654	7.8635	9.1626	5.6262	9.16	7.4433	9.2935	8.3717	8.8993	7.6416	7.6832	8.4068	8.3992	7.0932	8.1135	7.6525	8.5874	7.9443	8.3927	8.1339	8.6072	8.571	7.3742	8.38	7.5964	7.2625	7.3309	7.1219
U133A__MTSS1	6.1643	5.7383	5.3768	7.3643	4.9656	5.9102	5.6476	7.3985	7.25	5.0706	7.6595	6.7544	5.934	5.6185	5.7008	5.9595	5.9118	5.8551	5.6033	6.7478	6.1281	5.0839	6.6973	5.4931	6.2973	5.9324	6.0706	5.5902	5.4629	5.0714	6.036	6.3201	6.996	5.2492	8.4561	7.5645	6.722
U133A__DHX40	7.0381	5.7867	6.4315	8.6347	5.919	5.9241	6.2316	6.2846	7.014	5.6478	6.411	6.2943	5.4408	6.003	6.5949	7.426	6.0468	5.1125	7.2359	8.2093	6.9354	6.8654	5.6059	6.4999	8.5027	4.9426	6.9965	5.1172	6.5324	3.9736	5.98	6.7685	6.3122	6.9005	7.842	7.2802	7.0766
U133A__GOLGA7	7.8627	7.1818	7.7299	7.3188	8.597	9.1869	7.8963	8.1613	8.3657	7.9391	7.8112	8.6586	8.9611	7.9552	8.1564	8.4016	6.6522	7.8128	6.9887	6.9504	7.3033	8.6761	8.0589	7.7669	8.218	6.831	7.5845	6.547	6.8417	8.3803	7.5855	7.4587	10.2354	8.4365	8.9759	9.4111	9.0354
U133A__PSMB3	9.6802	9.084	9.8988	12.1363	9.5618	10.306	8.8918	9.2269	9.1014	10.006	10.2436	9.5561	9.7906	9.2113	9.923	10.0025	9.3135	9.7381	8.6375	9.5798	9.9499	10.0309	9.6853	10.0956	10.8509	9.7682	9.7899	8.7196	9.5636	9.7851	9.9523	8.917	8.9793	10.2048	11.8259	9.0869	9.9681
U133A__HSPB1	9.8381	11.9878	10.658	11.1392	10.9092	12.4619	9.7586	9.4377	11.9863	10.4327	9.9008	11.9422	9.7152	7.6241	10.821	9.9102	10.7294	10.9497	11.5674	12.3547	11.3351	10.3616	12.8993	10.0079	11.75	11.1248	7.7425	11.0928	10.9232	10.4221	10.3461	11.3463	7.4763	12.0345	11.6336	10.7593	11.8178
U133A__TP53	4.3446	6.3107	8.1243	7.4421	8.6777	6.3807	7.8645	8.1778	7.3335	4.3921	5.3349	4.237	6.7492	8.2247	4.5802	7.4288	7.206	6.2844	7.4501	7.6644	5.9844	4.433	5.6942	7.6558	4.8471	6.8662	4.1163	6.6233	7.125	7.8165	5.286	7.1119	4.3491	6.9765	5.6747	5.0216	6.2393
U133A__NETO2	4.1866	5.2203	8.556	5.5229	8.3314	3.6251	4.9915	7.0426	7.6731	6.7208	7.6539	7.7076	8.3348	6.592	6.4802	7.0906	8.0553	7.0052	6.605	6.4807	8.0547	5.8595	3.8496	4.3	7.2842	7.0955	8.1756	5.1442	7.8191	7.5577	8.059	7.8592	7.8868	4.4382	6.024	6.2995	7.593
U133A__PLS3	7.4402	8.1478	10.5953	6.684	10.0973	5.9543	9.6656	8.887	8.3576	8.6835	9.5501	9.8794	9.4261	9.6483	11.1688	10.1743	10.073	9.1672	7.7474	5.0117	3.273	8.691	5.8468	9.2106	7.8484	9.2009	7.8326	8.6187	9.3368	8.8304	8.2318	9.0743	7.5828	7.7544	2.9017	8.1646	8.5997
U133A__RWDD1	7.4205	7.7046	8.7215	7.1539	7.8573	7.1267	6.7122	7.0839	7.2993	7.7228	7.3589	8.2412	8.0047	11.1379	8.4297	7.6919	7.4456	7.9971	8.4697	7.1268	8.3973	8.1803	7.8542	8.3264	7.9228	8.0948	8.1495	7.8762	8.1894	7.0984	8.5174	7.9832	8.9298	7.2329	7.6671	5.5182	7.5395
U133A__ERBB2	9.3202	12.1579	7.8098	12.0098	7.0802	8.4009	8.7493	7.9295	7.6523	11.8139	7.294	7.8108	11.5446	9.3757	8.9136	8.1445	7.98	6.6782	7.0358	8.5128	6.8815	7.0918	9.2857	6.6117	11.035	7.8448	10.215	11.611	6.9193	6.6093	7.3643	13.0449	7.652	8.3078	12.1946	9.1095	8.3688
U133A__LGALS8	9.6652	6.93	6.3346	7.7823	4.0492	6.3609	6.2438	4.4525	7.5037	4.2296	6.4287	7.3981	5.7325	8.0335	3.8314	5.7469	5.9013	4.1778	3.8058	5.3444	7.2931	3.8368	7.8755	7.5299	7.1015	8.0029	7.9816	6.8287	4.3027	6.2919	4.594	8.7099	8.0004	6.0748	7.5306	8.9952	6.5759
U133A__ATP2A3	5.5132	9.319	5.7472	8.7249	5.168	6.038	6.2331	5.3263	5.7661	5.3368	5.4256	5.7565	5.5403	7.0559	5.6157	5.4054	5.0194	5.5112	7.0769	8.6257	5.5436	6.0057	8.129	5.3314	8.17	7.0926	5.6003	7.7102	5.4588	5.5272	5.605	6.0152	5.9734	6.0096	8.4362	6.5268	7.4269
U133A__ANKRD57	5.9697	4.6663	6.3858	6.1402	5.939	7.7336	6.0224	5.2587	6.8299	5.4594	6.5732	6.5182	6.5702	5.1079	5.4951	5.5572	6.0201	5.2873	5.7804	5.1389	7.8938	5.3602	5.5994	6.4687	6.098	4.9998	6.1175	5.572	5.31	6.1903	6.4324	6.738	6.4395	5.5621	7.0825	5.7018	5.2503
U133A__UAP1	9.1598	8.4831	7.1609	8.1046	10.5221	7.3076	7.5494	7.5247	7.4176	8.5975	8.0611	7.6904	6.9409	7.8611	7.7855	8.3676	8.4675	8.864	6.5547	6.1229	7.6336	8.1057	8.1617	8.5606	7.148	8.1879	8.1683	7.9066	9.5836	8.0031	8.7819	8.4541	8.9146	7.0147	8.1841	7.9779	7.8894
U133A__SERPINE2	4.1494	4.4242	7.97	4.9022	9.6075	4.4355	6.6807	6.0426	3.9813	8.4672	7.9594	4.2132	7.2359	4.2348	6.9187	8.2237	4.4336	10.6755	4.6808	4.5754	4.2682	9.6812	3.944	6.4409	6.9121	5.0607	4.343	4.6083	5.8042	7.156	4.8219	4.3567	4.627	3.9897	4.2821	4.3236	4.6368
U133A__MKNK2	8.8547	9.1024	8.1041	9.4367	7.54	8.4693	7.416	9.167	9.0655	7.1375	8.6892	8.2033	7.7142	8.9706	7.5959	9.0658	8.9596	7.0119	7.0536	7.6164	8.2146	7.3453	8.596	8.3944	8.5317	7.9915	9.8256	9.3436	6.5736	8.5994	8.4037	8.9377	8.8276	8.2748	9.5034	10.562	9.1577
U133A__RHOQ	5.7676	7.464	6.8938	6.6728	8.246	6.4015	7.7497	6.7259	6.1135	8.1764	8.5219	6.1786	6.3748	7.5691	6.9454	8.572	7.5504	7.8128	7.1904	7.2712	6.8144	9.6917	6.7481	7.2082	8.0844	5.0555	6.0637	7.0925	9.122	7.1437	7.3307	7.8551	6.7023	6.4535	7.3277	6.2841	7.5618
U133A__TLN1	6.6588	6.5424	5.8805	5.7994	6.5644	5.9856	6.3255	7.1334	6.2038	6.5911	6.6526	6.1384	6.1843	9.1773	6.3819	6.184	8.0898	6.6104	5.9366	6.2893	5.6054	7.1546	5.8129	7.0731	5.9544	6.3669	6.1561	6.3103	6.3312	5.8417	6.5138	6.0943	6.1867	6.0613	6.1134	5.9299	6.1477
U133A__PTRF	6.1143	6.0022	8.9581	6.2617	9.7082	5.8463	8.3455	6.1188	5.7173	6.9987	8.6548	8.2281	7.4855	6.6073	6.763	9.0215	7.1768	9.9604	6.0237	6.3204	5.3083	9.1023	6.1647	9.8031	6.2294	7.3507	6.3333	5.6802	9.5435	8.2916	9.4023	6.4218	6.5915	6.796	6.1726	5.4646	5.981
U133A__ELMO3	5.9066	5.7889	8.5436	6.3025	5.2339	6.9758	7.0401	5.4423	6.5243	5.5475	5.3853	6.8982	5.5113	5.2542	6.1292	5.5702	7.6032	5.6752	6.3077	6.383	5.9392	5.4442	6.9119	4.9135	8.2494	7.547	7.8003	5.5882	5.0385	7.7912	5.3956	8.1509	5.2154	7.257	7.1531	7.128	7.3481
U133A__CLIC3	4.5666	8.3548	7.3076	6.491	3.6425	6.6116	6.5625	4.1162	9.4396	3.2494	4.1193	7.3005	3.2852	7.8558	3.5136	3.8325	4.8032	3.4001	4.7747	7.6637	4.0788	3.6152	7.5984	3.714	6.3844	4.7366	7.8342	6.9665	3.6517	3.9377	4.0323	8.2999	4.2879	9.4402	9.412	5.9785	6.9891
U133A__GSTP1	10.2691	5.9505	6.2737	6.0305	9.0029	6.4265	9.802	10.165	6.0055	9.9335	10.5334	5.7453	6.4435	9.7716	9.4364	8.9042	6.7726	8.5415	6.0689	6.0078	6.0434	8.826	6.3304	7.3513	5.9938	9.6938	6.2589	7.3166	9.2902	9.987	9.2485	5.822	5.7574	6.2469	5.6179	5.9376	5.7957
U133A__EMP3	4.327	3.9888	4.4028	4.2731	9.9908	4.5129	5.9249	4.5177	4.8069	4.4271	6.169	4.4585	4.1728	4.8236	4.8179	9.0618	5.7623	10.2742	4.4979	4.6047	4.5679	9.169	4.2846	9.3624	4.4717	4.519	4.3967	4.5344	9.6246	8.36	9.3993	4.3435	4.3907	4.6524	4.1567	4.2003	4.5004
U133A__ADAM9	7.4142	7.5275	9.0774	6.2804	9.3027	7.6696	7.9906	6.0137	5.9751	8.8245	8.3077	7.2497	8.5078	7.6816	7.525	8.4688	6.8256	8.2258	6.0776	6.0747	9.3548	8.2242	7.6408	8.4356	7.7889	7.5672	5.8249	6.8231	8.4699	7.364	7.1854	8.6927	10.3643	7.8763	8.8635	6.5808	6.9047
U133A__VIM	5.8226	4.9592	5.965	7.7481	11.6511	5.8908	11.3821	8.7797	5.3502	10.7222	4.9413	5.8206	9.4913	5.6946	10.5693	11.5151	8.134	12.5403	5.7703	5.8608	8.4895	12.7467	6.4138	11.4408	5.516	5.4939	5.091	5.6462	12.9893	9.5774	12.4633	5.2009	5.4907	5.7024	7.8423	5.528	5.1392
U133A__PLEKHF2	7.8227	5.5542	5.4206	8.353	5.3539	7.7758	6.2048	6.0169	8.5369	6.5492	6.6429	8.251	6.1642	9.5057	6.5501	5.6869	6.6621	5.3134	7.6518	7.2111	8.3373	5.1421	7.3073	5.4357	9.0386	6.3531	8.0942	4.8166	4.8152	4.6651	5.4296	9.5436	9.1234	7.8132	8.0893	8.9253	8.4682
U133A__PIP	6.4355	7.3069	6.3157	7.061	6.2596	6.2897	6.4685	6.4454	6.2459	6.3056	5.9752	6.0752	6.4284	6.7761	6.4129	6.1173	5.7083	6.2892	6.0998	6.2914	6.1608	6.1202	10.0061	5.8344	7.7157	6.8376	7.9615	7.0196	6.1485	6.3994	6.1424	8.7615	6.0735	11.2874	8.8185	7.5776	6.1976
U133A__XIST	7.4954	9.2012	4.4356	3.8785	3.9121	4.3337	4.6098	8.5036	7.7232	4.3864	3.9876	4.0078	3.9	4.7839	7.027	8.1843	7.4679	4.8628	4.5531	7.1401	7.2642	7.8189	6.8515	4.3492	4.1485	7.8787	6.4632	7.1041	4.9547	3.8857	6.9101	3.7305	7.8729	4.508	8.1491	7.1912	4.174
U133A__FTL	9.9572	7.7744	11.2056	10.0591	10.2013	8.6878	10.819	10.2002	9.6632	9.4582	11.7469	11.211	10.81	10.6899	9.2376	9.8686	11.1678	11.7066	8.6347	9.802	9.7402	10.2633	9.1036	11.4905	9.5794	9.595	8.687	7.3449	12.0038	10.5268	11.4457	9.9193	10.7519	8.3996	9.5434	9.0406	8.4759
U133A__SHOC2	6.4196	6.4652	5.5	6.926	6.3936	7.5677	6.5926	7.2378	8.2063	5.6342	7.8995	6.1507	6.0135	6.8143	6.356	6.268	7.263	5.3781	6.6247	6.8352	7.1692	6.6768	6.7138	7.1528	7.9108	8.2722	8.0058	6.3408	6.6276	5.6485	6.6845	7.0982	6.8114	8.0742	7.641	10.5269	9.7141
U133A__SLC16A3	4.8204	8.7523	4.7778	7.5024	3.8512	4.5588	5.858	4.6259	4.682	6.8934	8.3892	5.8137	7.6306	4.7371	5.944	7.2585	5.2284	5.8389	5.5231	5.6305	5.6692	6.9724	5.9795	8.9113	5.1973	4.6446	4.4335	8.1393	6.7169	10.4205	7.0373	6.4482	4.1816	5.4415	9.251	7.172	9.6262
U133A__METTL7A	6.9451	7.266	6.3437	7.5847	4.3841	6.851	7.3172	6.7391	8.7913	6.6125	5.1798	8.321	4.1851	7.5515	8.8087	6.7329	6.9387	4.9186	4.7595	5.9162	8.1643	6.6631	7.4639	4.2725	9.2273	7.6442	7.6979	8.0295	4.2081	4.95	5.9051	9.855	7.7331	8.8341	6.5752	7.8531	6.9736
