Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
EA_G__LAMA3	5.7582	5.5579	6.0638	4.2184	5.7869	5.4644	5.921	5.0154	8.2205	4.7544	5.0204	4.6329	6.6558	4.3638	7.0316	7.6528	7.2159	4.4619	6.1338	7.564	4.7692	7.0691	4.2558	5.0835	6.5762	4.5143	5.1434	4.4574	5.8823	6.1132	5.0278	5.876	6.1251	7.4765	6.2387	4.6469	5.5989	5.0869	6.2141	6.2837	6.6314
EA_G__RORC	7.6294	7.8594	5.6786	7.0519	7.5726	5.514	5.6777	5.7643	5.6198	6.0853	5.5107	7.422	7.2508	5.5734	5.5397	5.5921	6.1229	6.4823	6.9352	5.5364	5.4595	8.2631	5.482	7.2834	6.8486	5.1718	7.0259	5.7918	5.6745	5.7574	6.3865	6.4728	5.2525	6.2949	5.6901	7.2421	6.84	6.987	6.9613	7.1181	6.3763
EA_G__PTGES	8.2229	9.363	10.205	8.4199	10.1096	6.2238	6.4562	7.5987	7.3142	8.7765	6.5956	6.2499	11.3213	7.35	9.7917	9.7996	11.1175	6.9879	8.7993	7.7357	7.3284	9.463	7.4483	6.8511	7.795	6.973	9.0897	7.1748	6.3624	6.1287	6.989	10.0222	6.047	10.3143	8.3105	6.8191	7.3185	6.5114	8.3422	6.68	7.0295
EA_G__LASP1	9.6609	8.0985	9.8876	12.0442	9.6875	9.6566	9.4254	9.6041	9.0081	7.9105	8.4593	9.9506	9.0513	8.3063	9.103	9.3339	9.9633	10.2347	9.1961	8.9051	9.5649	9.1974	8.8417	8.4477	9.4768	9.8741	8.748	9.3074	11.1542	9.8979	9.2573	9.0258	7.5888	8.5865	9.4112	8.3876	8.0447	7.9475	9.3171	8.5215	8.9903
EA_G__CSF3	6.2769	6.2444	6.132	6.4754	6.3516	6.3037	6.0645	6.4884	6.2231	6.3146	6.3197	6.1421	6.0597	6.4646	6.8213	5.934	6.2418	6.3826	6.5025	6.1623	6.3356	6.5556	6.3611	6.3894	6.404	5.9054	6.6605	6.4466	6.3214	6.2247	6.9099	6.5732	6.3175	6.5796	6.6601	6.4433	6.402	6.4539	6.5126	6.5345	6.2552
EA_G__CD82	9.229	9.8771	8.1254	8.8679	8.6489	8.794	8.1078	8.2401	7.3811	10.5764	7.6428	7.5429	9.3678	7.1548	8.3926	9.3078	8.7068	9.1361	9.6325	8.8753	8.245	10.3563	7.8305	6.3946	5.5576	7.6367	10.0199	7.4616	9.111	9.3887	8.9446	9.813	8.1362	7.3628	6.4821	8.8958	9.7895	9.1063	9.9672	9.374	8.5304
EA_G__GUCY1B3	5.4722	4.8053	5.0459	4.2776	5.3475	8.0374	5.0634	6.1133	7.2303	8.833	7.7941	8.7253	4.4872	5.9624	5.3104	5.2187	4.2365	4.3104	4.2342	4.0363	6.5594	8.6541	5.8324	5.6586	3.9242	10.1264	7.3901	6.6436	6.4968	6.2236	6.7091	4.422	5.7335	4.66	4.5811	4.7908	5.2481	4.7088	4.2932	6.9791	6.4822
EA_G__B4GALNT3	7.1092	6.9649	5.6312	6.0981	8.3395	5.8707	5.7563	6.2815	6.8101	7.5583	6.3181	7.2793	9.0251	6.5173	7.1681	7.1566	7.3057	6.2612	6.8762	7.7833	5.8952	8.2248	5.6841	6.0511	6.8191	6.0185	5.9964	6.8599	6.3605	6.1138	6.6364	6.1034	5.842	7.6391	5.9322	5.8952	8.1763	6.2917	6.4298	6.1195	6.4727
EA_G__GABRE	4.7424	8.6461	7.7588	5.6551	5.0391	4.3938	4.6382	7.7647	4.1758	4.9124	8.2618	4.3276	5.3118	4.7007	5.8278	7.9141	9.1162	8.1704	8.7248	8.8724	7.7033	8.6508	7.3543	4.3835	4.7165	7.3917	8.2525	7.6055	4.2923	5.0037	5.1805	7.3929	4.7613	8.6802	7.5516	7.0601	7.9522	5.0646	4.7438	4.5927	4.6551
EA_G__RARRES1	6.9524	4.9938	5.5542	5.4808	4.6972	5.1318	4.9996	4.9017	5.5363	7.9107	5.1588	4.5294	5.4825	6.4837	4.5616	9.337	9.7619	5.3507	9.473	7.1774	4.7131	11.4794	5.0363	4.9179	4.6705	4.6755	6.991	4.6488	4.7304	6.6189	5.6596	5.7265	4.9607	7.808	5.0319	4.7158	5.5045	5.1869	5.1753	4.7181	4.6711
EA_G__PHCA	9.4805	7.0124	6.8136	6.733	6.9934	6.8958	6.8838	6.0324	6.4098	7.1016	5.9372	6.1021	7.9612	6.1233	7.4588	6.4816	7.4683	5.7149	6.4559	6.918	6.6104	4.7823	6.5791	6.3702	9.8663	6.8811	7.2654	7.1283	6.1298	6.2601	6.7278	6.7396	6.2054	6.767	6.9983	7.2969	7.1347	9.8195	6.9235	4.3451	5.3949
EA_G__EPHX2	6.1146	5.9783	4.3284	4.6869	6.4448	5.5327	7.2029	4.8818	5.4098	5.6681	6.4895	3.753	6.9547	7.7145	5.036	6.478	4.5806	4.621	7.0225	6.3232	5.5165	6.1153	4.383	6.169	5.8078	5.5139	7.1491	4.4157	4.1791	7.5581	6.5342	6.7237	6.1296	5.6184	5.3204	5.8224	6.0375	6.4973	7.5414	4.4795	4.3773
EA_G__SMURF2	8.446	7.7298	8.0428	8.2746	7.8368	9.8564	6.6637	8.8111	10.5112	7.0418	7.8621	7.7637	8.6801	7.5054	8.9098	8.775	8.3035	8.3389	7.6877	8.9159	8.6812	7.1542	9.333	8.6744	7.0906	9.4814	7.3084	10.1395	9.8551	7.1148	7.9894	7.7281	10.2043	7.5872	8.0381	8.0679	7.9758	7.3694	8.0201	8.4751	8.3347
EA_G__C8orf38	5.6885	5.2961	6.0933	7.4005	6.7728	6.36	6.5944	5.2213	5.9578	5.9875	5.4229	9.7617	7.3404	6.8741	5.5815	7.5749	6.428	6.7847	7.2665	6.1555	5.9237	6.2838	7.1253	6.663	6.598	6.2003	6.087	6.4429	6.5667	6.5273	6.1991	5.3366	5.7822	6.0141	5.8823	5.7278	6.8811	5.6055	6.2685	6.1164	6.5177
EA_G__FN1	5.8877	6.6198	8.3686	4.0288	6.9699	9.8478	3.7438	9.9035	6.8731	6.5156	11.9001	4.4044	8.4649	5.1783	6.5823	5.5249	6.3209	6.4661	8.3059	11.3179	10.8315	7.74	12.354	6.6245	8.6766	11.7706	7.5091	8.224	6.684	4.5648	4.8693	9.218	9.6008	10.5618	11.1685	7.1705	4.5006	7.7977	7.2817	5.625	3.9594
EA_G__ATP8B2	8.0812	7.7015	5.0872	8.338	7.5877	8.7467	9.1171	8.3576	8.0836	5.432	8.3926	5.1155	6.1409	7.7048	5.8547	5.3445	5.0078	4.9833	4.7422	6.776	7.693	5.2764	8.5529	8.1125	7.1092	8.4488	6.1256	8.1829	7.323	8.645	6.01	6.1171	8.5517	5.1756	8.3288	5.667	5.1067	5.8972	7.1547	4.9211	7.1911
EA_G__KRT86	13.3379	10.3848	8.5794	8.4565	8.7735	8.3179	8.0746	8.6025	7.4759	8.0969	8.9404	8.3171	8.7657	8.2766	8.5663	8.6907	8.3822	8.6671	8.3819	8.363	8.1089	8.5233	7.9741	10.0862	8.2085	7.6371	13.9235	8.0136	9.2948	13.1366	8.3402	8.4784	9.2708	9.5647	8.9904	8.0865	13.6157	13.318	8.5214	8.7488	8.6665
EA_G__L1CAM	6.6019	6.1047	9.2438	5.6828	7.8756	5.6358	6.7868	9.017	7.7666	9.1755	6.1348	5.3974	5.7573	6.0475	5.822	5.8605	7.6481	5.712	7.0703	7.7392	6.8601	5.8012	6.2124	7.3585	7.9148	9.179	8.3841	5.842	5.6374	6.9095	6.3814	7.2458	5.6354	9.3766	5.6699	8.2837	6.3055	7.282	6.4633	5.667	5.5988
EA_G__TRPV6	5.9489	8.172	7.7697	7.3399	5.3999	5.1131	5.837	5.2022	4.7885	8.2265	4.7744	4.871	5.2912	5.0413	5.1102	5.1268	8.1564	8.19	9.2894	5.4021	4.7952	8.0611	5.0177	5.4788	5.1602	4.7818	7.6043	4.9054	7.7522	6.6101	8.7922	8.2537	5.0953	5.2391	5.3572	7.0029	9.1168	7.0934	8.5497	8.2569	5.6418
EA_G__PGM2L1	5.1043	5.0607	5.1815	5.9896	5.7321	5.7676	7.7206	6.0543	6.3623	6.7073	7.1083	4.302	5.4083	4.8871	4.7927	4.2934	7.8337	5.8619	7.0438	6.7975	6.2643	6.7048	6.6205	5.1711	8.4654	7.3829	7.0237	5.9498	5.1439	6.6134	4.6713	4.8103	5.9794	6.251	6.8761	7.0398	5.335	5.2986	4.9215	4.3529	4.3942
EA_G__EIF4E3	7.0364	5.4824	5.549	7.2474	7.4659	4.5878	5.0746	5.5138	5.3437	6.8688	5.5045	6.8369	7.0819	4.3997	5.1302	6.239	6.0991	5.1057	6.1237	6.53	6.4791	4.8672	5.1393	6.8172	5.9784	5.9235	6.9772	5.0888	6.9388	6.4891	8.7185	6.0213	5.1767	5.775	5.6633	7.4823	7.2186	7.2701	7.191	6.33	6.6383
EA_G__SLC44A4	11.6736	6.0217	5.1742	6.4575	6.28	5.1744	5.8406	5.6405	5.1784	5.4359	5.1851	5.2161	5.3873	5.2039	5.4683	5.0755	5.4196	10.1184	9.9478	5.5018	5.1499	6.7549	5.1958	5.7798	8.0796	5.3333	8.6219	5.4313	5.9026	11.0876	7.5139	7.3705	5.4841	5.7716	5.4328	11.6179	5.6014	6.6319	5.8825	10.1028	9.7302
EA_G__KRT10	6.7857	7.0445	6.4279	6.6254	8.0339	6.4804	6.9532	6.7184	6.4993	6.641	6.7273	6.6412	6.7273	6.5188	6.9106	7.0155	6.7177	6.506	6.8042	6.5046	6.5812	6.3903	6.6742	7.0637	6.5853	6.2408	6.3063	6.5867	6.093	6.3976	6.7607	7.0754	6.7185	7.329	7.0358	6.6456	7.3607	6.7347	7.4977	6.575	6.744
EA_G__MED1	8.1769	10.6141	7.549	11.0219	8.0573	8.0177	8.3707	7.8508	8.0326	7.8536	7.6202	7.3922	7.4215	8.0816	7.8044	8.0446	7.5038	10.0793	7.6085	8.4973	8.5876	7.2236	8.0577	6.8701	7.8705	7.8026	7.3619	8.3177	8.5512	7.5009	7.5482	10.3497	7.81	7.6824	7.9018	7.2316	7.3177	7.0601	8.4586	7.5484	7.8678
EA_G__FGFR4	6.212	7.4027	6.3774	9.4947	8.6522	6.7252	11.1104	6.4953	6.9616	6.8446	6.9437	9.9702	7.7334	8.649	7.4069	6.9704	9.0064	9.4306	7.8246	7.3383	7.6825	6.2891	5.6839	8.3879	8.0356	8.0349	7.9172	6.6169	9.9462	9.8037	11.4544	6.6971	6.6719	6.5764	5.6794	8.3049	9.0287	8.2707	6.8843	10.7427	9.4229
EA_G__NBN	6.927	10.6107	7.7047	8.3739	8.7335	8.598	8.4713	7.096	8.6226	7.8841	7.8982	9.7121	9.4755	8.4501	8.1037	8.5414	8.1108	7.9096	7.927	8.479	9.2428	8.2257	8.9131	8.6068	7.6761	8.3968	7.9192	8.1941	7.8227	7.3612	7.4922	9.8005	8.0604	7.5148	7.95	6.898	8.3702	6.8325	7.9395	7.6593	7.5476
EA_G__CROP	8.2018	7.6794	7.1056	9.5442	8.051	7.4537	7.8689	7.8178	8.4957	7.9071	7.1415	7.6063	8.8638	7.582	7.279	7.535	7.1366	8.7753	7.3724	7.7864	8.2097	6.8236	7.3167	7.5035	7.6065	7.5749	7.0848	7.917	8.6685	7.5685	7.8229	7.1268	7.4569	7.1952	7.7688	6.7249	6.9686	6.9692	7.8227	7.8985	8.1484
EA_G__TGM2	8.291	6.0616	7.0423	5.7179	5.6685	5.8302	5.5872	7.4289	5.6804	6.1347	6.0938	5.4613	5.7582	5.7239	6.3815	8.1771	9.5003	5.9637	6.2242	7.0675	6.8345	6.4743	7.0627	5.9839	5.9406	5.63	6.9053	7.5554	5.7424	5.7822	6.6473	6.1463	6.5515	7.7965	7.8061	5.8887	5.8529	6.5328	5.9166	5.812	5.7594
EA_G__SPOCK1	4.946	4.9765	6.0286	5.1159	5.4625	7.6162	4.7209	8.5397	5.3633	5.375	9.4085	4.4346	5.0413	5.0742	5.568	7.4333	5.5073	4.7174	5.1511	5.7525	4.7199	5.1396	10.2074	5.0012	6.8701	9.1144	5.7999	4.6655	4.7766	5.1881	5.4304	5.7455	8.7232	5.4266	8.0167	8.4362	5.2232	5.234	4.9959	4.8169	4.9558
EA_G__EFNB2	6.2732	4.2123	5.8805	7.449	6.8216	7.8088	7.6087	6.0636	9.4634	5.9782	6.3978	7.6795	6.1879	5.0019	8.5778	7.8717	7.0661	5.6164	8.5742	6.675	7.7842	6.9406	7.8725	6.2913	6.4386	8.3838	6.3951	6.6468	7.4016	6.648	7.1692	5.7584	4.591	7.7342	7.1411	7.4194	5.9107	4.8588	4.9203	5.2883	5.3353
EA_G__LOC89944	9.5309	8.1245	5.3483	5.7328	7.9913	5.1728	6.3567	6.9182	6.7604	7.7169	6.6277	5.2785	8.556	8.0674	9.0918	8.6779	5.3934	5.356	8.3861	7.4216	5.908	5.8739	4.9956	6.844	7.6157	5.59	7.8318	5.5176	6.336	8.0634	6.3137	7.5949	5.8909	5.4548	7.1899	9.1575	7.9764	8.6427	8.3475	5.9566	8.4921
EA_G__NNMT	8.175	4.8089	6.7152	3.8271	4.1496	8.2242	3.6997	6.7616	3.8335	3.9479	6.2424	3.9401	3.567	3.7123	3.8429	5.4458	7.3319	4.2657	4.5212	4.3755	6.0984	6.0797	6.0012	4.306	4.0165	7.3124	4.1152	3.8669	3.1296	4.1849	4.4702	4.3726	7.4463	8.63	7.9916	3.8228	5.2255	5.2161	4.3412	4.3434	3.8635
EA_G__CALB2	8.0751	4.3682	9.4484	4.991	7.6983	4.5283	4.2529	5.2906	6.6151	6.014	5.4987	4.9633	6.5905	9.8532	6.3751	6.9999	9.7141	4.72	6.0323	9.3111	5.3211	9.8956	4.8503	4.8289	4.4451	4.5107	8.4755	5.5838	4.4435	4.3592	5.5252	5.0455	5.3978	5.355	4.3414	6.2369	9.2125	4.9478	4.5061	4.6117	4.5077
EA_G__VGLL1	7.6073	10.9444	11.2686	4.6119	4.6541	4.3916	4.4151	4.1958	6.9869	8.6166	4.7829	4.504	6.0136	9.0918	8.3963	10.7164	9.5276	6.0977	10.8849	8.4322	3.6268	9.5937	4.2638	4.5135	4.6557	3.5808	9.471	4.245	6.2538	5.8522	4.2631	10.7559	4.144	5.4264	4.6659	9.2471	8.4889	7.048	7.7095	8.4362	4.8233
EA_G__RARRES3	9.1096	7.7687	6.4281	5.3993	6.6058	4.2899	5.8098	5.3176	5.1693	9.1422	6.0391	7.3182	7.167	5.2026	6.1213	8.343	9.3154	8.1094	8.1406	4.145	5.9253	9.5802	4.9869	4.715	9.3606	7.9014	6.5677	4.9322	5.1257	10.0138	5.6183	7.653	4.6534	5.8286	4.4097	6.1348	8.4344	8.6296	8.112	5.1083	5.337
