Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM102PT	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR7530	ZR75B
EA_G__DNAJA4	7.9766	4.7516	8.0682	7.3489	4.2649	6.8891	4.7905	6.3925	5.3544	4.7358	8.8331	6.9037	5.5941	7.0226	7.0286	4.6258	7.5871	6.1691	4.6041	6.3352	5.3644	7.0912	6.871	9.4137	4.8811	7.1632	4.7158	8.324	6.9391	4.7085	7.0638	5.5971	5.8064	6.8107	4.5857	6.9409	4.803	5.0151	6.8647	7.9157	8.4296	6.5915	8.8969	8.4508	7.5146
EA_G__RARA	7.7415	8.0728	7.3062	8.5953	6.4986	8.1003	6.705	6.2955	6.8057	6.9795	6.9268	7.7523	6.3667	6.836	6.2488	6.8869	6.999	6.6594	7.1295	6.867	6.4577	7.8228	7.5889	7.6497	6.7765	7.4975	6.4896	7.2241	7.3317	6.4385	7.1561	6.7182	8.2712	6.3434	6.7798	6.8118	6.954	7.0002	7.1679	7.721	10.1923	7.2428	6.8625	7.3546	8.0987
EA_G__CPA4	4.1804	7.9211	4.4066	5.724	5.4767	4.4315	9.0661	6.757	9.1335	5.9929	4.29	5.0516	5.3006	9.7282	8.7974	10.0728	6.061	4.6739	7.7018	9.0755	8.1751	4.7255	4.4311	4.5068	8.7737	6.8701	5.3644	4.6014	5.2671	6.8523	5.0882	8.6995	8.5746	7.396	4.8185	5.0509	9.787	5.2045	4.6699	4.9987	4.3433	4.9745	5.2575	4.4561	4.6245
EA_G__C20orf23	6.6434	7.0294	8.5777	7.7217	6.111	6.1433	5.0456	6.0096	5.5281	5.8938	7.6529	7.4873	6.7683	5.7552	5.4711	5.6375	6.6432	6.4804	5.8272	6.417	5.6887	6.2267	6.8451	7.7531	5.0611	7.0432	5.4199	8.0795	8.5849	5.5292	5.696	5.9288	7.2235	6.1362	6.1562	5.674	5.9679	6.9491	7.4319	6.3719	7.427	6.4546	6.6283	8.0007	6.1755
EA_G__ACSL4	3.8905	3.2437	3.2175	3.0199	8.1981	3.93	7.1792	5.8474	4.9921	7.8339	3.2795	4.7223	6.0223	5.4391	5.9242	7.1514	3.1844	3.2448	6.4566	6.3064	7.7862	4.3467	3.4318	4.0505	6.5727	4.394	8.0383	3.8174	6.3426	7.9804	4.0514	6.2929	3.2697	7.2759	7.359	6.9283	7.5937	6.0038	5.8348	4.7256	3.5077	5.4632	3.3705	3.9672	5.1109
EA_G__NT5E	5.9068	7.0846	3.9196	3.2264	9.0413	3.3792	6.0368	7.2634	3.8917	3.5081	3.4181	3.341	3.6388	6.864	8.5101	8.8687	3.6206	3.5929	6.896	5.9823	10.1163	3.8698	5.5831	3.7838	8.137	4.099	10.8683	3.268	4.7321	9.7079	4.3347	8.556	7.0175	9.9362	10.6481	5.3531	8.4554	3.5999	3.7861	3.4798	3.9113	5.9664	3.6276	3.5841	3.2018
EA_G__TFAP2C	8.4653	10.5778	10.7608	10.6184	7.8386	9.2186	7.3581	9.3715	8.6474	8.6443	10.4105	10.6646	9.1427	7.5203	8.1918	9.9949	8.3308	9.229	8.6087	8.6552	6.3748	9.5426	9.962	8.8983	9.3239	9.4242	7.7802	9.0826	7.7759	8.7367	8.0262	9.6231	10.7448	8.6063	4.2527	8.6018	6.8846	9.3288	9.3561	9.5701	9.9779	9.4766	8.6696	8.959	9.141
EA_G__REEP6	7.2756	7.3124	8.0118	9.1556	6.6815	8.2179	7.984	7.8251	7.3053	7.6152	10.3249	9.2159	7.4347	7.4881	7.4719	7.15	9.761	8.9474	7.5053	6.8337	6.7464	8.4331	8.6279	8.0963	7.2691	8.1977	7.1275	9.1377	6.3806	6.8712	10.0931	7.9594	7.8307	7.3304	7.1074	7.1343	6.4064	7.4075	7.6949	9.7124	9.2173	7.893	9.9128	8.8939	8.8387
EA_G__CALD1	4.9976	5.3745	4.0059	4.5323	6.9477	4.1231	6.516	6.8428	7.5601	8.1298	3.9074	4.2596	6.0823	5.2906	6.3946	5.1864	4.6531	5.3524	7.4511	6.2922	9.3633	4.4971	4.3691	4.3982	9.1755	5.9927	6.51	5.4997	4.7735	6.2179	4.7727	5.572	5.7915	6.4788	6.303	6.8236	7.1648	6.5636	5.5227	4.6722	4.2721	4.1098	4.3237	6.3503	4.2804
EA_G__LDHB	5.2705	9.9549	6.5869	5.9575	10.2955	3.0453	10.4609	10.7181	11.0786	9.4898	2.9818	6.978	11.0733	10.9666	10.7587	2.5138	3.7516	10.4313	10.2146	8.2479	10.3377	3.5445	3.0401	2.8244	10.252	10.0613	11.1245	9.6888	9.633	11.1414	3.417	7.3173	9.8014	10.2699	10.5553	11.0504	10.9831	2.989	10.1744	5.3941	7.9447	9.0963	2.9497	3.5765	2.7444
EA_G__MCAM	5.2407	5.7795	5.1883	5.2259	5.6003	5.1722	5.398	9.3743	7.982	7.1729	5.052	4.9842	9.6692	7.1972	5.6044	5.2324	6.005	6.1156	8.2544	6.6063	6.1967	5.3892	5.3243	5.0364	10.2004	5.3038	7.8638	5.0728	5.3592	5.5956	5.9372	5.9742	5.5648	5.8187	6.5817	8.8252	6.4371	5.4652	5.5898	5.4962	5.4539	5.4297	5.5286	5.7514	5.1903
EA_G__GPR177	7.4313	6.5646	8.088	5.2854	8.8432	4.465	7.5921	6.9746	7.7814	7.3153	3.9865	6.8497	7.5306	7.1746	8.6333	7.9523	6.4605	8.0881	8.547	8.9108	8.8539	4.5316	5.1773	4.3457	8.89	5.7728	8.4612	7.7822	6.3128	8.8235	6.3973	8.6537	5.7239	8.2	8.5792	7.7636	8.6474	4.7687	4.3787	5.5476	5.2176	5.4713	5.4504	7.2102	7.1333
EA_G__COBL	6.9315	7.3722	7.4904	7.3429	4.9504	7.2341	5.1155	7.084	5.6151	5.0062	7.6344	6.6659	6.0049	5.1724	6.0185	6.5425	6.4602	6.9815	5.7516	5.2075	4.9245	6.4901	6.7704	6.272	4.8492	6.4282	5.0952	8.0264	8.5046	5.8414	6.01	4.7346	6.9633	6.359	4.8804	6.3035	5.1492	7.1308	6.8173	6.8655	7.2664	7.094	7.0127	7.714	7.0229
EA_G__SPRY2	9.271	5.0073	5.3095	5.8224	8.0598	3.7591	5.4492	8.6074	5.163	6.2604	3.7361	3.6432	3.7445	6.1357	8.4133	7.75	5.5286	6.9956	7.2275	7.7115	7.8897	5.398	5.2853	5.3545	6.0105	5.8743	8.146	5.4852	4.7471	8.3577	5.6965	8.2821	4.8238	6.7783	8.2139	8.6262	7.2073	6.6081	4.344	5.5832	4.5508	7.1134	3.955	5.4916	4.9742
EA_G__C1orf181	6.0922	6.8042	6.2983	6.4502	7.5148	6.2355	6.6736	7.2417	6.3709	8.0289	6.8713	6.4078	7.3561	7.3965	8.3549	7.1615	6.2919	6.9633	7.1618	7.1704	8.0049	6.3537	5.9378	7.2237	6.9216	6.434	9.0789	6.4776	7.2327	7.2016	5.7429	8.1132	7.3017	7.2836	8.0185	7.5216	7.3962	6.9983	6.34	6.8331	6.3512	7.0231	6.2779	6.6196	6.1141
EA_G__FSCN1	6.8308	6.9952	7.1701	7.1692	8.8985	6.7299	9.336	9.8533	9.8245	9.7445	6.454	7.0825	8.4576	11.4143	9.3293	9.3009	7.014	7.0833	8.7193	9.4212	9.8571	7.5215	7.7422	6.5522	9.6478	6.8572	8.4388	6.817	7.4765	10.2521	7.24	7.8643	7.0958	10.135	7.3337	9.286	10.5846	7.0571	7.1431	7.0679	6.8991	7.9477	6.8126	6.9766	8.0465
EA_G__GLIPR1	3.2087	3.7756	3.4702	3.5103	8.225	3.4968	7.2414	6.1064	6.1439	7.0228	3.3575	3.7556	4.2416	6.6397	6.1565	5.3053	3.6098	3.5767	6.5325	4.8932	8.9965	3.6517	3.3135	2.8019	7.2825	5.5198	6.9605	3.1331	5.5399	6.3524	3.7158	3.5805	3.6556	6.8074	7.0461	6.3423	9.0025	3.6353	3.3701	4.2331	3.4115	3.6904	3.1647	4.3261	3.5428
EA_G__FBP1	7.5216	5.2071	9.4178	8.9701	4.6472	9.2616	4.761	4.5261	4.8	4.8787	7.7114	7.8887	4.5754	5.8823	8.7709	5.6515	7.9793	4.8183	4.6158	7.404	4.6383	9.9041	10.3261	9.9083	4.6404	9.948	4.8766	9.9939	8.753	4.6071	6.105	4.5889	8.9461	4.9142	4.7417	7.7847	4.8368	9.9019	8.5676	8.2741	9.6585	8.7433	9.9927	6.4769	8.1147
EA_G__RHOB	9.2793	9.3585	9.8896	9.3985	7.6395	10.3938	8.4008	7.6986	6.9264	7.1127	10.2289	10.0866	7.0769	7.524	6.9368	7.9047	9.6821	8.7278	7.261	7.1452	8.2823	9.565	9.2465	9.8531	8.3788	9.4573	7.5833	10.0124	8.9442	8.7425	9.8377	8.1129	10.0424	8.032	7.0709	7.9873	8.8352	8.6291	9.0331	8.5103	9.1206	8.9406	9.1928	9.2106	9.4859
EA_G__EMP1	7.3819	6.3911	5.8153	5.7756	6.8032	4.0355	5.0923	9.1487	4.3234	7.6364	4.3292	3.8499	4.3325	8.4222	8.4295	6.9615	4.8464	7.2113	6.964	8.5989	7.4242	4.1604	3.8749	4.0779	5.7537	6.0598	7.2059	4.2582	6.4765	7.5572	4.4231	6.9579	5.8757	8.3004	7.6785	7.6572	7.8355	4.3011	6.9305	4.6827	4.4767	7.3558	4.816	7.1438	3.5023
EA_G__GCLM	6.8681	7.4057	5.8696	6.2772	7.4694	7.5058	6.6871	7.3788	7.2034	9.5175	7.2227	6.9701	7.0697	7.1695	8.2179	8.2239	6.6585	5.9109	7.7502	8.1013	7.9374	6.1566	5.6074	6.58	6.0019	5.9323	7.9391	7.0727	7.1897	7.6354	5.9648	8.0944	6.9833	6.8419	7.5121	7.9783	7.6052	6.3054	6.6572	5.847	6.181	6.7021	6.4935	7.3567	6.771
EA_G__BAG2	3.8525	4.3299	3.8546	3.7077	7.7073	3.4446	7.5401	6.687	6.4005	6.3219	6.2911	4.5582	8.1386	7.9545	7.1173	6.8822	6.5667	4.381	6.3286	6.2299	7.9982	5.0232	5.4682	4.334	7.5584	3.3871	8.1211	5.4731	4.2242	7.1485	4.7056	7.8788	4.5241	5.7523	8.2828	6.9224	8.5168	5.2833	3.6269	5.8246	5.7192	3.9471	3.7646	5.4666	3.4296
EA_G__WWTR1	8.5062	8.2368	6.8254	6.4282	9.2967	6.3017	8.757	9.5252	6.9849	10.1663	7.4681	8.7618	8.6822	9.1395	10.0926	8.6425	7.9111	9.9261	9.4158	9.7446	9.7977	7.4116	7.6245	5.7242	8.8946	7.0799	9.0873	7.4909	7.9722	7.8901	7.2931	9.0628	7.9894	8.3158	10.0168	8.4116	7.8581	5.6614	9.2749	8.2689	8.4534	8.0584	7.9319	7.752	6.0988
EA_G__RORC	7.6294	7.8594	7.0519	7.5726	5.514	5.6777	5.7643	5.6198	6.0853	5.5107	7.422	7.2508	5.5734	5.5397	5.5921	6.1229	6.4823	6.9352	5.5364	8.2631	5.482	6.6938	7.2834	6.8486	5.1718	7.0259	5.7918	5.6745	5.7574	5.35	6.3865	6.7972	6.4728	5.5692	5.2525	6.2949	5.6901	7.2421	6.987	6.9613	8.9875	6.7633	7.1181	8.0366	6.3763
EA_G__BRD9	6.5119	7.52	7.4878	7.3624	7.3621	7.0962	7.5092	7.095	7.428	7.8264	7.1382	7.3027	7.2444	7.8455	8.1898	10.1603	7.3267	6.93	7.3768	8.1182	7.6697	6.6873	7.0869	6.8641	7.8405	6.6992	7.7837	7.2717	7.2449	7.1041	6.9404	7.2785	6.834	6.4	7.0352	6.7035	8.1623	7.2232	6.9256	7.3582	6.6416	6.9238	6.7132	6.1663	6.6879
EA_G__CDK6	7.6087	5.6752	5.5281	6.6409	6.9192	3.5988	6.7525	8.8538	6.6364	7.2937	6.125	4.3767	6.4356	7.7804	7.8837	6.7871	6.4649	6.8198	7.98	7.5952	8.5033	5.7383	5.2545	4.2023	8.4198	6.2835	7.8416	5.6047	6.5876	6.1665	4.1059	5.4074	6.5554	7.7945	8.4041	6.9278	7.5734	6.8846	7.8478	4.3604	4.162	6.3636	3.7064	5.6158	4.1368
EA_G__AXL	5.6804	5.1611	5.4209	5.1827	10.2739	5.2109	10.5367	9.8631	5.2949	9.4468	5.1746	4.9087	5.3032	6.6145	8.9208	6.9786	5.4521	5.6583	8.6491	5.4233	11.2512	5.5361	5.534	6.7552	9.689	6.5073	11.0247	5.0726	5.1294	9.3403	6.1472	6.1546	5.743	6.7788	9.8877	7.8036	9.9992	5.5417	5.7637	5.5023	5.4593	5.5797	5.4104	5.9543	5.3293
EA_G__PPM1D	7.1961	6.4047	8.8326	7.4205	6.6706	7.3209	7.3036	6.9889	7.2826	6.6967	7.2676	8.1753	7.3076	6.7708	6.9153	6.9638	7.2147	7.1345	7.1903	6.8495	7.0824	9.9465	10.2646	7.4232	7.4433	7.2434	7.386	8.7455	6.7745	6.2995	7.5111	7.0573	6.4364	7.239	7.3234	6.8069	7.3224	7.2489	7.2373	7.7021	7.4789	7.9148	7.6803	9.2144	7.5994
EA_G__AKR1B1	4.6938	6.0548	4.8622	4.4778	8.2157	4.4619	8.9961	4.565	6.3662	10.5992	4.6497	6.9879	7.0157	8.1308	9.1844	5.175	5.4781	4.7671	8.4129	9.0045	9.0431	5.1215	5.0227	4.6497	8.4728	6.866	8.1635	4.946	6.5897	10.773	5.4319	9.672	5.2901	8.361	8.4605	9.627	10.232	4.7564	5.1681	5.0863	4.8373	4.9859	4.9029	5.9037	5.9326
EA_G__FOXA1	9.78	9.0384	10.3303	10.2426	5.7805	10.2446	6.389	6.6946	6.2072	5.6298	10.1068	9.1466	5.6115	7.0308	7.1831	8.5271	10.1683	9.8686	7.3927	7.5836	5.5995	9.5923	9.8998	10.0039	5.6855	9.643	6.0524	10.1447	9.4248	5.3936	10.0194	7.6926	8.8238	5.8995	6.1961	6.457	6.1073	9.5103	9.8896	9.6996	9.7959	9.5918	10.3109	10.1318	10.1618
EA_G__RNF145	8.2864	8.9906	5.9042	6.4469	8.2399	3.6986	7.9628	8.1927	6.4509	8.8975	4.383	6.8288	6.957	7.388	7.931	8.2957	7.1362	6.8248	7.964	8.2727	9.2999	7.2541	5.8841	5.5607	8.7718	5.3762	8.5754	5.0477	9.0789	9.2572	5.5689	8.3803	8.0365	9.7262	8.8456	9.6135	7.7868	7.1606	8.3063	7.5792	6.3729	8.0164	6.331	6.7545	6.4106
EA_G__MAML2	5.1654	6.667	4.6254	4.5892	7.6742	3.8292	6.0776	7.95	6.2085	7.2799	3.5172	3.7807	8.8662	6.2387	7.5965	8.5358	5.4807	8.6942	7.8364	8.6885	7.9423	4.9397	5.5006	3.9579	7.8878	6.8965	6.8569	5.7608	3.7884	6.2059	4.3487	8.1226	6.4097	6.5553	6.6754	7.3799	7.2715	6.203	4.7606	6.1689	4.2942	6.9849	5.1283	6.012	4.2388
EA_G__ZNF703	8.9258	7.2036	8.3321	10.7497	6.7294	8.7856	7.6315	7.5604	6.8715	7.1891	8.9055	8.3589	6.7036	6.9888	6.8515	6.7668	6.8639	9.5952	6.8245	7.3393	7.3347	8.401	8.7959	10.5647	7.4865	8.389	6.8422	9.4783	7.1382	6.7073	8.1575	6.8008	7.1893	7.186	6.8779	6.9616	7.2656	8.5025	8.6151	8.0155	7.6965	7.0674	7.8571	7.6671	8.3007
EA_G__MLPH	9.7749	8.9613	9.4537	9.4619	7.2434	8.8593	7.6613	6.8868	6.8657	5.9652	10.2061	9.2145	6.1493	7.1993	6.1736	7.9823	9.0264	9.408	7.7663	7.6096	7.3314	9.3005	9.7117	9.0131	8.2664	9.9729	8.0714	10.0726	9.6628	7.6324	9.7087	7.6883	9.4819	7.1652	6.3658	8.0179	6.4396	9.4011	9.9994	9.2638	8.9017	9.182	10.4752	10.346	9.9638
EA_G__PPP2R2C	7.8327	6.1796	7.5506	8.1042	5.4216	7.0691	5.4698	5.1203	4.6485	4.7309	6.9322	6.837	6.4121	6.8921	6.7967	6.877	4.8079	5.2296	6.7186	5.0392	4.7801	8.0008	7.1813	7.9936	5.7678	7.178	4.6369	8.7009	6.4914	6.9518	7.0986	4.2908	4.9998	6.8598	6.6378	4.9071	5.0094	4.7937	7.4191	6.3323	7.1069	5.3119	7.6812	7.7757	8.092
EA_G__ESR1	7.8103	5.949	7.1801	8.5941	5.6039	8.4071	5.6002	5.601	5.7796	5.8403	7.5436	9.7789	5.8332	6.1272	6.5118	5.9623	5.8451	6.2441	5.6586	6.0553	5.6479	8.4338	8.7397	9.4422	5.3713	6.9678	5.413	8.6907	8.0188	5.4613	6.1198	5.7241	5.8501	5.7842	5.7046	5.9209	5.8721	5.7063	7.9154	8.6844	8.1235	6.2841	6.081	7.7532	8.4263
EA_G__TOM1L1	9.489	7.6603	11.1528	8.9596	7.4255	9.1088	7.0603	8.7525	6.8062	6.4184	9.3334	10.0995	7.2869	7.4997	7.2579	8.116	7.9165	8.1689	8.1728	7.2323	6.7395	8.5358	9.3382	9.1966	7.8329	9.1409	7.7808	9.9911	9.1808	7.4769	7.9222	8.1949	7.5116	8.7465	9.1269	7.732	8.0915	8.2536	8.208	8.9751	8.6278	9.3554	9.847	7.8994	9.8839
EA_G__LLGL2	9.3921	8.6915	9.2172	8.9636	6.2317	8.8119	6.7864	8.2638	8.0503	6.7246	8.8674	9.3444	7.2747	7.7949	7.7966	7.8608	9.2732	8.3801	7.9179	8.1822	6.0368	9.5561	9.9449	8.5159	6.5672	8.6457	6.5173	10.4167	8.8447	6.4348	9.2616	8.5221	9.2767	7.1764	6.1906	7.5902	6.2778	8.6172	8.1435	8.5877	8.313	11.3544	9.276	8.2995	9.4724
EA_G__APPBP2	8.9431	6.7342	10.5591	8.8147	8.0546	8.8218	8.1818	7.7055	8.1923	7.7982	8.8297	9.4795	7.949	7.5212	7.2321	7.6584	8.8081	7.0415	7.6174	7.2604	7.6962	10.8711	11.3121	8.7536	9.2611	8.0434	8.0696	9.5341	8.1541	7.1796	8.1607	7.8724	6.2759	8.0103	8.8159	7.6164	7.6297	7.746	8.4181	8.4338	8.9107	9.2861	8.9488	11.0857	8.9885
EA_G__SLC9A2	6.8744	8.0221	9.0313	7.6985	4.6153	4.537	4.4696	6.1778	4.6843	4.5398	9.2135	6.766	4.2235	4.6564	4.4787	4.4345	7.7505	7.9773	4.8629	4.4798	4.0015	8.3374	7.752	5.095	4.5882	8.1974	4.1751	9.4528	7.6961	5.6392	7.0623	4.8743	8.3122	5.5073	5.8374	4.8527	6.3365	8.3496	7.0853	8.7918	8.1692	6.5318	8.7367	7.0021	7.4132
EA_G__GALNT6	8.9187	8.6602	8.6345	9.9625	4.7514	9.6093	5.9659	7.1112	6.9446	6.5514	9.8516	8.9842	5.5323	6.8487	6.3386	8.2409	5.6076	9.23	7.851	8.141	5.0226	8.965	9.2303	9.3822	4.7392	9.425	5.2894	9.393	10.0229	6.4105	9.2867	7.4486	9.2247	7.0398	4.9243	7.8977	5.0908	10.1047	10.2162	8.6008	10.6343	9.7198	9.5105	9.5923	9.4242
EA_G__CD68	6.0924	6.7302	6.0308	6.4705	7.2649	5.8231	7.6681	6.8934	6.2509	5.9802	6.8145	6.0723	6.0712	8.627	7.2361	7.1214	6.7354	6.0436	7.2269	7.2117	8.8449	5.9699	6.2632	5.9313	6.6335	5.9061	7.9657	6.0215	6.3502	8.8474	6.6785	6.1094	7.2136	7.1718	9.2278	8.7606	6.985	6.1473	6.0869	6.1949	5.9665	7.1143	5.9869	6.6158	6.4345
EA_G__C17orf28	9.3617	9.729	9.6197	10.0389	5.5952	9.5722	5.7826	6.3666	6.9129	5.2734	10.3721	9.0304	5.4402	6.5831	7.025	7.3859	10.3392	8.2773	7.1557	7.1023	5.3634	9.1167	9.277	9.1052	5.3589	9.2435	6.1912	11.1353	8.8997	5.3644	11.0475	7.6889	9.6716	6.072	5.6045	6.3796	5.9321	9.479	9.3071	9.6105	9.9773	9.3515	10.4072	9.5988	10.4021
EA_G__ST6GALNAC2	10.2973	5.0291	10.3685	9.1426	4.5595	8.7228	5.2777	6.5984	7.353	4.8036	9.9648	6.5371	4.6823	5.9709	5.9589	4.8008	9.0183	8.1178	5.1009	7.4136	4.6967	6.3217	8.8799	9.8266	5.7877	9.9075	4.6438	11.3695	9.1258	4.4591	9.9534	6.4464	5.1063	8.577	4.954	6.391	4.6258	9.9215	10.1722	9.3112	10.0639	8.333	10.5198	9.3323	10.1631
EA_G__LOC51136	6.5148	5.4387	8.1007	6.7711	6.6815	7.3176	6.8363	4.9707	7.0661	6.3078	7.9339	8.3427	7.1402	5.9453	6.0978	6.3722	7.3862	5.8152	6.4222	5.9137	6.226	7.1408	8.2663	6.1904	7.406	6.3367	6.765	7.7629	6.1073	5.6815	6.5309	6.4862	5.1669	6.8899	8.1943	6.1781	6.5384	6.8972	6.5451	7.7327	7.1062	7.2267	6.9423	6.9236	7.4019
EA_G__SULT2B1	7.1357	6.8833	9.1628	8.474	5.7405	7.7251	6.2807	5.914	6.4811	5.785	8.7665	8.3769	6.0404	6.95	7.4704	7.0618	9.0211	8.0968	6.0645	7.6274	5.6875	8.1165	9.3186	7.4801	5.9954	8.1852	5.853	8.6353	7.0519	6.018	7.6271	8.7083	6.8376	8.0125	6.0664	6.8115	6.0611	8.2359	9.217	8.2163	8.3169	8.4822	7.9758	8.8237	7.5317
EA_G__S100A14	12.1606	11.7148	11.289	11.27	4.4478	12.2259	5.7868	9.3338	7.1653	5.7788	11.67	10.2776	5.6437	9.6689	10.4498	10.811	10.6554	11.2622	9.7527	10.9988	5.5585	11.3198	10.6309	6.945	5.2235	10.7045	5.3671	11.2594	11.6653	4.8587	10.9996	11.4596	11.6593	12.3995	5.6242	10.3786	5.2591	11.5032	11.9228	5.3263	11.1298	11.4873	11.7503	12.1337	12.5428
EA_G__SSBP2	8.3969	7.8904	7.7099	8.8606	8.9385	9.1352	7.952	5.8563	7.4923	4.8792	9.0532	9.2008	5.6999	5.7499	6.6821	6.6132	8.7875	8.1612	6.3327	8.1559	6.9695	8.1809	8.3771	9.2692	7.7303	9.2683	6.0354	9.053	10.8126	6.1611	7.7207	8.1091	8.5794	8.9979	7.5941	6.8185	8.8049	9.8563	8.7077	9.181	9.4	7.4341	8.6779	8.8577	8.1298
EA_G__SYDE1	6.3871	6.1369	6.3616	5.8841	8.4653	5.4574	8.481	8.3258	6.6153	7.9902	5.8161	5.3023	6.2033	6.9579	7.0087	6.4074	6.6718	6.1217	6.9318	7.7112	8.9081	6.0991	6.2731	5.5612	8.7207	6.3382	8.9894	5.7382	5.0994	9.4121	6.1707	6.8988	6.551	6.3715	8.0444	7.0048	8.2118	6.1916	5.9689	6.0967	6.1051	6.1729	6.3412	6.259	6.0907
EA_G__RAB11FIP1	7.7489	7.29	7.2374	10.9487	6.0996	8.0487	6.6306	7.7821	6.9453	5.8301	8.3145	8.4506	7.1372	6.5495	6.7129	6.7962	7.4883	8.1631	6.6448	7.0896	5.8517	6.8206	6.8315	9.8938	7.2036	7.6101	6.2077	7.9194	6.8136	6.1721	6.9053	7.3587	7.6757	7.1646	6.0579	6.4956	6.959	7.013	8.072	7.7446	7.0056	6.9046	8.1997	7.2421	8.3727
EA_G__AGR2	10.388	9.9764	10.5253	10.8674	3.1745	6.0439	3.7576	3.5567	3.1734	3.3399	10.6695	6.7701	3.4557	6.1162	5.8644	7.6477	9.677	10.1249	3.6198	5.9674	3.3756	6.4972	9.3306	6.4599	3.0206	10.5625	5.2088	9.6312	11.0565	2.9069	8.4022	4.5304	8.7004	6.7563	3.9941	5.3017	3.7281	11.9063	10.4962	10.2239	11.303	11.3903	8.8069	10.5261	8.6101
EA_G__SDF2	10.0876	9.1304	9.0822	9.4165	9.2741	9.3591	8.5941	8.1063	8.9935	8.6316	10.4069	8.66	9.6218	8.7141	9.0785	9.765	10.1528	8.7896	9.2227	8.9126	8.9229	9.117	9.3493	9.585	9.6399	9.6411	9.4677	9.626	9.3285	8.0053	8.2248	8.8035	9.5982	8.9261	8.717	8.8358	9.0203	9.184	8.4796	10.2134	10.7746	8.0437	9.2296	12.3385	9.1488
EA_G__SLC1A3	5.9579	6.6111	4.1502	3.9597	5.561	4.1358	5.0044	7.4102	5.9275	7.3403	4.0183	4.0396	5.7351	5.5781	8.6946	9.2695	4.9448	4.5557	6.6053	6.8828	5.3296	4.5643	4.2625	4.0624	8.6562	4.4019	4.9309	3.99	3.5104	6.1848	5.37	9.919	5.4099	7.8535	6.7133	5.7299	8.3903	4.1191	4.6502	4.7893	4.0327	4.6589	4.5597	4.6583	4.0849
EA_G__ETS1	3.8667	4.805	3.8221	3.5321	9.1987	3.7611	7.9136	9.7835	5.4674	8.8179	3.5174	3.7092	9.0214	8.4312	8.6336	7.6481	4.1411	4.2609	8.9186	6.1098	7.8626	4.2242	4.1251	3.6311	8.5584	3.7782	8.8462	3.44	3.778	8.6385	4.6855	7.7448	4.7509	8.0132	7.741	7.9709	8.314	4.3718	4.288	4.0329	3.9583	3.7085	4.1234	4.074	3.7159
EA_G__NAV2	7.047	5.9388	5.1132	6.0164	6.6849	5.544	7.5525	6.9753	9.7986	7.586	5.5004	5.4398	5.3615	5.9011	7.0078	7.7367	4.7494	5.5622	7.9494	6.3855	7.6234	5.2578	4.9935	7.0901	6.821	7.11	6.9071	5.3098	8.0044	9.0798	5.7505	6.6172	6.8978	8.1627	8.132	7.6056	8.1373	6.9788	7.9451	4.7301	5.2354	5.8503	4.8832	6.842	4.7912
EA_G__TRIP13	7.8157	8.1416	8.2321	7.3633	8.6364	8.1903	9.2458	8.6113	8.0736	8.981	8.1179	7.9184	8.4456	8.9683	9.4647	11.0174	8.477	8.1894	8.5695	8.8367	8.9072	7.4412	7.6605	7.9539	8.9576	7.3297	8.199	7.7935	7.3926	8.1484	7.5408	8.8884	7.639	7.1681	8.0686	7.5311	9.5113	8.3058	7.6794	8.8534	7.6143	7.8426	7.189	5.9054	7.7185
EA_G__JAG1	5.3676	6.2772	5.3175	5.37	5.2094	4.8659	8.2734	10.6497	7.2981	8.7216	5.2027	5.7356	6.6225	8.4241	9.22	8.9527	5.8671	8.3486	8.547	8.8384	9.1839	4.9283	6.6646	5.8994	10.2915	6.7984	8.3717	5.8293	6.3949	6.0823	6.5058	7.1929	6.3796	9.8151	7.2595	6.924	7.0998	8.7139	5.371	5.2308	4.8664	4.9271	5.3273	6.9651	4.8759
EA_G__SLC39A6	9.2354	8.7066	9.8987	11.072	9.1401	9.4509	8.1309	9.1186	8.8211	9.4959	9.367	8.848	8.7179	8.074	7.218	8.5312	9.1881	8.486	8.159	7.98	9.0263	10.0833	12.0608	10.1142	7.9438	9.1761	8.3452	10.0745	7.693	8.1742	8.3266	7.852	8.3122	9.2279	7.6699	8.8951	8.9497	8.1689	8.1477	8.6689	9.8579	9.3675	9.9621	8.3057	12.6056
EA_G__CLIC3	7.0648	8.1927	6.5415	7.5044	6.185	7.7296	6.65	6.0092	6.5107	6.4449	10.2002	10.0641	6.4205	6.5692	6.8843	6.2405	6.6602	8.2096	5.9382	7.1404	5.8165	7.4794	7.7337	6.5956	5.9123	8.0755	5.9865	8.6685	6.9106	5.6263	8.6884	6.7687	8.286	7.7755	6.2981	6.7925	6.6261	8.7999	7.0178	9.8811	8.4713	8.1336	7.4439	6.9017	6.3667
