Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM102PT	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR7530	ZR75B
EA_G__GNG12	7.9257	8.0554	6.9215	6.2823	9.5214	5.0723	8.5558	8.6155	6.8475	8.645	7.8236	7.2029	8.1673	7.6447	8.9862	8.8599	7.5179	7.3246	8.9495	9.2523	10.1455	5.2669	6.6554	6.6615	8.7552	6.672	9.0735	6.6523	8.8439	9.0434	7.2152	8.5136	7.7602	9.2004	9.7441	7.9395	9.8269	7.4973	7.8464	7.0967	6.8414	7.6178	6.0561	8.1789	6.6101
EA_G__LEPRE1	6.6604	6.106	6.4096	6.721	8.8094	6.5042	8.5858	6.8624	8.5287	8.9158	6.903	7.1955	7.9912	6.5855	6.995	7.2352	6.5996	6.9778	7.1388	7.1597	8.3424	6.6356	6.827	7.2675	9.3727	6.8462	8.1582	6.7103	6.9469	8.4926	7.0673	7.5154	6.3158	7.0666	9.2172	7.4327	8.3081	7.7253	7.4537	6.4544	6.851	7.4008	6.5327	6.2642	6.3042
EA_G__FMNL2	4.0253	5.0374	4.32	4.6838	6.8369	4.8322	5.6158	7.2053	7.5584	6.6338	4.2885	5.597	6.4228	6.6403	7.5557	7.599	5.5222	6.2067	7.1766	5.0551	6.8236	5.6056	5.0364	5.5033	6.5388	4.567	6.9875	4.9813	3.8189	7.443	4.6063	6.5014	5.199	7.5587	8.2269	6.307	6.8317	4.3607	5.0518	4.1588	5.4521	6.3093	5.0902	4.5205	4.4453
EA_G__ODC1	8.2896	10.465	8.3575	7.6785	9.4687	9.336	10.8016	10.0973	10.0351	9.0722	8.0106	7.8639	10.349	10.8011	10.2312	9.4858	9.4118	11.5169	10.2391	8.7508	10.8136	10.032	8.9614	7.7026	9.2352	6.9893	10.9698	8.5127	8.4729	11.3317	8.582	9.7033	9.2004	9.9269	9.8319	9.299	11.1664	9.3759	10.2758	8.5891	8.4029	10.1199	6.8497	7.5509	8.8356
EA_G__CREB3L4	8.1311	8.1722	8.8266	8.2267	5.1526	8.4914	5.6421	5.7882	5.6323	6.0428	8.1729	6.4823	6.4278	5.55	5.5635	6.0272	8.4488	7.1548	5.7115	6.6527	5.4111	6.6146	7.3017	6.9522	5.3083	7.8557	5.5882	7.768	7.4532	5.2433	8.0278	6.3376	7.7082	5.5207	5.6583	5.9138	5.4051	7.0025	7.4838	8.0176	7.745	8.0589	8.8611	8.1447	8.2783
EA_G__MAP1B	4.0691	4.1506	4.4828	4.4376	7.3859	4.0451	7.5013	7.1683	6.6007	8.4876	3.7581	4.3324	4.8655	5.0727	5.2252	5.1172	6.0937	4.0538	6.0101	6.2577	8.7705	4.4155	5.0935	5.1036	7.836	4.0668	7.159	4.158	5.8074	7.4831	4.7968	5.1698	4.2089	7.1621	8.0577	4.7129	8.5112	8.6027	4.2357	4.0326	4.3419	7.2641	4.0378	4.845	4.0619
EA_G__TMEM45A	3.4262	5.435	3.6833	3.8514	7.4132	3.5319	5.1699	7.2249	4.0808	6.8617	7.5313	3.9416	3.8688	6.2257	8.9489	7.9683	3.4496	6.9746	6.5289	7.6299	7.5793	2.931	3.9082	4.449	8.7799	5.8345	6.7967	3.7988	7.9835	5.7699	4.2971	7.4867	5.4476	9.6355	8.3158	10.5267	8.06	7.0406	8.6417	3.2231	4.2422	6.9773	2.72	4.7678	3.9655
EA_G__LY6K	4.7598	4.7912	5.0371	4.4493	6.2608	4.5636	7.0356	7.6438	5.4813	7.4329	5.0743	4.619	4.7229	6.0532	5.3105	6.539	4.8457	4.6299	5.1488	5.6369	8.7196	5.0864	5.319	4.4846	6.7941	5.142	6.5263	4.8837	5.1368	6.1866	5.6165	5.4341	5.3571	6.4995	6.0195	6.9862	7.0719	4.7227	5.2135	5.0951	5.0453	5.3156	4.7443	5.5048	4.7605
EA_G__NRP1	5.8023	6.0498	6.71	4.9308	8.2096	4.441	6.9492	8.138	8.1895	9.1956	6.0792	6.4417	4.4621	6.9841	7.1779	7.9053	7.0831	8.0159	6.4355	7.5902	8.3999	7.107	6.9777	5.0405	7.6503	7.3881	7.5617	6.343	7.5409	6.8051	5.0336	6.2073	6.1362	7.25	8.3488	6.1973	8.7035	4.9171	5.1546	4.6438	4.8869	7.6756	4.5539	7.1657	5.6674
EA_G__ZNF652	7.5137	6.6796	9.1134	7.658	5.4265	8.0263	6.8461	7.5657	6.1455	6.1679	10.4217	8.3293	6.9403	6.4695	6.4805	6.6269	8.7194	7.371	6.6141	6.8064	6.2259	7.3028	7.8102	7.151	6.7251	7.2562	6.172	9.0124	7.6468	5.7613	7.4323	6.6414	6.5588	6.5071	6.6853	6.6539	6.3657	7.335	7.8613	7.2296	8.3435	7.029	8.7495	10.1414	7.6069
EA_G__CRIM1	9.0196	8.3091	6.5929	7.7545	9.7719	4.9514	9.4051	9.4674	7.4445	8.0665	5.769	8.1182	7.7723	9.2139	9.9786	9.1736	8.4351	9.1212	9.553	9.1882	10.6462	6.9248	7.2872	7.1522	10.3139	7.9992	10.2066	6.0395	8.0396	9.5237	5.5615	9.1829	8.5579	9.2274	8.5317	9.052	10.2588	7.9147	8.6219	8.7841	8.2763	8.9244	5.0659	8.2805	6.9187
EA_G__RAB25	10.8666	10.4334	9.9079	10.8445	3.8607	10.7159	4.5832	9.6031	10.1822	3.6389	9.7437	9.4452	6.1522	9.1054	10.0308	9.6647	10.5766	10.1648	9.5767	10.5599	3.9126	10.2002	10.0905	9.4475	3.7434	11.0147	4.0552	9.3272	9.9948	3.8407	9.7709	10.4847	10.1201	10.3404	4.0278	9.2791	4.5403	10.7285	10.2789	10.6313	10.6547	10.2014	10.5913	9.8993	10.6589
EA_G__MSN	6.7845	5.5245	4.0134	4.419	10.3783	4.1022	10.6023	11.3117	10.2913	10.364	4.1309	7.0685	10.7693	10.103	9.5137	10.4191	4.3616	4.4627	9.6207	10.6461	10.7237	4.1429	4.7797	6.5085	10.1759	5.7957	10.8438	3.9279	8.4521	10.2603	5.0086	9.4747	4.469	10.0456	10.7101	10.614	10.7822	3.9763	4.674	4.3941	4.086	4.8044	5.8385	4.7411	7.8425
EA_G__MUC1	10.7485	9.3354	9.6525	11.0311	8.4104	10.0109	7.6651	8.1385	7.6877	7.2345	9.5962	9.4833	6.9752	6.7513	6.8465	9.0466	8.7144	9.1369	6.9437	10.7156	7.125	8.9106	9.84	6.573	7.0024	11.0353	6.32	9.2355	10.806	6.8858	7.2765	9.5162	7.6032	7.986	7.3348	9.1411	7.2021	8.4137	9.3378	11.5556	11.9165	10.2577	10.8592	10.2406	11.0123
EA_G__FXYD5	9.087	8.4722	5.1452	6.8194	10.3061	5.212	8.8935	9.9677	7.5861	9.9666	4.9676	5.8157	8.678	10.7836	9.0929	10.6352	5.4508	7.316	9.7402	10.1781	9.7392	5.3102	5.5668	5.4603	10.1368	5.6902	9.7893	5.2174	5.9207	8.4884	8.6977	10.0869	8.8892	8.9492	7.4253	9.2964	9.4217	8.919	5.7418	8.3542	7.2186	9.7864	5.8579	6.1867	5.2807
EA_G__CYFIP2	6.9195	7.6336	9.0937	8.0094	4.9558	9.1605	5.324	7.1359	6.1258	4.9594	6.3421	7.6514	6.2954	5.2496	4.8951	5.2998	5.1125	8.4513	6.591	5.0147	4.9933	7.4391	7.4575	7.5014	5.4852	8.3475	5.7216	7.2038	9.1192	6.9705	6.5537	4.426	7.9774	7.7762	5.9874	5.4906	6.214	9.1159	9.0647	8.058	8.4102	5.5353	5.4775	6.8761	8.5427
