Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
EA_G__COL4A2	6.36	6.061	6.9582	5.9927	5.6818	9.1358	5.6938	8.3588	8.5657	5.8659	8.1435	5.706	5.736	8.5431	8.8082	7.6081	6.3498	6.3264	6.3447	9.6397	9.1724	6.1702	9.4784	6.189	6.2593	5.9015	11.3453	6.2475	7.8284	5.8093	5.7943	6.9666	6.5292	6.5386	8.0359	6.3432	6.0159	6.3401	6.3543	6.1933	6.2438	5.8257
EA_G__SGK	4.2316	5.0406	7.2857	5.4106	5.3314	9.0838	4.1858	8.9845	8.9248	4.3511	8.7011	6.361	5.0384	6.6596	7.7021	7.7639	6.6802	4.4304	5.1726	7.019	9.4103	6.1623	9.2354	5.1628	5.3706	5.9424	8.3272	5.1426	8.4342	7.6622	3.713	5.0158	4.8986	9.7393	8.7562	8.0896	5.5156	6.1843	7.5815	4.7744	5.6857	5.0778
EA_G__JARID1C	8.4727	8.759	7.6171	8.4412	8.5789	8.0786	8.2359	7.4754	7.1037	9.3003	7.333	8.403	9.2775	8.0249	7.5312	7.6876	8.43	10.9831	8.0617	8.201	7.6305	7.498	7.1084	8.2853	8.0884	8.5646	8.7036	8.4773	7.0705	9.1277	8.7115	8.6377	8.4706	7.9191	8.0947	8.334	7.5517	7.4062	8.1892	8.0437	8.2214	8.1412
EA_G__CLDN4	9.5613	9.7004	8.4153	9.1411	10.0233	5.3261	7.699	5.671	8.2254	9.351	4.9589	9.9183	9.0487	8.5706	7.9375	8.5209	9.5097	9.7434	9.2804	7.8583	5.3519	9.8327	4.7374	9.318	8.7885	8.585	5.0731	9.9284	5.8818	9.0956	8.7312	8.1256	9.8194	5.5932	6.9152	5.0136	9.936	9.3751	7.8684	9.4915	8.105	8.707
EA_G__SYDE1	6.3871	6.1369	6.3992	6.3616	5.8841	8.4653	5.4574	8.481	8.3258	6.6153	7.9902	5.8161	5.3023	6.2033	6.9579	7.0087	6.4074	6.6718	6.1217	6.9318	8.2904	7.7112	8.9081	6.0991	6.2731	5.5612	8.7207	6.3382	8.9894	5.7382	5.0994	6.1707	6.551	8.0444	7.0048	8.2118	6.1916	5.8197	5.9689	6.0967	6.3412	6.0907
EA_G__OCC-1	6.2744	4.7657	6.4463	6.0232	7.7451	7.9125	8.1939	8.7774	7.9815	6.4479	7.388	7.0864	6.2162	7.7616	7.2971	6.5371	7.1938	4.6589	4.7101	6.4958	7.6337	5.1407	8.9882	6.7867	6.4518	8.3745	8.6907	5.5728	7.9621	7.1268	6.1152	4.9518	5.6333	7.3574	7.0924	8.3571	7.0635	4.3091	5.966	6.2156	4.414	6.1645
EA_G__YIPF1	8.1538	8.0855	7.1149	8.3387	7.4043	7.2018	7.6327	6.8587	6.9169	7.4989	7.0897	8.6056	7.8128	7.3801	6.5796	6.9075	7.2824	10.2527	7.7843	7.0031	6.9285	7.6619	7.4184	7.168	7.7474	7.5846	7.1724	7.4127	7.3375	8.7118	8.8558	7.7027	8.1777	7.4907	7.4336	7.036	8.3011	8.8785	7.9406	8.1006	8.5275	8.1699
EA_G__KIAA0258	7.5539	8.1496	8.0279	7.9098	8.3539	7.7622	8.6785	8.1614	8.1152	8.2046	7.4495	7.9908	8.078	8.3061	8.3243	8.2706	7.7579	8.3707	10.9617	8.2897	7.981	9.1788	8.1073	7.6603	8.0685	8.4831	7.5373	7.5261	8.0547	8.7406	8.2172	8.7381	7.8566	7.6932	7.4298	7.7927	8.3623	8.023	7.8995	7.6542	7.9678	7.9041
EA_G__SYT12	6.5702	8.4842	7.2923	6.4667	7.2718	5.6842	7.9997	5.5947	5.3679	8.048	5.0011	5.5349	7.2782	6.3472	5.9473	6.3003	7.3051	7.2759	8.2401	5.853	5.1824	7.0638	5.2108	8.037	7.7083	6.7108	5.4029	6.0574	5.6268	6.4297	7.8238	8.001	7.193	6.263	8.7831	5.9885	5.3229	6.7599	7.2041	6.3496	7.9768	6.5939
EA_G__MSN	6.7845	5.5245	8.9289	4.0134	4.419	10.3783	4.1022	10.6023	11.3117	10.2913	10.364	4.1309	7.0685	10.7693	10.103	9.5137	10.4191	4.3616	4.4627	9.6207	10.8946	10.6461	10.7237	4.1429	4.7797	6.5085	10.1759	5.7957	10.8438	3.9279	8.4521	5.0086	4.469	10.7101	10.614	10.7822	3.9763	6.4413	4.674	4.3941	5.8385	7.8425
