Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
U133A__SLC16A1	5.5794	5.7645	8.3004	6.0565	5.5591	7.9693	6.5954	7.3612	7.3152	6.2764	5.9809	7.3342	8.5427	8.3794	8.0237	5.8946	5.2666	7.0439	8.327	8.4403	7.6278	6.5289	6.4164	7.8131	4.8744	5.4479	5.6483	8.4516	5.5286	5.5178	8.0539	8.2358	8.9896	5.3126	5.4203	6.7675	5.835	4.937	7.0823
U133A__ARHGDIB	8.5293	8.1199	5.8842	6.4501	7.2463	4.7304	4.7976	6.2259	5.607	6.4063	8.0311	5.4551	9.4922	9.2045	7.5589	7.8056	10.3184	8.841	4.8659	9.2277	6.0753	5.4535	5.0219	5.5393	10.2407	10.0378	9.1753	10.118	6.7721	8.9124	5.2272	8.2832	6.2232	9.5105	9.0231	7.7081	6.377	8.9659	6.9107
U133A__PLAU	5.5718	5.8756	5.2088	5.6696	5.1491	7.8668	5.3929	7.9168	6.0278	5.2362	5.2184	5.332	7.874	6.7758	5.664	6.2216	5.9968	5.3077	7.0242	5.1726	7.9917	5.6808	5.4287	6.8126	5.511	7.6491	5.3504	5.7285	5.3338	5.507	10.1668	9.6993	5.9627	5.292	5.721	5.2565	5.5545	5.0415	5.2204
U133A__PLBD1	5.7748	5.8209	8.2086	6.4016	5.8179	9.6028	6.1258	5.6676	6.4536	6.2081	8.458	6.9179	9.3657	9.8827	5.8011	7.172	7.8974	8.9343	7.8913	8.582	5.7965	6.7902	5.583	7.3745	6.331	6.3713	6.3844	10.2417	5.9946	6.8279	6.8435	6.2724	5.4299	5.8549	6.2376	7.0457	6.3584	6.5022	5.8222
U133A__MTUS1	8.1313	8.2705	5.8908	7.106	6.8291	5.1455	6.8015	6.1568	7.0624	5.4657	5.8096	5.252	6.6955	7.581	6.4001	5.4172	7.6864	7.4877	5.5626	7.7194	4.6984	6.7777	5.5679	6.0087	7.1452	5.2202	6.4472	7.1152	5.1951	6.9902	5.1036	5.8514	5.3492	7.484	8.1098	8.0734	6.0826	8.2206	6.8675
U133A__PIK3R1	6.3096	5.6139	6.3818	6.1887	6.773	5.1455	6.0698	5.6789	5.2187	5.862	7.7312	5.0392	5.7226	5.5993	5.6563	6.3551	5.6785	6.8184	5.2997	6.4776	5.8206	7.1854	6.3846	7.0608	6.5437	5.0786	7.077	6.7442	8.2348	5.1387	7.0363	5.4349	8.1998	7.5307	7.3329	6.3289	6.5928	7.6142	5.8725
U133A__LIMCH1	6.0867	7.0559	7.0651	5.9547	4.5506	3.4312	4.4364	6.1294	6.6193	6.9381	3.4256	6.7857	4.222	6.9595	5.566	6.6578	8.4483	5.7588	5.1467	7.6226	5.4328	3.9423	6.553	4.4139	6.8992	6.5312	5.033	5.5271	6.2939	6.1873	3.4676	5.11	6.8599	8.4582	8.2485	7.9542	4.2224	7.7023	3.813
U133A__PRKRIR	9.1253	7.7476	7.8076	9.338	7.918	7.5965	6.9452	6.3444	7.0352	8.6927	8.1006	7.8564	8.7561	7.6003	8.2642	6.9316	8.4684	7.7516	7.5375	8.1211	7.1304	7.9468	10.7632	6.8576	8.5159	8.0769	7.458	7.2631	8.25	7.5467	6.8547	8.0119	7.9799	7.1922	7.8581	10.7226	7.8441	6.7416	7.6098
U133A__EFNB2	5.4764	4.7613	4.9303	7.0119	6.4386	8.6207	7.4791	5.3655	8.8445	5.5096	6.4622	4.9044	8.2395	7.0896	7.4331	6.9829	9.9666	5.9393	6.9153	7.5536	5.9236	6.9459	6.1413	8.3547	5.5304	5.5961	7.2819	7.5891	7.6132	4.8166	4.7258	8.8053	8.021	8.057	5.2698	4.9264	5.6351	4.9242	7.1568
U133A__FANCG	5.7529	6.8231	6.2545	7.6	6.4537	7.0761	7.065	6.7387	6.4867	7.2667	6.451	6.1187	6.9206	6.517	6.4031	6.6078	9.5935	6.5269	6.0361	7.6104	6.1079	6.4459	6.9052	6.4125	6.4774	6.8825	6.9184	6.8003	7.3341	6.1179	6.1296	6.6838	6.6105	5.5828	5.7232	5.3223	6.4065	5.9315	7.0228
U133A__CRABP2	7.7927	6.2883	7.6984	7.1272	11.2478	7.1984	9.2384	7.2001	10.2575	11.042	10.4868	7.9145	5.679	11.2348	9.6855	11.4223	10.9394	9.1947	9.329	11.2675	6.4565	10.0104	10.3883	6.0832	10.5335	6.5894	7.7354	10.3027	10.8015	9.5601	7.2299	6.7276	6.367	9.2587	8.4121	9.1007	10.4822	9.367	8.6028
U133A__ABLIM1	8.6762	8.9014	5.5503	5.137	7.0127	5.1287	7.6638	5.039	6.9115	8.5793	7.4417	6.7201	8.0471	8.5764	7.3477	6.4693	7.2971	7.9321	6.4772	7.9876	4.3541	5.161	7.1559	4.8561	7.9446	7.0666	7.5952	9.4549	7.4208	7.5593	8.0406	6.8577	5.867	7.0137	8.578	8.6624	6.9056	9.3072	8.0811
