Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
U133A__TSC22D2	4.89	6.555	6.2163	6.2358	6.7274	7.2597	6.4885	5.938	5.8246	6.053	6.8661	5.6752	7.1136	6.8426	6.7639	5.4798	6.0701	5.5327	8.1915	7.3849	5.2765	7.2701	5.9181	6.4636	6.4781	6.6504	6.5618	6.7302	5.7727	5.0045	5.4239	5.5303	5.0904	5.8154	7.1069	6.3707	5.3398	6.0871	9.7676
U133A__NR3C1	5.0765	6.954	7.0652	5.1788	5.9925	8.9925	6.6683	7.8246	6.9561	9.1735	6.103	6.7952	7.9111	7.5877	6.4	5.6993	5.6099	4.8193	7.9143	7.896	7.9943	6.8241	5.5863	8.052	4.8591	8.189	5.6192	5.6545	7.9997	5.85	7.6812	6.8754	7.9483	5.625	7.9101	6.4618	4.868	6.906	6.4361
U133A__BST2	8.7431	6.628	8.2193	4.2637	9.7762	5.2164	8.5034	6.4804	5.4118	9.5469	8.8584	9.1133	6.7513	10.0594	8.3263	8.7328	4.4392	6.9466	4.8507	10.1508	5.5764	6.2168	8.0857	7.5776	9.7058	5.0736	4.849	8.3117	8.8676	5.8416	4.9275	8.3869	7.5466	9.1934	9.8754	7.9052	8.5472	8.4818	8.7943
U133A__MSL1	8.4973	11.0616	7.1325	7.6567	8.9254	7.246	7.5161	6.9702	6.2351	7.9444	6.4312	7.5699	7.3185	7.0968	7.4843	7.1746	7.6938	6.777	7.3462	7.9972	7.5341	7.2066	8.0309	7.4204	7.6825	7.3756	7.8424	7.0973	7.0433	11.0407	7.3822	7.534	8.238	7.4681	7.4342	7.1078	8.3011	8.2656	8.1269
U133A__ID2	8.0734	7.4444	3.4919	9.022	7.2765	8.2608	9.4546	4.5522	8.9987	8.7602	7.2989	8.911	5.122	9.6486	3.8659	8.9669	9.4692	6.8716	7.2985	6.0127	7.966	8.6926	9.3373	7.6134	7.141	4.5686	9.3071	7.5169	9.9817	7.6966	5.7772	6.8302	6.2331	6.7214	6.8739	7.9709	6.2231	8.9398	6.7317
U133A__PRSS23	5.6694	5.4853	9.3299	8.4008	8.1723	9.9102	5.5107	6.7814	7.4397	5.5115	5.7252	5.5945	7.232	6.9689	9.8261	8.0915	5.7029	7.9914	8.8022	6.7675	9.852	10.2697	8.1702	8.9105	7.1933	9.402	8.6069	9.4771	7.3663	5.7526	7.4374	7.5463	6.9637	5.8492	7.1078	9.4805	5.6639	5.4985	5.4614
U133A__STEAP1	3.7161	3.9583	3.7114	4.1853	4.1123	3.7128	3.5633	4.3669	4.1825	3.8446	3.9806	4.3958	7.2176	3.6303	4.5839	5.1658	7.2723	4.4257	6.4105	6.2642	5.633	3.9447	3.9628	4.2744	5.8621	7.3482	3.7494	4.4603	3.6677	3.6879	8.1299	7.6142	8.5636	5.8578	6.6618	7.2567	4.7198	3.8274	4.0184
U133A__CAT	9.2728	8.6882	8.9651	8.6094	8.1768	7.6458	7.9778	7.5238	7.1926	8.5442	9.183	8.3309	11.1759	8.5523	9.9741	7.1944	8.1137	9.9591	7.7908	8.3007	7.9061	7.812	9.1065	7.2563	8.7414	8.3873	9.0302	7.4691	8.3149	8.1271	8.2005	8.7364	8.0446	6.1542	10.075	8.6121	9.4779	7.6033	7.5928
U133A__POP4	6.8419	7.4049	8.5108	7.1197	7.7849	8.0832	7.9172	7.6761	7.8361	7.7486	8.4515	11.1108	10.0044	7.8973	8.0752	6.8166	7.8422	7.7811	7.7881	8.3413	8.1448	7.5683	7.4469	10.0874	7.6411	8.3447	7.1572	8.2194	7.8404	7.6935	7.7345	7.8677	8.0336	6.7014	8.043	6.8998	7.8231	7.5607	8.1788
U133A__LAMB2	8.1243	6.9331	6.1194	5.3368	6.0646	6.7282	5.7382	6.2908	6.9642	6.1662	5.2838	5.4219	4.8086	6.058	5.2916	6.5472	6.3258	6.2431	6.0447	7.3694	6.4274	6.2658	7.1113	5.9146	7.8648	6.107	6.676	5.6942	6.7376	6.1559	6.6505	6.0157	6.1049	8.712	6.379	6.7894	7.122	6.3862	6.0386
U133A__RAB11FIP1	7.0112	6.3265	6.0089	6.3952	10.1852	4.1652	7.5606	4.6623	6.1832	5.5435	7.7345	6.5955	5.6248	6.6226	5.2897	5.0526	7.879	5.1828	6.1834	5.6434	4.4743	5.3596	9.2312	5.4449	6.7784	5.3435	6.8999	5.2841	5.1493	6.3631	3.4957	5.5237	5.5979	7.3772	10.4161	7.5511	7.0406	8.8087	8.0265
U133A__CARD10	5.7778	6.6189	6.4732	6.0074	5.6113	7.1832	6.9806	7.1831	5.8013	5.447	5.0291	6.8955	7.94	6.4404	6.6995	4.8749	5.3041	6.1251	5.6387	6.8007	8.2432	5.8035	6.6709	6.9111	6.3909	6.3107	6.2227	6.8504	5.0682	5.6466	5.2563	6.1299	5.5845	8.1902	6.3387	5.6863	5.8941	5.1234	6.1903
U133A__BET1	6.457	6.8917	6.1	6.4871	6.6266	5.9282	6.3555	6.5993	5.9264	7.1228	5.9494	6.4942	6.1672	6.1476	5.602	5.7067	7.193	6.5846	6.7723	7.2706	6.6186	5.748	6.1616	7.2448	6.7981	7.2339	6.0368	6.4559	5.7412	6.4165	6.3714	6.2335	6.4052	6.7489	9.3023	9.1437	6.3116	6.0472	6.3389
U133A__ACSL3	7.1919	6.6538	4.13	7.0956	7.0192	5.1187	6.245	7.3775	6.0106	6.1809	5.5562	5.0836	5.5273	4.8164	4.4287	4.2377	5.6088	4.1027	6.7675	6.823	4.2666	5.5137	6.6526	5.7361	7.214	5.9762	6.5155	6.1214	5.7947	6.5763	5.0383	4.6216	6.1252	6.7986	6.8997	8.8893	4.3885	6.6779	6.744
