Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
U133A__CDS1	6.9342	8.169	7.1014	6.1529	6.9943	4.6661	6.6883	5.7098	6.1086	5.7983	6.1974	6.6959	6.7502	7.3118	5.9499	6.8258	6.321	5.7782	6.6791	5.005	6.6497	6.3397	7.0044	4.9123	6.9792	5.0018	7.4359	6.9108	6.7669	7.3771	4.7441	6.4201	5.4182	9.0847	6.8814	6.4939	6.8096	7.0282	7.287	7.4944
U133A__HTRA1	6.7003	6.2736	6.3885	6.5619	6.5603	6.4306	5.9744	6.5707	6.7075	5.904	6.5307	7.7992	8.3177	6.4915	6.4617	6.4236	6.16	6.9112	5.9653	8.1098	7.5058	6.8794	6.3703	9.3958	6.821	6.888	8.4262	6.0692	6.4565	6.2344	11.4172	9.6218	7.5158	6.3811	8.5513	6.7275	7.4804	6.294	6.4264	6.4095
U133A__SLC9A6	6.4055	7.0008	7.4995	5.2708	4.3228	8.7858	4.4773	6.7706	7.7514	4.2629	6.1563	7.1961	7.6515	7.1268	4.8025	4.3595	7.158	6.999	7.5777	6.9	5.9238	6.2413	5.5375	6.5963	5.6565	7.8945	6.3295	4.5921	4.9043	4.9311	6.407	6.7893	7.3206	6.1149	6.3706	5.8012	6.5172	6.2142	4.9762	6.5391
U133A__TP53	4.3446	6.3107	8.1243	7.4421	6.5696	8.6777	6.3807	7.8645	8.1778	7.3335	4.3921	5.3349	4.237	6.7492	4.6348	8.2247	4.5802	7.4288	7.206	6.2844	7.4501	7.6644	5.9844	4.433	5.6942	7.6558	4.8471	6.8662	4.1163	6.6233	7.125	7.8165	5.286	4.3986	4.3491	6.9765	5.6747	5.0216	5.6721	6.2393
U133A__CA12	9.2856	6.8362	5.5018	6.6024	10.0646	4.94	9.4907	5.3522	5.2704	9.9923	5.8997	5.8965	5.9293	4.8096	8.2238	5.138	5.3006	5.185	5.1204	6.4199	7.0757	8.7923	10.1694	5.1916	8.8035	5.7859	7.8998	10.1217	9.7319	8.5665	7.398	5.5183	8.3814	7.6774	8.1588	9.8759	9.6625	8.016	9.0663	9.0498
U133A__ITGB4	8.4764	6.8825	7.8694	7.2638	6.1489	5.1424	6.7049	9.9222	5.9812	6.4977	5.6302	9.8634	7.2601	7.6693	8.0613	6.7599	9.2314	6.4951	6.4958	5.6846	7.7798	8.3127	5.2167	5.7594	7.597	5.8136	7.8203	7.0236	6.7098	6.7099	5.7868	6.8612	5.7862	9.5481	7.1408	7.4342	7.6944	6.2395	6.5196	7.5587
U133A__FADS2	5.0818	5.4816	5.1322	9.6465	5.6504	8.0394	6.7684	6.6788	9.8575	5.5179	6.906	6.5907	5.6059	5.1901	9.2965	5.744	5.9413	6.749	8.3327	5.5382	5.4518	6.5012	8.1996	5.9069	7.7532	6.8656	6.9474	8.2342	5.3166	5.3886	6.9133	8.1528	4.4817	6.0448	7.0889	5.6521	6.3014	5.7343	7.8532	8.0881
U133A__RCAN1	9.5061	7.1303	7.6573	5.82	5.6035	7.7765	5.7191	7.9377	6.1191	5.2347	8.8541	4.8444	6.9518	5.967	5.1898	6.6797	7.3532	6.7074	8.7816	5.7036	5.7352	4.0112	4.6964	6.4032	8.3341	6.0613	5.947	7.4427	5.2858	6.2714	7.7167	5.6586	6.4412	5.1797	7.3375	7.707	9.0319	6.8817	5.7327	5.7304
U133A__PBK	7.0274	6.7703	6.752	7.0826	6.4642	9.2891	7.091	6.6403	8.3205	5.9385	7.6548	7.2653	6.4	7.1569	4.3151	7.7515	6.5833	7.6571	6.0256	8.8112	7.1445	6.782	7.9008	7.4454	7.6348	8.4175	6.0122	7.1833	6.8715	7.02	7.6933	7.9153	8.7212	5.2544	4.2319	7.3545	7.3338	7.7813	6.7081	8.9375
U133A__IGFBP2	8.9994	6.5614	8.0793	8.4756	10.174	4.1337	8.2319	6.9756	5.0969	11.3152	6.6399	5.5755	7.4344	6.2061	7.8506	6.7846	6.7353	5.7058	4.1339	5.3651	7.4161	8.4871	9.2672	6.523	6.9218	5.18	9.4817	8.7196	9.2216	5.7955	5.3561	5.6784	5.7516	6.6061	7.7527	9.675	9.8774	7.0239	7.1688	9.9643
U133A__MSL1	8.4973	11.0616	7.1325	7.6567	8.9254	7.246	7.5161	6.2351	7.9444	6.4312	7.5699	7.3185	7.0968	7.4843	7.1746	7.6938	6.777	7.3462	7.9972	7.5341	7.7231	7.2066	8.0309	7.4204	7.6825	7.3756	7.8424	7.0973	7.0433	11.0407	7.3822	7.534	8.238	7.4681	7.1078	8.3011	11.0363	8.2656	6.6441	8.1269
U133A__MED1	6.789	9.401	6.6315	9.8321	6.7544	6.543	6.5188	6.1616	6.714	5.4657	6.4849	6.584	6.2933	5.5168	7.637	6.165	6.7157	6.7015	6.6643	5.9833	5.9938	6.0596	6.5369	6.341	6.0538	7.4592	7.1028	5.6961	6.8213	9.7185	6.1455	5.8447	6.5327	5.9984	6.2636	7.0154	8.3873	6.1249	5.1839	6.4994
U133A__MDK	6.9831	5.8166	5.8069	10.4845	7.2442	9.5628	5.4762	7.2438	10.8926	6.6919	8.7624	7.8046	8.1924	5.8212	6.9879	9.4224	5.5966	9.6158	7.3553	5.9591	7.08	9.2987	7.0267	7.3533	8.0454	6.272	9.0373	7.1533	6.1214	5.8713	5.747	6.4917	5.8461	10.8153	6.3981	7.7515	7.1022	5.765	5.6128	5.7944
U133A__ALDH1A3	6.3501	8.1049	10.7086	5.7829	5.558	5.0371	5.7541	10.4029	6.9131	5.5586	5.9053	9.253	9.3821	11.1356	7.3345	7.2073	9.6541	7.0172	8.7778	6.3367	7.9258	5.9722	5.3213	6.7306	7.3828	5.8164	5.5605	7.0272	5.6679	7.2823	5.5688	9.2197	5.8794	5.5785	4.9809	5.821	6.1372	6.0094	6.5869	5.9709
U133A__NDC80	5.5522	5.0453	7.3704	6.0641	4.7678	7.5886	4.8913	6.2093	8.2113	4.6458	5.6359	6.8255	7.5058	5.4579	4.6172	4.7843	6.5212	6.879	6.771	7.0702	5.4314	5.1758	5.1286	6.8271	4.2246	7.4584	5.221	4.9644	4.8313	4.8279	6.9992	6.9676	6.0043	3.5759	3.7379	5.2985	5.7214	5.8115	4.4922	6.0871
U133A__CITED2	6.5982	7.7415	6.0367	6.6171	6.2217	8.6066	6.6819	8.129	5.4857	5.8681	6.4711	5.6471	7.2761	5.0942	5.6045	9.6672	5.0741	7.2485	5.5668	7.7101	6.7048	7.0532	7.0748	6.3869	7.4172	7.5293	6.8764	6.7352	7.2716	8.0474	7.6179	4.1856	7.6259	7.8132	8.3585	6.9528	9.1731	8.0739	6.2483	6.485
U133A__MID1	6.1037	7.7529	6.9934	5.4843	4.4567	8.6155	4.4247	5.3266	5.9754	4.3322	6.3817	6.6804	7.4209	6.1697	4.5019	9.0976	7.9875	6.0331	7.592	5.0431	4.6781	4.4599	4.4484	8.0006	4.8053	6.7265	5.0984	5.5412	3.9749	6.4367	6.5315	5.246	6.0018	5.3356	5.4337	5.7925	5.8913	5.3807	4.7163	5.5598
U133A__RHOD	7.8747	5.2958	7.9209	6.4675	7.5568	5.1077	7.9489	5.7556	6.6789	8.1395	6.8909	8.2529	7.7422	7.4409	7.2922	7.285	6.8871	6.6721	6.7316	5.5286	7.3222	8.2642	6.9058	5.7004	7.3765	6.1846	7.1356	10.2792	7.6147	5.486	5.0982	7.0881	5.0527	6.8992	8.2248	8.4567	7.6569	6.3975	6.6061	7.906
U133A__TMEM135	5.668	6.7817	5.0456	5.5373	6.4603	5.8126	5.7686	4.7886	5.852	6.7122	6.661	5.797	5.1155	5.4529	5.7782	7.1022	5.8957	6.9366	6.0968	4.6112	4.98	5.7666	5.261	6.6658	6.5722	6.102	6.82	6.0613	7.4905	6.4907	4.9966	5.5595	5.5384	7.1223	7.1232	6.8095	8.6528	7.3552	6.8816	5.975
U133A__FADD	8.5432	7.2253	7.5941	7.3694	7.9263	7.3736	8.6319	7.9796	8.0257	7.5068	7.4055	7.7871	7.4981	9.2216	6.8425	7.4372	7.3283	6.8438	7.0393	7.045	8.2105	7.9457	9.9878	7.5091	8.7146	8.1263	8.5757	10.0277	8.4773	7.1372	6.7516	8.0897	7.4219	6.5889	6.8788	7.3984	7.6765	7.8862	7.194	9.1575
U133A__BASP1	5.4356	5.7977	4.4396	10.6202	9.2038	11.5185	8.8654	6.594	9.1826	5.6244	6.3603	5.5235	8.6432	5.4185	9.4493	9.2461	7.096	10.984	5.1029	10.982	9.543	11.1484	8.6087	11.8373	5.8638	9.7536	8.7157	5.3006	6.2352	9.4114	10.254	7.787	10.2463	6.6101	5.856	5.2301	8.934	5.5732	5.4463	5.2642
U133A__CAMK2N1	7.984	9.1459	9.4608	8.3458	8.7947	5.1483	8.6556	6.3505	6.2577	8.6715	6.6419	7.179	7.922	9.9631	8.7955	8.3152	6.6618	7.3195	10.0484	8.0878	9.553	7.2483	11.0058	7.6561	10.238	6.867	9.2583	9.8342	9.6245	9.5868	5.7111	9.1636	7.9183	9.6719	9.8937	8.0816	9.4807	8.5041	9.041	6.3299
U133A__OSBPL9	7.2376	8.5126	7.8669	7.4145	8.1395	8.1616	5.8039	7.1931	8.9375	9.0068	6.9584	8.6277	8.4822	7.1002	5.7205	10.4561	8.0149	7.7603	8.8407	6.8305	7.6955	7.4043	6.0714	7.9846	6.5437	7.68	8.3011	7.6034	5.8251	7.9799	6.7672	8.4488	7.9526	6.2279	6.5777	7.7101	8.2348	5.6482	7.2609	6.1438
U133A__NR3C1	5.0765	6.954	7.0652	5.1788	5.9925	8.9925	6.6683	6.9561	9.1735	6.103	6.7952	7.9111	7.5877	6.4	5.6993	5.6099	4.8193	7.9143	7.896	7.9943	6.4699	6.8241	5.5863	8.052	4.8591	8.189	5.6192	5.6545	7.9997	5.85	7.6812	6.8754	7.9483	5.625	6.4618	4.868	6.6686	6.906	6.0963	6.4361
U133A__FST	6.5894	6.5399	6.4906	6.4947	6.3964	7.1555	6.4063	8.1138	6.729	6.605	6.9497	8.7649	7.1819	8.1031	7.2197	6.4535	7.3188	6.6246	6.2073	9.2037	7.1295	6.879	6.71	6.9117	6.6957	8.7976	6.5755	6.6662	6.6393	6.7865	6.843	6.7208	6.5052	6.9549	6.8367	6.4505	6.228	6.782	6.7813	6.685
U133A__SDC1	7.7805	8.9564	8.3437	7.34	8.0596	6.396	7.35	6.8305	8.6221	6.73	7.0919	7.2113	8.2425	7.4928	10.0456	7.8995	7.043	6.0373	8.8431	6.7277	7.6374	6.5287	5.6989	6.5597	10.0445	6.9291	7.3329	7.3949	7.469	8.3341	5.6999	6.0831	5.4268	9.4931	8.0011	6.2336	8.0672	6.6757	8.7536	6.7627
U133A__SAT1	9.5853	8.0759	7.7768	9.1251	4.8567	7.4459	5.1148	8.6751	5.2767	4.1607	8.512	7.7973	7.4163	9.0179	5.2599	9.2676	9.41	9.7312	9.8956	5.5377	6.141	6.2898	6.7268	8.8148	8.9828	6.7656	9.3357	8.0214	5.8813	7.0026	6.7805	8.3872	4.3567	6.5517	9.7596	6.8822	8.9195	7.141	7.9263	5.1998
U133A__FAM13A	5.5919	6.9892	4.9481	7.6893	5.5958	5.3985	4.5903	6.2788	5.246	5.0623	6.1014	6.399	6.8109	5.5296	5.684	8.0058	6.729	6.7055	7.4699	5.3064	4.8071	5.3929	5.6785	6.456	7.1306	6.1506	6.2633	6.3947	5.3087	6.3985	6.1293	5.6016	6.5196	8.7635	6.7885	4.9463	6.9207	7.1884	6.8083	4.9342
U133A__PDGFC	5.5151	4.7072	6.4241	5.306	4.2114	8.5446	4.2682	7.5679	8.1244	3.5487	4.7294	7.0604	5.2036	7.8858	6.7858	6.5847	5.6004	6.6393	7.1701	6.9926	4.1352	3.636	4.0802	7.2686	4.8705	9.2966	6.5591	5.3401	5.7983	4.7499	8.8223	6.3115	7.8914	4.062	5.1023	5.7918	4.4004	5.4727	4.4081	5.9931
U133A__DDHD2	5.7329	5.1869	5.7385	6.3218	7.5291	7.3764	7.6679	5.7755	7.0075	6.4243	6.4252	6.0938	5.7536	5.0022	4.2637	5.3877	4.7849	8.2977	5.5132	5.3983	4.8431	5.0398	9.4371	6.2164	4.9926	5.8959	7.1894	5.1896	5.0304	5.7845	5.3218	6.174	6.0806	6.4773	8.5294	5.6816	7.1608	6.7111	5.2343	8.0634
U133A__STEAP1	3.7161	3.9583	3.7114	4.1853	4.1123	3.7128	3.5633	4.1825	3.8446	3.9806	4.3958	7.2176	3.6303	4.5839	5.1658	7.2723	4.4257	6.4105	6.2642	5.633	4.0483	3.9447	3.9628	4.2744	5.8621	7.3482	3.7494	4.4603	3.6677	3.6879	8.1299	7.6142	8.5636	5.8578	7.2567	4.7198	4.0482	3.8274	4.5499	4.0184
U133A__GBE1	5.9443	6.4724	7.7376	6.6096	6.8172	8.3086	5.6093	6.3136	6.5675	5.634	6.3318	6.8546	5.9996	6.9661	6.1714	4.7537	6.2946	7.1265	6.681	8.3006	6.7359	6.2895	7.2379	6.9486	5.5154	7.9882	6.2151	4.4946	7.001	6.3652	7.6464	6.7836	8.4375	4.6733	5.4259	5.6225	8.2007	7.0307	4.9951	6.1135
U133A__CARD10	5.7778	6.6189	6.4732	6.0074	5.6113	7.1832	6.9806	5.8013	5.447	5.0291	6.8955	7.94	6.4404	6.6995	4.8749	5.3041	6.1251	5.6387	6.8007	8.2432	6.0254	5.8035	6.6709	6.9111	6.3909	6.3107	6.2227	6.8504	5.0682	5.6466	5.2563	6.1299	5.5845	8.1902	5.6863	5.8941	5.8825	5.1234	6.2024	6.1903
U133A__SFN	8.3014	9.5185	10.9821	9.0621	7.5768	6.4505	9.6873	10.6618	6.8789	6.2653	6.6852	11.3484	11.2318	11.2977	9.4655	9.037	10.976	8.2735	11.7302	9.2163	9.4032	9.7397	9.2569	6.3192	9.423	9.7196	8.9324	10.2687	10.4715	8.3034	6.7768	11.2935	9.8844	9.5483	8.7112	8.9884	8.2875	7.5367	8.7639	9.7287
