Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
U133A__PSAT1	5.5922	6.1399	8.26	8.0258	5.861	8.3365	5.8022	7.5477	7.3947	6.1203	8.0365	8.0175	9.2056	7.8975	7.689	7.0305	5.8761	6.9252	9.2504	7.682	6.5519	6.2562	5.9222	6.8654	6.9891	8.1257	6.2789	6.354	5.5266	6.6541	9.1564	8.6713	8.1064	10.4203	6.019	7.2478	5.7838	6.2581	5.9094	6.1356
U133A__P4HA1	5.7618	8.9855	6.1237	8.818	8.1603	9.0919	7.1902	6.5065	8.2364	6.6997	6.2185	7.4434	5.8957	7.3668	7.9664	6.2182	6.7204	7.365	7.7865	7.4218	6.5969	7.6202	7.498	7.5294	7.6432	7.5739	7.4626	7.2203	7.9305	9.3707	8.5351	7.5698	7.0624	8.8927	6.1585	6.9841	9.5099	10.0873	7.4844	8.6853
U133A__KRT14	4.4711	4.4747	4.6419	4.6816	4.2547	4.3247	4.5264	12.3349	4.6936	4.8159	5.3676	12.3163	10.5614	4.854	5.407	4.4493	9.9678	4.7483	10.3774	9.2974	4.8152	4.5092	4.4467	4.1072	4.4478	4.2376	4.4884	4.9099	4.823	4.8535	4.6689	4.8294	4.1673	4.4201	4.4949	4.6096	4.2088	4.7144	4.8643	4.3337
U133A__BTG3	7.0426	7.5953	6.0044	5.9703	5.3371	7.0791	4.2233	8.9466	7.8792	5.0099	8.5942	7.5041	7.8742	8.5126	5.082	7.4848	7.8793	8.5847	8.5934	6.7906	4.2185	4.5037	7.1768	8.6345	6.7812	7.9845	6.3049	6.2882	6.0178	6.2314	7.0501	8.9104	7.0772	6.0982	7.1067	3.7357	7.3764	6.5325	5.9266	7.4161
U133A__ZNF238	6.9296	3.6984	8.1969	7.2027	8.8738	7.2082	4.9441	6.3162	7.6741	3.3173	8.3037	5.0206	6.5104	5.7289	3.9919	7.2653	6.3071	4.5975	6.9448	5.6544	3.3741	3.5935	4.9768	7.0301	5.758	7.4201	6.4543	4.1213	4.6561	3.2385	4.123	5.4605	4.4145	7.3186	7.108	4.5444	8.6131	7.2481	3.4201	4.7902
U133A__BMI1	5.2627	6.2853	6.8977	5.6401	9.3719	6.6391	6.0857	5.3895	6.8203	7.5417	5.7456	5.0391	5.5369	5.7849	5.8791	6.4265	5.3789	5.998	6.2942	5.6207	6.3277	6.0755	7.9302	5.5347	5.2115	7.341	7.0147	5.6888	7.2058	5.6715	6.5148	6.4517	5.8622	7.106	5.8714	5.5429	7.4405	6.1095	4.6647	6.7911
U133A__PAPSS2	7.0707	5.8816	3.9695	5.3602	5.2108	6.6711	3.8394	4.8937	4.6984	3.9281	5.1435	5.5366	3.971	6.3733	5.5446	4.9065	3.897	5.6995	8.2559	6.008	6.3637	6.5578	3.9412	7.408	6.6677	8.8003	6.8324	5.2034	4.2712	5.4182	4.7146	5.0383	4.0733	11.0443	7.4545	6.4273	9.8404	8.3648	8.837	5.2131
U133A__STOML2	7.2213	8.4844	8.5185	9.9156	8.2398	9.103	9.0795	8.2134	8.6867	8.261	8.9344	8.3241	8.5246	8.7663	8.2916	11.5332	9.1862	8.097	9.4651	8.2944	8.4101	8.3866	8.7367	8.6208	7.9967	9.327	8.4125	8.6614	8.9936	8.3608	8.7891	8.6857	9.1326	8.089	8.0294	8.042	7.9046	8.4869	7.4566	8.9244
U133A__HSPA2	7.5745	5.3383	5.4859	4.8587	5.2922	5.7385	6.2135	7.2722	6.0608	4.9351	4.4227	6.2423	7.8916	5.2766	6.8258	5.7926	7.3109	8.2914	8.5554	5.5942	5.4509	5.593	7.4921	7.7696	9.0724	6.2914	4.4708	9.3607	4.9705	5.9957	7.5395	6.4053	5.2248	5.4669	6.9474	4.6155	5.8189	4.7869	9.5936	5.566
U133A__CBR1	4.6632	8.0566	7.6891	5.0839	5.9771	8.1128	6.1108	7.0953	6.9501	5.0824	7.8906	8.3527	6.8649	4.8263	5.8994	5.977	7.2162	6.746	7.0213	7.284	7.2775	6.5636	4.8918	7.3525	5.6315	6.639	4.8369	6.4233	4.6356	7.4491	8.3041	7.4609	7.6399	5.8024	6.1997	7.0802	7.7375	4.251	5.0283	4.3691
U133A__ATP1B1	9.9985	10.6555	8.987	9.0894	9.4873	7.953	10.5124	10.7765	9.4161	5.5723	7.0005	8.0635	9.8683	9.024	10.2811	8.4916	8.8909	8.4836	11.1555	5.7904	10.2571	8.5593	9.4818	4.4435	10.2751	9.3408	9.7824	9.7554	9.9854	9.7093	7.8881	8.672	7.3406	8.7469	8.8248	8.5279	8.5607	9.3935	10.553	8.2913
U133A__SLC39A8	5.1516	4.2055	6.7055	4.6934	5.3623	6.7829	4.5658	4.7239	4.8535	5.2895	6.9349	6.8201	7.4608	6.518	6.3975	6.201	7.026	6.0177	8.7032	5.9219	6.7641	7.3615	4.8517	5.4355	5.6375	7.3636	8.4679	4.9229	6.4025	4.5111	4.9586	7.9776	7.8383	6.9244	6.2055	6.6736	6.9142	6.4371	5.7098	7.2598
U133A__SLC6A8	6.9459	7.8981	6.0022	7.4036	5.6976	8.3725	5.8974	5.6049	7.2957	6.4491	7.5947	8.6334	5.8306	7.764	6.8817	7.1394	6.7583	6.8535	5.7344	6.6405	5.9897	6.7365	5.8509	6.4881	6.2545	6.0851	7.9234	6.7876	7.6796	9.4851	7.0348	8.6371	8.1285	9.511	6.3318	6.7968	6.2045	6.8256	6.2767	7.9459
U133A__G6PD	7.419	10.257	10.9347	7.6085	8.2352	8.511	8.3055	7.1968	6.9496	9.2814	8.0679	9.3686	7.6264	10.5808	9.6087	7.7827	8.1939	8.8272	8.4124	9.0366	10.2266	10.4884	8.2878	7.8584	9.4783	7.5137	10.8347	8.9439	11.0569	9.6004	7.0779	9.3761	8.2127	10.0446	8.6083	7.5745	8.9033	8.575	8.5037	9.736
U133A__CRISPLD2	5.923	7.4687	6.8837	7.2715	6.6231	8.8524	5.9012	6.0864	9.8636	6.5173	6.1973	6.2995	8.7598	6.864	7.2833	7.1847	6.9195	8.9948	7.1804	7.4314	5.9925	6.5184	5.8596	7.0327	6.0859	6.0414	7.68	6.3421	6.3528	6.2556	5.9922	6.2245	6.4427	7.297	6.1095	6.9753	6.1861	6.4316	6.1384	6.7485
U133A__KLK5	6.2188	4.9495	9.9284	4.9553	5.2319	4.9002	5.6246	8.9059	8.0659	5.3209	5.8171	8.4486	11.7904	10.1001	5.8285	5.9512	9.4897	8.0299	5.9757	5.5163	5.6573	5.3368	5.3217	5.0999	5.5158	4.976	5.187	5.3432	5.1043	5.3723	5.6538	5.5758	5.2208	5.4044	9.1243	5.3326	4.9775	5.4287	5.4639	5.0045
U133A__EEF1A2	8.4199	11.0325	10.6134	8.8277	10.4452	4.9698	10.4219	6.4697	4.4425	9.7461	5.8255	8.8877	8.1497	9.2164	10.1473	4.9156	5.5593	9.1134	5.8471	8.9212	10.5813	11.7994	9.6918	9.0784	9.8087	8.0866	10.3513	8.6957	10.0605	7.2008	5.2855	9.4882	6.2216	8.1734	6.2512	9.1884	8.4557	10.671	5.7969	11.6249
U133A__CASC3	8.0662	9.5254	7.1666	7.896	7.8331	7.3214	7.8822	7.4055	8.0717	6.9048	7.4362	7.247	7.6934	7.357	6.7513	7.24	7.5153	7.5471	7.7717	7.1902	7.2305	7.0158	7.7874	6.8132	7.0879	7.6189	6.8153	7.1054	6.3196	9.5638	7.2235	6.6186	7.6981	6.8808	7.7518	8.0652	10.4373	7.5613	6.8273	7.8892
U133A__TRIM16	6.1574	6.1974	9.2691	5.7526	6.4896	7.8195	6.6675	6.8223	7.0869	5.7686	6.3137	9.1814	8.2659	7.3056	7.7113	6.6343	7.8839	7.5431	5.7772	7.4161	6.4079	6.7198	6.2253	7.6578	5.7971	5.9195	7.4512	6.3	8.2898	7.0752	6.5095	7.3537	6.161	7.2962	6.0595	6.0184	6.2297	6.5469	6.0031	6.4635
U133A__PAAF1	6.4925	6.8776	6.9956	8.5266	7.4744	6.9061	5.8019	5.5987	6.799	6.4435	6.249	7.4576	6.6983	6.1051	6.5765	7.2198	7.226	7.1454	6.7515	6.9166	7.0072	7.4152	9.6753	6.8147	6.3476	6.2475	6.5071	6.2601	6.8968	6.0961	6.0779	7.5041	7.0036	6.2952	7.0041	7.5951	7.2575	6.633	6.9111	6.6272
U133A__LCP1	6.4332	6.6131	8.2296	6.2662	6.4693	5.9101	6.1359	6.1282	6.1918	6.9759	6.4522	8.2536	7.8778	6.2406	6.6489	6.4331	9.0611	7.1854	6.3068	6.5316	6.456	6.3403	6.4994	5.9818	6.8268	6.3551	6.8295	8.4467	6.369	7.2037	6.2423	6.9817	8.3904	6.1335	6.1136	6.2428	5.9047	6.7422	6.4982	6.5874
U133A__PIR	4.6997	6.0985	5.6555	5.1577	4.6415	5.9744	4.6417	4.5998	5.8591	5.8861	6.3592	6.5985	7.4658	4.0181	4.883	4.9194	7.3016	5.6805	6.7355	4.7965	5.0436	4.9141	4.1856	5.7721	4.0657	5.3994	7.2433	8.1638	5.4722	4.2441	6.8605	4.6306	6.0726	5.4548	7.6523	5.3672	5.9331	6.0265	7.4381	7.9715
U133A__TUBB6	4.8682	6.5678	8.0465	6.253	4.4901	9.8768	4.9213	8.3339	9.2657	7.3934	8.5949	8.9081	8.7762	7.6112	5.3791	6.6415	9.8152	9.8057	8.0943	9.7499	8.3425	7.4325	7.8191	10.4802	5.4732	9.0045	7.5802	5.0843	5.1846	6.5456	10.1106	9.4057	9.6441	5.1798	5.5564	7.8651	8.1612	6.4891	7.0332	9.5322
U133A__IFNGR1	6.2688	7.5228	6.5688	6.3571	5.4815	5.8801	5.2355	6.8528	8.334	4.6056	6.7327	8.5441	8.1554	6.8216	4.8815	8.3696	6.9811	7.6443	8.2171	6.8533	6.2653	5.2145	6.2502	7.4998	6.6431	6.5338	6.6722	6.1714	6.5028	6.212	6.5564	7.4746	7.0159	6.9089	6.8947	5.0929	7.0664	5.7274	6.1177	6.2415
U133A__AQP3	6.9417	9.9287	5.2828	3.8137	3.5973	3.5918	5.1623	6.214	4.2718	3.5187	3.6389	6.1709	9.5345	5.0948	8.4696	5.3084	9.2208	4.8822	3.9124	3.7876	9.5323	6.4128	3.3584	3.941	4.0983	4.1786	4.6432	4.8068	4.4401	7.8977	3.4774	3.844	3.6942	8.563	3.7812	3.6757	3.3325	7.4606	3.5421	3.5666
U133A__SPDEF	10.4241	9.495	6.094	10.1198	9.8359	5.8444	10.4996	6.2908	5.8013	9.2013	6.2848	5.3899	6.8656	7.0677	10.3649	9.5734	6.6571	5.9869	5.2999	6.5909	10.0367	8.9085	8.9427	5.5694	9.9494	6.027	10.078	9.6299	10.1262	9.8712	6.631	6.472	6.5064	10.0966	9.9188	9.3052	9.6714	10.8242	10.4874	10.1563
U133A__STEAP3	8.0543	8.4341	7.0147	6.9625	7.0864	7.3676	6.5586	6.8849	7.5276	7.445	7.753	7.6356	7.1557	7.53	6.9089	7.9038	8.1799	7.1387	8.774	8.4079	7.3242	7.1979	6.45	7.9782	6.7535	7.7131	7.0101	7.31	6.5345	7.9369	8.3281	8.0487	8.8255	6.5464	7.0222	6.8751	7.3441	7.2453	6.3288	7.7787
U133A__ARL4C	5.0372	5.4113	7.4864	6.7865	5.2082	8.6102	5.4432	8.2727	5.3763	5.1972	5.7854	6.2923	6.6579	6.6568	5.1034	7.1242	6.4012	8.4927	7.7619	8.1936	5.7452	4.8309	5.8689	8.3712	5.9178	7.2348	6.0425	4.1099	4.347	5.107	9.1009	6.2938	4.6692	5.4439	5.766	4.7769	6.1884	6.1871	4.5286	5.0522
U133A__ALDH2	9.3805	9.7677	5.4141	10.227	9.9024	6.8361	9.4075	5.5016	8.2046	6.0363	8.5911	8.8455	5.5621	4.9952	9.9548	5.4287	5.4604	8.6838	7.2193	5.5024	6.2979	6.6812	6.8677	7.5525	6.3535	7.9242	10.2982	8.6058	5.4285	10.0471	7.2277	7.8676	5.8958	5.3037	5.8761	7.3889	6.6914	9.1299	7.9267	7.0443
U133A__SLC39A6	7.7971	6.2623	5.3606	8.41	9.7579	7.1998	7.8475	7.3674	7.4381	7.3231	6.8048	6.6043	5.6466	7.0401	6.3356	6.5261	6.3182	7.2364	6.9683	6.666	7.9931	10.5732	8.0261	5.5622	7.2093	6.5394	8.0151	6.4029	6.5248	6.2838	6.153	7.6162	7.6329	7.1446	7.6467	7.1279	8.8267	9.2532	6.6951	11.5676
U133A__PPP1R3D	6.0376	6.2841	6.5806	5.8836	8.9569	5.5115	7.3522	5.3847	5.2179	8.4079	6.0031	6.2885	6.1268	6.9745	5.6122	6.7862	5.4457	5.3754	5.7838	5.1445	6.6139	6.9967	9.3097	5.3464	7.7236	5.2928	7.7316	6.1594	7.5285	6.4306	4.8825	6.1016	4.8641	8.1589	6.8287	5.7656	8.1055	7.205	5.45	6.5275
U133A__MXI1	7.7833	7.0097	6.626	7.3195	8.6692	7.3301	7.4381	7.8076	8.4684	7.3445	7.0584	8.1907	7.1562	5.9531	7.2023	6.805	6.9029	7.5514	9.087	6.6939	7.6389	7.3389	7.2612	6.8367	6.8689	7.1284	8.0918	6.9184	7.0976	6.4319	7.3327	7.402	6.8419	8.3324	6.9331	7.1939	9.4942	9.8356	8.1624	7.0224
U133A__DUSP1	6.4053	7.7114	7.1752	8.9782	7.1171	6.1533	7.4269	5.3717	5.2704	6.595	6.1984	6.4507	7.5507	5.8845	7.3064	7.3325	7.7346	6.8596	5.6034	7.7844	6.4474	7.2639	7.0795	6.6723	6.1124	8.7086	8.8691	5.7835	6.1885	9.4192	8.3556	6.6147	9.4805	9.4117	8.4658	7.5289	7.3543	7.386	6.7581	6.2795
U133A__ODC1	7.2658	9.8365	9.3139	8.4784	6.9821	9.6858	8.5726	8.7274	9.1805	7.4758	9.8632	10.1008	8.6725	9.8299	8.3002	11.1687	9.0012	8.1336	8.249	10.7288	10.2742	8.7641	8.0235	8.4529	6.0289	10.6684	8.4585	8.5167	8.8369	8.9235	9.6933	9.8585	11.6096	8.7049	10.6549	8.7207	7.7962	6.2178	7.3623	8.5418
U133A__CXCR7	3.4505	3.4369	3.5229	6.5177	8.9687	6.7031	3.6681	3.4011	3.3612	7.9158	3.7108	7.6545	3.5148	3.6332	3.6488	4.1429	3.4287	3.4867	3.3762	3.7256	7.157	7.6049	4.9871	5.3976	7.5315	3.3214	6.8548	3.5821	3.4802	3.4042	3.5035	3.4851	3.8524	8.5317	3.9559	3.1811	3.3253	3.6344	3.7854	3.5391
U133A__KIF14	6.6803	6.4582	6.7575	5.5932	5.6142	7.1136	4.9453	5.6646	8.1398	5.3265	6.9909	7.2605	6.414	5.3583	5.0707	5.431	6.481	6.2668	7.5613	5.9016	5.7401	6.9772	5.3392	6.6024	5.8901	7.6284	5.4955	6.6597	5.9754	6.0151	5.7495	5.9024	6.1868	4.6193	5.3477	5.6868	5.8779	6.7918	6.1667	7.0268
U133A__CTSL2	6.6891	6.6544	7.9888	6.1776	5.8575	7.9594	6.6191	10.2184	5.7305	6.0333	7.4727	7.4576	7.8409	7.0974	6.5739	6.0122	8.0945	7.7367	8.1816	5.7412	7.1939	6.6615	6.6808	8.3407	7.0612	5.8619	6.3803	7.5018	5.5789	6.5624	6.5317	6.8619	5.7468	7.4294	5.8074	7.2087	6.9109	6.678	6.5078	7.0021
U133A__CSRP2	4.6788	4.979	4.1554	5.0201	4.0119	7.7089	4.3732	5.1256	8.5335	4.1902	5.8713	8.9537	4.8602	4.5477	7.3587	5.8602	6.7445	6.1986	3.8214	6.0008	4.9673	4.4735	5.2102	6.9489	4.3389	7.2707	5.5783	4.5925	4.4372	4.4089	6.4662	6.4077	5.9498	4.0688	4.6758	4.0357	4.863	4.0661	4.3677	5.474
U133A__AZGP1	11.0784	9.5652	4.1337	4.3722	5.3773	3.828	4.9144	9.7205	4.6557	3.8861	7.4406	3.8669	7.7823	6.7995	11.0073	6.6826	8.834	3.7841	10.0723	4.0968	4.4819	3.7957	3.9856	3.0804	7.5474	4.0232	6.4078	9.4461	9.2802	5.7217	4.0741	3.8247	3.7598	4.1752	4.0009	5.3704	7.4854	8.8218	8.5906	4.9162
U133A__CLDN4	7.8095	7.8886	6.8892	7.4307	8.0102	4.3947	6.203	7.5458	8.2974	7.4553	7.4055	6.5293	7.7536	7.9433	8.4582	7.7545	7.8168	6.8585	7.604	4.6864	7.6706	6.9713	6.7166	4.3184	9.4105	4.2514	7.1352	7.4668	6.7302	8.1243	4.5668	6.7523	3.8645	9.26	6.2457	8.066	7.7975	7.5057	8.4006	6.617
U133A__FERMT2	6.0267	7.439	5.8723	5.3801	8.2001	9.8437	6.2531	6.9012	6.5681	6.2655	6.1023	4.3862	7.7149	6.2438	5.1273	8.7037	9.2104	9.7082	8.4669	8.7483	8.2909	7.0989	6.4247	8.4146	6.1627	9.5633	6.3958	5.8793	7.5523	7.6505	8.7006	8.3695	8.7763	7.4012	5.937	7.0412	7.3012	4.5512	5.8862	7.3271
U133A__GPRC5C	7.4235	6.1309	5.8727	6.7046	6.796	5.3902	6.9703	5.6507	5.5117	6.314	5.8513	5.5639	5.7202	5.8357	8.0014	6.4456	5.8599	6.2879	5.6807	6.194	6.4966	6.7739	7.9681	9.0957	7.5182	5.7214	8.3154	6.1173	7.1564	6.0889	5.7109	5.5935	5.16	6.7736	6.2738	7.4572	7.4876	7.2886	7.2206	6.3964
U133A__MBP	5.1637	4.6214	6.8298	4.9599	4.6325	4.7642	4.382	8.2963	4.0408	5.2755	5.3637	5.5559	5.0395	7.3797	4.2052	7.7157	6.2399	6.1055	8.4056	4.443	5.7006	5.2573	4.7936	4.2088	4.3579	7.526	6.2173	5.1686	5.3124	4.4824	5.3162	7.4457	4.8437	4.3446	6.1251	4.5642	4.795	5.4945	4.8257	6.3904
U133A__SHMT2	6.8623	6.8222	7.9185	7.071	7.0055	7.6469	6.4895	7.1328	7.2544	6.7988	6.8016	7.7717	6.9625	7.2352	7.8769	7.1546	6.8061	6.8646	7.8655	7.2257	6.7149	7.2691	6.8747	7.2939	6.993	8.2976	7.3437	7.2153	7.1317	7.177	6.9664	7.6724	8.1897	10.3165	8.1213	7.8199	7.3251	6.8354	6.8955	7.5223
U133A__CDKN2A	5.4592	5.6337	4.6481	4.6365	5.0078	9.7826	5.6669	5.4065	7.8926	5.4771	8.3981	4.2781	9.1976	5.8929	6.2697	4.8747	8.6854	4.4747	9.9184	4.8437	4.4975	4.5033	6.0073	9.0399	5.1148	4.0997	5.1969	6.6681	5.4652	5.6444	4.5362	4.7548	4.9797	5.2966	5.514	5.2599	4.5154	5.1321	5.0203	5.1595
U133A__FGFR1	6.1557	5.7798	5.7379	6.852	7.4678	7.5789	7.3779	6.7737	8.6157	6.1787	6.737	5.9285	6.0116	5.8635	6.4269	6.623	6.2015	9.3113	5.9031	7.4059	6.7359	6.0403	11.6578	8.0272	8.3604	7.1029	8.2599	6.0409	6.4628	6.1317	8.3245	5.7774	7.9791	6.489	7.2695	6.4819	7.8946	7.4521	6.1931	7.6142
U133A__WSB1	6.239	8.2551	6.1276	7.3675	7.0195	6.8786	5.492	5.8212	7.4104	5.3262	5.914	6.7034	5.8728	6.6474	6.7776	6.0542	6.0579	7.2149	6.6716	5.7828	5.4442	7.4005	6.4023	7.1279	6.0259	6.9566	6.9722	6.3978	6.2506	6.6178	5.9927	5.4897	5.5857	7.1261	5.8337	6.0556	8.813	6.2851	8.3075	6.3934
U133A__MAGEA6	4.1337	10.693	11.5841	4.2307	9.8056	4.0703	3.9456	4.2992	4.86	11.4676	3.9504	10.0407	4.0099	9.9063	8.6699	3.986	9.5413	4.4473	6.445	9.4312	4.0506	4.1283	4.1417	8.6643	4.1481	10.9078	3.9064	4.9708	4.038	10.2216	9.7426	3.9341	10.1877	8.205	4.2629	4.3884	3.8095	7.8366	4.2791	9.4051
U133A__ATP2C2	6.3307	6.2095	5.2594	6.78	6.1865	4.7505	6.4084	5.4049	4.9367	6.2669	4.6402	5.5946	6.105	5.0725	6.6704	6.7137	6.1365	4.8823	5.9041	4.6599	6.1516	5.6878	5.0964	4.7406	6.6441	4.5629	6.3763	7.4543	5.9877	6.6966	5.0115	5.5817	4.528	7.6748	6.0596	5.6751	6.1125	7.0079	6.089	5.4811
U133A__TRIM14	5.7111	7.293	5.9119	5.5532	6.9845	4.7954	6.0307	6.4656	4.7405	5.0382	6.2084	6.7988	8.4742	7.3205	5.9367	5.9769	8.6716	7.1586	7.3079	4.8671	6.6019	5.8925	6.5025	7.7062	6.2134	7.0665	5.7377	6.9022	6.2579	6.7685	5.6757	6.187	7.3255	7.821	6.7641	5.4603	6.2686	5.5596	5.9812	5.512
U133A__CEBPD	6.6929	8.6335	8.0005	6.0731	7.3742	9.5029	6.3522	8.0968	9.7249	7.1484	7.2111	7.8098	8.6922	7.3539	6.7642	6.9569	9.2087	8.8963	8.6788	6.0953	6.5099	7.0844	6.2396	8.7538	7.4876	5.9531	6.0972	6.213	6.2153	6.6089	8.2928	8.4856	8.7118	7.0693	5.3927	7.6899	7.834	7.6569	5.6782	6.9549
U133A__AKR1C2	5.4605	6.4464	9.0657	5.9221	5.7432	6.1651	5.4722	7.525	8.0987	5.4578	6.006	12.3755	8.7393	8.1344	5.8008	5.8194	8.3491	9.221	7.9785	9.3591	5.9496	6.9475	8.881	8.398	7.346	5.5549	6.8639	7.5265	6.1791	5.8097	6.0822	7.791	7.9192	9.6358	5.6004	5.3554	5.4338	5.3534	5.9593	5.4075
U133A__RHOB	10.4942	9.873	6.3164	11.0388	10.4831	6.7962	11.0472	6.5967	5.3472	11.2735	6.8223	5.304	6.3977	6.8571	10.6523	9.5881	6.7605	5.6554	4.5314	6.3916	9.3614	9.9117	11.0411	7.4355	10.1894	6.7163	10.5222	9.9235	10.7721	10.9564	5.3243	5.6316	8.7454	9.5754	9.765	9.1037	9.9938	10.6561	9.3275	10.3209
U133A__TNC	5.3228	4.6808	6.0589	5.0294	4.8493	6.8118	4.6548	5.8077	9.2972	4.909	6.0354	4.8131	5.0022	8.1084	6.7858	5.3092	6.2336	9.3754	8.5657	6.5111	5.0374	4.7272	7.5415	7.5353	5.0349	5.0495	6.0046	6.2086	9.5715	4.904	7.4837	8.1507	6.8616	5.1442	7.8556	4.9164	6.5265	5.2553	5.9237	4.8657
U133A__IMPA1	5.2363	5.5406	5.9502	6.2377	7.4474	7.8499	6.6765	6.7184	6.6645	7.2692	6.5049	7.2301	6.5723	6.7778	5.7266	6.2072	6.3296	9.1622	7.2514	8.1778	6.2839	5.8652	7.2879	7.6629	5.4641	9.0728	6.6845	5.8907	6.172	5.4364	7.0298	7.1631	7.3519	6.3428	7.1394	6.7237	7.0669	6.539	5.375	7.6335
U133A__CD24	9.747	9.5437	8.9504	8.7744	8.2393	3.5199	8.2221	9.2422	7.2274	6.6408	6.3939	6.8512	9.9667	9.5275	9.281	11.2971	10.3802	7.1	8.5836	3.7671	5.9387	8.2443	9.1643	4.448	8.7916	2.7171	9.446	9.4698	8.2285	9.1722	2.6672	7.1838	3.0234	10.3803	8.0689	7.9118	9.5413	9.566	8.6253	7.3369
U133A__PPID	5.7543	5.0949	7.5725	4.7081	6.3369	6.4077	6.4478	5.1869	5.9801	4.6728	6.5156	7.3894	7.1278	7.2762	4.8877	4.8359	4.6655	5.973	4.7282	5.6947	6.2058	5.1748	7.1153	5.4494	5.3947	6.7744	6.0593	5.3653	5.694	6.1165	5.3484	6.8163	7.1574	5.5997	5.023	4.7731	5.0992	5.197	5.1149	6.5643
U133A__PHF11	6.8572	6.8199	6.1504	6.1094	7.5155	4.6492	6.1965	6.3952	8.6781	5.6711	5.5715	5.9209	6.1798	6.3456	5.9198	6.8223	6.0406	6.8884	8.1456	5.5505	5.9869	6.4986	5.6302	5.53	6.6321	5.6441	6.368	7.2591	5.8747	5.8702	6.4841	6.3897	6.1046	4.2574	5.6881	5.8207	8.1203	6.3191	6.6798	6.1857
U133A__NBR1	8.5837	6.8223	7.6078	7.7641	8.4116	6.3274	7.4229	7.3541	7.0632	7.8062	7.2236	7.32	7.4418	5.8032	6.2526	7.2843	7.2111	8.5669	7.3033	7.4616	6.7581	6.9477	7.5243	7.4008	7.1891	8.0003	7.8273	7.3042	6.9636	6.1965	7.7861	7.0789	7.3247	6.9851	7.6207	7.9033	7.6139	8.6925	7.6123	7.1429
U133A__NXN	7.5201	5.0095	6.0575	5.7535	7.3153	8.3716	6.529	7.7664	8.4054	5.6117	8.0771	8.1691	6.7657	7.223	5.6674	5.3557	6.4697	7.3231	7.8487	7.2476	5.4589	6.0448	5.3731	9.1328	6.9807	7.7845	6.3448	5.8264	5.2453	5.2668	8.8314	7.8895	6.2312	5.8514	6.6533	7.0094	7.3149	5.6373	6.3206	5.9735
U133A__LAMC2	6.4531	6.0777	6.8751	5.6348	5.93	6.002	6.0625	8.5082	5.881	5.7732	6.2261	8.5525	7.7384	6.1018	7.1326	5.9453	8.8207	6.4814	7.7414	6.8578	6.3223	5.9447	5.8067	7.0817	6.0721	6.1309	6.0593	6.7055	5.7604	5.9867	6.0108	10.3401	6.2632	5.755	5.8722	5.8433	5.9923	5.9061	6.3937	5.7819
U133A__GLS	4.4195	5.7518	7.2918	4.0759	4.3543	6.6791	3.7784	7.3472	5.1229	5.2186	7.3126	7.012	5.7987	5.3433	3.5858	5.3827	5.5398	7.1731	7.3676	5.5516	5.2015	5.0259	4.7226	6.4009	4.2736	7.034	4.1183	4.9112	3.4156	4.8237	7.9906	6.7428	6.0561	4.4919	4.4406	4.5268	4.8293	4.3555	4.6226	4.9851
U133A__BAG3	8.2247	8.6391	7.6031	6.253	9.9605	8.3813	9.003	7.9982	7.4648	11.0007	7.1423	9.6167	8.4159	8.6065	7.9534	7.5275	8.5037	7.9374	8.6106	8.5739	9.9299	9.2509	8.7854	8.1334	8.0965	9.2955	9.1869	9.7985	8.0433	8.1213	9.3118	8.3239	8.7457	7.9336	8.2817	7.725	8.5901	8.0945	9.2026	8.6739
U133A__DENND2D	7.4958	7.4556	4.9648	5.7265	8.5326	4.6513	8.6196	5.5103	5.2798	7.1097	6.1298	6.2403	6.9926	5.5069	6.1241	4.5585	4.9996	6.5644	7.7754	5.2324	7.2123	6.653	7.6433	4.7386	6.6939	5.02	7.1371	7.3444	6.518	7.5157	5.1945	4.5415	4.1664	5.338	7.0955	6.6906	6.9624	6.7653	6.3274	6.5483
U133A__C5orf23	5.6841	6.3829	5.455	7.5346	6.271	6.5705	7.2092	8.7788	7.6183	5.4248	7.2325	5.4244	5.5515	5.5549	7.2706	8.2279	6.8555	7.2818	8.3511	7.1384	5.6597	5.5512	6.1622	6.0857	5.6845	5.6237	5.9768	5.8137	7.0568	7.5061	5.7325	5.2448	6.0217	5.878	5.4923	5.947	6.2081	6.4551	5.5455	5.6891
U133A__THBS1	5.5343	5.001	7.0833	2.6537	6.3221	9.244	5.7668	8.4849	4.4151	3.3894	3.7441	6.7656	3.75	7.6908	4.662	2.6702	7.1499	5.1664	3.2742	8.3906	4.5841	5.9715	6.4773	5.6089	6.0028	6.6098	3.9623	5.9902	7.2005	4.0472	2.661	9.1396	8.1503	4.1347	6.1984	6.842	4.6027	2.8948	5.3032	2.6965
