Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__FBP1	6.8861	5.4407	8.7593	9.0806	5.8518	8.9571	6.0355	5.675	5.3145	9.223	5.9597	5.9596	8.9816	6.1031	8.462	5.4783	5.7636	6.0568	6.0106	6.2966	9.2997	10.2366	9.9675	10.3739	5.6397	10.3698	8.9993	6.0119	6.1156	5.7261	7.3014	5.5824	7.2633	5.8976	9.8817	7.7395	7.7367	9.8135	9.0869	8.5342
U133A__BIN1	6.4237	8.362	6.4352	6.1854	8.6377	6.2759	7.0051	6.655	6.2781	7.1999	6.9047	7.8473	6.3914	7.5205	6.575	5.867	6.5609	8.452	6.4451	7.2778	6.4746	6.324	5.8916	6.2689	6.4772	6.4021	6.3341	9.1825	6.0966	6.3768	7.052	9.2603	7.9808	8.5909	6.3494	6.4031	6.3309	6.8244	6.3347	6.2291
U133A__SOD2	5.5088	6.9736	4.881	5.1914	7.7208	5.6061	6.9795	6.6548	7.6545	5.7471	8.3722	7.9873	6.5132	7.3532	5.281	5.9588	7.7653	6.3289	7.5586	6.3059	5.2549	6.0585	6.0706	5.3729	5.5954	5.823	6.3231	11.1784	5.1422	8.2402	6.0321	7.3062	8.7586	9.3681	4.9814	6.5449	5.6744	6.295	4.8445	6.1557
U133A__IFI35	5.4977	6.6211	5.9007	8.0682	6.7676	7.0366	7.7739	6.3878	6.7278	6.8486	7.4278	6.9672	8.0101	6.8443	7.6942	5.418	6.0747	7.3015	7.4774	7.0745	5.9294	6.2196	6.5578	5.4165	7.0996	6.7662	6.195	7.0669	5.2079	8.0044	5.7756	8.126	6.2137	6.6562	5.3685	5.7674	7.0133	6.0084	5.5399	5.1334
U133A__MAGEA6	4.1337	10.693	4.2307	9.8056	4.0703	3.9456	4.1086	4.2992	4.86	11.4676	3.9504	10.0407	4.0099	9.9063	8.6699	3.986	9.5413	4.4473	6.445	9.4312	4.0506	4.1283	4.1417	4.1481	10.9078	3.9064	4.9708	4.583	4.038	11.6368	10.2216	9.7426	3.9341	10.1877	8.205	4.2629	4.3884	3.8095	7.8366	9.4051
U133A__GSTM3	8.5295	9.9259	9.4319	6.9494	8.1387	11.2723	6.2032	7.3368	5.4105	9.6692	8.0063	8.8447	9.2218	7.8898	11.0805	6.2024	9.0328	10.1601	8.6205	6.615	8.9141	10.139	11.697	9.8598	8.5632	10.802	10.9899	8.3745	4.8628	7.7266	10.3404	9.0037	7.5544	5.2365	5.819	11.8676	11.191	6.6298	5.4191	4.9216
U133A__IMPA2	8.7531	7.3139	8.4529	5.4562	5.1665	6.023	6.4959	8.6778	7.5464	6.8012	7.8668	7.343	8.3973	7.1983	5.2781	6.5774	8.1387	7.6265	8.1532	4.5312	7.3864	6.8415	6.571	6.4168	6.1764	7.4842	5.5594	7.151	6.2553	9.2256	6.4363	8.9052	7.2363	6.417	5.4249	6.665	6.5036	7.2796	7.0634	7.835
U133A__PODXL	5.8122	5.7718	7.415	6.6408	5.2774	6.7693	6.4555	7.8292	8.6333	5.6383	5.5409	7.5824	8.1435	5.8862	5.8571	6.0954	7.4922	5.36	8.3307	6.3805	6.9023	8.2421	7.1327	6.6091	7.0962	6.9862	5.6992	7.6973	5.7078	7.339	5.6023	5.7194	7.4992	6.0624	6.5541	5.9662	5.7361	6.265	5.4449	6.6903
U133A__SAT1	9.5853	8.0759	9.1251	4.8567	7.4459	5.1148	5.1757	8.6751	5.2767	4.1607	8.512	7.7973	7.4163	9.0179	5.2599	9.2676	9.41	9.7312	9.8956	5.5377	6.141	6.2898	6.7268	8.9828	6.7656	9.3357	8.0214	8.1964	5.8813	9.7495	7.0026	6.7805	8.3872	4.3567	6.5517	9.7596	6.8822	8.9195	7.141	5.1998
U133A__CX3CL1	5.1792	7.6425	7.1501	5.3846	4.4939	4.8967	4.5963	6.9372	6.8788	6.223	5.5573	4.6235	5.6115	5.7214	6.2905	8.0736	5.568	6.0087	8.0273	4.9628	5.0352	4.9562	5.2278	7.4116	4.7459	4.917	5.7636	4.8201	4.6433	7.122	6.4664	4.8297	4.8225	5.1102	4.8107	4.9193	4.7497	4.6462	4.864	4.668
U133A__H2BFS	7.6939	8.14	9.0151	9.4825	7.5511	10.0856	7.8887	7.4697	7.0381	9.6266	8.3781	8.1802	10.1758	8.4017	10.2471	11.3662	8.0953	10.2003	8.323	7.2868	9.2405	9.6227	8.6025	8.9019	7.7851	10.0234	10.8112	7.9547	9.3547	9.0923	8.8394	9.4932	8.0654	6.9914	9.1738	8.557	9.8876	7.6589	8.7904	7.7033
