Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__IGFBP4	11.0146	5.2361	9.7198	9.3935	7.2318	8.0076	7.5107	7.3593	7.5275	9.1421	8.2795	8.0721	7.2479	6.0637	6.2098	6.3741	6.0228	8.3002	8.3906	8.9442	7.3456	9.23	9.7558	7.1647	10.3468	9.1055	9.0012	6.9578	5.6107	7.1508	6.7255	5.6586	7.7099	9.881	6.4871	5.5116	9.5902	10.2401	6.4333	8.2681
U133A__KRT81	11.938	11.7362	5.7523	6.3613	6.2318	6.3563	6.465	9.5941	5.9887	6.4382	11.5769	5.8215	9.4778	12.3672	6.2151	9.0579	12.2114	8.9762	6.0823	6.4617	12.3512	6.732	5.9285	12.6895	6.72	7.5076	11.152	5.9612	5.9101	9.7605	10.4556	5.9877	12.3689	6.5077	6.5763	12.8064	5.8807	6.8635	6.1844	6.9041
U133A__C2orf54	7.7605	8.4685	6.8355	6.3039	5.7915	6.2505	5.9893	6.405	6.0855	6.3454	6.0255	5.9557	6.8201	6.0669	7.3183	7.6327	6.4253	6.0383	5.8493	5.9139	6.2292	6.1448	6.1992	7.4306	6.0411	7.0844	6.0172	6.344	7.549	7.2735	8.1948	6.0615	6.1171	6.017	6.361	7.5534	5.9837	8.6595	8.4196	6.0049
U133A__DDIT4	7.5309	9.4689	9.5108	6.8696	10.5424	8.9504	7.8828	7.5289	10.2985	7	9.2058	8.7386	8.6661	6.8977	10.1339	6.091	10.2213	7.4198	8.3905	6.1963	7.3089	8.6375	7.2565	8.6169	6.395	8.1399	8.6558	9.8945	9.5738	8.7161	9.6591	9.6427	10.4824	8.3328	9.356	9.6722	6.2074	10.9391	9.3186	8.7454
U133A__CRABP2	7.7927	6.2883	7.1272	11.2478	7.1984	9.2384	7.2001	10.2575	11.042	10.4868	7.9145	5.679	11.2348	9.6855	11.4223	10.9394	9.1947	9.329	11.2675	6.4565	10.9021	10.0104	10.3883	10.5335	6.5894	7.7354	10.3027	6.352	10.8015	10.3695	9.5601	7.2299	6.7276	6.367	9.2587	9.1007	10.4822	11.9965	9.367	8.6028
U133A__RARRES3	6.2411	9.4968	5.5572	6.055	5.0381	5.4944	6.3901	5.277	9.0935	6.0281	5.4879	6.1373	9.54	7.6356	9.1496	7.8721	5.3288	7.4354	9.2101	6.0114	5.3198	5.0877	8.4487	6.2465	5.42	5.3185	8.767	5.0975	4.7062	10.6594	6.5872	5.4085	5.0522	5.5527	5.5433	7.481	6.2309	9.4509	5.626	4.9116
U133A__CDCP1	7.0742	7.2215	7.3078	7.3245	5.7458	7.0456	7.1212	7.5834	6.5563	6.1087	5.8003	8.3644	7.5225	8.6177	6.9089	7.6904	8.2325	6.9611	7.7991	6.2206	5.8522	5.5089	7.7861	6.8073	6.5621	7.4171	6.5984	9.604	7.661	7.8789	5.7184	9.4111	8.3319	8.8519	5.8008	7.2886	6.9554	7.7043	7.4395	7.2068
U133A__ACSL3	7.1919	6.6538	7.0956	7.0192	5.1187	6.245	7.3775	6.0106	6.1809	5.5562	5.0836	5.5273	4.8164	4.4287	4.2377	5.6088	4.1027	6.7675	6.823	4.2666	7.1963	5.5137	6.6526	7.214	5.9762	6.5155	6.1214	6.639	5.7947	4.9361	6.5763	5.0383	4.6216	6.1252	6.7986	8.8893	4.3885	6.9935	6.6779	6.744
U133A__CBR1	4.6632	8.0566	5.0839	5.9771	8.1128	6.1108	7.0313	7.0953	6.9501	5.0824	7.8906	8.3527	6.8649	4.8263	5.8994	5.977	7.2162	6.746	7.0213	7.284	7.2775	6.5636	4.8918	5.6315	6.639	4.8369	6.4233	7.0842	4.6356	7.2654	7.4491	8.3041	7.4609	7.6399	5.8024	6.1997	7.0802	7.7375	4.251	4.3691
U133A__CRISPLD2	5.923	7.4687	7.2715	6.6231	8.8524	5.9012	6.3128	6.0864	9.8636	6.5173	6.1973	6.2995	8.7598	6.864	7.2833	7.1847	6.9195	8.9948	7.1804	7.4314	5.9925	6.5184	5.8596	6.0859	6.0414	7.68	6.3421	6.0298	6.3528	7.8965	6.2556	5.9922	6.2245	6.4427	7.297	6.1095	6.9753	6.1861	6.4316	6.7485
U133A__AKR1C3	4.5755	3.9471	3.4576	3.4923	3.5327	3.5596	4.8023	5.9661	4.4479	3.8913	4.2299	11.0316	6.9613	6.4956	4.1821	3.6174	8.1922	8.1221	9.9288	7.8707	3.9479	4.7752	5.2109	5.1772	4.3366	5.6304	9.5174	4.2349	3.4918	3.5481	3.5267	3.8637	5.972	7.2755	9.2411	4.8461	3.8538	3.7663	3.6274	3.8302
U133A__SLCO4A1	6.2348	6.7352	7.1578	6.3902	6.9714	6.7224	7.3719	6.1678	5.5299	6.5915	6.887	9.0157	7.0585	7.1801	5.9475	6.7742	6.3876	6.0588	7.1977	6.8532	8.0642	8.0368	5.9788	6.4478	5.9196	6.7694	6.3666	7.5834	6.8818	7.1583	6.8639	5.9723	8.4308	8.3952	5.9474	6.4851	6.1254	8.3285	6.5888	7.2784
U133A__ASAH1	6.782	7.6309	6.3725	8.8965	6.263	7.5971	4.7702	6.3153	6.9968	5.0105	5.7667	4.9323	6.2513	6.0697	5.0817	8.3842	5.5519	5.7256	5.6042	5.8445	5.7707	5.2513	5.7445	8.181	5.5178	6.9474	6.1367	6.8027	6.0655	7.0752	7.0733	5.3256	5.8795	4.5582	8.1595	6.4194	6.6742	7.7847	7.9367	7.1685
U133A__MEGF9	6.1887	5.2454	7.1921	7.8359	5.352	6.5592	4.9552	5.4416	7.4246	8.1128	5.4149	5.8697	5.8965	5.6407	5.6619	5.7681	5.6285	6.0475	6.4887	5.5942	7.7911	6.5321	7.1962	7.0854	5.5495	9.258	7.1866	5.7579	6.6597	5.1058	5.7238	5.1876	5.0277	5.331	6.8868	6.8659	6.6887	6.5666	6.1345	6.9286
U133A__CCNE1	6.8741	7.656	6.0468	6.445	6.8969	7.2893	6.4485	7.2019	7.4141	6.8348	10.73	9.2363	7.2786	7.4831	6.9354	6.9815	7.6167	6.8902	7.2455	6.758	7.6532	6.6415	6.293	7.247	6.0525	6.3022	6.87	6.7345	6.3794	7.7478	7.0469	6.7699	7.6627	7.2453	5.2141	6.1398	6.3324	6.5824	6.3656	7.2583
U133A__RCAN1	9.5061	7.1303	5.82	5.6035	7.7765	5.7191	5.643	7.9377	6.1191	5.2347	8.8541	4.8444	6.9518	5.967	5.1898	6.6797	7.3532	6.7074	8.7816	5.7036	5.7352	4.0112	4.6964	8.3341	6.0613	5.947	7.4427	5.8783	5.2858	9.6711	6.2714	7.7167	5.6586	6.4412	5.1797	7.3375	7.707	9.0319	6.8817	5.7304
U133A__IRX5	7.7399	6.5809	7.7145	8.7913	6.7582	9.7052	5.397	6.7088	8.4982	9.2355	7.8438	5.0398	8.2703	6.928	8.3002	6.9459	7.2265	6.0328	7.8287	5.68	6.4979	7.5153	9.0702	8.0494	5.6562	8.26	7.8134	5.4866	9.0329	8.114	6.3151	7.6172	6.2181	4.7753	8.3988	7.2192	7.8621	7.0565	8.7904	8.8174
U133A__PRELP	6.8291	6.5662	6.843	6.7042	6.6083	6.628	6.7539	9.6306	6.5614	6.599	6.5589	6.3956	6.1534	6.5104	6.7348	6.7419	6.8514	6.4367	6.4912	6.8243	7.2114	6.7206	6.5358	6.6174	6.3867	6.8615	6.2698	6.3719	6.7329	6.4245	6.5423	6.7477	6.5663	6.764	6.3013	6.6793	6.6153	6.4132	6.6346	6.4253
U133A__DPYSL2	6.5499	4.3957	5.6905	6.9064	9.755	6.403	6.8983	8.6685	6.876	6.4028	8.1874	7.4548	6.1458	4.9671	4.0143	5.8342	7.3601	7.5697	6.8732	9.3498	4.9229	6.4398	8.4362	6.9726	7.9353	6.4448	4.2048	7.8259	6.5866	8.8263	3.6449	9.0406	8.4346	8.7608	6.6997	7.204	5.519	7.3291	4.2719	7.339
U133A__HLA-G	8.6143	7.7347	8.5798	9.5409	8.7046	9.0598	9.9711	9.5749	11.289	9.1028	10.2618	9.77	10.21	9.8283	9.3209	7.4684	9.2845	10.1384	11.4304	8.9859	7.7501	8.5791	9.3896	8.8795	8.9788	9.256	9.8145	9.1388	8.2706	11.4248	8.0526	9.6119	9.275	9.4308	9.6748	8.9972	9.6493	9.7121	8.3077	7.5665
U133A__CPT1A	10.5883	8.887	9.5016	8.6701	8.4327	9.4235	7.5893	7.6056	6.2671	7.5383	8.2799	8.953	7.8024	7.5517	8.5724	9.0395	7.646	7.5211	7.2006	7.6178	10.0183	8.1697	9.418	10.2031	7.2216	9.6018	11.1624	8.1498	6.6204	7.8354	9.3272	7.9409	8.4929	6.4225	7.706	9.8477	8.9331	8.9083	8.9262	9.9244
U133A__HLA-A	8.0974	8.8736	8.5163	10.7117	9.7239	9.7457	11.3892	9.4951	12.2717	9.7102	11.5521	11.2404	11.8036	10.7823	10.1571	7.1064	9.4021	11.8918	12.5168	9.9359	8.3049	9.564	10.5659	9.1662	10.1682	10.4276	11.0959	10.2081	9.1221	12.5362	7.8025	10.0395	10.3257	10.9361	11.3302	9.1377	9.4396	11.037	8.5489	8.5052
U133A__NBL1	5.9735	5.5208	6.5773	8.0088	6.4156	7.816	6.7587	6.1978	6.1135	8.2531	6.5199	7.0638	7.4328	5.614	6.2299	6.0307	6.2699	6.1127	8.421	6.6186	5.6648	5.5864	8.6762	5.4859	6.2246	6.6967	8.0563	6.2912	7.9575	5.8276	5.6058	5.9892	8.1472	6.4818	5.802	5.6896	6.7591	5.391	5.5293	6.3593
U133A__GSTM1	10.6942	7.4512	6.8005	6.7114	6.3317	8.4332	6.0868	6.293	6.6235	6.6232	6.6501	6.9337	6.508	6.082	7.5419	6.2574	6.4025	7.346	7.1952	7.965	6.6059	6.5949	10.791	6.4724	6.8404	6.4642	10.6691	6.4809	6.9149	6.0779	7.0285	6.7804	6.5098	6.5735	6.0815	7.4674	7.353	5.9339	6.3352	6.356
U133A__GATA2	5.8131	6.4959	7.0628	5.9166	5.8371	6.0767	6.2741	5.5235	5.1149	6.8274	6.0557	6.199	6.531	5.905	7.2357	7.617	5.5053	6.3955	5.9139	7.2402	6.6668	6.4408	8.5363	6.7948	6.4999	6.0874	5.9896	5.4497	7.0691	5.5843	7.9656	6.0365	5.4024	6.4666	9.1988	6.9075	6.2461	6.4558	5.9673	6.3448
U133A__SLC2A10	8.4741	7.3822	8.9337	8.6382	4.1894	8.3078	6.0184	6.2444	3.2902	4.9809	6.8955	4.0514	4.8122	3.63	3.8058	9.3639	3.6682	6.9324	6.8581	3.9723	5.009	5.5946	4.8866	8.9731	3.8427	9.2903	9.274	4.9798	7.8178	4.9547	5.031	6.0298	4.0902	3.4864	10.4275	8.7642	4.3359	9.0343	9.2699	8.1564
U133A__SHB	6.1653	6.8733	6.1711	6.3303	7.2606	6.1796	5.8797	6.4954	6.4016	6.8149	6.1061	7.1242	6.5164	7.1248	6.8155	9.4468	6.3557	7.5118	8.0176	6.6858	6.4005	6.5346	6.4142	6.5025	6.6582	6.3874	6.546	7.0777	7.5095	8.0614	6.2702	5.2957	5.9911	6.1421	7.0421	6.027	6.3154	6.456	5.9912	5.9384
U133A__EPAS1	7.5586	9.4435	6.5628	6.6454	7.1099	6.6122	7.581	6.878	5.9279	7.9068	9.1876	9.0687	8.1309	8.2067	8.4481	11.134	8.0527	8.9875	8.7955	7.4187	9.242	7.7912	8.5965	9.4821	6.3178	8.0953	7.8271	9.2692	7.9185	8.6953	9.5402	6.3055	8.8077	8.0257	8.9549	10.3129	7.6909	9.5309	7.7552	6.3461
U133A__TPM2	2.9737	3.2967	2.7023	3.0083	9.2246	3.0307	8.8236	6.6508	2.7736	3.2918	9.0163	7.0455	3.3028	3.2698	3.2636	3.8763	6.7663	7.9299	8.1468	9.5375	3.3478	3.2518	3.2009	3.1689	3.4678	2.8649	3.6268	5.1117	3.157	6.4564	3.4752	8.5825	7.37	8.2812	2.8239	5.6483	3.0476	3.3862	3.4566	2.9659
U133A__SDC2	7.6839	4.4758	5.471	5.8173	4.5404	5.3484	4.9752	10.2929	6.6377	9.2915	8.7747	4.4879	4.6024	4.7327	7.4159	9.7014	7.0364	7.5149	4.7632	8.8181	4.7019	6.728	7.8196	5.4896	7.431	4.4419	4.9399	6.4263	5.0457	4.3422	4.8889	6.2214	4.7253	5.4138	6.0161	4.9022	6.7886	5.683	4.8569	6.2833
U133A__CNN3	6.5662	5.928	6.2459	5.2624	7.9772	7.5358	5.2634	7.333	7.2978	5.852	8.5066	5.2216	8.3566	7.6308	7.8934	5.711	7.0815	8.6543	9.1609	8.1059	3.6902	3.6053	8.2442	6.0036	9.026	7.1398	7.5905	6.7258	8.7984	8.6832	6.3226	7.2367	6.9493	5.7464	5.5974	7.5337	7.6915	8.1608	6.8602	3.467
U133A__ISG15	6.2029	6.9837	5.5449	10.2551	7.848	6.5951	9.5835	8.99	11.005	7.8349	9.826	8.9883	10.2185	9.9476	12.0484	6.4512	6.7595	8.9387	11.0436	7.8412	7.1602	10.1019	6.9091	6.9745	9.7251	7.1162	7.5725	8.273	8.311	11.7544	5.8968	8.9234	8.5587	7.5265	6.4722	6.2122	6.5785	6.7421	5.7411	6.0034
U133A__PSAT1	5.5922	6.1399	8.0258	5.861	8.3365	5.8022	7.4809	7.5477	7.3947	6.1203	8.0365	8.0175	9.2056	7.8975	7.689	7.0305	5.8761	6.9252	9.2504	7.682	6.5519	6.2562	5.9222	6.9891	8.1257	6.2789	6.354	7.9922	5.5266	8.5007	6.6541	9.1564	8.6713	8.1064	10.4203	6.019	7.2478	5.7838	6.2581	6.1356
U133A__LMO4	7.4737	7.1325	8.5532	7.9792	9.7098	5.7002	6.5274	8.2677	7.6793	8.0974	7.6477	7.0389	7.4546	6.855	9.4747	7.7206	8.0476	7.8791	8.7906	7.5205	6.2739	5.9112	7.0129	7.9445	7.5364	7.9322	9.2733	7.4324	7.7056	9.2118	6.1979	8.918	6.745	6.2862	9.1307	7.5695	8.3962	6.7757	4.2304	6.628
U133A__SQSTM1	6.1244	6.8461	5.8091	5.7716	7.0833	6.0892	6.403	5.9361	5.7784	5.8264	7.07	6.1	6.0029	6.0765	6.2666	5.8535	6.5977	6.8556	5.5987	7.8553	6.1988	6.3496	5.823	5.9877	6.2835	6.465	5.698	8.8205	6.1735	5.9994	6.2993	8.7397	5.8603	6.6855	6.3011	6.4299	6.2441	5.9149	5.7718	5.8185
U133A__CDH1	9.4054	3.1026	10.1506	10.8025	2.7451	7.2616	3.7836	8.8869	7.6506	10.3047	8.1115	8.7079	9.9294	9.3213	10.668	2.9912	9.3955	7.3494	9.9431	3.1604	9.7553	10.3314	4.8896	10.1819	3.7691	10.7292	10.1856	2.9604	5.9099	7.8365	3.9307	3.1058	9.2079	3.5212	10.1757	9.7177	9.7436	10.2468	10.6202	10.3636
U133A__BST2	8.7431	6.628	4.2637	9.7762	5.2164	8.5034	6.4804	5.4118	9.5469	8.8584	9.1133	6.7513	10.0594	8.3263	8.7328	4.4392	6.9466	4.8507	10.1508	5.5764	6.1967	6.2168	8.0857	9.7058	5.0736	4.849	8.3117	4.517	8.8676	9.776	5.8416	4.9275	8.3869	7.5466	9.1934	7.9052	8.5472	4.5861	8.4818	8.7943
U133A__C14orf147	7.7955	8.3373	8.171	8.4945	6.8873	8.2934	6.8596	6.7264	6.9095	8.3919	6.5508	5.5822	7.4452	6.6456	6.933	8.6093	8.602	9.9961	7.2904	5.9391	7.7385	7.521	7.7687	7.8353	7.4272	8.6416	8.0875	8.2812	8.3295	6.658	7.9421	6.3528	6.4246	6.1853	7.4063	8.3688	6.4358	9.3596	8.4628	7.7993
U133A__CLDN3	7.7269	8.5775	7.7776	9.2494	4.7725	8.7299	4.6935	8.1731	6.2573	8.0305	4.4347	5.0398	6.8845	4.4998	10.8392	3.9735	3.9722	6.2876	7.4706	4.6249	8.2015	10.1075	7.6582	5.683	4.4656	7.8263	8.3076	4.5995	7.829	6.7591	7.6463	5.0252	5.2019	3.7519	9.1572	6.5411	9.7858	10.169	5.8151	7.4535
U133A__ASNS	5.7555	6.9915	8.6184	7.1894	8.7816	8.0217	6.8922	7.2217	8.7944	7.2405	7.4364	8.23	7.3351	6.7055	8.3372	7.0562	7.619	7.5599	9.0102	8.0987	7.5216	7.197	7.7174	6.7424	9.2835	6.6397	8.0286	8.1835	6.3197	8.8295	7.3892	8.7993	8.3637	7.3568	10.555	11.7898	6.9057	7.4767	6.5745	7.3136
U133A__TPD52L1	7.5691	7.9725	7.606	7.9326	4.9533	6.9205	4.5253	7.7398	7.015	9.1963	6.7747	6.7627	9.2769	7.7655	6.3176	7.331	7.9275	6.0534	8.7119	4.9874	8.7672	9.101	8.1636	7.2668	4.8542	8.9955	10.0234	4.7072	6.5342	8.8565	8.4437	4.5276	7.166	5.6365	8.1106	9.7928	8.0223	8.0755	7.4465	7.8597
U133A__SGK1	4.5039	4.9334	4.7827	5.0255	8.6493	4.9394	7.5162	7.9635	4.3632	4.5738	6.4205	8.1867	7.2171	5.7353	4.9836	4.2787	5.4377	7.4515	6.0284	7.7563	5.059	5.5643	4.8025	4.6129	7.0334	6.3626	4.4837	9.4257	4.4109	8.2431	4.9636	8.6062	6.7889	7.1807	4.5583	6.1684	4.7328	5.5696	4.6854	4.8292
U133A__GNE	5.3352	5.3076	5.2581	5.499	6.5008	5.4021	6.5984	5.967	4.4695	4.7172	5.5494	5.0627	6.9256	5.3405	4.9399	8.1098	5.192	6.4608	8.5545	5.9888	4.7223	4.7803	5.7832	6.9789	6.4229	6.856	6.3987	6.8128	5.8493	9.6742	4.9721	5.7542	5.3722	5.1636	3.8687	5.399	4.9661	6.9006	6.238	5.4946
U133A__FGFR1	6.1557	5.7798	6.852	7.4678	7.5789	7.3779	7.6334	6.7737	8.6157	6.1787	6.737	5.9285	6.0116	5.8635	6.4269	6.623	6.2015	9.3113	5.9031	7.4059	6.7359	6.0403	11.6578	8.3604	7.1029	8.2599	6.0409	7.0237	6.4628	6.5633	6.1317	8.3245	5.7774	7.9791	6.489	7.2695	6.4819	7.8946	7.4521	7.6142
U133A__PCK2	6.284	6.7214	7.826	7.0049	6.9382	7.006	7.0844	6.6359	6.756	6.5554	5.8093	6.4794	7.416	6.5607	9.1067	6.4475	6.7694	6.1271	8.2428	6.1926	7.1246	7.2563	7.2173	7.2309	6.7161	7.0416	6.961	6.5039	7.5692	7.22	6.43	7.0357	6.5541	5.9544	9.2728	8.2243	6.6431	6.8268	6.8368	7.7107
U133A__PDCD4	6.1441	4.7881	6.8825	8.2694	4.4945	8.2124	4.4722	5.7415	6.9783	9.3378	4.8222	5.4742	6.1414	3.284	6.6053	6.8198	4.9423	4.4933	7.5575	3.7218	4.8931	6.3885	6.384	5.9022	7.4032	7.8862	9.6151	4.4749	7.2734	5.4488	3.8107	5.177	4.0607	4.2696	6.9303	6.487	7.7569	8.1883	9.0148	8.2637
U133A__HES1	7.2466	7.8362	7.9131	6.4896	5.1651	6.9367	6.6125	7.8518	7.9219	7.5594	6.5368	6.5024	7.6893	6.658	8.8103	9.585	7.7168	6.5411	6.9986	6.0367	6.746	7.2969	6.5532	7.2673	5.6609	7.8519	6.9642	5.9911	6.1492	6.8117	7.3558	5.9077	7.0221	4.6059	7.9363	7.3246	7.1297	6.625	7.1431	5.8228
U133A__UBL3	8.7963	7.6775	6.922	7.6336	7.3076	8.7664	5.7383	6.5634	6.2866	9.5318	5.493	6.6881	6.6114	5.7834	5.8757	7.9422	6.3881	6.4779	6.177	6.1569	7.5274	7.2907	6.2037	6.3585	6.6733	8.7684	7.6624	6.5733	8.2815	6.1326	7.7059	7.3602	6.0226	6.3717	7.0935	8.8315	7.2158	7.517	8.1667	10.0176
U133A__FTL	9.9572	7.7744	10.0591	9.0597	10.2013	8.6878	11.5796	10.819	10.2002	9.6632	9.4582	11.7469	11.211	10.81	10.1587	10.6899	9.2376	9.8686	11.1678	11.7066	8.6347	9.802	9.7402	9.1036	11.4905	9.5794	9.595	11.9073	8.687	8.1879	7.3449	12.0038	10.5268	11.4457	11.6906	10.7519	8.3996	9.5434	9.0406	8.4759
U133A__HIST2H2BE	5.2169	6.1555	5.9939	9.4664	4.7581	6.4892	5.8138	7.028	5.845	9.4831	6.6393	5.1986	7.3397	5.9223	8.8657	8.9328	6.3304	8.0707	6.4151	4.9797	7.2026	8.2043	7.1567	6.2671	5.0337	9.2133	6.6612	5.5972	6.7257	5.5572	5.8532	5.39	5.6544	5.0466	7.1041	5.9142	6.7795	5.2721	5.3079	6.1542
U133A__BNIP3	7.6212	7.8948	9.2703	9.5636	9.4819	7.7395	7.0844	5.595	7.838	8.4411	7.3292	7.4467	5.1835	7.0648	6.7499	4.7334	6.4132	7.9987	5.153	7.1221	7.702	8.0036	8.58	6.7418	8.1999	8.8301	5.3629	9.8497	9.1338	7.0312	7.5778	7.4537	7.48	7.7954	6.9843	7.6257	6.803	10.5984	10.5509	8.3751
U133A__LANCL2	5.8528	7.2945	7.2875	5.9263	6.1474	5.8428	5.6897	5.9234	6.8344	6.5591	6.0216	6.7342	6.6088	7.4901	6.0928	5.8528	6.8358	5.9462	6.1305	6.9561	6.2898	6.5257	5.9869	5.8817	6.8068	6.3016	5.6848	6.587	5.8898	10.8321	6.6128	6.6065	6.6469	6.5225	6.0019	5.4766	6.1616	5.6897	5.7803	6.2757
U133A__CITED2	6.5982	7.7415	6.6171	6.2217	8.6066	6.6819	6.4765	8.129	5.4857	5.8681	6.4711	5.6471	7.2761	5.0942	5.6045	9.6672	5.0741	7.2485	5.5668	7.7101	6.7048	7.0532	7.0748	7.4172	7.5293	6.8764	6.7352	6.9985	7.2716	7.6076	8.0474	7.6179	4.1856	7.6259	7.8132	8.3585	6.9528	9.1731	8.0739	6.485
U133A__COL4A2	6.4635	5.4771	4.9197	4.4398	9.5328	4.7309	7.1	6.7139	4.8079	4.9894	7.5194	8.2333	5.6191	5.1904	5.6325	5.0157	9.3085	8.3007	4.2182	8.3461	4.7889	4.7039	4.7941	5.177	5.9915	4.8098	5.2981	5.5286	4.7465	6.0811	5.4106	6.024	9.0196	4.8637	4.61	4.8703	4.9757	4.6655	5.105	4.6821
U133A__PLA2G16	7.1982	8.495	8.0667	6.7911	5.2454	6.3602	7.3149	6.5026	6.8197	7.8318	5.449	8.3152	7.9048	6.0987	8.1864	8.3904	5.2744	7.1345	7.8377	6.4017	6.4259	7.1985	9.0873	7.7284	8.576	5.7546	9.345	8.6641	5.7119	9.586	8.4557	5.8096	8.2032	7.7789	6.2083	9.2644	9.5939	8.748	5.3636	5.4294
U133A__KMO	5.7671	7.6837	6.0018	5.9323	5.4186	4.9161	4.4047	5.6305	4.6965	5.4732	5.4523	4.9175	5.0193	5.6756	6.8911	7.1436	7.2444	5.8379	4.714	5.3228	4.7488	4.7064	4.5188	7.3547	4.6571	7.0098	5.6323	5.0583	8.8071	8.6865	6.233	5.1258	5.2933	4.7453	5.5913	4.6167	6.1682	5.529	6.2072	4.8873
U133A__KANK1	5.1845	6.3431	4.4629	5.8517	6.3967	4.9071	4.5114	7.1835	6.6344	4.4494	7.8058	6.3191	6.8472	5.5078	4.8784	4.5401	6.1554	7.7999	8.4046	6.2557	5.5361	5.3198	4.7946	5.0467	5.6924	4.7356	4.2955	5.8591	5.7617	6.8357	5.8712	5.7353	5.6835	7.4	5.007	6.1543	5.6976	6.0245	5.7133	6.2831
U133A__STAT1	7.2521	8.0289	7.5388	9.9742	8.2815	6.9856	8.2059	7.9112	8.6978	8.049	8.3459	9.0902	10.2397	9.0231	8.1431	6.7996	7.7738	8.9201	9.7459	7.9713	8.0961	8.2953	8.929	6.852	8.3	8.2216	7.4767	8.0583	7.903	10.4096	7.4653	8.244	7.9746	7.4368	7.4307	7.3811	7.3093	7.9471	7.2797	7.4195
U133A__DEGS1	6.8249	6.0243	6.6615	6.8731	6.713	6.61	6.4785	5.8782	5.2917	6.7579	7.0455	6.6837	6.4182	7.6759	10.6986	6.2588	6.8383	7.5211	6.5886	6.7486	8.3607	6.5126	5.6159	7.77	7.2396	5.7017	7.1705	7.3006	7.9357	6.5403	7.0837	6.7336	8.0758	7.3776	5.5452	6.8749	6.2224	6.518	8.4512	6.7358
U133A__MDK	6.9831	5.8166	10.4845	7.2442	9.5628	5.4762	6.205	7.2438	10.8926	6.6919	8.7624	7.8046	8.1924	5.8212	6.9879	9.4224	5.5966	9.6158	7.3553	5.9591	7.08	9.2987	7.0267	8.0454	6.272	9.0373	7.1533	8.1474	6.1214	6.9398	5.8713	5.747	6.4917	5.8461	10.8153	6.3981	7.7515	7.1022	5.765	5.7944
U133A__HIST1H2BH	5.6812	6.0699	6.6317	7.5581	5.8329	7.5314	6.3963	5.3788	5.4489	7.8848	6.2884	6.3517	8.0459	6.4774	7.6689	8.926	6.4962	8.3146	6.1497	6.5559	6.8639	7.7503	6.9409	6.9553	5.6887	8.1245	8.6179	5.9852	7.6452	6.8657	6.122	7.1496	6.3953	6.4262	6.8218	6.1434	7.3149	5.5171	6.5665	5.6708
U133A__NUCB2	7.9159	7.7211	5.7232	7.9201	7.5538	7.0729	7.1309	5.7145	6.1217	6.8224	5.9807	8.7778	5.1126	5.1027	4.378	6.1882	6.2639	7.9042	6.0763	6.2695	6.5625	6.0033	8.8037	7.4278	6.0185	8.5373	8.1736	5.7716	5.5587	5.8213	7.0168	7.24	4.5033	5.8505	8.3176	7.6776	6.1182	8.2534	8.2008	6.5569
U133A__PMP22	5.2565	4.7053	5.1319	5.4801	8.5525	5.7927	6.8597	10.0992	5.4421	5.429	9.3067	5.4072	5.1737	5.345	5.2663	5.9816	6.3296	6.8562	5.0425	8.2183	6.5357	9.0143	7.1606	9.7452	8.7851	6.3452	8.5414	7.0211	4.8371	5.5181	5.3986	8.7837	6.0432	7.9716	4.706	5.7261	4.7756	6.5781	5.5308	5.6785
U133A__C10orf116	9.1902	8.2899	9.178	8.9706	4.472	9.695	5.2574	10.0032	4.7791	9.3951	5.1718	8.9521	4.3801	5.2636	9.9213	9.8931	6.1048	6.8811	4.7923	4.7919	6.3825	5.6946	10.1961	11.1909	5.2037	11.2659	10.0249	4.7346	6.4343	7.1824	9.0689	5.2127	7.5886	5.4465	4.9414	10.4616	9.125	9.852	9.5303	10.8611
U133A__PTEN	6.0913	6.269	6.7616	6.5673	6.7866	6.3073	6.2833	7.0194	7.0259	7.696	6.2325	8.17	4.6058	7.0343	7.1806	5.6098	4.8611	5.0714	5.7272	7.3598	6.9642	7.2994	7.083	6.987	7.1792	6.1864	7.1573	7.4404	6.7947	6.6651	6.2051	7.5944	4.527	6.9457	7.5813	6.3954	7.375	7.731	8.3939	9.5046
U133A__HLA-F	7.3246	7.1514	7.6905	9.2785	7.8591	7.9913	9.4618	8.793	10.7475	8.2523	9.6511	8.8333	10.4241	8.8233	8.6658	6.5921	8.7351	9.7487	10.5898	8.0524	7.2474	7.8303	8.8431	7.9252	7.8877	8.5341	8.7941	8.1935	7.2825	11.0349	6.829	8.7181	8.5194	9.0699	8.8619	8.1545	8.6017	8.9212	7.4898	7.3955
