Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__FKBP4	7.8938	7.2314	7.3501	7.8308	8.6332	6.4693	7.5977	6.4888	7.6079	10.106	8.0188	7.9534	8.2485	6.7073	8.3906	6.7943	7.4821	6.6219	8.5173	9.1486	6.0714	8.2269	8.2281	5.9213	7.3097	8.068	6.4055	8.0056	7.8416	7.6881	7.3206	7.2406	8.8391	7.4746	8.1696	8.6481
U133A__IGFBP3	5.6494	4.871	4.8198	5.2836	5.3476	10.6212	4.8745	10.6165	6.9528	5.2737	5.3532	11.5055	9.3428	11.644	9.1924	11.6705	11.6134	10.2776	5.6197	9.3685	7.9102	6.1709	6.7394	5.1851	9.1549	6.1615	10.0354	6.1315	5.5192	8.1578	7.2412	5.9969	5.2047	7.5049	5.0017	4.7505
U133A__CDKN1A	8.2831	7.2923	7.3268	7.7668	9.5202	6.794	7.442	8.4726	7.4215	6.9593	8.0665	9.2323	8.3044	6.6142	10.089	7.0906	7.2666	8.4832	8.6455	9.5528	7.835	8.8575	9.465	7.5943	7.1964	7.4332	7.7385	9.0587	7.7207	7.994	8.4722	6.635	8.1709	8.8133	8.4019	9.8192
U133A__SC4MOL	6.5171	6.5786	7.7464	8.3085	7.3617	7.4395	7.4458	6.4389	8.954	6.4917	9.1533	7.0222	6.7823	8.1324	7.125	8.7294	9.2114	8.0288	7.5004	9.0774	7.376	7.5698	7.82	9.4736	8.5153	6.9312	6.2572	8.6736	7.0867	8.3981	9.7021	7.4237	6.2246	8.4562	6.5214	8.3066
U133A__LRIG1	8.4873	6.2785	5.1965	6.714	7.3323	3.8294	5.7543	4.6329	5.669	7.1662	4.7873	5.9472	4.8144	5.5033	5.2939	4.0003	5.209	4.8805	5.1228	6.6869	4.104	7.4281	8.0802	5.1363	8.3706	5.1384	5.4354	5.9374	4.1727	5.8208	8.3873	5.0683	6.8777	6.743	6.956	6.6563
U133A__SATB1	7.5811	6.46	6.2436	7.915	5.7225	7.0344	6.4978	6.1	5.8269	7.1574	6.5031	5.7998	5.4998	7.4283	5.3983	7.152	5.1854	6.1773	5.9801	5.4887	5.4686	5.7554	6.7748	7.3489	6.0288	6.1325	5.3575	5.6958	5.9003	6.7011	5.4317	5.4964	10.497	5.3939	5.5049	5.2759
U133A__KIAA0100	8.8681	9.2054	7.9417	8.8628	8.6047	7.4282	8.9246	7.7525	7.5068	7.9503	8.0312	7.8415	8.2902	8.4022	8.2701	7.8823	7.6288	7.6848	8.3881	7.8276	7.2512	8.327	9.0547	7.8274	8.4813	9.7569	7.9615	8.3141	8.6067	7.8017	8.8547	8.3358	9.2605	10.2621	8.2115	8.5997
U133A__TUBB2A	6.2823	6.2694	6.4759	8.2123	7.7176	9.9627	8.8813	5.6803	9.2026	6.4986	7.3227	7.6821	7.3947	8.9698	8.7629	9.0162	7.6128	9.0731	6.297	9.7882	10.051	7.8633	8.7845	9.0565	4.761	6.235	7.9656	8.6791	8.5396	7.6596	7.2856	6.409	6.0207	8.3106	7.8256	8.6647
U133A__DERA	5.5781	5.9419	6.8346	6.1925	6.5152	6.0295	5.272	6.1059	6.7801	6.0139	6.0557	8.1627	5.6616	7.1835	7.0636	6.7477	7.7884	5.9393	5.592	6.2087	5.1167	5.362	7.2845	4.8626	5.9168	5.1172	5.9513	8.5474	6.6315	5.7685	7.1535	6.6148	8.9576	5.3098	7.4364	7.1865
U133A__CTSH	7.7912	7.8723	8.9284	7.1516	7.8606	7.6416	5.9081	8.2239	6.6067	7.394	8.0708	9.1521	8.9282	7.4304	8.2436	7.9671	9.1895	6.2436	9.0816	6.3329	6.9505	8.1891	6.8663	7.6441	6.3931	7.6669	7.427	8.1701	6.6331	5.5263	8.3996	7.2394	7.1167	9.3313	7.7488	7.101
U133A__TWF1	5.5084	4.4222	5.9488	6.6463	6.0045	5.5635	6.9623	5.9922	4.6291	6.6905	5.6328	6.9483	8.4203	7.0744	6.4329	5.2535	6.2329	5.6756	7.2103	5.6348	5.244	5.2969	5.5977	5.005	5.403	5.5177	6.2422	6.9222	7.1039	5.8716	6.0657	6.9819	6.8472	6.2073	7.887	6.4851
U133A__MET	4.1684	7.1117	9.1682	6.3733	6.3704	7.8015	3.681	7.5974	4.7232	5.4852	5.2012	6.9785	8.3372	5.3306	7.3328	6.2434	7.4069	8.8939	5.1935	3.8401	6.8282	4.3847	6.4167	4.6308	3.6139	5.2515	7.6225	7.4948	8.1415	4.3291	6.5536	5.477	3.9143	3.4815	4.67	3.9095
U133A__HMOX1	5.9805	6.3462	7.4205	6.2042	6.0583	9.3758	6.8273	6.6101	6.269	6.5746	7.1662	6.2742	5.9549	6.7426	7.6179	6.5557	6.0875	7.9038	5.8619	6.4551	6.459	6.0077	6.3473	6.6004	6.3751	6.243	9.709	5.7164	8.5448	6.5511	6.6615	5.9153	5.9068	5.6787	6.4186	6.8615
U133A__TRIM14	5.7111	7.293	5.9119	5.5532	6.9845	4.7954	6.0307	6.4656	4.7405	5.0382	6.2084	8.4742	7.3205	5.9769	8.6716	7.1586	7.3079	4.8671	5.8925	6.5025	7.7062	6.2134	5.7377	6.9022	6.2579	6.7685	5.6757	6.187	7.3255	7.821	6.663	6.7641	5.4603	6.2686	5.5596	5.512
U133A__CYBA	7.5824	8.4801	6.1991	8.2641	9.4769	5.9814	9.258	6.4165	8.8793	7.1529	9.324	10.2521	6.2915	9.1399	6.2252	9.4901	5.747	6.4921	10.2423	8.7674	8.5241	9.1094	6.2271	7.4685	9.3142	7.853	6.143	10.2727	7.7619	6.4983	5.6748	6.4006	6.3661	8.2007	9.3755	9.5046
U133A__DHX40	7.0381	5.7867	6.4315	8.6347	7.5986	5.919	5.9241	6.2316	6.2846	7.014	5.6478	6.2943	5.4408	6.003	6.5949	7.426	6.0468	5.1125	8.2093	6.9354	6.8654	5.6059	8.5027	4.9426	6.9965	5.1172	6.5324	3.9736	5.98	5.644	6.7685	6.3122	6.9005	7.842	7.2802	7.0766
U133A__GSTP1	10.2691	5.9505	6.2737	6.0305	6.0116	9.0029	6.4265	9.802	10.165	6.0055	9.9335	5.7453	6.4435	9.7716	9.4364	8.9042	6.7726	8.5415	6.0078	6.0434	8.826	6.3304	5.9938	9.6938	6.2589	7.3166	9.2902	9.987	9.2485	10.4558	5.822	5.7574	6.2469	5.6179	5.9376	5.7957
U133A__IGFBP6	5.6731	5.3829	5.4442	5.5177	5.4819	5.8921	6.136	6.4634	6.072	5.3744	6.0119	8.4806	5.5659	5.5465	5.6679	9.4268	6.2516	8.8554	6.2663	5.9126	7.9486	6.1228	5.5454	5.6252	5.7893	6.0209	5.8285	8.1014	8.1687	5.7392	5.2594	5.5176	6.0702	5.4302	5.9415	5.281
U133A__DIP2C	6.0306	5.6	4.8042	6.1426	7.3021	5.8184	7.2703	5.9785	7.7083	7.6453	5.5877	5.5528	4.2909	5.8443	5.318	7.5229	3.946	5.2792	6.5002	7.245	7.9021	6.0921	7.1526	6.9179	6.2128	5.3484	6.081	4.2421	5.8763	8.1831	5.9789	5.1349	5.6502	6.3524	6.2191	6.4159
U133A__LPCAT1	7.3577	8.9611	8.569	9.6749	7.1029	7.2521	7.0423	7.74	6.6152	6.6098	6.6442	6.5708	10.0197	7.112	7.373	6.9475	7.7542	7.1383	8.2705	7.4954	7.1965	7.3813	8.3462	6.6051	6.3507	8.3357	7.0926	5.9251	7.5598	7.3431	6.6121	7.2444	7.0242	8.9573	6.3502	6.8462
U133A__PLK2	5.4424	6.9523	6.867	7.2092	5.1939	8.3725	6.0463	7.0513	6.4452	6.2027	5.7464	9.2273	6.818	8.4373	6.6563	7.0758	8.5326	7.8286	7.5027	6.8697	6.9099	8.1218	7.2951	8.1968	8.4353	5.3432	5.2835	6.169	5.4839	8.784	8.1345	7.3299	8.5802	6.9561	6.1403	5.3885
U133A__EMP3	4.327	3.9888	4.4028	4.2731	4.2246	9.9908	4.5129	5.9249	4.5177	4.8069	4.4271	4.4585	4.1728	4.8236	4.8179	9.0618	5.7623	10.2742	4.6047	4.5679	9.169	4.2846	4.4717	4.519	4.3967	4.5344	9.6246	8.36	9.3993	5.4208	4.3435	4.3907	4.6524	4.1567	4.2003	4.5004
U133A__AMIGO2	5.8455	6.5327	5.3052	5.0478	8.1995	8.6579	4.6776	6.3495	4.6129	5.8787	3.9541	4.9778	6.2682	5.1466	5.4281	5.7522	5.0069	7.2447	7.0588	6.0228	7.047	5.9365	7.6933	4.0096	6.5794	5.5099	8.94	8.9749	7.9447	5.8444	4.3368	4.696	5.1131	6.6145	7.8914	6.3577
U133A__CKB	5.3442	7.7875	5.6154	5.4548	7.2727	7.2986	7.9556	7.8831	5.951	7.7218	5.4318	6.4976	6.0638	6.8017	5.8878	6.9659	6.6128	5.5701	6.5721	8.3052	7.7159	5.8863	7.0171	6.8611	9.5775	7.0333	9.5311	5.9426	5.512	8.4104	7.5521	5.1422	6.9092	7.7166	9.1697	9.3753
U133A__MBP	5.1637	4.6214	6.8298	4.9599	4.6325	4.7642	4.382	8.2963	4.0408	5.2755	5.3637	5.0395	7.3797	7.7157	6.2399	6.1055	8.4056	4.443	5.2573	4.7936	4.2088	4.3579	6.2173	5.1686	5.3124	4.4824	5.3162	7.4457	4.8437	4.3446	6.3017	6.1251	4.5642	4.795	5.4945	6.3904
U133A__RAD51C	6.9822	5.6297	7.983	9.0343	6.8275	6.1623	7.4823	7.1986	7.165	8.0983	6.7777	7.1427	7.6222	7.291	6.8232	7.3987	7.9373	6.6287	9.5414	7.9039	8.2995	6.255	8.658	6.7311	6.771	5.265	7.5262	6.7448	7.3169	5.3562	7.6741	6.851	7.0812	7.489	7.054	8.6001
U133A__HIST1H1C	6.7013	7.1292	8.0132	6.5045	9.1141	6.9532	8.2509	7.0394	6.3388	10.398	6.9231	8.2905	7.3105	9.7845	6.9361	11.4337	6.1558	7.0663	7.5185	7.507	8.0986	6.4316	9.5265	10.1659	7.8506	6.8838	9.78	5.7435	5.3977	6.8637	8.1879	8.3266	7.75	6.6189	8.2057	7.231
U133A__ACAA1	6.1633	8.8997	6.6984	5.2632	6.5332	6.3551	7.0217	6.3772	6.4261	7.1641	7.3011	6.1541	6.6504	7.0428	6.9482	6.9299	6.3982	6.6822	6.912	5.4479	7.0365	7.5844	6.9764	7.9024	6.7552	9.1231	6.4906	6.7173	6.0876	7.3427	6.9957	6.6535	6.6359	6.846	6.6572	6.2702
U133A__SMURF2	5.3079	5.6089	5.9547	5.405	5.7355	6.9838	3.5189	7.3907	5.6463	5.7139	5.1517	5.353	6.3549	5.0893	5.7892	6.8505	5.6735	6.5155	6.1958	4.5026	6.9682	4.4935	7.8146	4.9734	6.1146	4.805	7.3581	6.5988	5.5586	5.2551	5.9648	5.0942	4.8824	5.9768	5.5258	5.7758
U133A__EPAS1	7.5586	9.4435	9.3385	6.5628	6.6454	7.1099	6.6122	6.878	5.9279	7.9068	9.1876	8.1309	8.2067	11.134	8.0527	8.9875	8.7955	7.4187	7.7912	8.5965	8.4085	9.4821	8.0953	7.8271	7.9185	9.5402	6.3055	8.8077	8.0257	8.9549	7.1293	10.3129	7.6909	9.5309	7.7552	6.3461
U133A__STEAP3	8.0543	8.4341	7.0147	6.9625	7.0864	7.3676	6.5586	6.8849	7.5276	7.445	7.753	7.1557	7.53	7.9038	8.1799	7.1387	8.774	8.4079	7.1979	6.45	7.9782	6.7535	7.0101	7.31	6.5345	7.9369	8.3281	8.0487	8.8255	6.5464	8.2534	7.0222	6.8751	7.3441	7.2453	7.7787
U133A__FHL2	6.8345	7.5313	10.607	6.7725	5.7075	6.7465	4.7439	8.3456	5.4334	4.6551	7.6402	8.0003	9.859	5.3809	7.916	7.8709	7.455	9.4441	6.7517	6.052	8.0689	7.7059	5.0216	7.9393	4.7353	6.6008	10.66	8.0581	7.9105	7.7389	9.5596	9.8828	8.7644	10.1995	6.2594	5.9175
U133A__DNM1	5.6161	5.646	5.4321	5.8578	5.8727	6.6942	5.6352	6.4943	8.8086	5.9955	6.2088	6.0178	5.36	6.3878	5.7923	8.6169	8.4682	5.7741	7.1578	6.3168	7.6517	5.6249	6.4587	6.9409	5.6904	5.7951	5.5233	6.324	5.5619	5.3328	5.261	5.5189	5.5842	5.462	5.8005	8.0049
U133A__DSG2	6.2933	7.3653	6.6315	7.4431	7.9979	8.7014	6.8108	9.0995	8.3721	6.8674	7.1286	6.7464	8.2853	6.2759	8.2842	9.3294	9.5026	5.7974	6.95	7.2679	5.8236	5.1871	6.8121	5.4075	6.326	6.9088	4.8296	8.2165	7.5831	5.7935	7.5739	6.7872	6.8478	8.1937	7.2686	7.8434
