Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM44PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__PDGFC	5.5151	4.7072	5.306	4.2114	8.5446	4.2682	7.4629	7.5679	8.1244	3.5487	4.7294	7.0604	5.2036	7.8858	6.7858	6.5847	5.6004	6.6393	7.1701	6.9926	4.1352	3.636	7.2686	9.2966	6.5591	5.3401	6.8294	5.7983	8.4198	4.7499	8.8223	6.3115	7.8914	4.062	5.8161	5.1023	5.7918	4.4004	5.4727	5.9931
U133A__GSTM2	10.9794	7.6504	6.8319	6.943	6.3578	8.1024	6.6401	6.5591	6.5997	6.6241	7.0895	6.9667	6.6804	6.3465	7.7345	6.5662	6.5689	7.7245	7.25	7.8439	6.5391	6.5854	6.8	7.0935	6.8457	10.5965	6.734	7.0559	6.4322	7.289	6.8966	6.6089	6.7086	6.2411	6.9602	7.4413	7.9582	6.1091	6.8643	6.2927
U133A__EFHD2	6.3941	7.0454	6.4766	6.4936	7.5636	6.3588	8.1769	6.0969	6.8305	8.0424	7.0821	8.2535	7.4678	7.6052	7.1227	6.5976	6.7764	6.8354	8.0389	8.0316	6.5578	7	7.6341	7.8318	6.7962	6.8529	7.4818	6.7788	6.5373	6.5078	7.4881	10.043	8.6704	6.1727	6.26	6.4398	6.3416	6.2008	5.7129	7.3278
U133A__C14orf147	7.7955	8.3373	8.171	8.4945	6.8873	8.2934	6.8596	6.7264	6.9095	8.3919	6.5508	5.5822	7.4452	6.6456	6.933	8.6093	8.602	9.9961	7.2904	5.9391	7.7385	7.521	6.7347	7.4272	8.6416	8.0875	8.2812	8.3295	6.658	7.9421	6.3528	6.4246	6.1853	7.4063	8.4938	8.3688	6.4358	9.3596	8.4628	7.7993
U133A__KIAA0182	8.7175	8.7547	9.4399	8.9626	5.5927	8.9031	6.2784	7.0695	8.2032	9.5198	6.5335	7.1268	7.6521	7.6461	9.0573	8.5395	7.194	7.6429	7.7941	6.6802	9.3437	9.2681	5.5687	6.8539	9.4821	8.1927	7.0051	8.8215	8.6243	8.4014	6.3604	6.768	6.9346	9.4211	8.1676	8.2608	10.1651	8.3246	9.5845	8.7069
U133A__LAMC2	6.4531	6.0777	5.6348	5.93	6.002	6.0625	6.4877	8.5082	5.881	5.7732	6.2261	8.5525	7.7384	6.1018	7.1326	5.9453	8.8207	6.4814	7.7414	6.8578	6.3223	5.9447	7.0817	6.1309	6.0593	6.7055	5.9876	5.7604	6.9467	5.9867	6.0108	10.3401	6.2632	5.755	6.6585	5.8722	5.8433	5.9923	5.9061	5.7819
U133A__TIMP1	10.3333	7.0824	6.0084	10.0101	10.3319	6.3865	8.6826	7.5051	5.2107	9.0007	10.0557	7.8295	7.3896	9.965	8.0627	5.853	8.1505	8.566	7.5314	9.0919	9.1396	8.942	10.7712	8.6568	8.1735	9.2124	10.4998	7.044	8.3849	5.6415	10.4042	10.5345	11.5046	6.6035	7.8618	8.7976	6.351	8.9574	5.2706	7.571
U133A__SNX7	7.2258	6.9361	6.3575	7.242	8.2264	6.3147	7.9095	7.2735	6.4903	7.5596	7.2552	8.0102	8.1539	7.6537	6.9576	5.9321	7.1316	8.3416	7.9242	8.5314	5.7752	7.1402	8.5363	9.0729	6.7602	6.3801	7.3863	7.3553	8.9996	7.4533	9.1969	8.5021	8.5449	5.1871	7.9034	5.9201	4.634	7.2475	6.574	7.2083
U133A__SOX4	8.6674	8.3533	8.8828	9.8978	8.4109	8.7923	6.0416	8.9581	8.341	8.2131	6.6364	6.1797	8.3375	7.9094	7.8736	7.8327	9.3505	7.6446	8.6075	5.5588	6.2454	8.2679	7.7534	5.2287	9.3267	7.9694	6.1302	7.8062	9.1933	7.3642	3.5447	7.8776	6.2548	8.5307	9.2336	6.0618	7.4115	9.15	9.1511	8.6423
U133A__ACTR6	5.0687	6.8016	5.2637	6.6557	5.0211	5.4262	4.4389	5.8828	7.8295	7.1728	6.3794	5.5429	5.8992	5.4579	3.8826	5.9949	7.1072	6.8316	6.7963	4.7402	5.3045	5.6385	4.9478	6.4071	7.1927	5.8266	6.495	5.4179	6.7181	6.127	4.7844	7.0833	5.4888	5.3503	5.3385	5.9779	5.7636	6.5635	5.8681	5.9261
