Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM44PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__SORBS2	8.936	5.4961	6.4401	5.4424	5.5175	5.5786	5.7715	8.6285	5.6054	6.2198	6.3474	6.0802	6.9047	5.4611	5.7926	6.2066	6.4919	6.1776	7.7611	6.6186	5.7661	5.5938	6.9767	5.9303	6.5877	6.2867	5.4416	5.633	6.0051	5.5737	8.6789	5.8552	6.5495	7.5596	8.2427	6.8821	5.923	5.5824	6.4692	5.6689
U133A__NOTCH3	7.3711	7.129	7.5035	7.1099	7.1373	7.0845	4.8909	10.7188	9.2424	5.5662	5.4685	6.8588	8.3503	5.6305	8.0426	7.5159	7.5623	8.4363	11.0395	5.6526	7.3838	7.4329	7.6575	4.4309	6.816	5.169	7.5581	7.348	7.93	7.4298	6.0529	6.7354	5.2383	8.0239	6.0708	5.7466	7.0535	8.0479	6.4463	6.9082
U133A__NNMT	7.4816	6.4025	4.3441	4.2984	10.43	4.4886	8.6418	4.4447	4.5027	4.0426	5.1421	4.462	6.0129	6.8071	4.8556	4.2145	5.8981	7.0081	7.6329	7.5692	4.5485	4.4465	10.1086	4.4358	4.2956	4.9538	7.6063	4.3555	4.7903	4.6834	8.5814	8.774	9.9583	4.671	4.4627	5.758	4.3408	8.3456	4.1626	4.082
U133A__ASPH	5.3746	6.8366	6.5254	8.1324	6.8716	5.3035	6.6723	6.5755	6.2036	6.0212	7.3679	7.8645	7.2219	8.1345	4.4642	5.177	5.7293	8.8405	7.2005	8.9386	6.6102	5.3359	7.0177	7.5871	7.8154	6.9904	5.8901	8.6886	6.3256	6.7725	7.7094	6.3051	7.5512	6.0606	6.435	8.6961	5.212	8.2391	5.9685	5.6668
U133A__CDC42EP3	6.5387	5.3841	4.6925	3.6723	4.5565	3.1213	5.8254	6.9265	4.1005	3.5236	5.3886	7.7389	6.2455	6.0531	4.3747	5.6163	6.6861	4.9871	4.6904	8.1804	3.4122	3.5095	5.9676	8.5465	4.5654	4.5823	5.1224	3.2159	6.6844	3.9786	4.1004	5.9385	6.0244	3.4122	3.7137	9.3553	4.4616	4.6908	3.2918	3.4654
U133A__HSPB1	9.8381	11.9878	11.1392	12.1917	10.9092	12.4619	10.5053	9.7586	9.4377	11.9863	10.4327	9.9008	11.9422	9.7152	11.6081	7.6241	10.821	9.9102	10.7294	10.9497	11.5674	12.3547	10.3616	10.0079	11.75	11.1248	7.5702	7.7425	10.8739	11.0928	10.9232	10.4221	10.3461	8.3736	11.7481	7.4763	12.0345	11.6336	10.7593	11.8178
U133A__CASC3	8.0662	9.5254	7.896	7.8331	7.3214	7.8822	7.6086	7.4055	8.0717	6.9048	7.4362	7.247	7.6934	7.357	6.7513	7.24	7.5153	7.5471	7.7717	7.1902	7.2305	7.0158	6.8132	7.6189	6.8153	7.1054	6.7842	6.3196	7.4004	9.5638	7.2235	6.6186	7.6981	6.8808	6.4971	7.7518	8.0652	10.4373	7.5613	7.8892
U133A__ANXA1	8.3863	5.1813	6.8058	4.8279	10.1509	4.9132	10.8697	10.2727	4.9733	4.6701	10.5859	11.0167	11.8721	11.347	5.6928	5.3504	11.3303	10.7389	11.4584	11.0326	4.9591	4.9942	10.6713	11.1804	5.5085	9.4097	11.2499	5.0185	10.4199	5.8809	10.9965	10.7391	9.9079	9.1288	4.7585	9.263	4.6556	4.9519	4.8945	4.9117
U133A__NOTCH2NL	7.8298	8.6341	7.6974	7.8539	7.4215	6.8991	8.2007	8.7139	10.2228	7.6996	7.2474	7.7885	6.7152	7.8414	7.163	7.8356	7.0501	7.9431	8.1671	6.7489	7.9419	8.6442	7.3806	7.798	6.7809	7.1969	7.7693	7.2189	7.8977	7.5982	7.1509	6.6654	6.8928	6.7038	7.8329	7.4317	7.8704	9.2372	8.3514	7.9329
U133A__ZSCAN18	5.152	4.7958	7.0714	8.6682	6.8552	6.1901	5.0611	7.7	8.3551	7.226	5.2372	6.2193	8.0343	5.3119	5.2351	7.659	6.4413	9.1674	7.3018	5.1171	4.7969	5.7154	6.0862	4.8412	6.9565	5.2439	6.804	4.7623	8.3721	5.4213	7.5037	5.87	4.1685	4.6237	7.0478	5.3803	7.7059	6.9884	5.729	5.1795
U133A__RAGE	6.0153	6.1349	5.6582	5.9482	7.2698	6.0013	6.7008	6.0206	5.8776	6.0351	5.5039	7.6833	5.9007	7.0987	6.3245	5.9309	8.8647	6.6317	5.7582	8.3499	6.0592	5.9778	6.24	7.0726	5.6932	6.5152	5.9202	5.9935	6.5255	5.614	7.5141	5.9461	7.6006	5.8088	5.7214	5.7914	6.1698	5.6803	5.8604	5.4439
U133A__SLC43A3	8.4498	6.0402	6.212	6.1253	6.9124	6.1527	6.8568	7.4181	7.4411	6.0274	7.9581	7.8423	8.1366	6.946	6.7228	5.7151	8.4918	7.4582	7.9368	5.8347	6.1997	5.9817	7.6993	8.9615	6.1498	5.9736	5.6828	8.3214	8.6684	6.166	7.6939	10.4636	6.3855	6.2893	6.5851	6.2692	6.843	6.1697	5.9313	5.7173
U133A__PSMB9	4.8843	6.5081	4.5777	6.4754	4.7598	4.9569	7.7952	5.4396	7.3883	5.527	6.1295	8.4128	8.0092	6.9446	7.3893	5.1029	6.1024	7.931	9.9119	5.7298	4.7975	4.492	8.6041	5.0612	5.1089	6.7275	5.4245	4.8534	9.1835	4.6866	6.3482	7.112	7.5584	4.6708	6.3855	4.9221	5.6582	4.9831	4.8526	4.6645
U133A__LGALS1	9.2382	7.7525	5.8446	8.8126	11.9757	12.336	12.3419	12.1952	11.1399	10.6651	11.5613	8.1987	9.9206	10.3303	10.8452	5.0472	11.7356	11.486	11.2154	12.9455	7.8464	8.893	12.5884	11.6327	5.2613	11.3986	11.7984	10.2053	9.4923	8.8885	12.472	11.6862	11.8188	5.4749	11.6589	9.5798	11.0411	10.1593	6.0697	8.6626
U133A__TGFBI	5.9683	6.9042	6.5837	5.5476	6.1062	5.7755	7.9789	5.3076	9.9085	5.8022	5.705	8.7344	7.4678	9.0113	6.0496	7.0812	6.6511	11.1168	10.6715	11.2079	6.2419	8.2212	10.843	7.7059	5.9087	6.0484	6.6849	5.846	7.5198	6.7466	11.8115	10.622	11.553	5.5123	5.6714	5.6781	5.5711	6.5084	5.5391	5.3747
U133A__UAP1	9.1598	8.4831	8.1046	8.3803	10.5221	7.3076	7.6231	7.5494	7.5247	7.4176	8.5975	8.0611	7.6904	6.9409	6.9494	7.8611	7.7855	8.3676	8.4675	8.864	6.5547	6.1229	8.1057	8.5606	7.148	8.1879	8.7112	8.1683	8.0352	7.9066	9.5836	8.0031	8.7819	8.9616	8.2987	8.9146	7.0147	8.1841	7.9779	7.8894
U133A__THBS1	5.5343	5.001	2.6537	6.3221	9.244	5.7668	3.9659	8.4849	4.4151	3.3894	3.7441	6.7656	3.75	7.6908	4.662	2.6702	7.1499	5.1664	3.2742	8.3906	4.5841	5.9715	5.6089	6.6098	3.9623	5.9902	3.447	7.2005	6.9183	4.0472	2.661	9.1396	8.1503	4.1347	4.2464	6.1984	6.842	4.6027	2.8948	2.6965
U133A__EIF5A	6.1532	10.2322	6.6804	8.676	10.141	10.3505	9.8574	7.0561	6.2771	10.4307	10.9743	9.7164	7.3039	9.2206	10.7045	10.6954	11.0518	6.7936	10.9733	11.4584	6.2508	7.0806	10.9628	9.8155	8.213	8.5732	10.7809	9.7217	10.5292	9.4725	10.7482	11.3354	10.6383	7.469	7.0935	10.9772	6.6051	6.774	8.3558	9.9089
U133A__LXN	5.1228	7.7661	6.8655	5.2664	3.8669	8.0764	5.2302	6.4397	6.0067	5.3534	4.4712	3.7789	9.9807	4.0344	4.36	4.4195	8.408	10.5684	8.7071	3.9819	11.2106	10.4775	4.5031	6.5438	6.1656	7.5215	4.1926	4.337	9.1543	8.1586	5.1333	7.8474	4.4119	4.1029	4.4486	4.0936	4.4462	6.5377	4.2602	4.2287
U133A__TMSB15A	6.7814	5.6785	5.9245	6.6978	7.4768	5.2008	5.5107	5.4826	10.6595	4.8802	6.8064	4.9319	4.787	5.1467	6.4204	7.7815	4.8697	8.2732	4.5523	5.1726	4.6488	5.4541	6.1732	4.8599	7.0411	5.168	5.3577	6.9616	4.7516	4.8005	5.3907	4.4634	4.7684	5.8703	4.9114	4.698	5.3186	6.4729	6.5997	7.9462
U133A__SLC7A11	4.2893	4.9085	4.8749	4.2309	7.6008	4.0794	5.9768	4.8761	4.5896	3.9585	5.6869	9.4099	5.7783	5.776	4.4735	4.097	5.2914	7.2811	6.0812	8.3411	4.3563	4.5052	6.2811	9.0367	5.1478	5.4183	6.981	4.2368	6.0977	4.6391	6.1061	5.0838	6.5691	8.3337	4.5605	7.695	4.18	3.9346	4.1598	5.1029
U133A__WIPF2	7.8898	9.6083	7.5985	8.5238	6.9901	7.5467	6.9138	7.046	7.4943	7.0421	7.2034	7.7741	7.5312	7.0628	6.6369	7.8499	7.4139	8.121	8.031	6.801	6.8968	7.2167	6.9982	7.0631	6.9269	7.0783	6.8133	6.7501	6.8131	9.2517	6.8638	6.9429	6.4372	6.7552	6.9064	7.3093	8.1352	11.4709	7.2703	8.1868
U133A__FAH	6.3218	6.4607	5.3049	6.5322	5.6806	6.876	6.9231	5.4625	4.7189	7.7151	6.091	6.0566	5.459	6.598	6.6952	5.7596	6.7725	6.6123	5.941	5.7228	5.4481	5.8112	6.7586	6.2218	6.0433	8.5933	5.3443	6.8603	6.0662	6.9006	7.0321	6.5066	6.389	5.333	8.4617	8.0842	6.8366	6.6268	7.8526	6.2868
U133A__DUSP5	7.6295	7.0306	6.1554	6.2521	5.6553	7.0349	7.1064	5.5241	6.242	6.093	5.2299	8.4126	6.6074	7.683	7.2017	7.5148	6.6761	5.9641	6.5042	6.1613	6.2056	5.9694	6.0573	8.367	7.0374	7.2295	7.4467	8.285	7.7822	6.5797	6.8912	5.9106	8.5354	6.7229	6.0141	7.2854	5.7443	7.4625	8.0069	6.4727
U133A__GPX1	8.9739	4.0916	9.13	4.1978	9.7074	8.7943	8.0487	8.6375	3.8954	7.8047	3.5472	8.4418	9.4091	9.7496	9.301	3.7548	10.5188	9.1911	8.6679	9.1332	5.2514	5.269	7.3749	9.7794	9.7769	8.2842	10.3552	9.6262	9.4756	4.1969	8.82	10.2252	9.2677	3.2767	9.352	3.978	3.5145	4.9552	3.7776	4.1642
U133A__STK17A	4.9501	5.586	5.9762	6.0216	6.566	5.4767	6.8878	6.4057	6.6561	5.4821	6.0291	8.4562	5.8604	8.8451	4.2898	5.3348	6.9874	7.7161	7.9924	7.3272	6.1679	5.637	8.7568	7.6759	6.849	5.6005	7.6556	6.2104	7.1288	5.4237	7.6464	7.6153	7.0711	5.235	7.0977	5.8133	6.2781	5.7631	5.1737	6.3458
U133A__STEAP3	8.0543	8.4341	6.9625	7.0864	7.3676	6.5586	6.7562	6.8849	7.5276	7.445	7.753	7.6356	7.1557	7.53	6.9089	7.9038	8.1799	7.1387	8.774	8.4079	7.3242	7.1979	7.9782	7.7131	7.0101	7.31	8.7098	6.5345	7.9319	7.9369	8.3281	8.0487	8.8255	6.5464	10.1185	7.0222	6.8751	7.3441	7.2453	7.7787
U133A__CNN3	6.5662	5.928	6.2459	5.2624	7.9772	7.5358	5.2634	7.333	7.2978	5.852	8.5066	5.2216	8.3566	7.6308	7.8934	5.711	7.0815	8.6543	9.1609	8.1059	3.6902	3.6053	7.3666	9.026	7.1398	7.5905	6.7258	8.7984	8.6832	6.3226	7.2367	6.9493	5.7464	5.5974	11.0451	7.5337	7.6915	8.1608	6.8602	3.467
U133A__CD44	4.7486	5.2851	4.5395	6.9448	9.4833	4.1435	8.3319	8.4113	5.113	7.9968	9.5046	10.7234	9.0773	11.1618	4.3106	4.529	9.4828	9.1421	9.166	11.6044	5.1419	5.1402	9.821	9.3837	7.2156	8.5655	10.2823	4.2934	10.3147	3.3122	10.2795	9.5681	9.6161	4.206	9.4445	3.3732	4.9207	6.2961	5.8441	4.1655
U133A__NRIP1	5.5528	7.2417	7.0521	7.9732	4.3597	5.9207	7.3447	6.3574	6.5283	8.4802	5.5339	7.3417	7.1886	7.2016	4.8924	7.5251	6.4286	8.3895	7.2883	5.6035	6.477	8.2701	7.0626	5.2151	8.0484	6.1913	6.927	8.4174	8.9101	5.9009	3.7583	6.4733	5.6841	7.5076	7.0915	6.9367	7.2135	7.6569	6.1168	6.4789
U133A__TOB1	8.8416	8.1199	9.54	10.0412	5.6991	8.2963	6.2978	8.2331	6.9626	9.9774	7.4185	7.3983	7.7978	6.7211	9.922	8.3342	7.3782	8.2944	7.4541	4.4955	8.4614	8.9689	7.562	5.935	10.6432	8.5555	5.5873	9.5297	7.5843	8.6703	5.2081	4.7449	5.9356	8.5847	7.1293	8.8228	9.8445	9.2366	9.6404	9.1081
U133A__POPDC3	4.9801	4.9063	4.6823	4.7037	4.9301	4.7796	5.5058	5.9364	4.6287	4.9503	7.1219	6.8476	4.7879	6.7287	5.0516	4.8478	5.5473	6.8111	6.8852	5.7957	4.8642	4.8038	6.6873	7.3238	4.7884	4.741	7.6503	4.6897	7.1886	5.0638	6.7314	7.1693	4.899	5.0638	4.8008	9.3478	4.6326	4.7804	4.8257	4.8086
U133A__UPP1	5.0584	5.6322	4.9845	5.0589	6.9232	5.299	6.6679	5.9974	4.9958	5.0688	5.6954	7.8197	6.1613	9.6091	5.2682	5.0163	6.3642	8.1216	6.4785	7.3965	6.2153	5.1453	8.1145	6.9723	4.8951	5.5995	8.0609	4.8817	8.3517	4.624	6.9538	8.4167	7.2426	5.2043	5.4492	5.3043	5.2285	5.6796	5.0327	5.1655
U133A__GAL	5.5668	5.0145	5.1247	5.5186	4.3321	5.1451	4.8246	5.9986	7.9881	4.8284	8.7914	9.0261	6.4929	5.9047	4.7434	5.3813	8.2046	6.7009	4.1139	4.7831	6.4596	6.1713	4.8966	4.4756	5.308	4.7313	7.4091	4.5764	4.981	4.8875	4.9972	7.4613	5.5538	4.7111	4.7748	4.6807	4.7853	4.9327	4.9922	8.7476
U133A__HES1	7.2466	7.8362	7.9131	6.4896	5.1651	6.9367	6.6125	7.8518	7.9219	7.5594	6.5368	6.5024	7.6893	6.658	8.8103	9.585	7.7168	6.5411	6.9986	6.0367	6.746	7.2969	6.3761	5.6609	7.8519	6.9642	5.9911	6.1492	6.8117	7.3558	5.9077	7.0221	4.6059	7.9363	6.6536	7.3246	7.1297	6.625	7.1431	5.8228
U133A__SLC9A3R1	9.519	9.6155	9.3381	11.1179	7.3427	10.3084	7.7009	7.7895	7.6797	11.4694	8.4963	8.6198	9.0035	8.2239	10.6246	9.0584	8.1738	7.8626	8.8965	7.1743	9.7706	10.4869	6.8074	7.6842	11.736	8.9875	6.416	10.9463	8.9907	9.4829	6.4568	7.3574	6.9491	9.7921	9.473	9.2263	10.2388	10.5344	10.2528	11.1031
U133A__MAP1B	5.2828	4.7448	4.9262	4.8618	7.9119	4.5738	8.9057	6.6054	8.1982	4.5955	5.1547	5.4784	4.3322	4.8752	5.5192	4.6449	6.1241	8.077	7.8322	9.7287	4.2933	5.1401	8.6245	8.226	4.7169	4.9647	8.3504	4.3393	5.1029	4.5124	7.7301	5.7202	8.3276	10.7187	5.7144	4.8221	4.5797	4.5998	4.8576	4.5338
U133A__KRT17	4.5314	4.4229	4.4065	4.2371	4.2453	4.4635	4.338	9.1914	6.9783	4.6626	4.4668	7.7268	10.2366	8.2134	4.4425	4.4224	11.2313	4.6517	5.2437	4.895	4.8219	4.4969	4.2958	4.5144	4.4182	4.8657	4.383	4.5314	8.6433	4.5867	4.6411	8.0138	4.531	4.2526	4.7358	4.5278	4.4662	4.2884	4.3942	4.1639
U133A__TRIM37	7.6404	7.063	9.7805	8.4135	7.5534	7.6458	7.8692	8.6357	7.9997	8.3733	6.8463	7.8415	7.1146	6.7027	6.6765	8.1695	7.9814	8.4035	8.1616	7.0439	10.9395	11.1347	8.6618	8.0627	10.1321	7.4671	7.4167	7.8885	7.6896	6.4607	8.4131	7.3275	7.8248	6.9794	7.0945	6.7477	7.8976	8.236	8.53	8.7208
U133A__ZHX2	6.6374	9.2638	7.8713	7.8561	4.9952	6.5017	6.1914	6.0232	7.4021	7.1239	5.0842	5.9716	7.2131	6.5772	6.5952	8.4563	6.9501	6.0953	8.0637	5.4724	6.7913	7.4885	4.9739	6.05	7.6426	6.7416	5.0924	7.0132	7.2631	6.648	6.059	6.029	4.8623	6.4096	7.3802	6.0315	5.7254	6.6176	7.2085	7.0087
U133A__FOSL1	4.9248	5.3058	5.233	5.3308	7.6711	5.4235	8.2125	6.1157	5.0024	5.1796	5.4742	8.448	5.8887	8.4594	5.524	5.2056	5.8006	7.7595	5.3363	8.6803	5.7547	5.2672	8.0784	9.0559	5.1136	5.2681	8.321	5.017	6.4426	5.2985	7.8919	9.0164	8.8942	5.1416	5.2992	5.2537	5.2915	4.5174	5.1363	5.52
SNP__ZNF291	1.389	1.241	-2.232	0.842	-2.143	-1.568	0.798	-1.604	1.159	-2.226	1.656	0.899	-1.684	1.304	1.187	-1.828	1.473	-1.248	1.151	-0.318	-1.928	-1.225	1.228	1.442	1.309	-1.604	0.992	-0.64	1.137	1.19	1.798	1.79	1.377	-1.361	0.129	-1.919	0	-1.574	1.463	1.105
U133A__PHLDA2	5.3424	8.2473	4.3806	6.72	3.5057	6.7397	5.8382	5.2006	4.2696	5.6983	5.0851	7.219	6.1805	8.3388	6.6272	5.2793	7.7485	7.1033	8.0232	8.1311	8.3743	6.4542	8.4178	9.2722	6.4911	7.7236	7.4778	7.0746	7.7128	6.4241	2.9468	8.0806	7.9463	6.2623	6.0101	6.0942	4.5074	7.5556	5.036	8.6972
U133A__ITGA3	7.0347	5.904	7.0003	6.2149	8.0259	6.2689	8.8922	7.8936	5.0259	6.8603	5.3603	7.6743	7.3976	8.3943	7.9867	5.562	7.1843	8.7137	6.5616	7.4535	6.6455	6.406	8.2664	7.5132	7.5224	6.7249	7.7298	6.8296	6.9427	5.5944	6.0298	7.3832	7.7502	5.8839	6.2386	6.8074	5.8556	6.1491	5.7229	5.9956
U133A__DHRS2	3.6915	11.0353	9.9415	6.4724	5.6319	3.4445	4.9166	3.8597	3.4835	8.886	3.8089	4.3762	6.9515	3.9461	8.055	5.3919	4.6408	6.2546	3.3749	9.8464	9.1799	6.4362	3.8142	4.3924	10.9648	4.9896	3.6819	3.8658	4.6112	11.0403	3.5322	5.7199	3.7635	4.1461	5.3607	3.9059	4.3709	4.7984	6.5961	4.5859
U133A__CYBA	7.5824	8.4801	8.2641	9.4769	5.9814	9.258	8.3569	6.4165	8.8793	7.1529	9.324	9.0523	10.2521	6.2915	6.8616	9.1399	6.2252	9.4901	5.747	6.4921	9.1755	10.2423	8.5241	8.7282	6.2271	7.4685	9.6925	9.3142	10.221	7.853	6.143	10.2727	7.7619	6.4983	6.389	6.4006	6.3661	8.2007	9.3755	9.5046
U133A__RAB11FIP1	7.0112	6.3265	6.3952	10.1852	4.1652	7.5606	4.6623	6.1832	5.5435	7.7345	6.5955	5.6248	6.6226	5.2897	5.0526	7.879	5.1828	6.1834	5.6434	4.4743	5.1289	5.3596	5.4449	5.3435	6.8999	5.2841	4.1855	5.1493	6.8548	6.3631	3.4957	5.5237	5.5979	7.3772	10.4821	7.5511	7.0406	7.0536	8.8087	8.0265
U133A__CTNNAL1	6.8072	5.2576	6.5586	5.9492	9.2333	6.7237	8.9145	8.725	5.2291	7.0447	7.3007	9.0378	6.3929	8.7139	6.2145	6.4033	6.7594	7.8544	6.5949	8.1258	6.7643	6.5967	9.6872	10.2032	7.1815	7.3743	9.1127	6.467	6.1202	5.4645	8.052	8.7128	8.9356	7.388	6.9276	6.401	7.5563	7.1744	5.9706	7.1552
U133A__TTC39A	6.7363	7.9537	6.888	8.6528	3.8361	6.2428	4.2693	4.6311	5.2211	9.349	4.463	4.6581	5.3975	4.1091	5.2844	6.965	5.4051	4.311	6.2015	3.7661	4.5869	7.2805	3.4222	4.2968	7.8908	7.3398	5.0521	7.8998	5.7429	7.1437	4.1734	3.6019	4.3341	7.0522	7.8303	6.696	7.1654	8.5979	6.5769	7.4901
U133A__ST3GAL5	9.5805	6.4839	7.1715	6.4751	6.5116	7.1656	7.0327	6.8297	6.4177	6.6646	6.2875	6.5189	7.4825	7.0233	8.0535	6.7829	6.2111	6.6579	6.0716	7.1331	6.6666	7.2166	7.2347	7.1366	8.5636	7.8383	6.7365	6.8596	6.5607	6.6984	6.6962	6.5316	6.736	6.7353	7.5561	8.4997	6.4642	6.9124	8.0021	6.7229
U133A__LOXL1	7.6117	4.1966	4.3121	5.5348	8.338	5.7862	6.9908	4.933	8.9195	5.1848	5.3431	3.9845	4.0034	4.3856	5.2075	4.1953	4.8002	6.8359	4.9628	9.1502	5.6646	8.9368	8.3756	5.6773	6.3196	7.3211	5.7212	4.5602	3.8162	4.2818	9.7542	8.8104	6.6159	5.6259	6.3223	8.3171	4.6056	5.1326	5.3135	5.2119
U133A__CBX1	8.4414	6.701	8.128	8.569	8.3009	8.5655	9.3982	8.5777	8.5155	8.4208	8.4249	7.6401	8.1699	8.0173	7.215	8.5637	8.7994	9.1475	7.7093	7.9956	9.3734	9.1815	8.3982	8.7068	9.3827	7.8836	7.7429	9.1379	7.9157	6.7832	8.6748	7.5322	8.0114	7.2854	7.1549	8.6622	8.8604	8.3903	8.4396	8.951
U133A__CAPG	5.5436	6.09	5.3709	7.3148	8.3836	5.7225	8.4469	7.9746	5.6088	5.5312	7.3005	6.7155	9.1021	6.3692	6.9207	7.1039	6.072	8.3187	9.6081	9.0181	6.5195	6.2756	9.0276	8.7818	6.1538	8.8725	8.4004	7.2494	7.9909	7.4471	10.9442	8.9883	6.6338	5.9754	8.3332	5.5005	7.4246	7.8751	6.1978	5.8745
U133A__EVL	6.5819	6.5993	7.2508	8.0284	7.1084	5.4912	4.8447	5.4509	7.6442	7.3263	5.4225	5.6069	5.8148	5.1213	6.2053	5.0845	6.1689	6.5112	5.5906	5.4023	4.5521	7.7047	6.8544	4.7318	7.4779	4.4135	5.7002	5.965	5.3594	5.412	5.6858	4.3026	5.815	7.3008	8.4132	4.793	5.3382	7.2771	6.5164	8.1337
U133A__DSG2	6.2933	7.3653	7.4431	7.9979	8.7014	6.8108	7.7422	9.0995	8.3721	6.8674	7.1286	7.8072	6.7464	8.2853	6.1779	6.2759	8.2842	9.3294	9.5026	5.7974	7.2818	6.95	5.8236	7.6317	6.8121	5.4075	7.7383	6.326	7.2045	6.9088	4.8296	8.2165	7.5831	5.7935	6.7603	6.7872	6.8478	8.1937	7.2686	7.8434
U133A__ADORA2B	6.2311	6.1615	5.3114	5.5734	8.4773	5.51	7.5576	7.9456	5.3852	6.126	7.0501	8.6464	7.6821	8.9669	7.12	7.1201	7.0246	7.5635	7.1372	8.0401	6.1847	5.779	9.0234	8.2953	5.5289	6.2769	7.0087	5.5188	7.702	6.1711	7.4778	6.8111	6.6939	5.2126	5.5539	5.9435	5.4204	6.5418	6.1897	6.3068
U133A__ME1	8.3567	7.7974	5.9976	4.3669	6.2304	3.5126	6.2684	5.2956	7.5277	6.3978	6.0968	8.6735	7.608	7.8782	4.659	6.6291	7.442	6.9336	7.1357	6.5106	5.9111	6.5939	8.2989	6.5132	6.5847	8.4861	7.0108	3.7088	6.7743	6.4531	6.6978	6.6297	7.1395	3.7365	3.5909	8.4449	3.91	5.382	6.4445	7.0946
U133A__EPB41L1	6.2756	8.6816	5.8992	7.2	5.7308	5.6232	5.5269	6.8275	6.3902	6.1724	6.6843	7.4176	7.9325	5.6598	5.7933	6.1975	5.1855	6.1317	7.9828	5.4347	6.3392	6.3367	5.5381	5.1626	6.2773	6.5923	5.5662	5.6776	6.2817	7.7676	5.4567	4.6976	4.6678	6.5624	6.2549	6.3525	5.6601	6.5829	6.1802	6.7872
U133A__VTCN1	7.943	9.121	6.2752	5.5553	4.8316	8.0028	5.366	8.0431	7.7055	8.4783	7.4634	4.8218	7.826	6.1623	8.5541	7.6555	8.2835	6.6265	8.6	5.1922	4.8897	5.5276	4.7394	5.0538	5.9134	7.3527	4.7681	5.4448	9.192	8.8125	4.8202	5.143	4.5384	6.048	8.1269	5.2442	5.9255	8.1652	8.4302	6.6908
U133A__SUV420H1	8.4184	6.2935	8.3197	7.3251	6.0152	8.0207	5.3438	5.9581	8.1196	6.0526	5.2183	5.9548	5.9755	5.019	5.5126	6.6016	5.1908	5.8252	5.786	5.2395	6.1525	6.3096	4.9307	4.5903	5.949	6.2792	4.7395	6.8667	6.7692	6.0065	5.2142	4.8774	4.6831	6.5164	7.5552	7.155	5.7848	6.6498	7.9656	7.6793
U133A__FHL2	6.8345	7.5313	6.7725	5.7075	6.7465	4.7439	8.8582	8.3456	5.4334	4.6551	7.6402	7.5109	8.0003	9.859	6.1876	5.3809	7.916	7.8709	7.455	9.4441	6.409	6.7517	8.0689	7.9957	5.0216	7.9393	7.9288	4.7353	9.9351	6.6008	10.66	8.0581	7.9105	7.7389	7.7031	9.8828	8.7644	10.1995	6.2594	5.9175
U133A__TP53	4.3446	6.3107	7.4421	6.5696	8.6777	6.3807	7.9835	7.8645	8.1778	7.3335	4.3921	5.3349	4.237	6.7492	4.6348	8.2247	4.5802	7.4288	7.206	6.2844	7.4501	7.6644	4.433	7.6558	4.8471	6.8662	5.224	4.1163	7.6343	6.6233	7.125	7.8165	5.286	4.3986	4.239	4.3491	6.9765	5.6747	5.0216	6.2393
U133A__ALG8	9.4128	8.4278	6.5356	8.3549	7.9405	6.6033	6.6134	6.2182	7.6456	7.6652	7.8702	8.7761	7.8004	8.0008	7.4357	7.6089	7.3049	7.2125	7.3278	7.5191	7.5858	7.9871	7.7998	8.7431	7.2719	7.4657	7.3027	8.1124	8.2988	8.2403	6.5926	8.0269	7.7542	7.5285	10.1051	9.2336	8.4518	8.2776	7.1673	8.0229
U133A__ATP2A3	5.5132	9.319	8.7249	7.3499	5.168	6.038	5.663	6.2331	5.3263	5.7661	5.3368	5.4256	5.7565	5.5403	9.0107	7.0559	5.6157	5.4054	5.0194	5.5112	7.0769	8.6257	6.0057	5.3314	8.17	7.0926	5.6345	5.6003	5.2536	7.7102	5.4588	5.5272	5.605	9.8022	7.7089	5.9734	6.0096	8.4362	6.5268	7.4269
U133A__BCAM	10.151	8.1702	8.9493	8.1994	6.1925	7.2428	7.4964	8.1735	7.7114	8.0871	7.3462	6.5328	7.6031	6.7278	8.1161	7.4603	7.2592	7.7261	6.6556	7.1254	7.5406	7.3836	6.9566	6.6431	9.5823	7.5033	6.4178	7.9197	7.0762	9.1546	6.9064	6.5732	6.4991	9.2367	7.8943	9.1207	8.013	8.2831	7.997	7.2864
U133A__CAV2	3.628	3.1779	3.3923	3.0698	7.8986	2.8462	5.1588	7.2226	3.0586	4.8437	4.7763	8.5945	8.2912	7.4602	2.8226	3.682	7.035	7.4937	8.1446	7.6605	4.8362	4.751	7.6109	7.438	2.9043	3.4366	6.8305	3.0974	7.613	3.3199	7.4425	7.9614	7.5886	3.3399	3.0318	4.8789	2.8856	3.9524	2.9463	2.6443
