Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__TGFA	4.8332	4.3246	7.3547	4.9039	5.3107	4.3647	4.842	7.1015	6.0509	6.5597	5.1702	8.5234	6.108	6.7891	5.8299	5.5923	6.9812	7.2933	4.5175	4.3545	4.9468	5.5489	4.4311	5.0683	5.9663	4.9193	4.5688	4.471	4.6219	7.4506	4.4299	5.9042	5.2379	6.3412	5.4055	6.4351	5.2943	5.3319
U133A__C6orf211	4.7061	5.7621	5.6679	7.0185	8.9986	4.6285	6.9624	4.5967	4.1924	8.487	5.0896	6.0769	4.6395	5.7836	6.7831	4.2786	4.0272	5.9741	4.6184	6.7797	7.9113	8.0697	4.908	6.42	8.5915	6.0873	5.0652	5.1504	4.4327	4.8395	5.1406	4.7754	6.2025	7.0532	6.7713	6.982	4.5541	9.4202
U133A__CLDN4	7.8095	7.8886	6.8892	7.4307	8.0102	4.3947	6.203	7.5458	8.2974	7.4553	7.4055	6.5293	7.7536	7.9433	7.7545	7.8168	6.8585	7.604	4.6864	7.6706	6.9713	6.7166	4.3184	9.4105	7.1352	7.4668	6.7302	8.1243	4.5668	6.7523	3.8645	9.26	8.5318	6.2457	8.066	7.7975	7.5057	6.617
U133A__KIAA0040	7.4994	6.4763	6.2241	6.3177	8.4261	5.5327	7.1961	6.3227	5.7125	7.9873	6.0097	7.8512	6.4646	6.2896	6.4563	6.0658	5.6974	6.5026	5.7298	5.6006	5.9483	7.6846	5.955	6.4962	6.0962	7.1032	6.9009	7.0973	5.2923	5.7746	5.1966	6.184	6.4999	8.7619	6.5898	6.2826	7.188	6.3955
U133A__IFRD1	5.4877	4.9609	6.223	6.1315	5.37	6.6057	4.5862	4.8029	8.1135	5.2789	8.2698	5.9761	6.4008	5.8931	6.959	7.5063	6.305	7.2214	6.5547	7.5278	5.16	4.7386	6.84	4.7622	4.2376	5.1419	4.3653	5.7774	5.6285	7.0969	5.726	8.0212	6.0891	6.9652	3.9585	4.1403	5.2741	5.3617
U133A__MBNL2	5.4423	7.1301	8.2242	6.9266	6.3789	7.5204	6.3889	7.0872	6.6647	6.2769	7.2559	6.1725	8.5786	7.1597	7.9226	7.5396	6.4642	8.1549	6.4804	6.1638	6.2054	4.1661	6.866	6.0078	6.8225	6.7261	5.267	6.5825	5.3103	5.603	6.3923	8.6513	8.176	5.6113	6.2038	6.5181	6.0766	4.5447
U133A__CD164	8.8299	7.4328	7.8665	9.2592	7.0173	6.725	7.417	6.2788	6.6028	7.1499	7.0635	7.0555	8.4732	7.2985	8.7913	7.3645	5.813	8.0951	6.2029	6.6221	7.6965	7.5817	6.8808	8.2318	8.7748	8.5415	7.5779	7.1225	6.9702	6.1841	7.3245	9.5526	8.5094	9.2897	7.6503	8.2668	9.5015	7.5031
U133A__PCTP	6.8289	5.8709	6.6213	8.1664	6.5612	5.1232	5.3802	9.315	5.6513	6.7262	7.3226	6.3297	6.1024	7.302	5.2925	6.4219	7.3253	7.702	5.4234	6.3381	6.567	6.1451	7.3843	7.1665	6.5636	6.578	5.4163	5.4077	6.0721	6.2962	6.41	6.199	7.0656	6.584	6.8001	6.5245	6.6801	6.402
U133A__ZSCAN18	5.152	4.7958	6.4517	7.0714	8.6682	6.8552	6.1901	7.7	8.3551	7.226	5.2372	6.2193	8.0343	5.3119	7.659	6.4413	9.1674	7.3018	5.1171	4.7969	5.7154	8.7884	6.0862	6.6889	6.9565	5.2439	4.7623	5.4213	7.5037	5.87	4.1685	4.6237	8.2326	5.3803	7.7059	6.9884	5.729	5.1795
U133A__EMP3	4.327	3.9888	4.4028	4.2731	4.2246	9.9908	4.5129	5.9249	4.5177	4.8069	4.4271	6.169	4.4585	4.1728	4.8236	4.8179	9.0618	5.7623	10.2742	4.4979	4.6047	4.5679	9.169	4.2846	4.4717	4.519	4.3967	4.5344	9.6246	8.36	9.3993	5.4208	4.3435	4.3907	4.6524	4.1567	4.2003	4.5004
U133A__GPX1	8.9739	4.0916	9.6587	9.13	4.1978	9.7074	8.7943	8.6375	3.8954	7.8047	3.5472	8.4418	9.4091	9.7496	3.7548	10.5188	9.1911	8.6679	9.1332	5.2514	5.269	9.851	7.3749	3.9513	9.7769	8.2842	9.6262	4.1969	8.82	10.2252	9.2677	3.2767	9.1704	3.978	3.5145	4.9552	3.7776	4.1642
U133A__PODXL	5.8122	5.7718	6.187	7.415	6.6408	5.2774	6.7693	7.8292	8.6333	5.6383	5.5409	7.5824	8.1435	5.8862	6.0954	7.4922	5.36	8.3307	6.3805	6.9023	8.2421	7.1327	6.063	6.6091	6.9862	5.6992	5.7078	5.6023	5.7194	7.4992	6.0624	6.5541	5.9813	5.9662	5.7361	6.265	5.4449	6.6903
U133A__L1CAM	5.131	6.8401	8.8594	5.4162	6.1226	5.1979	5.9992	5.5173	7.8196	5.2405	5.5027	5.3762	5.4281	5.847	7.5077	7.1837	6.3174	4.9963	5.9868	7.9212	7.0946	7.0356	9.0199	5.9986	5.3735	5.5797	5.2012	7.695	5.1086	9.1313	5.2153	6.4661	5.7168	7.2869	6.3167	7.8844	5.2102	5.2926
U133A__ZNF544	6.9864	6.6867	8.7357	6.9637	7.6542	7.1156	7.4338	7.4326	7.681	7.4451	6.6237	9.6213	8.1072	6.7879	7.0077	6.8549	7.3676	6.9216	7.1203	7.0009	6.9974	7.2612	6.3988	6.4939	7.0974	7.1081	6.2996	6.724	7.0081	6.8126	6.8659	7.3366	7.3685	6.3543	6.967	6.629	6.3383	6.9272
U133A__GPRC5A	7.4835	8.1924	10.8478	6.6047	8.4387	6.411	7.0096	8.9953	5.7325	6.94	5.5498	8.3772	7.6094	9.252	9.0365	8.5419	8.7773	9.0299	7.3729	7.7901	8.8337	7.6604	5.9316	9.2595	7.3947	8.0719	6.3931	6.2926	5.6671	10.3479	6.9332	9.4321	8.0798	7.8656	6.8201	8.9387	6.3194	6.9714
U133A__CYBA	7.5824	8.4801	6.1991	8.2641	9.4769	5.9814	9.258	6.4165	8.8793	7.1529	9.324	9.0523	10.2521	6.2915	9.1399	6.2252	9.4901	5.747	6.4921	9.1755	10.2423	8.7674	8.5241	9.1094	6.2271	7.4685	9.3142	7.853	6.143	10.2727	7.7619	6.4983	5.6748	6.4006	6.3661	8.2007	9.3755	9.5046
U133A__IFI6	4.9866	6.1205	5.2706	5.4451	10.1621	5.5759	5.5314	7.4325	7.2127	6.6375	9.9393	6.0926	8.479	8.4356	5.4425	5.726	6.5632	8.5826	6.9663	5.9167	7.0966	7.5224	9.0873	6.7666	6.2391	6.5746	5.8892	5.4492	6.297	5.3162	5.104	5.1714	8.6501	5.6316	5.4146	6.5746	5.244	4.6725
U133A__CDK19	5.3304	5.8767	7.3963	6.7732	5.9929	6.3736	5.4995	7.5978	7.2361	5.3764	6.264	4.9381	6.5455	5.2812	6.3578	5.7137	5.5056	7.5181	5.0315	5.9824	6.1391	7.2497	6.6508	6.0127	6.7105	5.9518	5.812	5.4341	5.7714	5.663	4.4614	6.498	6.2092	5.8676	4.777	8.6431	6.62	5.6184
U133A__HIST1H2BG	4.8283	4.2641	3.7738	5.0005	8.9158	4.5763	5.5262	4.4331	5.2718	9.2574	5.3945	5.7249	6.471	4.4167	6.6603	4.5105	7.4535	4.1956	4.0378	5.3949	6.6731	6.9855	5.2408	5.3898	8.9951	6.9417	6.9214	4.4134	4.9449	4.4145	4.68	5.8657	6.7726	3.6731	5.8628	4.7131	4.8942	4.9211
U133A__PSMB3	9.6802	9.084	9.8988	12.1363	9.6264	9.5618	10.306	8.8918	9.2269	9.1014	10.006	10.2436	9.5561	9.7906	9.2113	9.923	10.0025	9.3135	9.7381	8.6375	9.5798	9.9499	10.0309	9.6853	10.8509	9.7682	9.7899	8.7196	9.5636	9.7851	9.9523	8.3181	8.917	8.9793	10.2048	11.8259	9.0869	9.9681
U133A__PHYH	6.4054	3.9401	5.8836	5.7494	5.8753	6.3413	6.5331	7.3084	5.9319	6.3361	7.0474	5.2042	7.1477	6.3933	6.5928	7.047	7.8093	8.045	5.0085	5.1134	5.7047	6.6815	8.348	7.1058	6.3779	5.1559	4.5231	4.0698	8.1582	5.766	6.2158	7.1574	6.2471	5.654	7.3429	7.4979	6.3222	6.6848
U133A__CRAT	6.1327	7.0301	4.5222	8.5392	5.3326	6.6085	4.9208	5.0816	7.4136	5.5972	6.259	4.5969	4.802	4.7328	6.135	5.24	6.8102	4.6552	5.6507	4.7699	4.963	5.0092	6.6468	6.8732	6.5012	7.3414	9.0429	5.5132	6.5242	6.0194	4.8625	8.281	5.362	6.3673	6.9289	7.6199	7.4963	7.0787
U133A__SEC23A	5.6536	6.4033	6.0959	6.3551	5.6767	7.5831	5.0365	5.6319	6.0224	3.7853	4.5046	6.0269	5.8319	6.0896	7.3692	7.0419	7.823	6.2331	6.2394	6.075	6.6442	5.7261	6.617	6.0018	4.5341	5.9943	5.3945	5.3527	6.4626	6.0872	6.8353	7.8656	5.2568	6.3942	5.4397	7.0233	4.3727	6.6133
U133A__TXNIP	9.0198	6.3159	6.4357	8.3832	9.4834	6.3813	7.8916	9.8559	5.7644	9.3606	6.8518	6.1465	7.4178	7.8682	9.4289	7.6529	6.0667	7.4504	5.6214	6.9145	7.9565	7.329	6.5723	9.169	8.9171	8.1792	7.3859	6.7269	5.781	8.2045	7.9514	10.3303	8.9095	10.2571	7.8199	8.5902	10.4484	6.8079
U133A__XBP1	10.8344	9.815	7.6964	10.7009	11.15	7.9069	10.6604	7.6036	7.9543	9.2154	7.8611	8.1184	8.313	7.637	10.5899	8.1677	7.1544	8.6517	7.6438	9.3516	10.7117	11.2426	7.2265	11.6896	11.5911	11.2322	11.2977	10.1574	7.1282	7.1631	8.0768	11.2015	11.1151	10.9035	10.9459	11.0313	11.6974	10.5644
U133A__EVL	6.5819	6.5993	4.6086	7.2508	8.0284	7.1084	5.4912	5.4509	7.6442	7.3263	5.4225	5.6069	5.8148	5.1213	5.0845	6.1689	6.5112	5.5906	5.4023	4.5521	7.7047	7.3885	6.8544	6.2239	7.4779	4.4135	5.965	5.412	5.6858	4.3026	5.815	7.3008	5.4453	4.793	5.3382	7.2771	6.5164	8.1337
U133A__HMGCR	6.0331	6.4326	6.3363	7.321	6.5609	7.8885	6.984	5.8695	8.4586	7.2356	7.0394	7.1813	6.4928	6.9416	6.5252	6.7469	6.5062	7.7537	6.9313	6.2219	7.1617	7.3516	6.3985	6.6085	7.067	7.7083	7.7555	6.2658	6.6407	6.9814	6.8028	7.84	9.7292	6.1367	6.9266	8.4925	7.1185	8.0725
U133A__PIP	6.4355	7.3069	6.3157	7.061	7.2807	6.2596	6.2897	6.4685	6.4454	6.2459	6.3056	5.9752	6.0752	6.4284	6.7761	6.4129	6.1173	5.7083	6.2892	6.0998	6.2914	6.1608	6.1202	10.0061	7.7157	6.8376	7.9615	7.0196	6.1485	6.3994	6.1424	11.8405	8.7615	6.0735	11.2874	8.8185	7.5776	6.1976
U133A__UBE2L6	7.0686	6.0578	7.2897	6.009	9.2064	6.4877	7.7691	6.5728	9.9793	8.4731	7.8909	9.2682	9.8403	7.5473	5.2854	5.8958	8.4849	9.1647	7.392	6.342	6.1751	9.54	8.7362	6.4095	6.8248	7.4593	6.5761	5.9433	6.3902	7.134	7.3836	7.5516	9.2236	8.1028	7.7105	8.2647	5.9847	5.3484
U133A__IFIT1	4.7114	4.2157	5.0235	4.5077	9.7076	4.7238	4.3455	4.7744	6.9119	6.1597	6.2547	7.0582	8.6976	6.346	4.894	4.5623	5.5582	8.9034	4.7911	4.6602	4.9544	5.3881	7.9414	4.9999	5.5062	4.8948	4.8674	4.4414	6.1359	4.2817	4.4171	4.5392	9.1874	4.7807	4.4767	4.3094	4.7475	4.2272
U133A__HSPB1	9.8381	11.9878	10.658	11.1392	12.1917	10.9092	12.4619	9.7586	9.4377	11.9863	10.4327	9.9008	11.9422	9.7152	7.6241	10.821	9.9102	10.7294	10.9497	11.5674	12.3547	11.3351	10.3616	12.8993	11.75	11.1248	7.7425	11.0928	10.9232	10.4221	10.3461	8.3736	11.3463	7.4763	12.0345	11.6336	10.7593	11.8178
U133A__EIF5A	6.1532	10.2322	11.5081	6.6804	8.676	10.141	10.3505	7.0561	6.2771	10.4307	10.9743	9.7164	7.3039	9.2206	10.6954	11.0518	6.7936	10.9733	11.4584	6.2508	7.0806	7.2351	10.9628	6.3987	8.213	8.5732	9.7217	9.4725	10.7482	11.3354	10.6383	7.469	5.9167	10.9772	6.6051	6.774	8.3558	9.9089
U133A__SLC43A3	8.4498	6.0402	5.8992	6.212	6.1253	6.9124	6.1527	7.4181	7.4411	6.0274	7.9581	7.8423	8.1366	6.946	5.7151	8.4918	7.4582	7.9368	5.8347	6.1997	5.9817	6.1113	7.6993	6.2875	6.1498	5.9736	8.3214	6.166	7.6939	10.4636	6.3855	6.2893	7.9302	6.2692	6.843	6.1697	5.9313	5.7173
U133A__SFN	8.3014	9.5185	10.9821	9.0621	7.5768	6.4505	9.6873	10.6618	6.8789	6.2653	6.6852	11.3484	11.2318	11.2977	9.037	10.976	8.2735	11.7302	9.2163	9.4032	9.7397	9.2569	6.3192	9.423	8.9324	10.2687	10.4715	8.3034	6.7768	11.2935	9.8844	9.5483	10.7002	8.7112	8.9884	8.2875	7.5367	9.7287
U133A__NFE2L1	8.2804	7.7434	7.8276	8.2998	7.9707	7.6509	8.0389	9.8821	7.1355	7.8831	8.6673	8.0502	8.5971	7.4599	7.9417	8.4717	8.445	8.0531	8.0109	8.4411	8.5213	7.4537	7.3248	7.4906	8.893	7.935	7.7687	7.4362	8.4148	7.889	7.8649	8.3718	9.2852	9.0828	8.5447	8.1149	7.9741	8.136
U133A__KLK6	5.4123	4.917	9.4507	4.8753	4.8251	4.9481	5.1348	9.2735	8.0249	4.9307	5.5788	5.2118	9.1099	11.2762	4.9339	8.6374	5.5375	4.5087	5.3166	5.1605	6.1085	4.7658	4.9606	5.3853	4.9731	5.1898	5.2134	5.3923	4.8629	4.7454	4.6814	5.0521	8.6083	6.9941	5.0235	5.6345	5.0571	4.6177
U133A__DENND2D	7.4958	7.4556	4.9648	5.7265	8.5326	4.6513	8.6196	5.5103	5.2798	7.1097	6.1298	6.2403	6.9926	5.5069	4.5585	4.9996	6.5644	7.7754	5.2324	7.2123	6.653	7.6433	4.7386	6.6939	7.1371	7.3444	6.518	7.5157	5.1945	4.5415	4.1664	5.338	7.6249	7.0955	6.6906	6.9624	6.7653	6.5483
U133A__BRP44L	7.3579	8.4504	6.9671	6.6044	6.1956	6.4688	7.3948	6.1308	7.78	6.7401	8.099	7.6553	7.1964	7.7168	9.8542	7.801	5.8538	6.771	7.1507	6.6991	6.4159	8.2166	7.8053	7.8571	7.5752	8.1616	7.7041	8.3869	7.4621	6.758	7.6077	7.3253	8.9495	9.1394	6.907	7.457	6.8471	7.551
U133A__HSPB8	7.1855	6.051	8.3424	6.117	10.5584	4.8732	8.9372	5.2653	5.2554	9.9574	5.3779	7.1384	7.7295	5.5586	5.7058	5.2302	6.0879	4.9705	7.4722	5.9505	7.092	7.9963	5.6915	7.4217	9.502	7.0711	5.3281	5.3147	5.3216	5.8513	6.7961	5.3147	7.2769	8.4231	7.8393	9.15	5.4253	7.0301
U133A__MXI1	7.7833	7.0097	6.626	7.3195	8.6692	7.3301	7.4381	7.8076	8.4684	7.3445	7.0584	8.1907	7.1562	5.9531	6.805	6.9029	7.5514	9.087	6.6939	7.6389	7.3389	7.2612	6.8367	6.8689	8.0918	6.9184	7.0976	6.4319	7.3327	7.402	6.8419	8.3324	8.0127	6.9331	7.1939	9.4942	9.8356	7.0224
U133A__FAM174B	7.6688	7.039	8.6806	7.2556	6.398	5.5542	6.0659	5.9859	5.9155	6.0452	5.895	5.4407	6.3246	6.3647	7.2938	5.6754	5.7021	6.1376	6.1391	6.7886	7.0665	6.8153	5.7914	7.8239	7.5637	7.1023	6.5758	6.7257	6.0008	5.608	5.8132	8.5023	7.6422	6.56	6.7379	8.822	6.8445	6.1006
U133A__STAT1	7.2521	8.0289	8.9076	7.5388	9.9742	8.2815	6.9856	7.9112	8.6978	8.049	8.3459	9.0902	10.2397	9.0231	6.7996	7.7738	8.9201	9.7459	7.9713	8.0961	8.2953	8.929	8.9037	6.852	8.2216	7.4767	7.903	7.4653	8.244	7.9746	7.4368	7.4307	9.7004	7.3811	7.3093	7.9471	7.2797	7.4195
U133A__TACSTD2	11.0258	10.6889	9.1111	6.5786	10.5429	3.5317	8.5163	11.5262	8.1433	9.3346	3.8656	9.9896	11.7522	10.6345	10.1157	5.5914	10.1821	11.7611	3.6796	8.6657	9.6662	4.0564	3.2548	10.3043	9.3361	10.2608	9.4397	9.9208	3.588	10.6414	3.7998	9.7053	11.4549	10.2252	10.5847	10.7636	9.2704	8.0096
U133A__CTGF	7.1473	7.1015	3.7722	4.1421	3.9205	8.5961	4.3162	9.9978	4.0779	4.3177	9.4636	4.2303	4.7664	5.4268	6.0839	8.247	7.842	4.0585	9.9469	3.8967	4.0791	3.933	5.2649	5.107	4.0025	4.9953	4.3345	7.9564	9.3229	4.4806	7.7701	4.498	6.5857	7.0046	4.3973	4.0011	4.4522	3.768
U133A__MFAP2	6.1012	6.6076	6.4087	5.9402	7.111	7.5045	5.7163	6.9391	8.4452	7.7932	6.2262	8.1355	7.0665	6.1253	6.7741	5.872	7.9716	6.0081	8.2035	5.8531	6.5901	7.7756	6.9779	6.299	6.3103	6.1716	6.4924	6.7567	7.848	8.0483	6.2524	9.4332	5.8981	6.033	6.5117	6.0933	6.4525	6.9361
U133A__SHB	6.1653	6.8733	6.828	6.1711	6.3303	7.2606	6.1796	6.4954	6.4016	6.8149	6.1061	7.1242	6.5164	7.1248	9.4468	6.3557	7.5118	8.0176	6.6858	6.4005	6.5346	6.4142	6.7529	6.5025	6.3874	6.546	7.5095	6.2702	5.2957	5.9911	6.1421	7.0421	7.0962	6.027	6.3154	6.456	5.9912	5.9384
U133A__MDK	6.9831	5.8166	5.8069	10.4845	7.2442	9.5628	5.4762	7.2438	10.8926	6.6919	8.7624	7.8046	8.1924	5.8212	9.4224	5.5966	9.6158	7.3553	5.9591	7.08	9.2987	7.0267	7.3533	8.0454	9.0373	7.1533	6.1214	5.8713	5.747	6.4917	5.8461	10.8153	8.6003	6.3981	7.7515	7.1022	5.765	5.7944
U133A__TOB1	8.8416	8.1199	7.4176	9.54	10.0412	5.6991	8.2963	8.2331	6.9626	9.9774	7.4185	7.3983	7.7978	6.7211	8.3342	7.3782	8.2944	7.4541	4.4955	8.4614	8.9689	8.6463	7.562	8.9663	10.6432	8.5555	9.5297	8.6703	5.2081	4.7449	5.9356	8.5847	8.2344	8.8228	9.8445	9.2366	9.6404	9.1081
U133A__KDM4B	7.0519	7.1044	6.0515	7.4491	8.6966	7.1928	8.1492	6.1444	7.9974	8.6306	5.6694	6.594	6.2074	5.1967	6.7817	6.8032	6.8838	6.5409	5.945	6.1848	6.9393	9.4039	7.2455	6.7971	7.5952	6.4755	8.2976	6.1498	6.6724	6.5498	6.4961	7.8561	6.9118	6.5551	8.9722	7.696	8.1269	7.1149
U133A__SNAP29	6.0753	6.8847	7.0222	6.6089	7.6741	7.0706	7.4019	6.5554	7.2833	6.8021	7.1487	7.2073	7.9185	8.4478	6.7032	7.5518	7.013	7.1292	7.5478	6.7251	7.0938	7.2318	7.2566	7.0695	7.2875	7.2888	7.6468	6.3874	7.2314	7.0364	7.2486	6.6066	7.674	6.8386	7.0725	7.5151	7.0041	6.7427
U133A__COL4A2	6.4635	5.4771	6.2726	4.9197	4.4398	9.5328	4.7309	6.7139	4.8079	4.9894	7.5194	8.2333	5.6191	5.1904	5.0157	9.3085	8.3007	4.2182	8.3461	4.7889	4.7039	4.7941	9.7331	5.177	4.8098	5.2981	4.7465	5.4106	6.024	9.0196	4.8637	4.61	4.6647	4.8703	4.9757	4.6655	5.105	4.6821
U133A__CXADR	7.6356	8.125	5.9299	8.0181	6.1243	6.7715	6.9799	9.6569	8.9106	5.2516	7.8702	7.8678	7.9469	7.8178	8.9819	8.0862	7.9097	9.6282	6.0306	5.2912	5.231	8.6152	6.9797	8.4334	8.1996	7.5407	8.7362	7.2304	4.3852	7.5256	5.8744	9.329	8.3891	8.1198	8.1157	8.0455	7.9043	7.8021
U133A__KRT8	10.7115	11.2525	11.4126	11.1708	11.8105	4.6994	10.4767	9.9402	9.7313	11.932	8.4941	8.913	10.6646	11.1743	11.4994	9.9269	9.5922	9.5457	5.7145	11.6793	12.1159	10.506	7.5837	11.0665	11.2063	10.4653	9.1194	11.5414	4.6224	9.8963	8.3775	10.5897	10.994	9.9593	11.9459	11.5683	9.9995	11.4816
U133A__SERPINE2	4.1494	4.4242	7.97	4.9022	4.2554	9.6075	4.4355	6.6807	6.0426	3.9813	8.4672	7.9594	4.2132	7.2359	4.2348	6.9187	8.2237	4.4336	10.6755	4.6808	4.5754	4.2682	9.6812	3.944	6.9121	5.0607	4.343	4.6083	5.8042	7.156	4.8219	4.8116	4.3567	4.627	3.9897	4.2821	4.3236	4.6368
U133A__ANKRD10	7.8731	6.1765	6.8833	7.2282	6.7565	6.9052	7.1492	8.9633	8.3136	5.4507	6.0882	6.5991	6.1261	7.9643	6.4694	6.7987	6.5574	7.0061	6.6894	5.8916	6.0195	6.5239	7.8067	6.3685	7.3459	6.5172	6.3126	5.9882	6.3393	6.0935	6.2186	6.1036	7.86	5.9316	5.7633	6.1347	6.7487	6.2541
U133A__TNFSF10	7.4048	4.6934	4.1345	5.0365	6.1542	4.0584	3.8828	6.6466	7.8221	4.4769	3.9907	5.5926	8.5859	4.1981	7.3273	7.1749	4.0838	9.3001	4.0692	4.215	4.7545	4.8323	5.926	5.2022	6.5527	7.1184	5.5367	4.2591	3.9032	3.8381	4.2542	7.4595	8.7164	7.4724	4.6913	7.1343	4.5162	3.8928
U133A__PCGF2	7.2304	6.2567	5.7636	9.7272	7.4853	7.0408	6.5164	6.6069	6.7373	6.1658	6.2166	6.365	6.6828	6.5128	6.891	6.8682	7.7879	7.873	5.75	7.2575	6.8517	7.15	6.5602	7.3088	8.2729	6.4638	6.6856	5.9863	6.0909	6.3687	7.1004	6.9964	6.7374	6.4112	7.4182	9.9785	7.1873	7.5539
U133A__HIST1H2AC	6.6347	6.1315	6.2762	6.5263	8.9285	6.3159	8.2325	6.2668	5.7625	8.2922	6.892	6.4753	8.9315	5.4115	9.1759	6.6311	9.0257	6.3429	6.1112	6.5974	7.5399	6.5756	7.5443	6.7217	8.1253	8.7312	7.1371	6.148	7.2614	5.7119	5.4892	7.0303	8.049	6.763	7.3041	6.8911	6.201	5.5955
U133A__CRABP2	7.7927	6.2883	7.6984	7.1272	11.2478	7.1984	9.2384	10.2575	11.042	10.4868	7.9145	5.679	11.2348	9.6855	10.9394	9.1947	9.329	11.2675	6.4565	10.9021	10.0104	10.3883	6.0832	10.5335	7.7354	10.3027	10.8015	9.5601	7.2299	6.7276	6.367	9.2587	8.4121	9.1007	10.4822	11.9965	9.367	8.6028
U133A__PTPLA	5.6938	4.6823	8.4154	5.182	6.3219	10.3468	6.3568	6.7459	5.8693	5.5657	8.0611	5.5909	5.7785	6.5564	4.9583	7.3047	7.8945	6.0142	6.1322	5.8509	6.5989	6.5047	9.4651	5.5866	6.2385	5.0439	5.0779	4.2583	7.0215	6.8608	6.9817	6.4239	5.1713	5.2383	6.5071	7.8667	4.9885	5.9094
U133A__DHX40	7.0381	5.7867	6.4315	8.6347	7.5986	5.919	5.9241	6.2316	6.2846	7.014	5.6478	6.411	6.2943	5.4408	6.003	6.5949	7.426	6.0468	5.1125	7.2359	8.2093	6.9354	6.8654	5.6059	8.5027	4.9426	6.9965	5.1172	6.5324	3.9736	5.98	5.644	6.7685	6.3122	6.9005	7.842	7.2802	7.0766
U133A__CITED2	6.5982	7.7415	6.0367	6.6171	6.2217	8.6066	6.6819	8.129	5.4857	5.8681	6.4711	5.6471	7.2761	5.0942	9.6672	5.0741	7.2485	5.5668	7.7101	6.7048	7.0532	7.0748	6.3869	7.4172	6.8764	6.7352	7.2716	8.0474	7.6179	4.1856	7.6259	7.8132	7.6703	8.3585	6.9528	9.1731	8.0739	6.485
U133A__ISYNA1	7.373	6.2368	7.8092	6.2863	7.5215	6.4988	6.4888	7.3933	9.9775	7.7952	7.6356	7.0895	6.6568	5.7452	5.6818	6.726	7.5231	7.9347	5.4531	6.6	7.3573	8.4527	8.1286	8.0915	7.097	6.0186	8.8166	6.7392	8.9433	6.9752	5.4694	8.0671	6.1513	5.3948	7.7728	7.9949	7.363	7.6432
U133A__AKR1B1	5.4264	6.9517	12.2474	5.9901	5.6065	8.7781	5.6946	5.6857	6.894	7.4072	8.1445	9.6667	9.0128	6.1103	5.5161	9.8841	10.5542	10.1821	10.9824	5.9497	5.9629	5.5375	10.7395	7.1787	6.313	7.2479	5.7109	5.7104	9.5693	11.8108	11.2588	5.2415	5.4299	5.3117	5.4185	5.0463	5.5959	6.4257
U133A__TTC39A	6.7363	7.9537	4.4192	6.888	8.6528	3.8361	6.2428	4.6311	5.2211	9.349	4.463	4.6581	5.3975	4.1091	6.965	5.4051	4.311	6.2015	3.7661	4.5869	7.2805	6.8676	3.4222	5.9355	7.8908	7.3398	7.8998	7.1437	4.1734	3.6019	4.3341	7.0522	7.0384	6.696	7.1654	8.5979	6.5769	7.4901
U133A__CCND1	9.1764	8.4714	8.2977	8.1237	9.1256	5.4377	8.8941	10.0998	7.9929	9.1837	4.3292	8.6063	8.813	10.9904	8.1578	6.4037	8.1008	9.0473	8.209	8.2177	9.1804	11.883	6.9939	9.3043	8.5351	10.1566	6.4129	7.9009	6.6177	8.3147	8.4694	8.7082	8.6652	8.5885	7.1643	7.8528	8.5427	9.2077
U133A__KRT19	11.6554	11.9776	10.9191	11.935	12.491	3.995	11.6489	10.8671	10.3292	12.2228	3.8177	10.8381	4.5913	4.6342	12.4618	11.0216	10.3341	11.7799	3.831	10.65	11.6347	12.2467	4.0939	12.0447	11.6624	11.784	10.9377	12.0028	3.9802	10.1275	3.2941	11.8623	11.6439	11.4468	12.1604	12.1037	11.9516	11.561
U133A__CNN3	6.5662	5.928	7.2837	6.2459	5.2624	7.9772	7.5358	7.333	7.2978	5.852	8.5066	5.2216	8.3566	7.6308	5.711	7.0815	8.6543	9.1609	8.1059	3.6902	3.6053	8.2442	7.3666	6.0036	7.1398	7.5905	8.7984	6.3226	7.2367	6.9493	5.7464	5.5974	9.1542	7.5337	7.6915	8.1608	6.8602	3.467
U133A__ALDOC	6.5777	8.3205	6.2278	6.6705	8.4622	5.9173	6.748	8.3786	7.6054	6.2571	8.268	6.8246	5.9627	7.5516	6.3166	7.6059	5.9395	5.9531	6.084	7.2912	7.7475	7.8802	5.3038	6.7481	6.11	6.5345	6.1454	8.8374	6.2906	6.7714	6.409	6.929	8.0066	6.3134	7.7955	11.3442	6.2557	6.2591
U133A__CYP1B1	7.5192	6.2606	8.5069	4.9105	5.5792	8.151	4.1785	5.7873	9.7315	5.5791	4.312	6.1979	7.1729	8.4376	5.8894	4.2552	10.1131	8.1797	3.837	7.9674	7.8669	9.832	10.1758	7.9074	9.6657	8.156	7.3836	7.387	8.1346	7.4181	3.6701	8.3413	5.3846	8.6291	8.2634	8.1212	8.6215	8.3112
