Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__LANCL1	6.7689	7.9484	6.1735	7.1973	8.0437	7.4032	6.8113	8.2676	7.471	7.7845	6.858	6.4065	7.4074	6.1261	7.1325	6.5866	8.9228	7.4355	7.3639	6.9245	6.5193	7.6214	7.1381	6.6311	7.7475	6.4586	7.6675	9.6917	8.1542	7.0607	7.5143	6.6789	7.4457	8.0595	7.3913	7.8901	8.0387	7.3553
U133A__HOXB7	5.175	4.8873	7.3901	9.0118	5.6786	6.3284	4.8234	5.6419	4.8382	6.5724	6.2392	7.5758	6.5386	5.9827	5.4267	4.3327	6.2577	7.0757	4.8748	5.8235	6.2985	4.8674	5.022	5.732	5.8222	6.5039	4.7583	4.7123	4.8437	4.8257	4.967	5.1662	5.7947	5.9603	5.1748	7.573	5.6129	7.0481
U133A__GATA3	4.3432	3.6303	5.3574	5.039	9.974	4.1358	8.5593	2.9041	5.2215	8.0058	4.0984	4.9866	4.7334	5.0131	7.9089	3.0972	5.915	5.4572	3.2756	8.2784	9.0129	8.8407	2.9786	7.4635	7.1761	6.9304	9.0051	4.2017	3.2494	3.2905	2.7796	8.2158	5.6253	7.0477	8.5736	7.9187	6.4257	8.156
U133A__TOM1L1	7.9076	5.7186	6.2969	9.4773	7.1879	5.1145	6.9637	6.7397	4.7466	7.9732	5.146	5.9551	5.8162	5.9377	6.3062	6.4622	6.6798	6.1347	4.2894	7.0622	7.4272	7.1205	5.3791	7.2296	8.1008	6.8372	7.168	5.5921	6.9032	5.8708	6.031	6.4239	7.0091	6.756	7.2706	7.6229	8.6175	7.7091
U133A__ZNF238	6.9296	3.6984	8.1969	7.2027	8.8738	7.2082	4.9441	6.3162	7.6741	3.3173	8.3037	5.0206	6.5104	5.7289	7.2653	6.3071	4.5975	6.9448	5.6544	3.3741	3.5935	4.9768	7.0301	5.758	6.4543	4.1213	4.6561	3.2385	4.123	5.4605	4.4145	7.3186	7.2616	7.108	4.5444	8.6131	7.2481	4.7902
U133A__CTSH	7.7912	7.8723	8.9284	7.1516	7.8606	7.6416	5.9081	8.2239	6.6067	7.394	8.0708	7.8029	9.1521	8.9282	7.4304	8.2436	7.9671	9.1895	6.2436	7.3984	9.0816	6.3329	6.9505	8.1891	6.8663	7.6441	6.3931	7.6669	7.427	8.1701	6.6331	5.5263	8.3996	7.2394	7.1167	9.3313	7.7488	7.101
U133A__CD24	9.747	9.5437	8.9504	8.7744	8.2393	3.5199	8.2221	9.2422	7.2274	6.6408	6.3939	6.8512	9.9667	9.5275	11.2971	10.3802	7.1	8.5836	3.7671	5.9387	8.2443	9.1643	4.448	8.7916	9.446	9.4698	8.2285	9.1722	2.6672	7.1838	3.0234	10.3803	9.7513	8.0689	7.9118	9.5413	9.566	7.3369
U133A__BASP1	5.4356	5.7977	4.4396	10.6202	9.2038	11.5185	8.8654	6.594	9.1826	5.6244	6.3603	5.5235	8.6432	5.4185	9.2461	7.096	10.984	5.1029	10.982	9.543	11.1484	8.6087	11.8373	5.8638	8.7157	5.3006	6.2352	9.4114	10.254	7.787	10.2463	6.6101	4.8086	5.856	5.2301	8.934	5.5732	5.2642
U133A__BST2	8.7431	6.628	8.2193	4.2637	9.7762	5.2164	8.5034	5.4118	9.5469	8.8584	9.1133	6.7513	10.0594	8.3263	4.4392	6.9466	4.8507	10.1508	5.5764	6.1967	6.2168	8.0857	7.5776	9.7058	4.849	8.3117	8.8676	5.8416	4.9275	8.3869	7.5466	9.1934	9.8754	7.9052	8.5472	4.5861	8.4818	8.7943
U133A__TPBG	8.362	9.3082	9.5497	10.0326	9.716	9.0389	8.1457	8.6684	8.0417	9.4877	7.0253	9.8269	9.1174	9.7268	8.3264	9.6879	7.878	9.2793	10.0826	8.4052	10.3529	11.3764	9.4309	9.3753	11.2864	9.3918	8.2486	8.6674	6.8472	9.796	9.0604	8.4863	9.5087	7.8683	10.1331	10.3387	9.525	9.7759
