Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
U133A__ADD3	6.6598	6.5922	6.785	7.3626	4.6305	5.8974	7.5238	7.5616	6.7554	6.0067	5.9834	8.9014	7.7653	5.2378	4.6477	6.6912	4.2227	7.5595	8.6087	8.3932	5.0474	4.6928	6.3464	7.5729	4.5674	5.9771	9.2733	8.7003	7.2265	4.1664	6.7518	5.7824	6.9891	7.4625	3.7616	4.5454	8.6528	6.232	7.0666	6.5704	7.5578	6.4893
U133A__EFNA1	7.4693	9.3579	7.5136	8.376	6.6392	8.3622	6.4668	9.1469	8.2413	7.3582	8.6901	6.6008	7.1272	7.1407	8.6568	7.8695	7.9285	6.7005	8.463	5.9166	7.5664	7.1332	5.7053	6.1636	7.2538	5.6049	7.2607	6.8021	6.8753	7.6601	8.4067	8.13	5.6522	7.3104	5.6485	7.3048	7.0874	7.6772	9.5736	8.8508	7.5333	7.5574
U133A__NBL1	5.9735	5.5208	6.5773	8.0088	6.4156	7.816	6.7587	6.1978	6.1135	8.2531	6.5199	7.0638	7.4328	5.614	6.2299	6.0307	6.2699	6.1127	8.421	6.6186	5.6648	5.5864	8.6762	7.2315	5.4859	6.2246	6.6967	8.0563	6.2912	7.9575	5.8276	5.6058	5.9892	8.1472	6.4818	5.802	5.6896	6.7591	5.391	5.5293	5.6823	6.3593
U133A__NR2F2	3.8546	3.9071	6.5484	6.9842	7.5445	3.0831	6.5883	5.2905	3.3799	5.4746	7.2639	6.7675	4.2238	6.2959	5.1802	7.5495	7.0903	6.3474	6.6617	5.8807	6.2814	8.5361	7.1223	5.9595	8.1206	7.9019	7.1992	6.5105	6.0499	7.5131	4.5526	3.6811	6.3605	5.5146	5.5978	6.3304	5.6772	7.5591	6.7163	6.4496	6.448	7.0572
U133A__IGFBP4	11.0146	5.2361	9.7198	9.3935	7.2318	8.0076	7.5107	7.3593	7.5275	9.1421	8.2795	8.0721	7.2479	6.0637	6.2098	6.3741	6.0228	8.3002	8.3906	8.9442	7.3456	9.23	9.7558	7.7929	7.1647	10.3468	9.1055	9.0012	6.9578	5.6107	7.1508	6.7255	5.6586	7.7099	9.881	6.4871	5.5116	9.5902	10.2401	6.4333	7.5132	8.2681
U133A__MT1P2	10.1084	9.8881	9.719	9.2436	10.5395	9.2019	11.5542	10.3683	8.2837	10.6617	9.531	10.1679	9.6322	10.9101	9.1045	9.0536	10.1399	10.8309	10.1722	11.5302	9.2927	9.0609	9.141	10.3507	9.5369	11.052	9.9655	11.5305	11.07	9.8421	10.8688	10.038	11.0822	11.8502	11.6559	9.2834	10.1061	8.6721	8.6118	9.5654	11.309	8.5364
U133A__MT1X	8.4084	8.2002	8.1249	7.4471	9.3471	8.3782	9.6993	10.0479	6.6892	9.4273	8.2086	8.6822	8.4598	10.1523	7.0356	8.178	8.9091	10.0628	10.8713	10.1184	6.7858	7.3453	7.4573	9.6321	8.505	10.0782	8.8258	10.9035	9.7955	8.2451	10.3187	8.777	9.7324	10.4715	10.7999	8.8989	9.7216	6.9663	7.1999	9.2386	9.9108	6.7383
U133A__FTL	9.9572	7.7744	10.0591	9.0597	10.2013	8.6878	11.5796	10.819	10.2002	9.6632	9.4582	11.7469	11.211	10.81	10.1587	10.6899	9.2376	9.8686	11.1678	11.7066	8.6347	9.802	9.7402	10.2633	9.1036	11.4905	9.5794	9.595	11.9073	8.687	8.1879	7.3449	12.0038	10.5268	11.4457	11.6906	10.7519	8.3996	9.5434	9.0406	9.2702	8.4759
U133A__NOTCH2NL	7.8298	8.6341	7.6974	7.8539	7.4215	6.8991	8.2007	8.7139	10.2228	7.6996	7.2474	7.7885	6.7152	7.8414	7.163	7.8356	7.0501	7.9431	8.1671	6.7489	7.9419	8.6442	6.2143	7.3806	7.39	7.798	6.7809	7.1969	7.7693	7.2189	7.8977	7.5982	7.1509	6.6654	6.8928	6.7038	7.4317	7.8704	9.2372	8.3514	8.2976	7.9329
U133A__MYO1B	4.9251	5.2274	7.7381	6.2344	6.9998	6.1406	7.0427	5.4766	5.3426	6.0185	5.3998	8.7032	7.6434	8.6547	5.2345	8.6163	6.3402	6.0725	6.5031	6.5145	6.8656	7.213	7.3218	7.3374	5.9616	6.5732	5.6089	6.271	7.0135	4.2831	7.265	4.6345	8.0745	7.5374	7.5324	6.6835	6.2627	4.8035	6.0925	4.0897	6.1784	3.9421
