Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__CNN3	6.5662	5.928	7.2837	6.2459	5.2624	7.9772	7.5358	7.333	7.2978	5.852	8.5066	5.2216	8.3566	7.6308	5.711	7.0815	8.6543	9.1609	8.1059	3.6902	3.6053	8.2442	7.3666	6.0036	9.026	7.1398	7.5905	8.7984	6.3226	7.2367	6.9493	5.7464	9.1542	7.5337	7.6915	8.1608	6.8602	3.467
U133A__PRKACB	5.7668	7.3425	6.974	7.9085	6.873	7.128	5.6635	7.0985	7.116	6.5155	6.3986	6.8435	7.7829	7.5556	7.4713	6.6439	7.7662	9.3369	7.1608	5.2971	6.3838	5.8828	7.191	6.1262	8.461	8.0549	5.4461	7.2026	6.4	7.3061	5.9619	6.8006	8.839	7.2857	6.1098	7.754	6.9566	6.3993
U133A__SPDEF	10.4241	9.495	6.094	10.1198	9.8359	5.8444	10.4996	6.2908	5.8013	9.2013	6.2848	5.3899	6.8656	7.0677	9.5734	6.6571	5.9869	5.2999	6.5909	10.0367	8.9085	8.9427	5.5694	9.9494	6.027	10.078	9.6299	10.1262	9.8712	6.631	6.472	6.5064	9.9098	9.9188	9.3052	9.6714	10.8242	10.1563
U133A__SQSTM1	6.1244	6.8461	6.1499	5.8091	5.7716	7.0833	6.0892	5.9361	5.7784	5.8264	7.07	6.1	6.0029	6.0765	5.8535	6.5977	6.8556	5.5987	7.8553	6.1988	6.3496	5.823	8.1934	5.9877	6.2835	6.465	5.698	6.1735	6.2993	8.7397	5.8603	6.6855	7.6314	6.4299	6.2441	5.9149	5.7718	5.8185
U133A__C10orf116	9.1902	8.2899	5.318	9.178	8.9706	4.472	9.695	10.0032	4.7791	9.3951	5.1718	8.9521	4.3801	5.2636	9.8931	6.1048	6.8811	4.7923	4.7919	6.3825	5.6946	10.1961	4.8802	11.1909	5.2037	11.2659	10.0249	6.4343	9.0689	5.2127	7.5886	5.4465	8.3863	10.4616	9.125	9.852	9.5303	10.8611
U133A__PSAT1	5.5922	6.1399	8.26	8.0258	5.861	8.3365	5.8022	7.5477	7.3947	6.1203	8.0365	8.0175	9.2056	7.8975	7.0305	5.8761	6.9252	9.2504	7.682	6.5519	6.2562	5.9222	6.8654	6.9891	8.1257	6.2789	6.354	5.5266	6.6541	9.1564	8.6713	8.1064	8.6947	6.019	7.2478	5.7838	6.2581	6.1356
U133A__MID1	6.1037	7.7529	6.9934	5.4843	4.4567	8.6155	4.4247	5.3266	5.9754	4.3322	6.3817	6.6804	7.4209	6.1697	9.0976	7.9875	6.0331	7.592	5.0431	4.6781	4.4599	4.4484	8.0006	4.8053	6.7265	5.0984	5.5412	3.9749	6.4367	6.5315	5.246	6.0018	5.5969	5.4337	5.7925	5.8913	5.3807	5.5598
U133A__WWTR1	5.5378	5.4353	5.7299	3.966	4.1743	7.3987	3.3913	8.3892	5.0729	5.616	6.4266	6.3704	8.6394	6.8808	8.0557	6.9231	9.3347	8.5677	7.4314	3.8181	3.8193	3.4958	6.5088	4.0356	6.9541	4.5266	3.6265	4.75	5.0238	7.8837	6.1643	5.4187	6.5895	8.0272	5.8601	6.6523	5.1135	3.6301
U133A__IFI35	5.4977	6.6211	6.8837	5.9007	8.0682	6.7676	7.0366	6.3878	6.7278	6.8486	7.4278	6.9672	8.0101	6.8443	5.418	6.0747	7.3015	7.4774	7.0745	5.9294	6.2196	6.5578	8.5606	5.4165	7.0996	6.7662	6.195	5.2079	5.7756	8.126	6.2137	6.6562	7.1166	5.7674	7.0133	6.0084	5.5399	5.1334
U133A__ZSCAN18	5.152	4.7958	6.4517	7.0714	8.6682	6.8552	6.1901	7.7	8.3551	7.226	5.2372	6.2193	8.0343	5.3119	7.659	6.4413	9.1674	7.3018	5.1171	4.7969	5.7154	8.7884	6.0862	6.6889	4.8412	6.9565	5.2439	4.7623	5.4213	7.5037	5.87	4.1685	8.2326	5.3803	7.7059	6.9884	5.729	5.1795
U133A__MDK	6.9831	5.8166	5.8069	10.4845	7.2442	9.5628	5.4762	7.2438	10.8926	6.6919	8.7624	7.8046	8.1924	5.8212	9.4224	5.5966	9.6158	7.3553	5.9591	7.08	9.2987	7.0267	7.3533	8.0454	6.272	9.0373	7.1533	6.1214	5.8713	5.747	6.4917	5.8461	8.6003	6.3981	7.7515	7.1022	5.765	5.7944
U133A__GADD45A	5.3909	6.2445	7.9181	7.5063	5.2446	7.3392	5.1443	7.1551	6.8213	5.8339	6.7283	7.7482	8.4893	7.405	5.0377	8.008	6.8747	8.2273	9.7214	5.0571	5.8846	7.9334	7.5512	5.2269	6.8579	6.8197	6.6866	6.5109	5.6789	8.471	7.4893	9.3585	7.4148	7.1867	5.4167	6.9506	6.5311	5.8262
U133A__RHOBTB3	5.0787	5.0683	6.7277	5.1065	5.6136	6.0473	6.2514	4.9227	5.6696	8.5462	7.9271	7.835	7.275	6.0499	6.8141	6.2335	6.566	6.6969	5.985	5.5974	8.3924	6.5413	6.3596	3.3827	7.6414	5.9011	7.025	3.8914	5.5555	5.72	3.8442	6.2604	6.8905	7.0476	5.4977	6.662	5.3302	4.6212
U133A__MBNL2	5.4423	7.1301	8.2242	6.9266	6.3789	7.5204	6.3889	7.0872	6.6647	6.2769	7.2559	6.1725	8.5786	7.1597	7.9226	7.5396	6.4642	8.1549	6.4804	6.1638	6.2054	4.1661	6.866	6.0078	6.1347	6.8225	6.7261	5.267	6.5825	5.3103	5.603	6.3923	8.176	5.6113	6.2038	6.5181	6.0766	4.5447
U133A__CRISPLD2	5.923	7.4687	6.8837	7.2715	6.6231	8.8524	5.9012	6.0864	9.8636	6.5173	6.1973	6.2995	8.7598	6.864	7.1847	6.9195	8.9948	7.1804	7.4314	5.9925	6.5184	5.8596	7.0327	6.0859	6.0414	7.68	6.3421	6.3528	6.2556	5.9922	6.2245	6.4427	6.2122	6.1095	6.9753	6.1861	6.4316	6.7485
U133A__MUC1	10.1555	9.7623	6.6886	8.1214	10.3854	6.7355	8.7127	8.4463	6.4213	9.1046	5.7418	5.1906	6.0486	7.3453	7.7259	6.8365	6.3458	9.5673	5.6403	7.1832	7.3812	6.1272	6.3008	10.2523	5.2223	7.5387	9.6077	5.4753	6.9283	6.0402	6.3749	4.8389	8.8905	7.0484	9.262	11.7763	9.5261	10.3378
U133A__SARS	7.7374	8.322	11.1448	8.1394	8.1342	9.4981	9.6965	7.7344	7.4681	8.0177	8.2959	8.6775	8.9196	8.2049	7.1093	8.7586	9.6745	9.0718	8.3933	8.447	8.5561	8.4441	8.8517	7.1754	9.7475	7.8395	8.1705	8.5303	8.3585	9.224	8.73	8.4421	9.4498	8.9271	7.9232	7.8378	7.7401	8.0215
U133A__MAP1B	5.2828	4.7448	6.4849	4.9262	4.8618	7.9119	4.5738	6.6054	8.1982	4.5955	5.1547	5.4784	4.3322	4.8752	4.6449	6.1241	8.077	7.8322	9.7287	4.2933	5.1401	5.3466	8.6245	5.0681	8.226	4.7169	4.9647	4.3393	4.5124	7.7301	5.7202	8.3276	6.9184	4.8221	4.5797	4.5998	4.8576	4.5338
U133A__IGFBP3	5.6494	4.871	4.8198	5.2836	5.3476	10.6212	4.8745	10.6165	6.9528	5.2737	5.3532	11.0036	11.5055	9.3428	11.644	9.1924	11.6705	11.6134	10.2776	5.4442	5.6197	9.3685	7.9102	6.1709	6.3213	6.7394	5.1851	9.1549	6.1615	10.0354	6.1315	5.5192	7.2412	5.9969	5.2047	7.5049	5.0017	4.7505
U133A__TUBA4A	8.127	8.0959	10.2276	6.0048	6.8604	7.1961	7.2988	8.0741	6.1229	7.2844	6.1504	9.7248	8.2095	9.6436	6.9849	6.436	8.1739	9.3597	6.724	7.2218	6.3682	7.9791	6.2093	7.051	7.6192	6.6858	8.986	7.9045	7.5394	6.7402	10.2412	10.2433	8.8552	8.7116	6.8016	6.4082	7.5034	9.1448
U133A__MAP4K4	6.0673	5.1091	8.0032	6.3952	5.9184	7.3226	5.7528	6.1253	7.425	6.5388	7.2464	7.61	6.8356	7.0288	5.4528	6.7248	7.8366	6.6207	7.9799	6.3307	6.1541	6.5299	8.1798	5.703	6.5193	5.9015	5.0642	4.9385	5.1327	8.1638	8.3236	7.7847	6.5972	6.1144	6.0063	5.6747	5.3321	6.2691
U133A__BAG2	3.9484	3.6233	4.2663	3.847	3.6546	6.779	3.7302	4.687	5.112	3.9445	6.6817	8.2798	6.0631	5.3853	4.1116	5.402	5.1323	4.2779	6.4596	4.6848	4.244	4.0731	6.4698	3.909	7.9802	4.5399	3.9434	3.9206	3.9939	8.1652	7.0594	7.9745	4.4212	3.8011	4.8384	4.0353	3.5252	3.6305
U133A__PPP1R3D	6.0376	6.2841	6.5806	5.8836	8.9569	5.5115	7.3522	5.3847	5.2179	8.4079	6.0031	6.2885	6.1268	6.9745	6.7862	5.4457	5.3754	5.7838	5.1445	6.6139	6.9967	9.3097	5.3464	7.7236	5.2928	7.7316	6.1594	7.5285	6.4306	4.8825	6.1016	4.8641	6.6839	6.8287	5.7656	8.1055	7.205	6.5275
U133A__EMP3	4.327	3.9888	4.4028	4.2731	4.2246	9.9908	4.5129	5.9249	4.5177	4.8069	4.4271	6.169	4.4585	4.1728	4.8236	4.8179	9.0618	5.7623	10.2742	4.4979	4.6047	4.5679	9.169	4.2846	9.3624	4.4717	4.519	4.3967	4.5344	9.6246	8.36	9.3993	4.3435	4.3907	4.6524	4.1567	4.2003	4.5004
U133A__LEPREL1	5.2728	5.3422	8.3477	5.4569	5.0282	9.3138	5.5085	7.9786	5.848	5.3502	6.5309	7.5076	8.3214	7.2828	5.1026	5.8493	7.0181	9.188	7.5821	5.5045	5.6844	5.199	6.6369	4.9666	7.9034	4.9339	4.9033	5.3148	5.5942	6.252	5.3512	7.3962	5.3514	5.1657	5.3306	5.109	5.1199	4.9922
U133A__IFIT1	4.7114	4.2157	5.0235	4.5077	9.7076	4.7238	4.3455	4.7744	6.9119	6.1597	6.2547	7.0582	8.6976	6.346	4.894	4.5623	5.5582	8.9034	4.7911	4.6602	4.9544	5.3881	7.9414	4.9999	8.3202	5.5062	4.8948	4.8674	4.4414	6.1359	4.2817	4.4171	9.1874	4.7807	4.4767	4.3094	4.7475	4.2272
