Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
U133A__CARD10	5.7778	6.6189	6.0074	5.6113	7.1832	6.9806	7.1831	5.8013	5.447	5.0291	6.8955	7.94	6.4404	6.6995	4.8749	5.3041	6.1251	5.6387	6.8007	8.2432	6.0254	5.8035	6.6709	6.9111	6.3909	6.3107	6.2227	6.8504	5.2046	5.0682	7.0436	5.6466	5.2563	5.5845	8.1902	5.6863	5.8941	5.8825	5.1234	6.2024	6.1903
U133A__CASC3	8.0662	9.5254	7.896	7.8331	7.3214	7.8822	7.6086	7.4055	8.0717	6.9048	7.4362	7.247	7.6934	7.357	6.7513	7.24	7.5153	7.5471	7.7717	7.1902	7.2305	7.0158	7.7874	6.8132	7.0879	7.6189	6.8153	7.1054	6.7842	6.3196	7.4004	9.5638	7.2235	7.6981	6.8808	7.7518	8.0652	10.4373	7.5613	6.8273	7.8892
U133A__MBNL2	5.4423	7.1301	6.9266	6.3789	7.5204	6.3889	6.5848	7.0872	6.6647	6.2769	7.2559	6.1725	8.5786	7.1597	5.3797	7.9226	7.5396	6.4642	8.1549	6.4804	6.1638	6.2054	4.1661	6.866	6.0078	6.1347	6.8225	6.7261	7.1979	5.267	8.4373	6.5825	5.3103	6.3923	8.6513	5.6113	6.2038	6.5181	6.0766	5.2976	4.5447
U133A__RAI14	5.8045	6.8528	6.5191	4.7329	7.1977	6.3754	8.5524	6.2722	5.5801	7.0817	6.0818	7.393	5.9586	7.2175	5.1903	4.9184	8.4573	6.3942	8.6065	6.5584	5.6957	5.9513	5.9509	8.3284	6.7127	7.995	7.088	4.6179	8.0457	5.8292	7.2893	6.033	4.3547	7.8314	6.3683	6.0277	5.7235	6.4105	4.2361	6.2472	5.793
U133A__MAFB	4.2939	5.2209	6.0526	7.1675	4.5699	8.118	4.2814	4.4545	6.0147	5.8886	5.9523	4.6033	8.0513	5.6472	7.7452	5.899	5.4665	8.7595	6.8573	6.4104	4.5053	5.7821	6.9794	6.131	5.4416	4.4014	6.1242	5.0501	5.8863	8.6345	6.8824	4.3436	4.4115	4.4563	7.0732	7.4185	5.1496	5.3409	5.6559	4.2219	6.4191
U133A__NBL1	5.9735	5.5208	6.5773	8.0088	6.4156	7.816	6.7587	6.1978	6.1135	8.2531	6.5199	7.0638	7.4328	5.614	6.2299	6.0307	6.2699	6.1127	8.421	6.6186	5.6648	5.5864	8.6762	7.2315	5.4859	6.2246	6.6967	8.0563	6.2912	7.9575	5.8276	5.6058	5.9892	6.4818	5.802	5.6896	6.7591	5.391	5.5293	5.6823	6.3593
U133A__AXL	4.5848	4.3447	4.6163	4.3957	9.7332	4.3709	9.0689	7.011	4.3959	4.4975	4.5981	4.2906	4.9826	5.1863	4.9555	4.2474	5.2312	9.2723	4.1729	10.475	4.5906	4.4261	4.7784	8.3136	5.0443	10.3645	4.1508	4.614	7.5333	4.2537	4.6935	4.0831	9.5546	9.6852	4.2137	4.2126	4.5153	4.3396	4.2859	4.6527	4.2316
U133A__APOBEC3B	5.6539	4.2711	6.5459	6.1597	7.1609	5.2836	8.7672	8.8535	7.4971	5.6452	7.898	6.4634	8.5401	6.9878	8.8726	6.3674	7.4904	3.9548	4.6104	8.1097	4.2584	5.2772	6.7787	7.0989	5.8155	8.1658	6.4705	7.6752	5.9632	7.7664	8.4691	4.3131	6.0569	6.4845	5.3145	3.7522	6.726	5.4782	6.346	6.7144	6.0347
U133A__AKR1B1	5.4264	6.9517	5.9901	5.6065	8.7781	5.6946	10.595	5.6857	6.894	7.4072	8.1445	9.6667	9.0128	6.1103	6.0593	5.5161	9.8841	10.5542	10.1821	10.9824	5.9497	5.9629	5.5375	10.7395	7.1787	9.6852	6.313	7.2479	11.7579	5.7109	10.7006	5.7104	9.5693	11.2588	5.2415	5.3117	5.4185	5.0463	5.5959	5.9962	6.4257
U133A__GOLGA8A	5.5482	5.624	7.8406	6.2792	7.9159	5.1443	6.4675	6.1268	6.5558	3.9995	6.2642	7.0239	4.5668	5.7512	4.8288	6.4569	5.5296	6.6093	6.9683	4.5496	4.7798	5.7913	4.5748	6.1873	5.6399	5.1079	4.7992	4.7586	6.7718	6.2041	5.8264	5.4125	5.9638	4.9087	7.7159	8.1643	5.205	7.8459	8.5237	4.6228	7.3475
U133A__NUCB2	7.9159	7.7211	5.7232	7.9201	7.5538	7.0729	7.1309	5.7145	6.1217	6.8224	5.9807	8.7778	5.1126	5.1027	4.378	6.1882	6.2639	7.9042	6.0763	6.2695	6.5625	6.0033	8.8037	7.634	7.4278	6.0185	8.5373	8.1736	5.7716	5.5587	5.8213	7.0168	7.24	5.8505	8.3176	7.6776	6.1182	8.2534	8.2008	8.105	6.5569
U133A__EFNB2	5.4764	4.7613	7.0119	6.4386	8.6207	7.4791	5.3655	8.8445	5.5096	6.4622	4.9044	8.2395	7.0896	7.4331	6.9829	9.9666	5.9393	6.9153	7.5536	5.9236	6.4018	6.9459	6.1413	8.3547	5.5304	5.5961	7.2819	7.5891	8.7025	7.6132	7.8346	4.8166	4.7258	8.021	8.057	4.9264	5.6351	4.1326	4.9242	4.7554	7.1568
U133A__LMO4	7.4737	7.1325	8.5532	7.9792	9.7098	5.7002	6.5274	8.2677	7.6793	8.0974	7.6477	7.0389	7.4546	6.855	9.4747	7.7206	8.0476	7.8791	8.7906	7.5205	6.2739	5.9112	7.0129	7.6279	7.9445	7.5364	7.9322	9.2733	7.4324	7.7056	9.2118	6.1979	8.918	6.2862	9.1307	7.5695	8.3962	6.7757	4.2304	7.7812	6.628
U133A__FST	6.5894	6.5399	6.4947	6.3964	7.1555	6.4063	7.1739	8.1138	6.729	6.605	6.9497	8.7649	7.1819	8.1031	7.2197	6.4535	7.3188	6.6246	6.2073	9.2037	7.1295	6.879	6.71	6.9117	6.6957	8.7976	6.5755	6.6662	7.6607	6.6393	6.8589	6.7865	6.843	6.5052	6.9549	6.8367	6.4505	6.228	6.782	6.7813	6.685
U133A__ISG15	6.2029	6.9837	5.5449	10.2551	7.848	6.5951	9.5835	8.99	11.005	7.8349	9.826	8.9883	10.2185	9.9476	12.0484	6.4512	6.7595	8.9387	11.0436	7.8412	7.1602	10.1019	6.9091	10.7759	6.9745	9.7251	7.1162	7.5725	8.273	8.311	11.7544	5.8968	8.9234	7.5265	6.4722	6.2122	6.5785	6.7421	5.7411	5.8216	6.0034
U133A__ADI1	7.576	8.4126	6.0904	7.5485	8.1381	7.1524	8.7872	7.9559	5.7867	7.111	7.2265	8.4107	8.9165	8.3018	6.6829	7.5084	6.2243	7.7446	7.2521	7.0495	8.7333	8.131	6.9574	8.6245	5.8795	7.4451	8.669	7.2065	7.4689	8.8698	8.2637	7.9541	8.3028	8.8092	7.8845	7.9971	6.6821	7.0726	6.8236	5.7238	7.0473
U133A__PLCG2	6.5168	6.5628	6.6357	6.3363	6.7695	6.7472	6.6768	6.8618	7.0184	6.6858	6.8866	6.5975	7.3542	6.9606	6.8817	6.522	6.9216	7.2069	10.2967	6.8883	6.7778	6.8881	6.5643	6.5345	6.3556	6.7718	6.6133	6.7417	7.2307	6.3532	7.5051	6.7498	7.1081	6.6263	6.5003	6.699	6.9178	6.6411	6.4317	6.7342	6.4792
U133A__ACSL3	7.1919	6.6538	7.0956	7.0192	5.1187	6.245	7.3775	6.0106	6.1809	5.5562	5.0836	5.5273	4.8164	4.4287	4.2377	5.6088	4.1027	6.7675	6.823	4.2666	7.1963	5.5137	6.6526	5.7361	7.214	5.9762	6.5155	6.1214	6.639	5.7947	4.9361	6.5763	5.0383	6.1252	6.7986	8.8893	4.3885	6.9935	6.6779	6.8513	6.744
U133A__FARP1	7.4771	6.1313	8.1138	8.8341	6.541	6.6631	5.4307	8.6433	7.6265	8.0007	6.585	5.8878	7.8769	5.4775	7.1214	7.2328	7.2984	7.3103	7.3406	5.9912	5.3448	5.8391	6.5233	6.071	8.236	5.4881	8.0231	7.4909	6.371	5.6239	6.7873	5.9676	5.0966	4.6886	8.1285	5.8389	6.1601	7.5092	6.6622	8.4562	6.7694
U133A__IFI27	4.6386	5.1543	4.6777	5.8546	4.687	4.5519	6.1249	4.9288	11.1042	4.871	6.238	7.2516	11.349	11.3436	8.4421	4.4035	5.9256	4.4385	10.9936	4.7467	4.7579	8.9666	4.6875	7.4637	4.8506	4.661	4.404	4.8339	4.3892	4.6337	9.6865	4.5304	4.6953	6.5604	4.5079	4.5195	4.8154	4.3101	4.3879	4.4145	4.4577
U133A__HLA-A	8.0974	8.8736	8.5163	10.7117	9.7239	9.7457	11.3892	9.4951	12.2717	9.7102	11.5521	11.2404	11.8036	10.7823	10.1571	7.1064	9.4021	11.8918	12.5168	9.9359	8.3049	9.564	10.5659	12.2646	9.1662	10.1682	10.4276	11.0959	10.2081	9.1221	12.5362	7.8025	10.0395	10.9361	11.3302	9.1377	9.4396	11.037	8.5489	9.8867	8.5052
U133A__CPD	8.2101	8.1216	7.6179	7.5848	6.7762	5.6894	6.5485	6.4387	5.4846	5.716	5.8418	6.9123	6.7767	7.1457	9.0313	6.9298	6.9384	7.8036	6.9833	6.223	5.6333	5.8221	7.2464	6.1744	7.3296	6.9398	9.0281	6.4524	6.1381	6.7077	6.6432	7.2602	6.3593	6.5355	8.9923	7.2562	7.5889	9.3538	8.3809	6.8	7.1765
U133A__EIF5A	6.1532	10.2322	6.6804	8.676	10.141	10.3505	9.8574	7.0561	6.2771	10.4307	10.9743	9.7164	7.3039	9.2206	10.7045	10.6954	11.0518	6.7936	10.9733	11.4584	6.2508	7.0806	7.2351	10.9628	6.3987	9.8155	8.213	8.5732	10.7809	9.7217	10.5292	9.4725	10.7482	10.6383	7.469	10.9772	6.6051	6.774	8.3558	6.3053	9.9089
U133A__IL8	4.0745	4.3172	4.1479	4.0587	6.6	4.1697	5.8725	5.1717	4.2146	4.2386	4.7313	7.1824	4.7397	6.9478	4.3148	4.0815	7.3904	5.6492	4.6508	8.9614	4.2436	4.1859	4.3014	5.4975	4.6944	4.452	4.2646	4.5124	8.3977	4.2893	7.6142	4.2288	4.3639	7.7098	4.2191	3.4927	4.0444	4.273	4.2045	4.3166	4.2885
U133A__GPX1	8.9739	4.0916	9.13	4.1978	9.7074	8.7943	8.0487	8.6375	3.8954	7.8047	3.5472	8.4418	9.4091	9.7496	9.301	3.7548	10.5188	9.1911	8.6679	9.1332	5.2514	5.269	9.851	7.3749	3.9513	9.7794	9.7769	8.2842	10.3552	9.6262	9.4756	4.1969	8.82	9.2677	3.2767	3.978	3.5145	4.9552	3.7776	3.3897	4.1642
U133A__AHNAK2	4.3732	3.6455	3.7668	4.2833	7.8526	4.6283	6.6866	9.299	3.5509	4.9391	3.8991	6.3896	4.45	6.0159	3.693	4.1841	7.2624	6.7199	6.3673	5.4933	3.9157	4.2351	4.6591	8.267	4.9602	5.1847	4.0095	4.1542	8.1732	3.6524	5.7244	3.8567	9.5019	7.6929	8.3787	4.0909	4.2427	4.4986	3.8844	4.0133	4.6233
U133A__HIST1H2AC	6.6347	6.1315	6.5263	8.9285	6.3159	8.2325	5.5273	6.2668	5.7625	8.2922	6.892	6.4753	8.9315	5.4115	7.5241	9.1759	6.6311	9.0257	6.3429	6.1112	6.5974	7.5399	6.5756	7.5443	6.7217	5.4127	8.1253	8.7312	9.7477	7.1371	8.4921	6.148	7.2614	5.4892	7.0303	6.763	7.3041	6.8911	6.201	6.0728	5.5955
U133A__HSPA2	7.5745	5.3383	4.8587	5.2922	5.7385	6.2135	6.716	7.2722	6.0608	4.9351	4.4227	6.2423	7.8916	5.2766	6.8258	5.7926	7.3109	8.2914	8.5554	5.5942	5.4509	5.593	7.4921	7.7696	9.0724	6.2914	4.4708	9.3607	6.0147	4.9705	6.2649	5.9957	7.5395	5.2248	5.4669	6.9474	4.6155	5.8189	4.7869	9.5936	5.566
U133A__IFIT1	4.7114	4.2157	4.5077	9.7076	4.7238	4.3455	6.5273	4.7744	6.9119	6.1597	6.2547	7.0582	8.6976	6.346	8.2698	4.894	4.5623	5.5582	8.9034	4.7911	4.6602	4.9544	5.3881	7.9414	4.9999	8.3202	5.5062	4.8948	5.3456	4.8674	9.5009	4.4414	6.1359	4.4171	4.5392	4.7807	4.4767	4.3094	4.7475	4.6766	4.2272
U133A__CDS1	6.9342	8.169	6.1529	6.9943	4.6661	6.6883	4.9304	5.7098	6.1086	5.7983	6.1974	6.6959	6.7502	7.3118	5.9499	6.8258	6.321	5.7782	6.6791	5.005	6.6497	6.3397	7.0044	4.9123	6.9792	5.0018	7.4359	6.9108	5.352	6.7669	6.738	7.3771	4.7441	5.4182	9.0847	6.8814	6.4939	6.8096	7.0282	7.287	7.4944
U133A__PSAT1	5.5922	6.1399	8.0258	5.861	8.3365	5.8022	7.4809	7.5477	7.3947	6.1203	8.0365	8.0175	9.2056	7.8975	7.689	7.0305	5.8761	6.9252	9.2504	7.682	6.5519	6.2562	5.9222	6.8654	6.9891	8.1257	6.2789	6.354	7.9922	5.5266	8.5007	6.6541	9.1564	8.1064	10.4203	6.019	7.2478	5.7838	6.2581	5.9094	6.1356
U133A__RDX	6.2849	7.0989	5.5424	5.2777	9.8431	4.669	7.4389	6.885	8.2381	4.714	7.2261	8.2444	7.3477	6.6441	3.4463	7.49	6.8925	7.3649	7.5288	7.2916	8.6552	8.7689	3.9994	7.5706	6.3754	7.8273	6.2957	6.3962	7.169	5.5619	7.8498	7.7306	7.8101	7.7876	6.3776	7.0507	7.4451	8.1581	6.8784	6.3951	7.3748
U133A__AKR1C1	7.1431	7.4936	6.9009	6.8428	6.9592	6.8648	6.7743	8.8214	9.5937	6.993	6.9124	13.1661	9.4036	9.5204	6.7216	6.7947	9.3672	10.5533	8.2823	10.5717	6.8776	7.8026	10.3287	9.2501	8.2671	6.5743	7.7902	8.1125	8.2878	7.0886	9.1558	6.9583	7.1779	9.1273	9.812	7.2018	7.2829	6.5776	6.7722	6.86	6.5749
U133A__PIP4K2B	7.8862	6.6107	9.8599	7.7197	7.1591	7.569	7.0386	7.1207	7.5916	6.9668	7.0594	6.8351	6.7596	6.8871	8.6439	7.1826	7.0901	7.5117	6.7227	6.8105	7.3119	7.0962	7.674	7.3301	7.2063	6.9886	7.9518	7.133	6.9848	7.2262	6.6757	6.8396	7.4959	7.2147	6.9198	7.0625	7.5086	10.0377	7.1649	10.0354	7.4004
U133A__SARS	7.7374	8.322	8.1394	8.1342	9.4981	9.6965	8.0424	7.7344	7.4681	8.0177	8.2959	8.6775	8.9196	8.2049	8.4746	7.1093	8.7586	9.6745	9.0718	8.3933	8.447	8.5561	8.4441	8.8517	7.1754	9.7475	7.8395	8.1705	8.2515	8.5303	9.4187	8.3585	9.224	8.4421	9.1614	8.9271	7.9232	7.8378	7.7401	8.5452	8.0215
