Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__GADD45A	5.3909	6.2445	7.9181	7.5063	5.2446	7.3392	5.1443	7.1551	6.8213	5.8339	6.7283	7.7482	8.4893	7.405	5.0377	8.008	6.8747	8.2273	9.7214	5.0571	5.8846	7.5512	6.8579	6.8197	6.6866	6.5109	5.6789	8.471	7.4893	9.3585	5.2882	7.4148	7.1867	5.4167	6.9506	6.5311	5.8262
U133A__PFDN4	6.2736	8.0407	8.5755	9.9712	7.5744	7.8459	6.6001	7.3549	5.76	8.5312	7.8556	8.1576	7.8759	7.2268	6.9091	7.9864	8.1208	7.2717	7.9155	10.2674	10.3283	8.4414	8.3553	7.0275	6.9578	6.7379	8.3906	6.4956	8.1635	7.6051	6.7373	7.2441	6.3582	7.2095	8.4608	6.8423	7.7724
SNP__FLJ20433	0.003	-0.163	-3.396	0.153	0.184	0.228	0.458	0.184	0.151	0.274	0.007	-0.09	0.062	-2.744	-0.066	-2.514	0.146	-0.01	-0.088	-0.038	0.095	-0.133	0.089	1.099	-0.163	-1.534	0.047	-0.158	-0.198	0.02	-0.131	-0.147	-0.054	0.292	-0.296	-0.066	0.024
U133A__FKBP11	7.9289	6.4379	5.5652	6.3087	6.0502	6.2289	6.1656	6.6499	7.5506	5.6176	7.9529	9.0723	7.8138	5.4419	5.5132	5.3126	7.9303	6.8288	8.0248	6.7806	7.6343	6.2166	5.901	7.3897	7.3281	6.3326	6.706	8.2381	7.5382	9.006	6.0829	6.3245	6.5844	6.1287	7.3544	7.7315	6.2447
U133A__TMEM45A	3.9251	5.6223	5.8104	3.8356	4.4014	7.0954	4.067	5.7298	5.2926	3.536	5.1283	6.8653	8.9616	7.9155	6.9156	6.3791	5.8904	8.43	6.0737	3.7106	4.2822	6.6374	5.4727	3.5937	7.3845	4.0045	5.9107	7.7047	7.3691	5.9503	7.837	7.01	8.6357	3.6449	8.7797	4.7818	3.96
U133A__CRYM	8.9131	6.4583	6.3256	7.5231	6.4006	6.448	8.1342	6.5711	5.9848	7.0052	6.0575	6.1414	6.1539	6.6828	7.245	6.4	6.1823	5.9313	6.4998	6.2619	6.3051	6.4642	6.1593	7.7217	10.0657	6.3683	6.3247	6.5873	6.6463	6.4344	6.383	6.7049	7.7307	6.4716	6.4686	9.6367	6.6343
U133A__KRT8	10.7115	11.2525	11.4126	11.1708	11.8105	4.6994	10.4767	9.9402	9.7313	11.932	8.4941	8.913	10.6646	11.1743	11.4994	9.9269	9.5922	9.5457	5.7145	11.6793	12.1159	7.5837	8.3426	11.2063	10.4653	9.1194	11.5414	4.6224	9.8963	8.3775	10.5897	10.994	9.9593	11.9459	11.5683	9.9995	11.4816
U133A__ME1	8.3567	7.7974	8.193	5.9976	4.3669	6.2304	3.5126	5.2956	7.5277	6.3978	6.0968	8.6735	7.608	7.8782	6.6291	7.442	6.9336	7.1357	6.5106	5.9111	6.5939	8.2989	6.5132	6.5847	8.4861	3.7088	6.4531	6.6978	6.6297	7.1395	3.7365	9.0868	8.4449	3.91	5.382	6.4445	7.0946
U133A__PCSK1N	8.5701	5.1548	5.3962	6.9004	8.3513	6.1553	7.586	6.7564	7.5637	7.2533	6.7813	5.7054	6.0571	5.9201	6.8148	6.8731	6.6252	4.8381	5.3818	6.3363	7.0645	7.6635	5.4779	8.9092	5.3401	5.6267	5.3148	6.3185	5.3578	5.7835	7.1748	4.939	5.9004	5.8583	8.7879	5.7695	6.6894
U133A__S100A2	5.7104	5.2629	6.0272	5.0266	5.1361	8.7308	5.1261	11.8664	8.1017	4.6494	5.0442	12.1145	9.7223	9.938	5.0393	12.6387	7.9326	10.0914	6.775	6.5171	4.9131	7.9401	5.843	5.1111	6.0773	4.8966	5.6079	8.4846	10.926	8.9102	5.3655	6.2769	5.9202	5.5082	5.3582	5.3529	5.7302
U133A__TM4SF1	8.362	6.5146	5.874	3.8897	8.7189	9.4967	4.6259	10.9337	8.3625	6.6237	9.5874	6.9261	9.7401	8.5645	9.6634	8.2595	9.5157	9.932	9.4497	4.0086	3.9065	5.6867	8.5886	3.6329	8.9573	7.5024	5.3364	9.5365	8.6277	8.4649	3.7295	8.8941	7.1048	3.6687	6.4787	8.7528	3.6383
U133A__CDCP1	7.0742	7.2215	8.8826	7.3078	7.3245	5.7458	7.0456	7.5834	6.5563	6.1087	5.8003	8.3644	7.5225	8.6177	7.6904	8.2325	6.9611	7.7991	6.2206	5.8522	5.5089	6.0267	6.5621	7.4171	6.5984	7.661	5.7184	9.4111	8.3319	8.8519	5.8008	6.9583	7.2886	6.9554	7.7043	7.4395	7.2068
U133A__SLC9A3R1	9.519	9.6155	8.3819	9.3381	11.1179	7.3427	10.3084	7.7895	7.6797	11.4694	8.4963	8.6198	9.0035	8.2239	9.0584	8.1738	7.8626	8.8965	7.1743	9.7706	10.4869	6.8074	7.6842	11.736	8.9875	10.9463	9.4829	6.4568	7.3574	6.9491	9.7921	9.1212	9.2263	10.2388	10.5344	10.2528	11.1031
U133A__FHL2	6.8345	7.5313	10.607	6.7725	5.7075	6.7465	4.7439	8.3456	5.4334	4.6551	7.6402	7.5109	8.0003	9.859	5.3809	7.916	7.8709	7.455	9.4441	6.409	6.7517	8.0689	7.9957	5.0216	7.9393	4.7353	6.6008	10.66	8.0581	7.9105	7.7389	9.5596	9.8828	8.7644	10.1995	6.2594	5.9175
U133A__EVL	6.5819	6.5993	4.6086	7.2508	8.0284	7.1084	5.4912	5.4509	7.6442	7.3263	5.4225	5.6069	5.8148	5.1213	5.0845	6.1689	6.5112	5.5906	5.4023	4.5521	7.7047	6.8544	4.7318	7.4779	4.4135	5.965	5.412	5.6858	4.3026	5.815	7.3008	5.4453	4.793	5.3382	7.2771	6.5164	8.1337
U133A__DHX40	7.0381	5.7867	6.4315	8.6347	7.5986	5.919	5.9241	6.2316	6.2846	7.014	5.6478	6.411	6.2943	5.4408	6.003	6.5949	7.426	6.0468	5.1125	7.2359	8.2093	6.8654	6.4999	8.5027	4.9426	6.9965	5.1172	6.5324	3.9736	5.98	5.644	6.7685	6.3122	6.9005	7.842	7.2802	7.0766
U133A__UAP1	9.1598	8.4831	7.1609	8.1046	8.3803	10.5221	7.3076	7.5494	7.5247	7.4176	8.5975	8.0611	7.6904	6.9409	7.8611	7.7855	8.3676	8.4675	8.864	6.5547	6.1229	8.1057	8.5606	7.148	8.1879	8.1683	7.9066	9.5836	8.0031	8.7819	8.9616	8.4541	8.9146	7.0147	8.1841	7.9779	7.8894
U133A__CBX1	8.4414	6.701	8.4954	8.128	8.569	8.3009	8.5655	8.5777	8.5155	8.4208	8.4249	7.6401	8.1699	8.0173	8.5637	8.7994	9.1475	7.7093	7.9956	9.3734	9.1815	8.3982	8.7068	9.3827	7.8836	9.1379	6.7832	8.6748	7.5322	8.0114	7.2854	8.7875	8.6622	8.8604	8.3903	8.4396	8.951
U133A__SIDT2	5.8856	8.986	6.2933	7.3246	8.4842	6.6145	6.7782	5.727	7.0085	7.2121	6.4307	6.7302	6.8686	5.6188	8.9948	6.3065	6.9148	6.7901	5.7854	7.1027	6.6763	7.3668	6.4539	7.618	6.7863	7.0954	7.2985	7.8062	5.4073	6.5306	8.0395	7.2792	6.6182	7.7683	8.1148	7.4488	7.262
U133A__TMSB15A	6.7814	5.6785	4.6347	5.9245	6.6978	7.4768	5.2008	5.4826	10.6595	4.8802	6.8064	4.9319	4.787	5.1467	7.7815	4.8697	8.2732	4.5523	5.1726	4.6488	5.4541	6.1732	4.8599	7.0411	5.168	6.9616	4.8005	5.3907	4.4634	4.7684	5.8703	6.5029	4.698	5.3186	6.4729	6.5997	7.9462
U133A__CCNG2	6.4336	6.4736	4.9784	8.8661	7.9676	6.148	7.2863	6.6605	7.9378	6.2712	7.1643	6.5364	5.9897	4.6778	6.7081	6.0424	7.5071	6.8682	5.8272	4.8462	6.6988	6.4808	5.8436	8.5074	7.0697	8.2579	6.3197	6.1248	5.9026	3.8867	7.83	7.0928	4.4897	6.7813	7.3914	8.2052	6.0948
U133A__VEGFC	4.7486	4.8359	4.6119	5.143	4.9123	6.447	5.4106	4.5639	4.5225	4.6426	4.6833	8.0047	4.7197	7.4878	4.728	4.5083	4.5668	4.7086	7.9566	5.0759	4.9522	6.9223	6.3583	5.5923	5.7777	6.2535	5.2711	9.0667	9.0267	6.5974	4.8815	5.4211	4.5863	4.7451	4.9287	6.3003	5.0252
U133A__PLAUR	7.2636	7.0817	7.6566	6.3774	6.0661	7.9196	6.3478	8.6018	7.3217	6.6571	6.7499	6.7768	7.13	8.4113	6.8516	8.1211	7.2534	7.3607	8.1234	6.4877	6.4579	6.9693	8.9904	6.1449	6.6998	6.2084	6.715	7.4222	9.277	7.1697	6.0395	6.8223	6.7814	6.3108	6.3435	6.3425	6.7746
U133A__ANXA1	8.3863	5.1813	8.546	6.8058	4.8279	10.1509	4.9132	10.2727	4.9733	4.6701	10.5859	11.0167	11.8721	11.347	5.3504	11.3303	10.7389	11.4584	11.0326	4.9591	4.9942	10.6713	11.1804	5.5085	9.4097	5.0185	5.8809	10.9965	10.7391	9.9079	9.1288	10.0579	9.263	4.6556	4.9519	4.8945	4.9117
U133A__TGFBR2	4.7952	5.333	7.0106	5.0315	4.0804	6.7765	4.5064	6.3664	4.7365	4.2208	4.6006	6.7692	5.9237	8.2695	4.2784	5.3755	7.5116	6.5588	7.6766	4.5196	5.7419	6.6819	7.685	4.9647	5.073	4.4376	5.0651	7.2266	7.6333	8.8984	4.4958	6.1121	4.7649	4.3031	4.2663	4.2258	4.3092
U133A__FARP1	7.4771	6.1313	6.2527	8.1138	8.8341	6.541	6.6631	8.6433	7.6265	8.0007	6.585	5.8878	7.8769	5.4775	7.2328	7.2984	7.3103	7.3406	5.9912	5.3448	5.8391	6.071	5.4881	8.0231	7.4909	5.6239	5.9676	5.0966	5.858	4.6886	8.1285	7.9765	5.8389	6.1601	7.5092	6.6622	6.7694
U133A__BAMBI	7.9423	7.7371	8.0959	8.9023	7.5743	6.9601	6.2266	9.6671	8.1715	6.709	9.1836	5.0368	8.6409	7.1635	9.9698	9.0514	8.4507	6.8335	6.9717	9.2056	9.9099	6.2606	5.4793	9.4644	8.5589	8.7966	7.9292	4.5666	6.7164	5.3211	8.6945	8.4329	7.2579	7.7471	9.0866	9.8166	7.6499
U133A__SORBS2	8.936	5.4961	5.4941	6.4401	5.4424	5.5175	5.5786	8.6285	5.6054	6.2198	6.3474	6.0802	6.9047	5.4611	6.2066	6.4919	6.1776	7.7611	6.6186	5.7661	5.5938	6.9767	5.9303	6.5877	6.2867	5.633	5.5737	8.6789	5.8552	6.5495	7.5596	7.7492	6.8821	5.923	5.5824	6.4692	5.6689
U133A__ZNF217	7.419	7.5835	6.9251	7.8014	8.8077	6.3906	7.2507	6.639	6.8205	7.0884	6.5128	5.7742	6.7022	5.9938	6.8491	6.55	6.4752	7.1567	5.4451	7.5959	8.0458	6.4752	5.7126	7.3471	6.1379	5.9462	7.1079	5.8327	5.9423	5.1742	6.4352	7.3122	5.7603	6.5379	9.0439	7.9256	7.0191
U133A__ATP2A3	5.5132	9.319	5.7472	8.7249	7.3499	5.168	6.038	6.2331	5.3263	5.7661	5.3368	5.4256	5.7565	5.5403	7.0559	5.6157	5.4054	5.0194	5.5112	7.0769	8.6257	6.0057	5.3314	8.17	7.0926	5.6003	7.7102	5.4588	5.5272	5.605	9.8022	6.0152	5.9734	6.0096	8.4362	6.5268	7.4269
U133A__TTC39A	6.7363	7.9537	4.4192	6.888	8.6528	3.8361	6.2428	4.6311	5.2211	9.349	4.463	4.6581	5.3975	4.1091	6.965	5.4051	4.311	6.2015	3.7661	4.5869	7.2805	3.4222	4.2968	7.8908	7.3398	7.8998	7.1437	4.1734	3.6019	4.3341	7.0522	7.0384	6.696	7.1654	8.5979	6.5769	7.4901
U133A__FMOD	10.2579	5.8738	5.9785	7.7497	5.8143	6.0435	6.017	6.1908	5.9986	6.5752	6.0804	5.7981	5.9072	6.5648	6.206	6.2775	6.0219	5.7453	6.4242	6.1173	6.318	6.2904	5.5456	8.228	6.7226	7.1044	6.1881	6.4336	6.3553	5.7729	6.0522	6.3879	9.243	6.3133	5.7972	8.2792	6.1841
U133A__EMP1	6.5915	6.3958	8.0958	5.0881	5.0017	7.0257	3.4401	8.7769	3.0985	3.053	3.4966	8.7768	9.395	6.5596	6.9316	8.1768	7.9686	9.811	7.0502	3.0761	3.2399	5.1524	7.7947	4.2229	7.3056	3.2898	5.2264	7.5455	8.5932	7.733	3.5142	8.1899	7.6672	3.1839	6.04	3.7279	3.3071
SNP__ZNF291	1.389	1.241	1.103	-2.232	0.842	-2.143	-1.568	-1.604	1.159	-2.226	1.656	0.899	-1.684	1.304	-1.828	1.473	-1.248	1.151	-0.318	-1.928	-1.225	1.228	1.442	1.309	-1.604	-0.64	1.19	1.798	1.79	1.377	-1.361	1.133	-1.919	0	-1.574	1.463	1.105
U133A__HIST1H2BD	7.1145	7.0557	6.7147	8.3315	8.972	6.5474	8.7616	6.8223	6.2897	8.8163	7.4548	6.7661	8.5844	6.7043	8.5002	6.9767	9.7647	6.8531	6.3362	8.5026	8.789	8.7047	6.5194	9.1778	9.4058	9.1269	7.538	8.103	6.6518	5.7787	6.7578	7.389	6.2454	8.4972	7.73	7.5308	6.3211
