Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__S100A2	5.7104	5.2629	6.0272	5.0266	5.1361	8.7308	5.1261	11.8664	8.1017	4.6494	5.0442	12.1145	9.7223	9.938	5.0393	12.6387	7.9326	10.0914	6.775	4.9131	4.8508	7.9401	6.4604	5.843	5.1111	6.0773	4.8966	5.6079	8.4846	10.926	8.9102	5.3655	6.2769	5.9202	5.5082	5.3582	5.3529	5.7302
U133A__SIDT2	5.8856	8.986	6.2933	7.3246	8.4842	6.6145	6.7782	5.727	7.0085	7.2121	6.4307	6.7302	6.8686	5.6188	8.9948	6.3065	6.9148	6.7901	5.7854	6.6763	6.7265	7.3668	6.6904	6.4539	7.618	6.7863	7.0954	7.2985	7.8062	5.4073	6.5306	8.0395	7.2792	6.6182	7.7683	8.1148	7.4488	7.262
U133A__OBSL1	6.4514	8.9967	8.0289	7.8813	8.0845	7.8676	6.4196	6.992	7.3861	7.9661	7.1877	6.5112	6.835	7.0874	9.4103	5.8645	7.4016	7.6103	5.0045	7.6113	6.4547	7.3043	7.8238	6.2485	8.0171	7.5013	8.824	7.9762	6.5707	7.5554	5.2249	7.6849	9.4082	7.1551	5.7054	8.0534	6.569	5.8275
U133A__PLAUR	7.2636	7.0817	7.6566	6.3774	6.0661	7.9196	6.3478	8.6018	7.3217	6.6571	6.7499	6.7768	7.13	8.4113	6.8516	8.1211	7.2534	7.3607	8.1234	6.4579	6.6082	6.9693	6.7436	8.9904	6.1449	6.6998	6.2084	6.715	7.4222	9.277	7.1697	6.0395	6.8223	6.7814	6.3108	6.3435	6.3425	6.7746
U133A__ERBB3	9.0074	7.5004	6.4014	8.3846	9.4643	4.1332	7.8718	7.0488	7.2396	8.1221	7.1116	6.5673	7.1065	5.2443	8.2884	6.1232	6.1179	7.809	3.9223	7.907	7.5422	5.1573	7.8977	4.7362	8.49	7.7735	8.3471	7.8318	4.3134	6.0561	4.2768	8.8454	8.2685	6.8618	8.571	8.2939	8.3354	7.6055
U133A__TSPAN13	9.6774	10.0953	8.3777	10.249	10.7603	5.511	9.5712	7.7338	7.6575	9.9233	6.7565	9.5285	9.5561	9.2752	10.611	8.413	7.5481	10.2011	5.4571	9.4408	9.5767	7.3108	10.1409	5.6786	10.1128	10.3424	9.7301	9.8614	8.6711	6.8176	6.1061	11.0026	10.0425	11.2545	10.2015	10.0762	10.0917	10.3821
U133A__ETV5	6.1958	5.3512	8.7998	6.0268	5.6377	6.6768	4.9464	6.3476	5.5852	5.6541	6.9955	7.4543	6.374	7.529	5.628	6.483	8.1696	5.9095	7.7918	5.4223	5.673	7.7123	6.6378	8.0412	6.1711	5.7368	5.7878	5.0177	7.3943	7.3494	6.991	7.0011	7.7549	7.809	5.5572	6.9736	5.4015	5.2783
U133A__DENND2D	7.4958	7.4556	4.9648	5.7265	8.5326	4.6513	8.6196	5.5103	5.2798	7.1097	6.1298	6.2403	6.9926	5.5069	4.5585	4.9996	6.5644	7.7754	5.2324	6.653	7.6433	4.7386	6.6939	5.02	7.1371	7.3444	6.518	7.5157	5.1945	4.5415	4.1664	5.338	7.6249	7.0955	6.6906	6.9624	6.7653	6.5483
U133A__TRIL	6.45	7.691	4.9883	5.7803	8.2706	4.3206	6.0987	4.8923	6.7164	6.9271	4.5574	4.0993	4.5377	4.618	7.1386	4.4006	4.3815	5.8478	4.3545	5.0011	7.308	4.4089	5.3409	4.5657	5.6758	4.9838	5.7791	7.6403	4.4034	4.3459	4.6801	7.0693	7.903	5.9149	7.3008	6.3524	6.3898	4.6888
U133A__GATA3	4.3432	3.6303	5.3574	5.039	9.974	4.1358	8.5593	2.9041	5.2215	8.0058	4.0984	4.9866	4.7334	5.0131	7.9089	3.0972	5.915	5.4572	3.2756	9.0129	8.8407	2.9786	7.4635	3.0718	7.1761	6.9304	9.0051	4.2017	3.2494	3.2905	2.7796	8.2158	5.6253	7.0477	8.5736	7.9187	6.4257	8.156
U133A__FAR2	6.3903	8.0677	5.6978	6.9496	6.2868	5.9047	5.7329	6.2657	5.466	7.1439	6.4881	6.0924	5.6582	5.9597	7.204	5.8775	6.299	8.1854	7.381	5.8298	6.5426	6.0009	6.0981	5.3047	6.5191	7.4616	5.4745	7.7824	5.6838	6.4978	6.3407	8.1011	8.018	7.6185	5.7586	5.2172	8.6558	8.0705
