Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__DEPDC6	6.5775	5.651	5.4249	7.3238	6.9351	5.3355	6.1073	6.4586	5.8382	6.8016	5.4454	5.018	5.9569	5.7007	7.0469	5.6039	5.2684	6.8221	7.3107	7.2091	6.8144	6.7692	6.3997	5.2031	8.2562	7.3802	6.37	6.1324	5.3696	5.477	5.4188	5.853	8.0495	5.8502	6.5351	7.6139	5.8068	5.7792
U133A__CCNG2	6.4336	6.4736	4.9784	8.8661	7.9676	6.148	7.2863	6.6605	7.9378	6.2712	7.1643	6.5364	5.9897	4.6778	6.7081	6.0424	7.5071	6.8682	5.8272	6.6988	7.5543	6.4808	7.4897	5.8436	8.5074	7.0697	8.2579	6.3197	6.1248	5.9026	3.8867	7.83	7.0928	4.4897	6.7813	7.3914	8.2052	6.0948
U133A__TESK1	6.1277	6.4533	6.6844	6.2831	7.0087	6.1632	6.7421	6.6612	6.773	6.5293	6.5209	6.533	5.8371	6.3716	10.6915	6.4996	6.3326	7.0714	6.205	6.3519	6.8934	6.7607	6.6341	5.7422	7.5346	6.8662	7.7649	6.2511	6.2481	5.9159	6.4373	7.9816	6.5213	6.8686	6.5403	6.1772	7.1722	6.9118
U133A__BAG2	3.9484	3.6233	4.2663	3.847	3.6546	6.779	3.7302	4.687	5.112	3.9445	6.6817	8.2798	6.0631	5.3853	4.1116	5.402	5.1323	4.2779	6.4596	4.244	4.0731	6.4698	3.909	7.9802	4.5399	3.9434	3.9206	3.9939	8.1652	7.0594	7.9745	4.0376	4.4212	3.8011	4.8384	4.0353	3.5252	3.6305
U133A__HIST1H2BG	4.8283	4.2641	3.7738	5.0005	8.9158	4.5763	5.5262	4.4331	5.2718	9.2574	5.3945	5.7249	6.471	4.4167	6.6603	4.5105	7.4535	4.1956	4.0378	6.6731	6.9855	5.2408	5.3898	4.1684	8.9951	6.9417	6.9214	4.4134	4.9449	4.4145	4.68	5.8657	6.7726	3.6731	5.8628	4.7131	4.8942	4.9211
U133A__SLC2A10	8.4741	7.3822	4.5362	8.9337	8.6382	4.1894	8.3078	6.2444	3.2902	4.9809	6.8955	4.0514	4.8122	3.63	9.3639	3.6682	6.9324	6.8581	3.9723	5.5946	4.8866	6.6611	8.9731	3.8427	9.2903	9.274	7.8178	5.031	6.0298	4.0902	3.4864	10.4275	8.106	8.7642	4.3359	9.0343	9.2699	8.1564
U133A__BPTF	6.8483	8.6408	6.3479	7.5001	7.6163	6.0281	6.4019	6.6098	6.6248	7.1143	5.6327	6.1347	5.7794	5.5429	5.7125	6.3422	6.9605	6.1183	5.9811	7.9599	6.0414	7.5758	5.8278	6.3989	7.9848	5.5364	8.2596	8.0437	6.3576	5.6765	5.9499	7.0151	6.1885	5.641	6.9433	6.4234	6.8825	6.4022
U133A__ATP2A3	5.5132	9.319	5.7472	8.7249	7.3499	5.168	6.038	6.2331	5.3263	5.7661	5.3368	5.4256	5.7565	5.5403	7.0559	5.6157	5.4054	5.0194	5.5112	8.6257	5.5436	6.0057	8.129	5.3314	8.17	7.0926	5.6003	7.7102	5.4588	5.5272	5.605	9.8022	6.0152	5.9734	6.0096	8.4362	6.5268	7.4269
U133A__CKB	5.3442	7.7875	5.6154	5.4548	7.2727	7.2986	7.9556	7.8831	5.951	7.7218	5.4318	7.4084	6.4976	6.0638	6.8017	5.8878	6.9659	6.6128	5.5701	6.5721	8.3052	7.7159	5.8863	5.9212	7.0171	6.8611	9.5775	7.0333	9.5311	5.9426	5.512	8.4104	7.5521	5.1422	6.9092	7.7166	9.1697	9.3753
U133A__FJX1	6.5939	4.9534	5.2022	5.1338	5.6537	7.6143	5.2415	5.7766	5.3144	5.5751	8.4788	9.4197	5.9251	7.3678	6.3201	5.9498	5.4115	4.6526	6.5954	5.4523	6.721	7.1474	6.4742	7.4808	5.9475	6.7105	6.7111	4.6379	6.7667	7.656	7.4484	6.3312	7.0899	7.5153	7.9006	6.3415	5.6275	6.4607
U133A__DCTD	6.7368	5.2551	7.543	5.1467	5.2233	6.3193	7.0626	6.191	5.2222	5.2165	8.2899	7.0776	7.2563	7.3378	5.1893	5.3932	7.6038	6.9105	6.8982	6.1875	3.9253	7.3325	7.087	8.1583	6.0793	6.8102	6.0422	5.4363	7.4175	8.6957	7.8895	6.5288	6.9611	7.7797	6.4909	6.1735	6.6284	7.042
U133A__DIP2C	6.0306	5.6	4.8042	6.1426	7.3021	5.8184	7.2703	5.9785	7.7083	7.6453	5.5877	6.3643	5.5528	4.2909	5.8443	5.318	7.5229	3.946	5.2792	6.5002	7.245	7.9021	6.0921	5.9908	7.1526	6.9179	6.2128	5.3484	6.081	4.2421	5.8763	8.1831	5.9789	5.1349	5.6502	6.3524	6.2191	6.4159
U133A__SLC9A3R1	9.519	9.6155	8.3819	9.3381	11.1179	7.3427	10.3084	7.7895	7.6797	11.4694	8.4963	8.6198	9.0035	8.2239	9.0584	8.1738	7.8626	8.8965	7.1743	10.4869	10.1918	6.8074	8.9042	7.6842	11.736	8.9875	10.9463	9.4829	6.4568	7.3574	6.9491	9.7921	9.1212	9.2263	10.2388	10.5344	10.2528	11.1031
U133A__ISOC1	5.1663	6.6553	6.119	7.541	8.1396	5.287	9.2407	5.7943	7.3405	8.0976	6.9094	6.4093	6.761	6.1868	6.9766	6.6684	5.8931	5.609	5.2129	8.045	8.8911	5.4164	6.7959	6.9834	7.4249	7.287	7.952	6.9193	5.8083	6.542	6.1968	6.8505	6.9708	5.616	6.3399	6.6446	7.5794	7.608
