Cell lines	AU565	BT474	BT483	BT549	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	ZR751	ZR75B
U133A__KIAA0100	9.2054	8.8628	8.6047	7.4282	7.5337	7.7525	7.5068	7.9503	8.0312	8.2047	7.8415	8.2902	9.0749	8.4022	8.2701	7.8823	7.6288	7.6848	8.8026	8.3881	7.8276	7.2512	8.327	8.6738	9.0547	7.8274	7.5392	8.4813	7.605	7.9615	8.3141	8.6067	7.8017	8.3358	8.2115	8.5997
U133A__HLA-B	6.5287	8.4347	9.7896	8.1642	10.3122	9.9839	12.112	8.8869	10.6615	9.8035	11.5088	10.0633	10.1819	6.3218	9.5062	10.8249	12.3107	8.5989	6.9006	8.3908	9.4948	11.9091	8.045	8.1669	9.2382	9.8055	8.963	7.5816	11.9884	9.7036	8.7843	9.7905	9.8309	8.6981	7.8149	7.1263
U133A__PCSK1N	5.1548	6.9004	8.3513	6.1553	5.4867	6.7564	7.5637	7.2533	6.7813	5.7054	6.0571	5.9201	5.5088	6.8148	6.8731	6.6252	4.8381	5.3818	6.3363	7.0645	8.6712	7.6635	6.1384	5.4779	8.9092	5.3401	6.4129	5.6267	6.0395	6.3185	5.3578	5.7835	7.1748	5.9004	5.7695	6.6894
U133A__VEGFA	7.5865	9.3172	8.8928	7.2353	6.4056	7.4108	8.8648	6.898	7.7084	7.6821	7.3718	8.5349	9.1772	6.1552	7.9471	6.1499	9.1817	7.9602	6.6548	6.5035	6.9542	7.311	6.9627	6.1337	7.1265	7.4277	7.9323	7.8891	7.6864	6.0449	7.6551	7.5202	8.2384	8.0846	9.467	7.0239
U133A__DEPDC6	5.651	7.3238	6.9351	5.3355	5.1492	6.4586	5.8382	6.8016	5.4454	5.018	5.9569	5.7007	6.5867	7.0469	5.6039	5.2684	6.8221	7.3107	5.2826	7.2091	6.8144	6.7692	6.3997	5.2031	8.2562	7.3802	5.133	6.37	6.3896	5.3696	5.477	5.4188	5.853	5.8502	5.8068	5.7792
U133A__GALNT7	7.7966	7.8677	6.8942	5.9383	6.9831	6.6851	5.6639	3.9737	5.7113	6.7685	7.3988	7.0344	6.2122	7.7397	4.6655	5.1799	8.3199	6.9868	6.8564	5.8593	6.8119	5.811	7.398	7.0977	8.8145	8.7549	5.1126	8.0766	7.2616	6.8101	7.2673	6.1104	10.1522	9.6661	7.9301	7.8191
U133A__EVL	6.5993	7.2508	8.0284	7.1084	4.8447	5.4509	7.6442	7.3263	5.4225	5.6069	5.8148	5.1213	6.2053	5.0845	6.1689	6.5112	5.5906	5.4023	4.5521	7.7047	7.3885	6.8544	6.2239	4.7318	7.4779	4.4135	5.7002	5.965	5.3594	5.6858	4.3026	5.815	7.3008	4.793	6.5164	8.1337
U133A__PLCG2	6.5628	6.6357	6.3363	6.7695	6.6768	6.8618	7.0184	6.6858	6.8866	6.5975	7.3542	6.9606	6.8817	6.522	6.9216	7.2069	10.2967	6.8883	6.7778	6.8881	6.5643	6.5345	6.3556	6.7718	6.6133	6.7417	7.2307	6.3532	7.5051	7.1081	6.2739	6.6263	6.5003	6.699	6.4317	6.4792
U133A__GALNT10	7.9191	6.9329	6.6821	8.639	5.4449	5.0571	5.4424	5.1607	5.298	5.2261	6.4532	5.7329	7.4836	7.0813	4.7936	5.2472	4.467	7.0214	6.9092	5.8909	5.3446	6.1383	7.1371	7.5999	7.4186	8.3062	5.1227	8.2684	6.981	5.7581	4.9711	6.7273	7.2914	8.785	7.1087	6.9219
U133A__CBS	5.4492	5.6544	6.2438	7.3369	6.1167	7.4403	8.4846	5.7384	8.0993	6.5391	5.9537	6.3435	7.3734	5.1559	6.6224	6.4994	7.6089	5.9747	6.9595	7.2635	5.6818	6.6504	6.1478	5.3068	5.6614	5.2172	5.6929	8.0108	8.3196	8.1012	5.822	5.7536	8.3385	6.5534	5.2268	6.395
