Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM44PE	SUM52PE	T47D	UACC812
U133A__OBSL1	6.4514	8.9967	8.0289	7.8813	8.0845	7.8676	6.4196	7.4034	6.992	7.3861	7.9661	7.1877	6.5112	6.835	7.0874	7.2713	9.4103	5.8645	7.4016	7.6103	5.0045	7.6113	6.4547	7.3043	7.8238	6.2485	8.0171	7.5013	7.0411	8.824	7.1924	7.9762	6.5707	7.5554	5.2249	7.6849	9.4082	8.5314	7.1551	5.7054	8.0534
U133A__FGFR4	5.2867	5.3796	4.6769	5.932	7.0564	4.6014	8.8352	4.6243	4.8179	5.08	5.6192	5.5987	5.5846	4.808	6.2914	6.8329	5.3225	4.6994	5.1195	4.6729	5.1249	4.7136	6.0483	5.4814	5.1906	5.0617	7.1829	6.8866	4.8499	10.4891	4.42	5.3601	5.2254	5.1338	5.1372	5.6779	6.7871	7.7673	6.0534	5.1223	5.6953
U133A__MYB	7.1063	6.9468	5.5605	7.1427	8.3619	5.2382	6.1754	5.2894	5.4142	6.3239	6.4602	5.2946	4.9253	6.2981	5.4064	5.8573	7.3429	5.4122	4.8759	5.6105	5.5049	7.2538	7.4732	4.4327	7.1898	5.3734	8.3463	6.7762	4.8808	7.5681	6.1527	6.5134	5.2487	5.4891	4.8102	5.5343	6.6125	7.9243	6.4074	6.262	6.73
U133A__ALDH3B2	6.5658	8.7068	6.0898	9.5624	8.1606	5.2722	7.965	4.8835	6.0893	7.5457	8.0414	6.9725	4.847	7.2269	5.3528	8.9681	10.1542	6.3245	4.9788	4.7615	5.3712	6.2633	10.8627	5.4095	7.7902	4.5362	10.3719	7.7701	4.6051	8.9937	8.7803	7.1355	4.5919	5.4648	4.9338	7.1044	9.7612	9.6258	8.5803	7.4248	8.7639
U133A__SLC24A3	5.6004	5.5097	4.5251	7.0284	8.6046	4.2919	7.6789	4.5472	5.7657	8.3801	7.8815	6.0192	4.488	4.5344	4.5142	6.0343	7.7085	4.6155	4.9532	6.8012	6.2703	6.0407	7.2196	4.3953	5.5787	4.6406	6.2134	5.5668	4.1616	7.404	5.2417	5.3517	4.4037	4.821	4.696	7.0271	5.4589	5.6468	6.5218	6.8955	5.7622
U133A__INHBB	8.9319	9.0488	9.6677	9.0222	7.2062	4.1472	9.3761	5.0339	9.6701	5.4203	7.5198	6.4504	6.9645	5.8516	8.5289	9.0537	9.8052	7.5508	5.3406	7.9114	6.0214	8.3263	6.5851	5.2305	8.5668	6.0086	6.9465	8.4557	4.3769	9.7103	8.3352	9.4064	5.8637	4.8836	5.3548	8.8214	9.2832	9.5776	9.0283	8.3476	7.9003
U133A__ACSL1	5.8954	8.2165	6.9153	8.658	6.2343	5.1716	7.2737	4.6456	7.9344	5.8146	6.185	8.0636	6.2	8.2443	6.2225	6.6356	6.7455	5.5297	7.044	8.7631	4.7826	6.1018	6.4659	5.6861	7.0502	5.928	7.5073	7.6861	6.6647	8.5253	7.5371	6.84	4.6924	7.4148	6.8998	6.3058	9.291	7.6789	8.5472	6.3515	8.1543
U133A__CX3CL1	5.1792	7.6425	4.8388	7.1501	5.3846	4.4939	4.8967	4.5963	6.9372	6.8788	6.223	5.5573	4.6235	5.6115	5.7214	6.2905	8.0736	5.568	6.0087	8.0273	4.9628	4.9562	5.2278	5.0901	7.4116	4.7459	4.917	5.7636	4.8201	4.6433	7.122	6.4664	4.8297	4.8225	5.1102	4.8107	9.8596	4.9374	4.9193	4.7497	4.6462
U133A__PPP1R3D	6.0376	6.2841	6.5806	5.8836	8.9569	5.5115	7.3522	4.8917	5.3847	5.2179	8.4079	6.0031	6.2885	6.1268	6.9745	5.6122	6.7862	5.4457	5.3754	5.7838	5.1445	6.9967	9.3097	5.3464	7.7236	5.2928	7.7316	6.1594	5.2355	7.5285	5.6325	6.4306	4.8825	6.1016	4.8641	8.1589	6.6839	6.7296	6.8287	5.7656	8.1055
U133A__ZHX2	6.6374	9.2638	6.7542	7.8713	7.8561	4.9952	6.5017	6.1914	6.0232	7.4021	7.1239	5.0842	5.9716	7.2131	6.5772	6.5952	8.4563	6.9501	6.0953	8.0637	5.4724	7.4885	6.2762	4.9739	7.7711	6.05	7.6426	6.7416	5.0924	7.0132	7.2631	6.648	6.059	6.029	4.8623	6.4096	7.6708	7.3802	6.0315	5.7254	6.6176
U133A__FSTL1	6.755	6.2572	6.8274	5.936	6.4877	11.5266	6.0422	9.2564	6.8735	6.4112	6.7142	7.1585	8.8436	9.9158	7.9294	6.0962	8.8284	9.2432	9.4494	8.6058	10.846	5.6398	5.7112	9.7716	6.2036	8.6291	5.7009	5.857	10.7336	5.6561	5.3421	5.9557	9.5334	9.6656	8.1824	5.4895	8.1404	5.5608	5.6432	6.6733	5.5658
U133A__CD44	4.7486	5.2851	9.2472	4.5395	6.9448	9.4833	4.1435	8.3319	8.4113	5.113	7.9968	9.5046	10.7234	9.0773	11.1618	4.3106	4.529	9.4828	9.1421	9.166	11.6044	5.1402	7.6727	9.821	4.0806	9.3837	7.2156	8.5655	10.2823	4.2934	10.3147	3.3122	10.2795	9.5681	9.6161	4.206	8.0953	9.4445	3.3732	4.9207	6.2961
U133A__KRT8	10.7115	11.2525	11.4126	11.1708	11.8105	4.6994	10.4767	8.954	9.9402	9.7313	11.932	8.4941	8.913	10.6646	11.1743	11.3477	11.4994	9.9269	9.5922	9.5457	5.7145	12.1159	10.506	7.5837	11.0665	8.3426	11.2063	10.4653	7.4827	9.1194	10.6725	11.5414	4.6224	9.8963	8.3775	10.5897	10.994	11.607	9.9593	11.9459	11.5683
U133A__MXRA7	7.3883	4.9898	5.2513	6.1786	7.3459	8.8708	7.5332	9.6161	7.994	7.5735	8.5232	8.4778	9.4836	7.0129	5.6822	5.7562	5.2279	10.1797	9.496	8.2414	9.2301	6.369	8.1878	10.6844	7.7324	9.4217	6.698	5.4442	8.4748	5.2076	6.249	5.147	8.9371	8.2772	8.9797	5.5672	5.5043	8.0605	5.2859	7.7395	8.9281
U133A__TTC39A	6.7363	7.9537	4.4192	6.888	8.6528	3.8361	6.2428	4.2693	4.6311	5.2211	9.349	4.463	4.6581	5.3975	4.1091	5.2844	6.965	5.4051	4.311	6.2015	3.7661	7.2805	6.8676	3.4222	5.9355	4.2968	7.8908	7.3398	5.0521	7.8998	5.7429	7.1437	4.1734	3.6019	4.3341	7.0522	7.0384	7.8303	6.696	7.1654	8.5979
U133A__MYH10	7.7391	7.0683	8.5681	7.7365	8.0332	9.7416	5.8115	8.0637	6.4076	8.7884	6.8916	7.9537	8.356	7.6228	7.1923	6.6651	7.5968	7.6521	8.4861	6.6804	8.1849	7.4958	6.7144	8.8112	6.7401	7.0599	7.7911	5.3969	9.3994	6.3497	7.7655	6.0481	7.4316	8.043	6.0291	7.5215	6.3579	6.1791	6.4442	7.2604	8.1056
U133A__NXN	7.5201	5.0095	6.0575	5.7535	7.3153	8.3716	6.529	7.5148	7.7664	8.4054	5.6117	8.0771	8.1691	6.7657	7.223	5.6674	5.3557	6.4697	7.3231	7.8487	7.2476	6.0448	5.3731	9.1328	6.9807	7.7845	6.3448	5.8264	7.2608	5.2453	6.2411	5.2668	8.8314	7.8895	6.2312	5.8514	8.3257	5.7419	6.6533	7.0094	7.3149
U133A__ALDH4A1	6.0591	7.4246	6.5647	8.3471	6.7169	6.082	7.9374	6.3639	5.962	6.3012	7.4468	6.466	6.4855	7.1706	5.8314	9.2661	7.2935	6.2652	5.8633	7.3004	6.2349	7.738	7.2079	6.0012	7.847	5.8512	7.521	6.2685	6.068	9.9506	6.211	7.4964	5.9475	6.3586	5.7202	7.4961	6.7301	8.9913	6.5002	7.6683	7.696
U133A__FOXA1	9.1328	7.7572	6.523	9.0263	9.4147	4.7595	8.7472	5.2356	5.2283	5.7444	8.14	5.0961	5.822	6.5694	7.5076	8.5585	8.8813	6.9658	5.4233	5.6401	5.6268	8.6803	9.0814	4.7116	8.5308	5.3926	8.8057	8.3218	5.1007	9.2428	6.7332	7.9736	5.241	5.689	5.6432	8.73	9.3117	9.0604	8.6746	8.6077	7.9866
U133A__PRSS8	8.8288	8.984	7.5482	8.4017	8.4845	5.5972	7.5995	6.1579	7.1231	8.7157	7.8521	7.897	6.8913	7.7276	7.1033	9.1171	9.0244	7.8961	6.167	9.0988	5.8126	7.696	7.6602	5.2863	8.842	5.6892	8.4368	7.7911	5.3989	7.8115	7.4117	8.3283	5.4722	7.4115	4.5504	10.1071	9.5346	8.4538	6.0866	7.2982	9.366
U133A__OPN3	7.3667	7.9089	7.2246	8.3329	6.7708	7.5352	6.2531	4.9373	5.5276	7.6964	5.7019	4.2432	4.6319	6.4417	8.5415	7.2765	8.6586	6.7565	6.8693	7.7497	5.5873	7.0329	5.8583	5.4766	7.5529	5.7904	6.102	6.958	6.8791	7.2383	7.4865	7.1835	4.5531	6.7869	6.5327	6.1301	8.3869	9.1116	4.4406	4.4907	7.1688
U133A__MREG	7.2904	7.4837	6.8632	7.3162	7.6224	4.1264	6.9158	4.7871	4.9852	4.4452	7.6384	6.6941	7.6708	6.2989	5.9287	4.3678	7.3828	6.2187	6.2332	6.664	4.6508	8.8786	8.0033	5.5713	7.5852	5.3909	8.2337	7.7519	5.1165	7.482	6.5516	6.9532	4.3075	6.558	4.6489	4.8388	7.7298	7.6353	7.2458	7.0424	8.2713
U133A__CYB5A	6.6338	7.709	5.1047	6.3098	6.617	5.7624	7.9642	4.8279	6.9887	4.4315	6.1598	6.0589	5.0605	5.3328	6.0628	7.199	8.2505	5.2687	4.701	6.1142	3.8628	6.1092	7.8149	4.6541	7.0276	6.1533	6.26	7.9185	5.411	7.5663	6.3495	6.7328	4.648	7.3606	7.1314	6.3256	7.0204	9.2787	5.551	6.3159	8.6476
U133A__SLC39A14	6.6658	6.3508	8.5567	5.7462	6.1677	9.7025	6.6078	6.8325	6.3584	10.0436	5.8834	7.972	7.7405	6.3612	6.229	5.618	6.6312	7.0261	7.3375	6.1078	8.8219	6.0328	6.4296	7.3106	6.5998	7.9923	5.6425	6.5311	9.1429	5.5457	7.4857	6.6012	10.1244	7.5401	8.3297	7.8884	5.1832	6.4898	6.6665	6.7652	7.3475
U133A__COL6A1	6.9732	6.3156	6.0991	6.3956	6.2876	7.7987	5.9948	7.9622	8.9878	5.7568	6.6083	8.0962	7.3804	6.3507	5.6124	6.3969	5.8936	6.4987	9.1927	5.4538	10.8531	6.2493	5.8409	11.2448	6.8487	6.5369	6.4207	5.7732	7.6372	6.0757	5.4333	5.7873	9.5167	7.8725	6.8032	6.018	7.0157	6.0732	6.5026	6.3931	7.0413
U133A__AXL	4.5848	4.3447	4.36	4.6163	4.3957	9.7332	4.3709	9.0689	7.011	4.3959	4.4975	4.5981	4.2906	4.9826	5.1863	4.9555	4.2474	5.2312	9.2723	4.1729	10.475	4.4261	4.7784	8.3136	5.0443	10.3645	4.1508	4.614	7.5333	4.2537	4.6935	4.0831	9.5546	7.5369	9.6852	4.2137	3.971	4.3298	4.2126	4.5153	4.3396
