Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM44PE	SUM52PE	T47D	UACC812
Response	-1	1	1	1	1	-1	1	-1	-1	1	1	1	-1	-1	1	1	1	-1	1	1	-1	1	1	-1	1	-1	-1	1	-1	1	-1	1	-1	-1	1	-1	1	1	1	-1	1
U133A__BAG2	3.9484	3.6233	4.2663	3.847	3.6546	6.779	3.7302	6.7389	4.687	5.112	3.9445	6.6817	8.2798	6.0631	5.3853	4.0193	4.1116	5.402	5.1323	4.2779	6.4596	4.244	4.0731	6.4698	3.909	7.9802	4.5399	3.9434	6.3208	3.9206	5.8701	3.9939	8.1652	7.0594	7.9745	4.0376	4.4212	3.9483	3.8011	4.8384	4.0353
U133A__CTSB	8.9033	8.3507	7.4127	7.895	9.4448	10.3253	7.3919	8.9813	9.8386	7.1998	8.7026	8.7987	10.4713	8.9155	8.2071	7.5955	8.7264	9.6347	10.3193	8.6727	10.1243	8.2081	8.7671	9.7003	8.8804	7.8934	8.1404	8.1867	11.1434	7.8041	9.4426	7.0968	12.1734	8.6588	8.6083	10.4251	6.6465	8.5123	7.1327	8.8929	9.6935
U133A__TSC22D3	8.6296	7.6905	8.256	8.0938	8.2768	6.8298	8.046	6.6455	6.3736	7.4189	7.9939	6.8413	6.5075	8.4426	6.8274	8.6658	9.6233	7.1738	7.9296	9.0921	5.9813	8.113	8.7906	6.4745	9.6575	5.5423	7.798	9.5332	6.1585	8.5134	9.1427	8.297	7.2593	7.1095	8.0444	7.5857	10.0225	7.7835	10.701	6.4267	10.173
U133A__COL4A2	6.4635	5.4771	6.2726	4.9197	4.4398	9.5328	4.7309	7.1	6.7139	4.8079	4.9894	7.5194	8.2333	5.6191	5.1904	5.6325	5.0157	9.3085	8.3007	4.2182	8.3461	4.7039	4.7941	9.7331	5.177	5.9915	4.8098	5.2981	5.5286	4.7465	6.0811	5.4106	6.024	9.0196	4.8637	4.61	4.6647	4.8713	4.8703	4.9757	4.6655
U133A__IRS2	8.2646	5.3993	6.3871	6.1831	6.7845	6.2723	5.228	5.7221	9.8849	5.6423	6.4241	5.833	9.3915	7.7954	6.0032	5.6418	5.453	8.6129	6.621	5.3606	5.4758	6.2504	6.3569	6.8503	5.6481	7.0768	7.1192	5.6215	6.9995	5.0591	9.2111	5.6329	6.3412	7.299	7.7423	7.3676	6.7356	6.6402	5.7346	6.0545	5.8869
U133A__TRIL	6.45	7.691	4.9883	5.7803	8.2706	4.3206	6.0987	4.2621	4.8923	6.7164	6.9271	4.5574	4.0993	4.5377	4.618	7.1587	7.1386	4.4006	4.3815	5.8478	4.3545	5.0011	7.308	4.4089	5.3409	4.5657	5.6758	4.9838	4.5005	5.7791	5.5015	7.6403	4.4034	4.3459	4.6801	7.0693	7.903	8.2998	5.9149	7.3008	6.3524
U133A__SMURF2	5.3079	5.6089	5.9547	5.405	5.7355	6.9838	3.5189	6.6816	7.3907	5.6463	5.7139	5.1517	7.2388	5.353	6.3549	4.6842	5.0893	5.7892	6.8505	5.6735	6.5155	6.1958	4.5026	6.9682	4.4935	8.3902	7.8146	4.9734	6.5385	6.1146	6.1733	4.805	7.3581	6.5988	5.5586	5.2551	5.9648	4.3874	5.0942	4.8824	5.9768
U133A__SELENBP1	8.8083	9.7924	6.2626	7.6433	9.2375	4.404	8.985	5.7129	8.8748	7.4447	7.9249	6.8402	4.8861	6.996	5.9103	9.6817	8.3716	5.1255	6.3603	8.2953	5.4059	7.5547	7.3078	5.0839	7.755	5.9437	7.8378	7.8349	5.555	9.293	6.6074	9.5222	5.4631	4.9068	5.4815	8.5464	8.5024	9.455	8.8177	7.1748	8.0832
U133A__SGK1	4.5039	4.9334	6.1785	4.7827	5.0255	8.6493	4.9394	7.5162	7.9635	4.3632	4.5738	6.4205	8.1867	7.2171	5.7353	4.9836	4.2787	5.4377	7.4515	6.0284	7.7563	5.5643	4.8025	7.6973	4.6129	7.0334	6.3626	4.4837	9.4257	4.4109	8.2431	4.9636	8.6062	6.7889	7.1807	4.5583	5.3698	5.1004	6.1684	4.7328	5.5696
U133A__FST	6.5894	6.5399	6.4906	6.4947	6.3964	7.1555	6.4063	7.1739	8.1138	6.729	6.605	6.9497	8.7649	7.1819	8.1031	7.2197	6.4535	7.3188	6.6246	6.2073	9.2037	6.879	6.71	6.9117	6.6957	8.7976	6.5755	6.6662	7.6607	6.6393	6.8589	6.7865	6.843	6.7208	6.5052	6.9549	6.5913	6.6066	6.8367	6.4505	6.228
U133A__CAV1	4.2859	4.1942	8.1428	4.49	4.2497	10.769	3.9335	9.4857	10.2245	4.1066	5.7522	4.5139	10.4314	9.7651	8.6141	5.5414	5.3759	8.5934	9.5218	8.7912	11.4435	6.486	3.9209	10.4205	4.2274	10.5667	4.3654	4.8546	9.7885	3.8748	8.9838	5.5985	10.5467	9.5059	10.8746	4.009	5.6255	4.0188	4.2529	4.2671	4.1429
U133A__AHNAK2	4.3732	3.6455	4.6633	3.7668	4.2833	7.8526	4.6283	6.6866	9.299	3.5509	4.9391	3.8991	6.3896	4.45	6.0159	3.693	4.1841	7.2624	6.7199	6.3673	5.4933	4.2351	4.6591	8.267	4.9602	5.1847	4.0095	4.1542	8.1732	3.6524	5.7244	3.8567	9.5019	5.603	7.6929	8.3787	4.9678	5.6918	4.0909	4.2427	4.4986
U133A__FAM129A	5.0158	3.7621	4.7228	4.3398	5.5046	7.9531	3.6722	7.9585	4.8097	5.2083	5.9292	4.647	8.5176	6.8051	3.6708	5.0975	5.0773	6.7572	5.0536	8.9458	4.8652	3.6517	4.1287	6.924	6.5025	6.8604	6.0223	3.8873	5.4843	3.8552	7.359	3.8009	6.1988	6.8953	4.1109	7.0005	8.3979	6.8626	4.7178	5.0793	3.9912
U133A__WBP5	6.7541	3.6889	6.4769	3.8423	5.822	6.6526	3.4188	8.2125	7.1545	8.993	6.1042	6.1205	7.6216	7.5367	4.0715	3.9169	3.6347	6.549	7.9524	4.1972	6.6648	3.5138	3.6334	7.6132	3.816	8.2161	7.0278	3.947	8.8637	3.6362	3.6369	3.6496	7.7813	5.9192	5.6305	3.7521	6.6178	5.6707	5.4815	5.2695	3.583
U133A__MSRB2	8.6347	8.2683	8.2463	7.7759	9.0622	6.1322	8.4323	6.2087	8.2741	8.3597	9.5777	8.2937	5.6591	7.9188	8.0335	9.0409	9.1591	7.2659	9.2971	11.0288	5.3433	8.7093	8.7158	8.3228	9.0901	7.7011	7.6898	8.5022	8.5079	7.991	7.2882	8.4725	8.2739	8.814	6.5764	7.8935	9.151	9.7235	7.5318	7.82	9.6919
U133A__NEBL	7.1562	7.471	6.4486	7.9659	8.3793	4.4277	8.0852	4.1247	8.1581	5.8258	8.7265	4.729	4.5974	6.1047	4.8275	6.2376	8.4438	4.7794	5.3089	8.8448	4.5196	7.7379	7.7128	4.3245	6.2351	4.2596	7.1621	7.8028	3.7526	6.5042	5.5637	7.6328	4.692	4.966	5.6682	9.7977	8.5099	8.5868	6.3427	7.0842	8.2432
U133A__PLAU	5.5718	5.8756	5.2088	5.6696	5.1491	7.8668	5.3929	7.9168	6.0278	5.2362	5.2184	5.332	7.874	6.7758	5.664	6.2216	5.9968	5.3077	7.0242	5.1726	7.9917	5.6808	5.4287	6.8126	5.511	7.6491	5.3504	5.7285	8.5978	5.3338	6.9324	5.507	10.1668	9.6993	5.9627	5.292	5.721	5.5372	5.2565	5.5545	5.8024
U133A__TUBB6	4.8682	6.5678	8.0465	6.253	4.4901	9.8768	4.9213	9.5493	8.3339	9.2657	7.3934	8.5949	8.9081	8.7762	7.6112	5.3791	6.6415	9.8152	9.8057	8.0943	9.7499	7.4325	7.8191	10.4802	5.4732	9.0045	7.5802	5.0843	9.3439	5.1846	8.4845	6.5456	10.1106	9.4057	9.6441	5.1798	6.0299	4.7572	5.5564	7.8651	8.1612
U133A__NDC80	5.5522	5.0453	7.3704	6.0641	4.7678	7.5886	4.8913	6.9694	6.2093	8.2113	4.6458	5.6359	6.8255	7.5058	5.4579	4.6172	4.7843	6.5212	6.879	6.771	7.0702	5.1758	5.1286	6.8271	4.2246	7.4584	5.221	4.9644	5.8619	4.8313	8.502	4.8279	6.9992	6.9676	6.0043	3.5759	5.4467	3.7361	3.7379	5.2985	5.7214
U133A__ERBB2	9.3202	12.1579	7.8098	12.0098	9.58	7.0802	8.4009	6.6464	8.7493	7.9295	7.6523	11.8139	7.294	7.8108	11.5446	12.1228	9.3757	8.9136	8.1445	7.98	6.6782	8.5128	6.8815	7.0918	9.2857	6.6117	11.035	7.8448	6.9505	10.215	7.107	11.611	6.9193	6.6093	7.3643	8.4025	13.0449	8.2068	7.652	8.3078	12.1946
U133A__GATA3	4.3432	3.6303	5.3574	5.039	9.974	4.1358	8.5593	3.5801	2.9041	5.2215	8.0058	4.0984	4.9866	4.7334	5.0131	7.259	7.9089	3.0972	5.915	5.4572	3.2756	9.0129	8.8407	2.9786	7.4635	3.0718	7.1761	6.9304	3.0294	9.0051	5.2047	4.2017	3.2494	3.2905	2.7796	8.2158	5.6253	6.9584	7.0477	8.5736	7.9187
U133A__ANXA1	8.3863	5.1813	8.546	6.8058	4.8279	10.1509	4.9132	10.8697	10.2727	4.9733	4.6701	10.5859	11.0167	11.8721	11.347	5.6928	5.3504	11.3303	10.7389	11.4584	11.0326	4.9942	5.0231	10.6713	6.8432	11.1804	5.5085	9.4097	11.2499	5.0185	10.4199	5.8809	10.9965	10.7391	9.9079	9.1288	10.0579	4.7585	9.263	4.6556	4.9519
U133A__IGF2BP2	5.0062	4.5534	6.7785	4.8	4.3562	8.3006	4.1691	6.9416	7.2592	4.7481	4.6949	6.5841	8.2459	7.525	6.8804	5.012	4.5955	5.6289	7.2659	7.8875	6.6469	4.7528	4.5492	6.7268	4.5693	7.693	4.58	4.6515	5.5628	4.5057	6.0043	4.383	6.4305	7.5201	7.0731	7.1142	5.7935	4.4831	5.3714	5.2241	6.4819
U133A__PGAP3	6.0798	7.7235	5.5166	7.8242	5.9351	5.2618	5.6344	5.7326	6.0077	5.363	5.2591	5.2674	5.2901	5.1176	8.224	7.6509	5.914	5.4419	5.4125	5.624	5.2056	5.6348	5.6203	5.1433	5.5062	4.8408	7.3947	5.4054	4.7	5.9113	5.2243	6.9123	5.3523	5.1623	5.3377	5.4946	10.9139	5.4655	5.4472	5.34	7.9766
