Cell lines	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751
U133A__CRABP2	6.2883	7.6984	7.1272	7.1984	9.2384	10.2575	11.042	10.4868	7.9145	5.679	10.9394	9.1947	9.329	11.2675	6.4565	10.9021	10.0104	6.0832	6.5894	7.7354	10.3027	10.8015	9.5601	7.2299	6.7276	6.367	9.2587	8.4121	9.1007	10.4822	11.9965	9.367
U133A__CTNNAL1	5.2576	9.176	6.5586	9.2333	6.7237	8.725	5.2291	7.0447	7.3007	9.0378	6.4033	6.7594	7.8544	6.5949	8.1258	6.7643	6.5967	9.6872	10.2032	7.1815	7.3743	6.467	5.4645	8.052	8.7128	8.9356	7.388	4.743	6.401	7.5563	7.1744	5.9706
U133A__ATP2C2	6.2095	5.2594	6.78	4.7505	6.4084	5.4049	4.9367	6.2669	4.6402	5.5946	6.7137	6.1365	4.8823	5.9041	4.6599	6.1516	5.6878	4.7406	4.5629	6.3763	7.4543	5.9877	6.6966	5.0115	5.5817	4.528	7.6748	7.6835	6.0596	5.6751	6.1125	7.0079
U133A__CYR61	8.1337	8.7486	7.2872	9.9464	5.4504	7.7791	4.4815	7.6012	8.4784	6.7943	7.6799	9.575	10.4785	5.9019	10.6077	5.8235	5.4758	7.6585	11.0284	6.8624	7.1407	6.9966	8.7828	10.4135	8.5484	9.6697	6.1964	9.4093	7.826	8.5165	6.9877	5.8984
U133A__ISOC1	6.6553	6.119	7.541	5.287	9.2407	5.7943	7.3405	8.0976	6.9094	6.4093	6.9766	6.6684	5.8931	5.609	5.2129	7.5138	8.045	5.4164	6.9834	7.4249	7.287	7.952	6.9193	5.8083	6.542	6.1968	6.8505	6.9708	5.616	6.3399	6.6446	7.5794
U133A__SGCB	4.345	4.4165	4.5248	7.8458	4.0945	5.9386	7.1406	5.1858	7.0696	6.3675	3.9234	7.0299	6.7798	4.7882	7.8291	5.4336	5.8159	8.6534	7.4406	4.5614	4.3851	4.0615	4.7536	6.9454	6.2714	7.184	4.3896	4.0284	5.3401	5.106	5.3055	4.3728
U133A__SQSTM1	6.8461	6.1499	5.8091	7.0833	6.0892	5.9361	5.7784	5.8264	7.07	6.1	5.8535	6.5977	6.8556	5.5987	7.8553	6.1988	6.3496	8.1934	6.2835	6.465	5.698	6.1735	6.2993	8.7397	5.8603	6.6855	6.3011	7.6314	6.4299	6.2441	5.9149	5.7718
U133A__ELMO3	5.7889	8.5436	6.3025	5.2339	6.9758	7.0401	5.4423	6.5243	5.5475	5.3853	5.2542	6.1292	5.5702	7.6032	5.6752	6.3077	6.383	5.4442	4.9135	8.2494	7.547	7.8003	5.5882	5.0385	7.7912	5.3956	5.9363	8.1509	5.2154	7.257	7.1531	7.128
U133A__FOSL1	5.3058	7.3819	5.233	7.6711	5.4235	6.1157	5.0024	5.1796	5.4742	8.448	5.2056	5.8006	7.7595	5.3363	8.6803	5.7547	5.2672	8.0784	9.0559	5.1136	5.2681	5.017	5.2985	7.8919	9.0164	8.8942	5.1416	5.3076	5.2537	5.2915	4.5174	5.1363
U133A__ALDH3B2	8.7068	6.0898	9.5624	5.2722	7.965	6.0893	7.5457	8.0414	6.9725	4.847	10.1542	6.3245	4.9788	4.7615	5.3712	6.066	6.2633	5.4095	4.5362	10.3719	7.7701	8.9937	7.1355	4.5919	5.4648	4.9338	7.1044	9.7612	8.5803	7.4248	8.7639	9.0773
U133A__ADORA2B	6.1615	8.2451	5.3114	8.4773	5.51	7.9456	5.3852	6.126	7.0501	8.6464	7.1201	7.0246	7.5635	7.1372	8.0401	6.1847	5.779	9.0234	8.2953	5.5289	6.2769	5.5188	6.1711	7.4778	6.8111	6.6939	5.2126	6.4237	5.9435	5.4204	6.5418	6.1897
U133A__MICAL2	8.5835	7.4091	5.8918	8.7161	5.7524	6.3596	5.3962	7.1558	5.4586	7.7795	6.5409	7.5842	6.7888	6.4282	10.3248	5.4113	5.4244	7.2564	8.1767	5.485	6.4057	5.2067	7.5448	6.4108	8.4159	8.9244	6.6987	6.194	6.1371	5.9135	7.1008	5.7811
U133A__CAV1	4.1942	8.1428	4.49	10.769	3.9335	10.2245	4.1066	5.7522	4.5139	10.4314	5.3759	8.5934	9.5218	8.7912	11.4435	5.6543	6.486	10.4205	10.5667	4.3654	4.8546	3.8748	5.5985	10.5467	9.5059	10.8746	4.009	5.6255	4.2529	4.2671	4.1429	3.9104
U133A__CAV2	3.1779	7.8332	3.3923	7.8986	2.8462	7.2226	3.0586	4.8437	4.7763	8.5945	3.682	7.035	7.4937	8.1446	7.6605	4.8362	4.751	7.6109	7.438	2.9043	3.4366	3.0974	3.3199	7.4425	7.9614	7.5886	3.3399	6.4715	4.8789	2.8856	3.9524	2.9463
U133A__UPP1	5.6322	8.7015	4.9845	6.9232	5.299	5.9974	4.9958	5.0688	5.6954	7.8197	5.0163	6.3642	8.1216	6.4785	7.3965	6.2153	5.1453	8.1145	6.9723	4.8951	5.5995	4.8817	4.624	6.9538	8.4167	7.2426	5.2043	6.6928	5.3043	5.2285	5.6796	5.0327
U133A__DSP	8.7599	8.19	10.2272	4.1204	8.9093	9.9995	10.3829	5.1408	8.2259	9.6499	10.8212	10.0141	8.0855	10.7105	4.4382	8.5645	8.7556	6.7151	6.2146	8.9265	9.3477	6.8808	8.7908	4.2093	8.6303	4.4257	9.3172	9.9535	9.0121	9.2126	10.4274	10.2253
U133A__DEPDC6	5.651	5.4249	7.3238	5.3355	6.1073	6.4586	5.8382	6.8016	5.4454	5.018	7.0469	5.6039	5.2684	6.8221	7.3107	5.2826	7.2091	6.7692	5.2031	8.2562	7.3802	6.37	6.1324	5.3696	5.477	5.4188	5.853	8.0495	5.8502	6.5351	7.6139	5.8068
U133A__PRODH	8.2633	5.8233	8.8993	5.8303	8.8246	7.1422	6.0662	6.391	6.1094	5.6095	8.4251	6.3012	6.0604	5.6111	6.144	6.283	6.6374	5.8934	5.9198	9.8687	8.7783	9.8905	7.0932	6.1111	6.2748	5.5846	7.0003	9.5521	8.7129	7.005	6.463	8.3004
U133A__ESR1	4.5396	4.5822	6.3976	4.5782	6.6629	4.3235	4.353	8.2688	4.2264	4.7002	4.4719	4.0143	4.271	4.5688	4.0522	6.4113	7.7469	4.5068	4.216	8.2838	6.551	4.4076	4.7332	4.2618	4.2987	3.6143	4.1637	4.8123	6.8369	7.3126	6.7535	5.0044
U133A__IGF2BP2	4.5534	6.7785	4.8	8.3006	4.1691	7.2592	4.7481	4.6949	6.5841	8.2459	4.5955	5.6289	7.2659	7.8875	6.6469	5.3637	4.7528	6.7268	7.693	4.58	4.6515	4.5057	4.383	6.4305	7.5201	7.0731	7.1142	5.7935	5.3714	5.2241	6.4819	4.4216
U133A__CD44	5.2851	9.2472	4.5395	9.4833	4.1435	8.4113	5.113	7.9968	9.5046	10.7234	4.529	9.4828	9.1421	9.166	11.6044	5.1419	5.1402	9.821	9.3837	7.2156	8.5655	4.2934	3.3122	10.2795	9.5681	9.6161	4.206	8.0953	3.3732	4.9207	6.2961	5.8441
U133A__C9orf3	6.5794	7.7201	6.6357	6.6726	5.1043	8.9507	5.7797	7.6312	7.4943	6.3704	6.1052	8.818	8.935	5.2379	8.0265	6.0234	6.2445	8.4646	7.1594	7.1312	5.9799	5.7451	6.7186	5.992	7.3108	6.71	5.6671	6.0223	6.4093	7.8139	5.9673	5.5812
U133A__SLC39A14	6.3508	8.5567	5.7462	9.7025	6.6078	6.3584	10.0436	5.8834	7.972	7.7405	6.6312	7.0261	7.3375	6.1078	8.8219	6.2226	6.0328	7.3106	7.9923	5.6425	6.5311	5.5457	6.6012	10.1244	7.5401	8.3297	7.8884	5.1832	6.6665	6.7652	7.3475	5.9987
U133A__SERPINE2	4.4242	7.97	4.9022	9.6075	4.4355	6.6807	6.0426	3.9813	8.4672	7.9594	4.2348	6.9187	8.2237	4.4336	10.6755	4.6808	4.5754	9.6812	6.4409	6.9121	5.0607	4.343	4.6083	5.8042	7.156	4.8219	4.8116	4.3567	4.627	3.9897	4.2821	4.3236
U133A__LEPRE1	5.7091	6.5775	6.1438	8.4052	6.4342	6.4995	7.6492	6.3773	6.8821	6.2714	6.3589	6.4817	8.1628	6.4934	8.3715	6.5539	6.4152	8.5048	7.3179	6.1017	6.1139	6.4774	6.1745	9.4289	6.5793	7.5538	7.6954	6.7493	6.6992	5.7279	6.434	6.3163
U133A__MAGEA3	10.714	11.8564	4.4756	4.6743	4.7956	5.0446	6.2824	11.9516	5.1285	10.089	4.5672	10.0471	5.0802	7.159	10.2388	4.7842	4.7102	9.749	10.6627	4.3126	5.6037	4.7541	10.5724	9.9371	4.7828	9.401	8.892	10.9687	5.0985	4.6716	4.5054	8.3872
U133A__ANXA1	5.1813	8.546	6.8058	10.1509	4.9132	10.2727	4.9733	4.6701	10.5859	11.0167	5.3504	11.3303	10.7389	11.4584	11.0326	4.9591	4.9942	10.6713	11.1804	5.5085	9.4097	5.0185	5.8809	10.9965	10.7391	9.9079	9.1288	10.0579	9.263	4.6556	4.9519	4.8945
U133A__FST	6.5399	6.4906	6.4947	7.1555	6.4063	8.1138	6.729	6.605	6.9497	8.7649	6.4535	7.3188	6.6246	6.2073	9.2037	7.1295	6.879	6.9117	8.7976	6.5755	6.6662	6.6393	6.7865	6.843	6.7208	6.5052	6.9549	6.5913	6.8367	6.4505	6.228	6.782
U133A__SLC9A3R1	9.6155	8.3819	9.3381	7.3427	10.3084	7.7895	7.6797	11.4694	8.4963	8.6198	9.0584	8.1738	7.8626	8.8965	7.1743	9.7706	10.4869	6.8074	7.6842	11.736	8.9875	10.9463	9.4829	6.4568	7.3574	6.9491	9.7921	9.1212	9.2263	10.2388	10.5344	10.2528
U133A__MUC1	9.7623	6.6886	8.1214	6.7355	8.7127	8.4463	6.4213	9.1046	5.7418	5.1906	7.7259	6.8365	6.3458	9.5673	5.6403	7.1832	7.3812	6.3008	5.2223	7.5387	9.6077	5.4753	6.9283	6.0402	6.3749	4.8389	5.6669	8.8905	7.0484	9.262	11.7763	9.5261
U133A__TM7SF2	7.7736	5.9613	8.9903	5.9644	6.5563	7.4551	7.1445	7.2359	5.6688	6.2564	7.2668	6.8554	6.8658	5.6005	5.6277	7.5725	8.4942	5.3969	5.339	8.007	7.0843	8.3892	6.8779	5.8961	6.7959	5.3671	7.9074	6.0172	6.2127	9.688	8.7472	7.5838
U133A__AGR2	10.6821	4.8118	11.0027	4.8801	9.5473	4.7238	4.9574	5.6983	5.7322	9.8422	11.018	5.5521	4.8807	6.5245	4.9432	9.0223	9.5307	4.1066	5.8781	10.7955	11.9865	9.8595	9.5144	5.8546	5.7616	4.7808	12.2035	10.6989	11.3355	11.4831	10.6889	9.3155
U133A__KDELR3	6.0177	6.3733	7.3768	8.4164	5.4499	8.6357	6.8337	6.2748	7.8566	7.4485	6.8283	8.3566	7.4494	7.6389	8.6264	6.6977	5.9754	7.9155	7.7169	7.0497	8.1051	5.3789	5.5027	7.7253	6.8508	6.7554	8.6796	7.3828	7.6741	5.9734	7.0554	7.138
U133A__ZHX2	9.2638	6.7542	7.8713	4.9952	6.5017	6.0232	7.4021	7.1239	5.0842	5.9716	8.4563	6.9501	6.0953	8.0637	5.4724	6.7913	7.4885	4.9739	6.05	7.6426	6.7416	7.0132	6.648	6.059	6.029	4.8623	6.4096	7.6708	6.0315	5.7254	6.6176	7.2085
U133A__SLC27A3	6.8031	4.7907	7.2837	4.9482	8.9034	7.3823	7.2365	4.9793	6.363	5.5198	6.66	6.0547	6.0294	6.3945	5.64	7.0647	7.0305	6.1087	5.2056	6.0497	6.5406	7.6815	6.8684	5.6795	6.2293	5.1971	5.7902	5.6833	5.4264	5.9204	5.941	5.332
U133A__CCNG2	6.4736	4.9784	8.8661	6.148	7.2863	6.6605	7.9378	6.2712	7.1643	6.5364	6.7081	6.0424	7.5071	6.8682	5.8272	4.8462	6.6988	6.4808	5.8436	8.5074	7.0697	8.2579	6.3197	6.1248	5.9026	3.8867	7.83	7.0928	4.4897	6.7813	7.3914	8.2052
U133A__TIMP2	8.1437	7.5463	5.9061	6.8093	6.4559	7.4862	6.1842	6.645	7.2158	7.4453	6.1997	7.5739	7.5759	6.5576	6.9703	6.4701	6.6941	9.6382	6.7168	5.6529	6.2677	5.5385	7.5049	8.0501	6.498	6.5791	5.934	6.7798	5.9121	6.6794	7.9524	5.8372
U133A__NEBL	7.471	6.4486	7.9659	4.4277	8.0852	8.1581	5.8258	8.7265	4.729	4.5974	8.4438	4.7794	5.3089	8.8448	4.5196	7.2791	7.7379	4.3245	4.2596	7.1621	7.8028	6.5042	7.6328	4.692	4.966	5.6682	9.7977	8.5099	6.3427	7.0842	8.2432	8.448
U133A__ADAM9	7.5275	9.0774	6.2804	9.3027	7.6696	7.9906	6.0137	5.9751	8.8245	8.3077	7.6816	7.525	8.4688	6.8256	8.2258	6.0776	6.0747	8.2242	8.4356	7.7889	7.5672	5.8249	6.8231	8.4699	7.364	7.1854	9.0709	8.6927	10.3643	7.8763	8.8635	6.5808
U133A__SUV420H1	6.2935	5.7691	8.3197	6.0152	8.0207	5.9581	8.1196	6.0526	5.2183	5.9548	6.6016	5.1908	5.8252	5.786	5.2395	6.1525	6.3096	4.9307	4.5903	5.949	6.2792	6.8667	6.0065	5.2142	4.8774	4.6831	6.5164	7.0819	7.155	5.7848	6.6498	7.9656
U133A__KRT19	11.9776	10.9191	11.935	3.995	11.6489	10.8671	10.3292	12.2228	3.8177	10.8381	12.4618	11.0216	10.3341	11.7799	3.831	10.65	11.6347	4.0939	7.2772	11.6624	11.784	10.9377	12.0028	3.9802	10.1275	3.2941	11.8623	11.6439	11.4468	12.1604	12.1037	11.9516
U133A__KRT8	11.2525	11.4126	11.1708	4.6994	10.4767	9.9402	9.7313	11.932	8.4941	8.913	11.4994	9.9269	9.5922	9.5457	5.7145	11.6793	12.1159	7.5837	8.3426	11.2063	10.4653	9.1194	11.5414	4.6224	9.8963	8.3775	10.5897	10.994	9.9593	11.9459	11.5683	9.9995
U133A__MREG	7.4837	6.8632	7.3162	4.1264	6.9158	4.9852	4.4452	7.6384	6.6941	7.6708	7.3828	6.2187	6.2332	6.664	4.6508	8.3801	8.8786	5.5713	5.3909	8.2337	7.7519	7.482	6.9532	4.3075	6.558	4.6489	4.8388	7.7298	7.2458	7.0424	8.2713	6.0785
U133A__OPN3	7.9089	7.2246	8.3329	7.5352	6.2531	5.5276	7.6964	5.7019	4.2432	4.6319	8.6586	6.7565	6.8693	7.7497	5.5873	6.009	7.0329	5.4766	5.7904	6.102	6.958	7.2383	7.1835	4.5531	6.7869	6.5327	6.1301	8.3869	4.4406	4.4907	7.1688	9.0612
U133A__MAGEA6	10.693	11.5841	4.2307	4.0703	3.9456	4.2992	4.86	11.4676	3.9504	10.0407	3.986	9.5413	4.4473	6.445	9.4312	4.0506	4.1283	8.6643	10.9078	3.9064	4.9708	4.038	10.2216	9.7426	3.9341	10.1877	8.205	10.544	4.2629	4.3884	3.8095	7.8366
U133A__PRSS8	8.984	7.5482	8.4017	5.5972	7.5995	7.1231	8.7157	7.8521	7.897	6.8913	9.0244	7.8961	6.167	9.0988	5.8126	6.6594	7.696	5.2863	5.6892	8.4368	7.7911	7.8115	8.3283	5.4722	7.4115	4.5504	10.1071	9.5346	6.0866	7.2982	9.366	8.0536
U133A__CDC42EP3	5.3841	7.4184	4.6925	4.5565	3.1213	6.9265	4.1005	3.5236	5.3886	7.7389	5.6163	6.6861	4.9871	4.6904	8.1804	3.4122	3.5095	5.9676	8.5465	4.5654	4.5823	3.2159	3.9786	4.1004	5.9385	6.0244	3.4122	6.797	9.3553	4.4616	4.6908	3.2918
U133A__TSC22D3	7.6905	8.256	8.0938	6.8298	8.046	6.3736	7.4189	7.9939	6.8413	6.5075	9.6233	7.1738	7.9296	9.0921	5.9813	7.7376	8.113	6.4745	5.5423	7.798	9.5332	8.5134	8.297	7.2593	7.1095	8.0444	7.5857	10.0225	10.701	6.4267	10.173	9.4171
U133A__MEGF9	5.2454	5.728	7.1921	5.352	6.5592	5.4416	7.4246	8.1128	5.4149	5.8697	5.7681	5.6285	6.0475	6.4887	5.5942	7.7911	6.5321	5.0869	5.5495	9.258	7.1866	6.6597	5.7238	5.1876	5.0277	5.331	6.8868	6.9558	6.8659	6.6887	6.5666	6.1345
U133A__GJA1	2.8586	2.9544	2.9839	10.2343	2.855	3.0983	2.6954	8.3065	2.8297	7.2101	2.9591	2.7973	7.2452	2.8227	7.4182	3.0721	3.2832	7.1043	7.1958	2.8845	2.8895	2.7177	2.747	10.3929	2.8106	7.9029	2.7828	2.8426	2.8623	3.074	2.8055	2.7005
U133A__CALD1	5.8786	8.3527	3.9365	7.9225	3.6763	6.2884	9.1905	3.4181	8.0223	6.0784	5.5558	9.2409	8.6378	8.8403	9.3954	3.6019	3.9175	7.5768	7.2995	5.0421	4.1759	3.5041	4.7812	7.3616	7.3157	7.8436	7.7707	8.0238	6.7517	4.3805	4.0465	4.0081
U133A__CLDN3	8.5775	5.1292	7.7776	4.7725	8.7299	8.1731	6.2573	8.0305	4.4347	5.0398	3.9735	3.9722	6.2876	7.4706	4.6249	8.2015	10.1075	4.2289	4.4656	7.8263	8.3076	7.829	7.6463	5.0252	5.2019	3.7519	9.1572	10.4226	6.5411	9.7858	10.169	5.8151
U133A__FASN	11.1828	8.2497	11.2606	9.1052	8.5659	7.7698	10.3198	11.0689	8.5587	9.2366	9.0543	8.8339	8.8259	9.3731	8.0922	10.2977	10.5056	9.0354	9.0868	10.2173	9.2182	10.1033	11.7652	8.8803	9.9972	8.5825	11.0307	10.3351	9.0381	9.5315	10.6165	10.1347
U133A__PHF11	6.8199	6.1504	6.1094	4.6492	6.1965	6.3952	8.6781	5.6711	5.5715	5.9209	6.8223	6.0406	6.8884	8.1456	5.5505	5.9869	6.4986	5.53	5.6441	6.368	7.2591	5.8747	5.8702	6.4841	6.3897	6.1046	4.2574	7.3746	5.6881	5.8207	8.1203	6.3191
U133A__ATP1B1	10.6555	8.987	9.0894	7.953	10.5124	10.7765	9.4161	5.5723	7.0005	8.0635	8.4916	8.8909	8.4836	11.1555	5.7904	10.2571	8.5593	4.4435	9.3408	9.7824	9.7554	9.9854	9.7093	7.8881	8.672	7.3406	8.7469	10.6697	8.8248	8.5279	8.5607	9.3935
U133A__RAGE	6.1349	6.009	5.6582	7.2698	6.0013	6.0206	5.8776	6.0351	5.5039	7.6833	5.9309	8.8647	6.6317	5.7582	8.3499	6.0592	5.9778	6.24	7.0726	5.6932	6.5152	5.9935	5.614	7.5141	5.9461	7.6006	5.8088	6.554	5.7914	6.1698	5.6803	5.8604
U133A__MT1P2	9.8881	12.0742	9.719	10.5395	9.2019	10.3683	8.2837	10.6617	9.531	10.1679	9.0536	10.1399	10.8309	10.1722	11.5302	9.2927	9.0609	10.3507	11.052	9.9655	11.5305	9.8421	10.038	11.0822	11.8502	11.6559	9.2834	10.2496	10.1061	8.6721	8.6118	9.5654
U133A__HMOX1	6.3462	7.4205	6.2042	9.3758	6.8273	6.6101	6.269	6.5746	7.1662	6.0146	6.7426	7.6179	6.5557	6.0875	7.9038	5.9175	5.8619	6.459	6.365	6.3473	6.6004	6.3751	6.243	9.709	5.7164	8.5448	6.5511	6.6615	5.9153	5.9068	5.6787	6.4186
U133A__FTL	7.7744	11.2056	10.0591	10.2013	8.6878	10.819	10.2002	9.6632	9.4582	11.7469	10.6899	9.2376	9.8686	11.1678	11.7066	8.6347	9.802	10.2633	11.4905	9.5794	9.595	8.687	7.3449	12.0038	10.5268	11.4457	11.6906	9.9193	10.7519	8.3996	9.5434	9.0406
U133A__CEACAM6	9.4214	4.7174	10.8388	4.9611	5.2365	5.2078	4.8552	4.8702	5.0137	6.169	9.7564	6.0992	4.9348	7.757	5.6867	7.1518	7.4223	4.7137	5.1115	10.5666	10.2236	4.9072	5.7482	4.7969	5.0174	4.96	9.9143	11.0544	6.1476	5.309	10.9951	6.6025
U133A__PTRF	6.0022	8.9581	6.2617	9.7082	5.8463	8.3455	6.1188	5.7173	6.9987	8.6548	6.6073	6.763	9.0215	7.1768	9.9604	6.0237	6.3204	9.1023	9.8031	6.2294	7.3507	6.3333	5.6802	9.5435	8.2916	9.4023	5.267	6.4218	6.5915	6.796	6.1726	5.4646
U133A__RAI14	6.8528	7.6505	6.5191	7.1977	6.3754	6.2722	5.5801	7.0817	6.0818	7.393	4.9184	8.4573	6.3942	8.6065	6.5584	5.6957	5.9513	8.3284	7.995	7.088	4.6179	5.8292	6.033	4.3547	5.7551	7.8314	6.3683	4.7881	6.0277	5.7235	6.4105	4.2361
U133A__CTSB	8.3507	7.4127	7.895	10.3253	7.3919	9.8386	7.1998	8.7026	8.7987	10.4713	8.7264	9.6347	10.3193	8.6727	10.1243	7.6852	8.2081	9.7003	7.8934	8.1404	8.1867	7.8041	7.0968	12.1734	8.6588	8.6083	10.4251	6.6465	7.1327	8.8929	9.6935	8.6247
U133A__GALNT6	7.3905	8.324	6.7568	5.1143	8.8841	6.8554	6.1052	8.3463	5.6143	6.7577	8.2228	6.9834	5.9045	7.5279	5.4304	8.8602	7.768	5.6215	5.8084	8.4236	9.1485	9.1731	8.7939	5.665	7.8211	5.8236	10.0613	8.3165	9.245	7.746	9.7446	7.8728
U133A__CRIP2	9.2634	6.3153	9.209	7.8746	8.3415	7.7681	8.0402	9.0021	7.6044	5.5453	8.8685	7.8221	7.9649	7.9883	7.3507	8.6357	8.6983	6.3079	5.1886	9.2302	8.0924	7.8109	8.3547	8.1304	6.4487	5.4693	9.8773	9.8924	7.1792	9.294	7.9542	9.0175
U133A__MT2A	11.1401	13.2516	10.4878	11.974	9.7104	11.2993	9.0299	11.5175	10.4585	11.412	9.637	11.1486	12.017	10.5049	12.7479	9.4434	9.8433	11.5674	12.3499	11.3019	12.5433	10.9416	11.1928	12.3549	12.769	12.9115	10.216	11.9342	11.154	9.7036	9.4884	10.4759
U133A__PDCD4	4.7881	3.469	6.8825	4.4945	8.2124	5.7415	6.9783	9.3378	4.8222	5.4742	6.8198	4.9423	4.4933	7.5575	3.7218	4.8931	6.3885	3.7962	7.4032	7.8862	9.6151	7.2734	3.8107	5.177	4.0607	4.2696	6.9303	6.7761	6.487	7.7569	8.1883	9.0148
U133A__AXL	4.3447	4.36	4.6163	9.7332	4.3709	7.011	4.3959	4.4975	4.5981	4.2906	4.2474	5.2312	9.2723	4.1729	10.475	4.5906	4.4261	8.3136	10.3645	4.1508	4.614	4.2537	4.0831	9.5546	7.5369	9.6852	4.2137	3.971	4.2126	4.5153	4.3396	4.2859
U133A__MAP4K4	5.1091	8.0032	6.3952	7.3226	5.7528	6.1253	7.425	6.5388	7.2464	7.61	5.4528	6.7248	7.8366	6.6207	7.9799	6.3307	6.1541	8.1798	6.5193	5.9015	5.0642	4.9385	5.1327	8.1638	8.3236	7.7847	5.9041	6.5972	6.1144	6.0063	5.6747	5.3321
U133A__WBP5	3.6889	6.4769	3.8423	6.6526	3.4188	7.1545	8.993	6.1042	6.1205	7.6216	3.6347	6.549	7.9524	4.1972	6.6648	3.9113	3.5138	7.6132	8.2161	7.0278	3.947	3.6362	3.6496	7.7813	5.9192	5.6305	3.7521	6.6178	5.4815	5.2695	3.583	6.6206
U133A__PLAUR	7.0817	7.6566	6.3774	7.9196	6.3478	8.6018	7.3217	6.6571	6.7499	6.7768	6.8516	8.1211	7.2534	7.3607	8.1234	6.4877	6.4579	6.9693	8.9904	6.1449	6.6998	6.2084	6.715	7.4222	9.277	7.1697	6.0395	6.8223	6.7814	6.3108	6.3435	6.3425
U133A__SPDEF	9.495	6.094	10.1198	5.8444	10.4996	6.2908	5.8013	9.2013	6.2848	5.3899	9.5734	6.6571	5.9869	5.2999	6.5909	10.0367	8.9085	5.5694	6.027	10.078	9.6299	10.1262	9.8712	6.631	6.472	6.5064	10.0966	9.9098	9.9188	9.3052	9.6714	10.8242
U133A__DAAM1	6.9394	6.7256	7.4256	5.7426	6.5441	5.5412	5.8286	7.3134	4.3108	6.1768	9.0542	6.947	5.6935	6.8334	4.2798	6.7682	7.0736	5.712	4.2843	6.6937	6.402	7.1325	6.6966	5.278	5.2773	4.3674	7.2789	7.6872	5.4127	6.6933	7.2805	7.2217
U133A__TUBB6	6.5678	8.0465	6.253	9.8768	4.9213	8.3339	9.2657	7.3934	8.5949	8.9081	6.6415	9.8152	9.8057	8.0943	9.7499	8.3425	7.4325	10.4802	9.0045	7.5802	5.0843	5.1846	6.5456	10.1106	9.4057	9.6441	5.1798	6.0299	5.5564	7.8651	8.1612	6.4891
U133A__FADD	7.2253	7.5941	7.3694	7.3736	8.6319	7.9796	8.0257	7.5068	7.4055	7.7871	7.4372	7.3283	6.8438	7.0393	7.045	8.2105	7.9457	7.5091	8.1263	8.5757	10.0277	8.4773	7.1372	6.7516	8.0897	7.4219	6.5889	7.5246	6.8788	7.3984	7.6765	7.8862
U133A__TOB1	8.1199	7.4176	9.54	5.6991	8.2963	8.2331	6.9626	9.9774	7.4185	7.3983	8.3342	7.3782	8.2944	7.4541	4.4955	8.4614	8.9689	7.562	5.935	10.6432	8.5555	9.5297	8.6703	5.2081	4.7449	5.9356	8.5847	8.2344	8.8228	9.8445	9.2366	9.6404
U133A__UAP1	8.4831	7.1609	8.1046	10.5221	7.3076	7.5494	7.5247	7.4176	8.5975	8.0611	7.8611	7.7855	8.3676	8.4675	8.864	6.5547	6.1229	8.1057	8.5606	7.148	8.1879	8.1683	7.9066	9.5836	8.0031	8.7819	8.9616	8.4541	8.9146	7.0147	8.1841	7.9779
U133A__EIF5A	10.2322	11.5081	6.6804	10.141	10.3505	7.0561	6.2771	10.4307	10.9743	9.7164	10.6954	11.0518	6.7936	10.9733	11.4584	6.2508	7.0806	10.9628	9.8155	8.213	8.5732	9.7217	9.4725	10.7482	11.3354	10.6383	7.469	5.9167	10.9772	6.6051	6.774	8.3558
U133A__MT1H	9.9144	12.0323	9.4742	10.3299	8.7427	10.344	8.326	10.4489	9.4932	10.0553	8.4144	10.0575	10.9054	10.2961	11.2855	8.4115	8.8273	10.2353	10.9772	10.1181	11.5502	9.7013	9.8995	11.3317	11.9502	11.5849	8.9971	10.3979	10.0943	8.5934	8.495	9.4841
U133A__ST14	7.5491	6.1897	6.5451	3.9898	6.2206	6.3367	7.2561	6.6181	4.9063	6.9803	7.1576	7.4406	4.7531	6.3258	3.7092	6.126	6.1322	4.5615	3.929	6.3002	6.4807	6.4503	7.2871	4.9825	6.7263	4.1953	5.3351	6.6592	5.1746	8.3697	7.4472	5.7941
U133A__FBP1	5.4407	5.6061	8.7593	5.8518	8.9571	5.675	5.3145	9.223	5.9597	5.9596	5.4783	5.7636	6.0568	6.0106	6.2966	9.2997	10.2366	5.5894	5.6397	10.3698	8.9993	6.1156	7.3014	5.5824	7.2633	5.8976	9.8817	8.5732	7.7395	7.7367	9.8135	9.0869
U133A__PRR15L	7.591	6.1531	9.0722	5.2518	7.9719	9.937	7.0928	8.2127	5.8732	5.7062	8.9961	7.8532	6.768	8.1892	5.6078	7.6569	8.1452	5.3097	5.9224	9.8647	7.949	8.5299	7.4547	5.3048	6.2798	4.9068	8.3583	8.9671	9.4867	7.4828	8.8995	9.7675
