Cell lines	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751
U133A__CAMK2N1	9.1459	9.4608	8.3458	5.1483	8.6556	6.3505	6.2577	8.6715	6.6419	7.179	8.3152	6.6618	7.3195	10.0484	8.0878	9.553	7.2483	7.6561	6.867	9.2583	9.8342	9.6245	9.5868	5.7111	9.1636	7.9183	9.6719	9.5142	9.8937	8.0816	9.4807	8.5041
U133A__MSL1	11.0616	7.1325	7.6567	7.246	7.5161	6.2351	7.9444	6.4312	7.5699	7.3185	7.6938	6.777	7.3462	7.9972	7.5341	7.7231	7.2066	7.4204	7.3756	7.8424	7.0973	7.0433	11.0407	7.3822	7.534	8.238	7.4681	7.4342	7.1078	8.3011	11.0363	8.2656
U133A__ST6GALNAC2	6.011	5.93	8.851	6.409	8.5175	7.0245	7.166	6.5847	6.2859	6.3744	7.364	6.3358	7.542	7.0362	6.505	6.3558	7.1622	6.5767	6.2919	10.5822	8.0335	8.8748	5.9877	6.0963	6.6151	6.6624	9.496	6.5505	9.0304	7.8321	8.3814	8.9466
U133A__LGALS8	6.93	6.3346	7.7823	4.0492	6.3609	6.2438	4.4525	7.5037	4.2296	6.4287	8.0335	3.8314	5.7469	5.9013	4.1778	3.8058	5.3444	3.8368	7.5299	7.1015	8.0029	7.9816	6.8287	4.3027	6.2919	4.594	4.0473	8.7099	8.0004	6.0748	7.5306	8.9952
U133A__BCAS2	7.1565	9.033	6.483	8.0901	7.4672	6.8205	6.4102	7.746	7.7915	7.7371	6.9229	8.1268	8.5233	7.5586	7.7816	9.8199	9.9917	7.5805	8.9237	6.9103	7.386	7.3388	7.0325	7.6049	7.6677	7.9908	6.7666	7.831	7.5694	7.1844	6.6756	6.4719
U133A__CBR1	8.0566	7.6891	5.0839	8.1128	6.1108	7.0953	6.9501	5.0824	7.8906	8.3527	5.977	7.2162	6.746	7.0213	7.284	7.2775	6.5636	7.3525	6.639	4.8369	6.4233	4.6356	7.4491	8.3041	7.4609	7.6399	5.8024	6.1262	6.1997	7.0802	7.7375	4.251
U133A__C1orf115	6.9475	4.7813	5.8685	5.1898	6.9003	6.3547	7.1337	5.0147	6.5582	6.3223	7.3154	6.2642	6.4033	5.1145	5.007	5.4686	5.3279	4.9872	4.8072	7.4573	8.5627	7.4798	6.4155	4.7245	5.8825	5.5547	5.9571	8.6383	9.0861	6.4767	6.1671	9.6618
U133A__SHOC2	6.4652	5.5	6.926	6.3936	7.5677	6.5926	7.2378	8.2063	5.6342	7.8995	6.8143	6.356	6.268	7.263	5.3781	6.6247	6.8352	6.6768	7.1528	7.9108	8.2722	8.0058	6.3408	6.6276	5.6485	6.6845	7.9337	7.0982	6.8114	8.0742	7.641	10.5269
U133A__ASAH1	7.6309	6.5642	6.3725	6.263	7.5971	6.3153	6.9968	5.0105	5.7667	4.9323	8.3842	5.5519	5.7256	5.6042	5.8445	5.7707	5.2513	5.9329	5.5178	6.9474	6.1367	6.0655	7.0733	5.3256	5.8795	4.5582	8.1595	6.9545	6.4194	6.6742	7.7847	7.9367
U133A__PFAS	7.2736	6.9577	6.1119	8.7473	6.1154	5.5604	6.2578	6.0204	6.3444	7.593	6.5166	6.7627	6.3816	6.5395	7.3623	6.2854	6.3664	7.0189	7.8924	5.9161	6.185	5.9481	6.517	6.6954	6.8338	7.343	6.1087	6.0204	6.034	6.4774	6.2811	5.549
U133A__SNX7	6.9361	6.6633	6.3575	8.2264	6.3147	7.2735	6.4903	7.5596	7.2552	8.0102	5.9321	7.1316	8.3416	7.9242	8.5314	5.7752	7.1402	8.5363	9.0729	6.7602	6.3801	7.3553	7.4533	9.1969	8.5021	8.5449	5.1871	6.7639	5.9201	4.634	7.2475	6.574
