Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__ACAA1	6.1633	8.8997	6.6984	5.2632	6.5332	6.3551	7.0217	5.9495	6.3772	6.4261	7.1641	7.3011	6.5595	6.1541	6.6504	7.2811	7.0428	6.9482	6.9299	6.3982	6.6822	7.7278	6.912	5.4479	7.0365	7.5844	6.3811	6.9764	7.9024	6.7552	9.1231	6.4906	6.7173	6.0876	7.3427	6.9957	6.6535	6.6359	6.846	6.6572	6.2702
U133A__POP4	6.8419	7.4049	8.5108	7.1197	7.7849	8.0832	7.9172	7.6761	7.8361	7.7486	8.4515	11.1108	10.0044	7.8973	8.0752	6.8166	7.8422	7.7811	7.7881	8.3413	8.1448	8.035	7.5683	7.4469	10.0874	7.6411	8.3447	7.1572	8.2194	7.8404	7.6935	7.7345	7.8677	8.0336	6.7014	8.043	6.8998	7.8231	8.2127	7.5607	8.1788
U133A__RIPK4	6.9369	8.614	8.941	7.3972	7.0338	6.6705	7.0491	6.4881	9.796	8.8061	7.3564	7.6975	8.7888	8.9884	8.8039	8.166	10.051	7.9447	7.9849	9.5888	8.0963	7.4957	7.1495	6.9917	9.6954	7.2635	6.6804	7.1106	7.1915	7.0182	7.6382	9.5498	8.7522	7.4829	8.2037	7.9776	7.8159	7.7129	8.042	6.7148	7.0509
U133A__ARHGDIB	8.5293	8.1199	5.8842	6.4501	7.2463	4.7304	4.7976	6.2259	5.607	6.4063	8.0311	5.4551	9.4922	9.2045	7.5589	7.8056	10.3184	8.841	4.8659	9.2277	6.0753	4.7729	5.4535	5.0219	5.5393	10.2407	10.0378	9.1753	10.118	6.7721	8.9124	5.2272	8.2832	6.2232	9.5105	9.0231	7.7081	6.377	9.6437	8.9659	6.9107
U133A__SLC39A6	7.7971	6.2623	5.3606	8.41	9.7579	7.1998	7.8475	5.9221	7.3674	7.4381	7.3231	6.8048	6.6043	5.6466	7.0401	6.3356	6.5261	6.3182	7.2364	6.9683	6.666	7.9931	10.5732	8.0261	5.5622	7.2093	6.5394	8.0151	6.4029	6.5248	6.2838	6.153	7.6162	7.6329	7.1446	6.6113	7.6467	7.1279	8.8267	9.2532	11.5676
U133A__RHOBTB3	5.0787	5.0683	6.7277	5.1065	5.6136	6.0473	6.2514	6.308	4.9227	5.6696	8.5462	7.9271	7.835	7.275	6.0499	4.2318	6.8141	6.2335	6.566	6.6969	5.985	5.5974	8.3924	6.5413	6.3596	3.3827	7.6414	5.9011	7.025	3.8914	5.5555	5.72	3.8442	6.2604	6.5518	6.8905	7.0476	5.4977	6.662	5.3302	4.6212
U133A__S100A8	6.1706	12.5664	8.3351	4.157	7.7019	3.5813	4.7324	3.8563	3.924	5.4707	9.0826	7.6008	10.1724	11.3533	12.0862	7.7539	11.5807	11.9267	4.6797	8.514	4.0572	4.4943	4.3478	5.5487	4.143	7.8157	3.962	4.2797	3.922	4.6677	11.5551	3.8788	8.6098	3.9747	7.2637	8.5694	7.8125	4.319	12.2071	5.4406	9.593
U133A__CDKN1A	8.2831	7.2923	7.3268	7.7668	9.5202	6.794	7.442	9.6572	8.4726	7.4215	6.9593	8.0665	7.8881	9.2323	8.3044	8.1491	6.6142	10.089	7.0906	7.2666	8.4832	8.0984	8.6455	9.5528	7.835	8.8575	6.9282	9.465	7.5943	7.1964	7.4332	7.7385	9.0587	7.7207	7.994	8.4722	6.635	8.1709	8.8133	8.4019	9.8192
U133A__LANCL1	6.7689	7.9484	6.1735	7.1973	8.0437	7.4032	6.8113	6.0496	8.2676	7.471	7.7845	6.858	6.4065	7.4074	6.1261	6.0262	7.1325	6.5866	8.9228	7.4355	7.3639	6.9245	6.5193	7.6214	7.1381	6.6311	7.2862	7.7475	6.4586	7.6675	9.6917	8.1542	7.0607	7.5143	6.6789	7.4457	8.0595	7.3913	7.8901	8.0387	7.3553
U133A__FGFR1	6.1557	5.7798	5.7379	6.852	7.4678	7.5789	7.3779	7.6334	6.7737	8.6157	6.1787	6.737	5.9285	6.0116	5.8635	6.4269	6.623	6.2015	9.3113	5.9031	7.4059	6.7359	6.0403	11.6578	8.0272	8.3604	7.1029	8.2599	6.0409	6.4628	6.1317	8.3245	5.7774	7.9791	6.489	7.6248	7.2695	6.4819	7.8946	7.4521	7.6142
