Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
U133A__SH3GLB2	6.5425	6.1316	7.5758	6.9276	5.7078	7.1346	5.6773	6.1178	5.6393	7.6168	5.069	5.9234	7.0037	5.1924	6.6129	6.4713	5.3567	5.5879	6.4594	5.1439	7.4452	7.2121	5.1126	7.0174	5.9868	6.6336	6.07	6.0047	5.8607	5.7669	4.7977	6.3724	5.9489	9.1407	6.9105	7.6052	6.7678	5.9303	6.2513	6.9862
U133A__PLS3	7.4402	8.1478	6.684	6.6342	10.0973	5.9543	9.0506	9.6656	8.887	8.3576	8.6835	9.5501	9.8794	9.4261	3.407	9.6483	11.1688	10.1743	10.073	9.1672	5.0117	3.273	8.691	5.8468	9.2106	7.8484	9.2009	9.4815	9.7297	8.6187	9.3368	8.8304	8.2318	4.6121	7.5828	7.7544	2.9017	8.1646	8.7256	8.5997
U133A__SLC39A6	7.7971	6.2623	8.41	9.7579	7.1998	7.8475	5.9221	7.3674	7.4381	7.3231	6.8048	6.6043	5.6466	7.0401	6.3356	6.5261	6.3182	7.2364	6.9683	6.666	10.5732	8.0261	5.5622	7.2093	6.5394	8.0151	6.4029	6.2922	6.2491	6.2838	6.153	7.6162	7.6329	7.1446	7.6467	7.1279	8.8267	9.2532	6.6951	11.5676
U133A__TRIM16	6.1574	6.1974	5.7526	6.4896	7.8195	6.6675	6.4563	6.8223	7.0869	5.7686	6.3137	9.1814	8.2659	7.3056	7.7113	6.6343	7.8839	7.5431	5.7772	7.4161	6.7198	6.2253	7.6578	5.7971	5.9195	7.4512	6.3	7.3268	7.1158	7.0752	6.5095	7.3537	6.161	7.2962	6.0595	6.0184	6.2297	6.5469	6.0031	6.4635
U133A__PDGFC	5.5151	4.7072	5.306	4.2114	8.5446	4.2682	7.4629	7.5679	8.1244	3.5487	4.7294	7.0604	5.2036	7.8858	6.7858	6.5847	5.6004	6.6393	7.1701	6.9926	3.636	4.0802	7.2686	4.8705	9.2966	6.5591	5.3401	6.8294	8.4198	4.7499	8.8223	6.3115	7.8914	4.062	5.1023	5.7918	4.4004	5.4727	4.4081	5.9931
U133A__BCAM	10.151	8.1702	8.9493	8.1994	6.1925	7.2428	7.4964	8.1735	7.7114	8.0871	7.3462	6.5328	7.6031	6.7278	8.1161	7.4603	7.2592	7.7261	6.6556	7.1254	7.3836	8.8748	6.9566	8.1709	6.6431	9.5823	7.5033	6.4178	7.0762	9.1546	6.9064	6.5732	6.4991	9.2367	9.1207	8.013	8.2831	7.997	9.1362	7.2864
U133A__EXT1	5.9409	6.9912	6.0302	6.0805	8.4548	5.5923	6.9876	6.8187	7.0983	7.327	6.7887	7.3775	8.1855	10.4735	6.8258	8.2801	7.7689	7.278	7.6661	9.1103	5.6871	5.344	9.0202	6.2664	8.134	6.311	7.1049	8.246	7.7789	6.5234	7.4435	8.7782	7.0972	7.003	7.0514	5.8885	6.2246	5.1195	6.942	5.2664
U133A__CCND1	9.1764	8.4714	8.1237	9.1256	5.4377	8.8941	5.4406	10.0998	7.9929	9.1837	4.3292	8.6063	8.813	10.9904	7.1587	8.1578	6.4037	8.1008	9.0473	8.209	9.1804	11.883	6.9939	9.3043	8.8488	8.5351	10.1566	6.4148	7.8056	7.9009	6.6177	8.3147	8.4694	8.7082	8.5885	7.1643	7.8528	8.5427	9.8744	9.2077
U133A__IGFBP4	11.0146	5.2361	9.7198	9.3935	7.2318	8.0076	7.5107	7.3593	7.5275	9.1421	8.2795	8.0721	7.2479	6.0637	6.2098	6.3741	6.0228	8.3002	8.3906	8.9442	9.23	9.7558	7.7929	7.1647	10.3468	9.1055	9.0012	6.9578	7.1508	6.7255	5.6586	7.7099	9.881	6.4871	5.5116	9.5902	10.2401	6.4333	7.5132	8.2681
U133A__TRIP13	7.745	8.3821	8.3399	7.2109	8.4946	8.4298	9.1761	8.1542	8.1616	8.0032	8.2922	9.269	8.9522	11.8558	8.2882	8.7189	8.5732	8.6762	9.2749	9.1383	7.9682	8.584	8.3787	7.6696	8.1315	7.9447	8.0787	7.5528	8.371	8.2085	8.3646	8.3153	9.9502	6.6053	7.2737	8.9561	7.5954	6.3957	7.3615	7.9724
U133A__ERBB3	9.0074	7.5004	8.3846	9.4643	4.1332	7.8718	3.9425	7.0488	7.2396	8.1221	7.1116	6.5673	7.1065	5.2443	8.1957	8.2884	6.1232	6.1179	7.809	3.9223	7.907	7.5422	5.1573	7.8977	4.7362	8.49	7.7735	4.4635	6.2743	7.8318	4.3134	6.0561	4.2768	8.8454	6.8618	8.571	8.2939	8.3354	8.1268	7.6055
U133A__PFAS	5.8087	7.2736	6.1119	6.5991	8.7473	6.1154	6.7468	5.5604	6.2578	6.0204	6.3444	7.593	6.4576	6.8626	6.2873	6.5166	6.7627	6.3816	6.5395	7.3623	6.3664	5.9483	7.0189	5.7511	7.8924	5.9161	6.185	8.5843	5.6544	6.517	6.6954	6.8338	7.343	6.1087	6.034	6.4774	6.2811	5.549	6.0653	7.0923
U133A__PIR	4.6997	6.0985	5.1577	4.6415	5.9744	4.6417	4.4045	4.5998	5.8591	5.8861	6.3592	6.5985	7.4658	4.0181	4.883	4.9194	7.3016	5.6805	6.7355	4.7965	4.9141	4.1856	5.7721	4.0657	5.3994	7.2433	8.1638	7.2319	4.9331	4.2441	6.8605	4.6306	6.0726	5.4548	7.6523	5.3672	5.9331	6.0265	7.4381	7.9715
U133A__TNFAIP3	5.9295	6.7965	5.7553	5.6916	5.7218	5.7495	7.1966	6.4198	8.9139	6.1028	6.7203	8.4994	6.6061	6.4225	5.9136	5.9013	6.9691	6.7715	6.2094	7.2405	5.5353	5.9057	6.3513	5.8423	5.564	5.8709	5.9297	8.9282	7.7501	5.9432	6.3301	8.7543	8.0292	5.6503	5.5626	5.8664	6.2742	5.6705	5.8143	5.6778
U133A__TSKU	11.0637	8.2421	9.0798	8.5228	7.578	7.5767	8.0606	7.5938	7.6168	8.2058	8.1601	8.241	8.0502	8.5889	7.7331	7.7436	8.2928	8.165	6.5287	7.4395	8.24	8.9638	7.4804	8.8192	7.5084	9.0219	8.4862	7.4545	7.6494	7.8671	7.6819	8.0746	7.4697	8.6837	8.7885	7.7775	8.559	7.7132	8.6346	7.2394
U133A__TUBB6	4.8682	6.5678	6.253	4.4901	9.8768	4.9213	9.5493	8.3339	9.2657	7.3934	8.5949	8.9081	8.7762	7.6112	5.3791	6.6415	9.8152	9.8057	8.0943	9.7499	7.4325	7.8191	10.4802	5.4732	9.0045	7.5802	5.0843	9.3439	8.4845	6.5456	10.1106	9.4057	9.6441	5.1798	5.5564	7.8651	8.1612	6.4891	7.0332	9.5322
U133A__BRD3	8.0335	7.0552	8.8741	8.701	8.1861	7.469	7.9278	8.1703	8.9881	7.7792	6.9922	6.8743	8.1244	6.8308	7.1547	8.0223	8.4947	8.351	7.6168	6.5313	7.6875	7.6713	7.2378	8.1662	7.3083	8.1786	6.8757	8.02	7.0204	6.8199	7.1282	7.3145	6.6386	10.3884	7.558	7.3309	7.0895	7.6949	7.3535	7.5907
U133A__CAPG	5.5436	6.09	5.3709	7.3148	8.3836	5.7225	8.4469	7.9746	5.6088	5.5312	7.3005	6.7155	9.1021	6.3692	6.9207	7.1039	6.072	8.3187	9.6081	9.0181	6.2756	5.7657	9.0276	6.0225	8.7818	6.1538	8.8725	8.4004	7.9909	7.4471	10.9442	8.9883	6.6338	5.9754	5.5005	7.4246	7.8751	6.1978	6.5395	5.8745
U133A__KRT5	4.8077	4.8878	5.0165	4.7598	5.3606	5.2034	5.1382	9.8089	10.1851	4.7424	5.3075	11.7433	10.7402	5.5063	5.4241	4.9714	8.9525	8.389	12.0252	5.8278	5.2101	5.1395	5.0057	5.0121	4.6854	5.0561	5.6323	5.1925	9.7834	5.3946	5.0225	8.8317	4.8533	4.9464	5.2698	4.9329	4.9699	4.9937	5.2146	4.9555
U133A__MID1	6.1037	7.7529	5.4843	4.4567	8.6155	4.4247	8.1964	5.3266	5.9754	4.3322	6.3817	6.6804	7.4209	6.1697	4.5019	9.0976	7.9875	6.0331	7.592	5.0431	4.4599	4.4484	8.0006	4.8053	6.7265	5.0984	5.5412	4.3858	6.548	6.4367	6.5315	5.246	6.0018	5.3356	5.4337	5.7925	5.8913	5.3807	4.7163	5.5598
U133A__STK17A	4.9501	5.586	5.9762	6.0216	6.566	5.4767	6.8878	6.4057	6.6561	5.4821	6.0291	8.4562	5.8604	8.8451	4.2898	5.3348	6.9874	7.7161	7.9924	7.3272	5.637	4.929	8.7568	5.3935	7.6759	6.849	5.6005	7.6556	7.1288	5.4237	7.6464	7.6153	7.0711	5.235	5.8133	6.2781	5.7631	5.1737	6.1401	6.3458
