Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751	ZR75B
U133A__SIK1	5.5407	6.6616	6.0677	4.9096	5.4238	6.6913	5.4221	5.3659	7.7282	8.163	5.4636	5.4409	6.6593	5.7017	6.0411	5.9479	5.3807	7.5037	6.582	5.9786	5.4702	6.3386	6.4975	5.7459	5.7844	5.5274	5.4881	5.517	5.6329	4.9697	5.7079	6.6356	7.7926	6.1986	5.6693	5.94	6.413	5.5653	5.3543	5.5297
U133A__SOD2	5.5088	6.9736	6.9797	4.881	5.1914	7.7208	5.6061	6.9795	6.6548	7.6545	5.7471	8.3722	7.9873	6.5132	7.3532	5.281	5.9588	7.7653	6.3289	7.5586	6.3059	5.2549	6.0585	6.0706	8.5843	5.3729	5.5954	5.823	6.3231	5.1422	6.0321	7.3062	8.7586	9.3681	4.9814	6.4789	6.5449	5.6744	4.8445	6.1557
U133A__TNC	5.3228	4.6808	6.0589	5.0294	4.8493	6.8118	4.6548	6.2793	5.8077	9.2972	4.909	6.0354	4.8131	5.0022	8.1084	6.7858	5.3092	6.2336	9.3754	8.5657	6.5111	5.0374	4.7272	7.5415	7.5353	5.0349	5.0495	6.0046	6.2086	9.5715	4.904	7.4837	8.1507	6.8616	5.1442	6.0683	7.8556	4.9164	5.2553	4.8657
U133A__SEPP1	6.7939	8.2703	4.9517	6.4515	7.7486	4.5723	7.1106	4.2487	4.7281	4.5017	7.5343	8.2599	4.836	8.2811	4.6901	6.4853	8.1246	5.8341	6.3741	4.8683	4.9177	4.4563	4.5954	9.4429	6.2604	5.3088	4.3451	10.806	10.2101	9.6458	6.2624	4.7379	4.6913	5.1189	8.3721	8.0684	8.6532	8.6522	9.6879	6.5472
U133A__LEPREL1	5.2728	5.3422	8.3477	5.4569	5.0282	9.3138	5.5085	8.5248	7.9786	5.848	5.3502	6.5309	7.5076	8.3214	7.2828	5.5782	5.1026	5.8493	7.0181	9.188	7.5821	5.5045	5.6844	5.199	6.6369	4.9666	7.9034	4.9339	4.9033	5.3148	5.5942	6.252	5.3512	7.3962	5.376	5.3514	5.1657	5.3306	5.1199	4.9922
U133A__POMZP3	5.4865	6.9158	5.512	4.8456	6.8032	4.5827	6.9213	5.7618	5.5264	7.0392	6.9656	5.8224	5.1062	6.2726	5.167	6.7511	6.4184	5.8832	6.3568	6.674	5.9695	5.8044	5.7527	4.6042	5.6313	5.7987	5.8609	5.5526	6.3727	4.785	7.0482	5.1092	5.7715	4.1477	4.9582	8.0627	4.7271	5.8462	6.281	8.1041
U133A__NRAS	5.5548	6.1408	7.7102	6.0264	5.2946	7.6303	6.9143	5.426	5.5279	5.2327	6.1487	4.6216	7.2599	7.2058	6.6215	4.9542	4.2955	7.6456	7.144	6.1282	7.0791	8.2575	8.4564	5.858	6.3052	4.9996	7.7325	5.1749	5.0033	5.4207	5.5992	7.5259	7.0119	7.2775	4.3038	4.2994	5.9637	5.7282	4.1235	4.3905
U133A__SEMA3C	5.5063	7.8535	6.2973	7.2138	8.9072	7.9184	8.3292	5.5978	8.5165	6.515	6.9541	4.8101	6.5634	5.7918	5.1109	6.0708	6.6837	6.0845	8.9521	5.6476	7.3771	8.3973	8.6625	6.3229	7.9666	8.2876	5.6302	7.8415	8.0204	6.4005	5.7378	6.6405	3.8054	6.3761	8.6192	8.9705	5.6067	8.6439	5.8646	8.8128
U133A__PDCD4	6.1441	4.7881	3.469	6.8825	8.2694	4.4945	8.2124	4.4722	5.7415	6.9783	9.3378	4.8222	5.4742	6.1414	3.284	6.6053	6.8198	4.9423	4.4933	7.5575	3.7218	4.8931	6.3885	6.384	3.7962	5.9022	7.4032	7.8862	9.6151	7.2734	3.8107	5.177	4.0607	4.2696	6.9303	6.7761	6.487	7.7569	9.0148	8.2637
U133A__RAB11FIP1	7.0112	6.3265	6.0089	6.3952	10.1852	4.1652	7.5606	4.6623	6.1832	5.5435	7.7345	6.5955	5.6248	6.6226	5.2897	5.0526	7.879	5.1828	6.1834	5.6434	4.4743	5.1289	5.3596	9.2312	5.4449	6.7784	5.3435	6.8999	5.2841	5.1493	6.3631	3.4957	5.5237	5.5979	7.3772	10.4161	7.5511	7.0406	8.8087	8.0265
